date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,84.887972,84.887972,0.000843,-0.052404
200308,401,27,6.908755,1,13.817510,76.009518,160.897489,0.000843,-0.052404
200309,412,28,6.908755,1,20.726264,60.615045,221.512534,0.007600,-0.055948
200310,406,28,6.908755,1,27.635019,99.923168,321.435702,0.010083,-0.061654
200311,416,28,6.908755,1,34.543774,59.642762,381.078464,0.010083,-0.061654
200312,421,29,6.908755,1,41.452529,91.128240,472.206704,0.010083,-0.061654
200401,429,29,6.908755,1,48.361283,81.614844,553.821548,0.011975,-0.071448
200402,426,29,6.908755,1,55.270038,137.115246,690.936794,0.016313,-0.069258
200403,428,29,6.908755,1,62.178793,157.255126,848.191920,0.016313,-0.069258
200404,423,29,6.908755,1,69.087548,158.921976,1007.113897,0.016313,-0.069258
200405,423,29,6.908755,1,75.996303,154.042641,1161.156538,0.020891,-0.068936
200406,424,29,6.908755,1,82.905057,170.661422,1331.817960,0.022927,-0.072734
200407,425,29,6.908755,1,89.813812,177.245382,1509.063342,0.022927,-0.072734
200408,428,29,6.908755,1,96.722567,152.152738,1661.216080,0.025341,-0.072816
200409,439,30,6.908755,1,103.631322,206.557941,1867.774021,0.025868,-0.075840
200410,436,30,6.908755,1,110.540076,180.509993,2048.284013,0.028350,-0.078113
200411,444,30,6.908755,1,117.448831,84.464264,2132.748277,0.031779,-0.075153
200412,445,30,6.908755,1,124.357586,121.308088,2254.056365,0.035661,-0.067690
200501,444,30,6.908755,1,131.266341,123.702207,2377.758572,0.037831,-0.060623
200502,443,30,6.908755,1,138.175096,127.520032,2505.278605,0.038349,-0.057256
200503,438,30,6.908755,1,145.083850,97.835750,2603.114354,0.040695,-0.052705
200504,436,30,6.908755,1,151.992605,79.815586,2682.929940,0.042261,-0.047966
200505,431,29,6.908755,1,158.901360,90.856965,2773.786906,0.042325,-0.048782
200506,438,30,6.908755,1,165.810115,78.632208,2852.419114,0.043274,-0.041660
200507,442,30,6.908755,1,172.718869,58.559134,2910.978248,0.044582,-0.033801
200508,439,30,6.908755,1,179.627624,24.357631,2935.335879,0.046654,-0.024776
200509,449,30,6.908755,1,186.536379,87.760463,3023.096342,0.049473,-0.013634
200510,455,31,6.908755,1,193.445134,125.093385,3148.189727,0.051208,-0.006222
200511,455,31,6.908755,1,200.353889,76.230299,3224.420026,0.053551,-0.000976
200512,446,30,6.908755,1,207.262643,84.714290,3309.134316,0.053947,0.006013
200601,430,29,6.908755,1,214.171398,39.373504,3348.507819,0.055378,0.010663
200602,434,29,6.908743,1,221.080141,18.219530,3366.727349,0.056769,0.020569
200603,434,29,6.908755,1,227.988895,52.362956,3419.090305,0.056294,0.024511
200604,431,29,6.908755,1,234.897650,77.037923,3496.128227,0.057220,0.034034
200605,433,29,6.908755,1,241.806405,50.552855,3546.681083,0.057964,0.038719
200606,421,29,6.908755,1,248.715160,63.805488,3610.486571,0.056445,0.036152
200607,423,29,6.908755,1,255.623915,110.774530,3721.261101,0.057005,0.037705
200608,414,28,6.908755,1,262.532669,62.015566,3783.276667,0.056400,0.034582
200609,415,28,6.908755,1,269.441424,87.341495,3870.618162,0.055984,0.032552
200610,380,26,6.908755,1,276.350179,44.041230,3914.659392,0.056067,0.034755
200611,389,26,6.908755,1,283.258934,56.290520,3970.949912,0.056781,0.038541
200612,380,26,6.908755,1,290.167688,56.573343,4027.523255,0.058763,0.037915
200701,378,26,6.908755,1,297.076443,32.702660,4060.225914,0.060066,0.038907
200702,356,24,6.908755,1,303.985198,65.368576,4125.594490,0.061390,0.040252
200703,353,24,6.908755,1,310.893953,60.538436,4186.132927,0.062678,0.043859
200704,367,25,6.908754,1,317.802707,21.447784,4207.580711,0.062342,0.041132
200705,371,25,6.908755,1,324.711462,64.919445,4272.500156,0.061695,0.037728
200706,370,25,6.907693,1,331.619155,13.755432,4286.255588,0.063348,0.042155
200707,362,25,6.908755,1,338.527910,36.979446,4323.235034,0.064767,0.043106
200708,356,24,6.907258,1,345.435168,13.411688,4336.646722,0.064405,0.040308
200709,364,25,6.908755,1,352.343923,137.304193,4473.950916,0.065847,0.046236
200710,386,26,6.908755,1,359.252678,58.494950,4532.445866,0.066377,0.042446
200711,379,26,6.908755,1,366.161433,102.343891,4634.789757,0.066360,0.038133
200712,395,27,6.908755,1,373.070188,201.267084,4836.056841,0.065120,0.030755
200801,394,27,6.908755,1,379.978942,105.391165,4941.448007,0.063986,0.030177
200802,400,27,6.908755,1,386.887697,187.255655,5128.703662,0.062832,0.026098
200803,401,27,6.908755,1,393.796452,218.648135,5347.351797,0.062112,0.018261
200804,408,28,6.908755,1,400.705207,156.156051,5503.507848,0.063520,0.021721
200805,414,28,6.908755,1,407.613961,128.027701,5631.535549,0.064410,0.023895
200806,439,29,6.908755,1,414.522716,218.489448,5850.024998,0.063438,0.021174
200807,449,30,6.908755,1,421.431471,350.564279,6200.589276,0.062637,0.021225
200808,447,30,6.908755,1,428.340226,314.583043,6515.172319,0.062895,0.022491
200809,440,30,6.908755,1,435.248981,230.882436,6746.054755,0.059379,0.009651
