date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,-0.242013,152,-0.242013,-0.242228,-0.242228,0.048697,-0.016644
200308,54,4,-16.549304,932,-16.791316,-16.550303,-16.792531,0.048697,-0.016644
200309,53,4,-0.365654,237,-17.156971,-0.365961,-17.158491,0.053677,-0.007400
200310,62,5,-0.662528,234,-17.819498,-0.663012,-17.821503,0.055843,-0.009915
200311,62,5,-4.121002,368,-21.940501,-4.121986,-21.943489,0.055843,-0.009915
200312,64,5,0.710204,113,-21.230296,0.711239,-21.232250,0.055843,-0.009915
200401,67,5,-0.203553,127,-21.433849,-0.203737,-21.435987,0.058347,-0.011455
200402,69,5,3.981919,2,-17.451930,4.035974,-17.400012,0.058425,-0.011899
200403,67,5,-2.100098,405,-19.552027,-2.100975,-19.500987,0.058425,-0.011899
200404,67,5,0.847434,52,-18.704593,0.848769,-18.652219,0.058425,-0.011899
200405,69,5,-11.420683,309,-30.125277,-11.421683,-30.073901,0.060969,-0.011975
200406,73,5,3.627453,6,-26.497823,3.664757,-26.409144,0.060470,-0.009405
200407,71,5,3.095653,7,-23.402170,3.116981,-23.292164,0.060470,-0.009405
200408,69,5,1.144308,66,-22.257863,1.146450,-22.145713,0.060358,-0.012363
200409,72,5,0.794571,78,-21.463291,0.795786,-21.349928,0.057967,-0.008741
200410,71,5,-2.522558,459,-23.985850,-2.523478,-23.873405,0.056572,-0.004099
200411,72,5,6.891795,1,-17.094054,10.976184,-12.897221,0.056291,-0.005664
200412,72,5,6.904042,1,-10.190013,12.262816,-0.634405,0.057341,-0.009116
200501,72,5,3.726612,3,-6.463401,3.767994,3.133590,0.054577,-0.020126
200502,87,6,6.629666,1,0.166265,8.041195,11.174785,0.048002,-0.030131
200503,88,6,-1.303072,403,-1.136807,-1.303800,9.870985,0.042870,-0.047481
200504,89,6,1.172799,57,0.035993,1.175033,11.046018,0.037888,-0.060877
200505,90,6,4.550384,3,4.586377,4.648735,15.694753,0.027799,-0.090060
200506,93,7,-1.799575,40,2.786802,-1.800409,13.894343,0.025153,-0.098938
200507,93,7,-4.369671,65,-1.582869,-4.370658,9.523685,0.024264,-0.104323
200508,95,7,6.790779,1,5.207911,8.985467,18.509152,0.024183,-0.106262
200509,100,7,5.518750,1,10.726661,5.804199,24.313351,0.028037,-0.097083
200510,94,7,6.167773,1,16.894433,6.814270,31.127621,0.029623,-0.076949
