date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.138939,1,6.138939,6.759881,6.759881,-0.346105,0.135897
200308,88,6,6.908747,1,13.047686,18.623094,25.382975,-0.346105,0.135897
200309,94,7,4.303866,3,17.351552,4.379652,29.762626,-0.349723,0.088684
200310,97,7,6.908744,1,24.260296,18.366207,48.128833,-0.355935,0.102121
200311,98,7,6.908316,1,31.168612,14.638819,62.767653,-0.355935,0.102121
200312,96,7,6.814947,1,37.983559,9.226990,71.994643,-0.355935,0.102121
200401,106,8,6.908663,1,44.892222,16.202814,88.197457,-0.339933,0.112447
200402,101,7,6.908754,1,51.800976,20.942909,109.140366,-0.317282,0.103366
200403,106,8,6.908750,1,58.709726,19.227660,128.368026,-0.317282,0.103366
200404,107,8,6.908755,1,65.618481,31.064136,159.432162,-0.317282,0.103366
200405,108,8,6.908743,1,72.527224,18.244841,177.677004,-0.298884,0.094079
200406,106,8,6.908755,1,79.435978,30.563577,208.240580,-0.279690,0.074991
200407,110,8,6.908755,1,86.344733,34.405285,242.645865,-0.279690,0.074991
200408,108,8,6.908755,1,93.253488,28.839438,271.485303,-0.264828,0.066023
200409,111,8,6.908755,1,100.162243,32.358424,303.843726,-0.249935,0.048937
200410,108,8,6.908755,1,107.070997,30.490284,334.334010,-0.255086,0.052321
200411,109,8,6.908755,1,113.979752,24.858285,359.192295,-0.249524,0.033111
200412,116,8,6.908754,1,120.888506,21.191118,380.383413,-0.237606,0.000505
200501,115,8,6.908755,1,127.797261,32.577324,412.960737,-0.232919,-0.022282
200502,115,8,6.908755,1,134.706016,27.558539,440.519275,-0.217111,-0.055604
200503,111,8,6.907577,1,141.613593,13.651095,454.170371,-0.202628,-0.045607
200504,100,7,-4.034150,46,137.579443,-4.035131,450.135239,-0.206154,-0.065989
200505,98,7,6.878836,1,144.458279,10.402028,460.537267,-0.195078,-0.070070
200506,104,7,6.908755,1,151.367034,24.312859,484.850127,-0.189464,-0.071619
200507,105,7,6.870609,1,158.237643,10.154975,495.005102,-0.182492,-0.078138
200508,104,7,6.901006,1,165.138650,11.764134,506.769236,-0.175902,-0.095909
200509,101,7,6.908738,1,172.047387,17.893018,524.662254,-0.166178,-0.119007
200510,103,7,6.685643,1,178.733030,8.294208,532.956462,-0.145196,-0.123974
200511,101,7,-0.492199,104,178.240832,-0.492587,532.463875,-0.132181,-0.121429
200512,116,8,6.650214,1,184.891045,8.128401,540.592276,-0.123369,-0.127939
200601,116,8,6.804892,1,191.695937,9.120056,549.712332,-0.101636,-0.132649
200602,116,8,6.908715,1,198.604652,17.043206,566.755537,-0.083021,-0.140270
200603,118,8,6.885188,1,205.489840,10.643848,577.399385,-0.071216,-0.140297
200604,117,8,6.871334,1,212.361174,10.174518,587.573904,-0.048480,-0.126617
200605,120,8,6.731511,1,219.092684,8.548051,596.121955,-0.039103,-0.117593
200606,128,9,6.908755,1,226.001439,32.742945,628.864899,-0.032632,-0.119930
200607,125,9,6.908755,1,232.910194,29.827258,658.692157,-0.028865,-0.113840
200608,127,9,6.908755,1,239.818949,34.470311,693.162469,-0.027590,-0.113976
200609,130,9,6.908755,1,246.727703,31.634865,724.797333,-0.024582,-0.114243
200610,141,10,6.908755,1,253.636458,48.593938,773.391271,-0.018582,-0.118143
200611,127,9,6.906718,1,260.543176,13.103125,786.494396,-0.012431,-0.104915
200612,127,9,4.963358,2,265.506535,5.116595,791.610992,-0.010435,-0.106286
200701,123,9,5.522621,1,271.029156,5.809357,797.420349,0.000682,-0.088747
200702,118,8,6.908721,1,277.937876,17.188953,814.609302,0.006251,-0.061306
200703,109,8,6.908750,1,284.846626,19.199636,833.808938,0.017175,-0.034915
200704,118,8,6.908754,1,291.755381,21.240489,855.049427,0.026241,-0.029464
200705,113,8,6.908433,1,298.663814,14.950107,869.999534,0.029782,-0.019560
200706,105,7,4.674413,2,303.338227,4.786653,874.786187,0.041086,0.004679
200707,101,7,-17.330286,46,286.007942,-17.331285,857.454901,0.058392,0.010745
200708,95,7,-7.214163,28,278.793778,-7.215162,850.239739,0.080283,0.034234
200709,91,7,-12.126744,82,266.667034,-12.127744,838.111996,0.099503,0.027819
200710,79,6,-3.308677,55,263.358358,-3.309639,834.802356,0.115538,0.036076
200711,77,6,-7.537315,5,255.821042,-7.538314,827.264042,0.136341,0.057090
200712,73,5,-2.296380,18,253.524663,-2.297279,824.966763,0.150333,0.050821
200801,72,5,6.908754,1,260.433417,20.925675,845.892439,0.152501,0.041804
200802,72,5,0.304211,6,260.737627,0.304566,846.197005,0.152253,0.026717
200803,50,4,5.368060,2,266.105688,5.608155,851.805160,0.156270,0.023245
200804,52,4,3.219634,2,269.325322,3.243946,855.049106,0.160175,0.022184
200805,55,4,-2.072294,25,267.253028,-2.073167,852.975939,0.166384,0.015490
200806,40,3,-1.872978,79,265.380050,-1.873824,851.102115,0.167638,0.007881
200807,37,3,1.676200,36,267.056250,1.680555,852.782669,0.168840,-0.002157
200808,38,3,-1.246825,72,265.809425,-1.247537,851.535132,0.165830,-0.012798
200809,38,3,6.517258,1,272.326683,7.643408,859.178540,0.155810,-0.018607
200810,35,3,1.117920,7,273.444604,1.119981,860.298521,0.137936,-0.035865
200811,35,3,-14.256446,111,259.188158,-14.257445,846.041076,0.119565,-0.044913
200812,32,3,-11.214058,234,247.974100,-11.215057,834.826018,0.103454,-0.049380
200901,32,3,0.554909,60,248.529009,0.555651,835.381669,0.095028,-0.039546
