date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.908681,1,6.908681,16.415415,16.415415,-0.086130,-0.029168
200308,143,10,6.908755,1,13.817435,22.175962,38.591377,-0.086130,-0.029168
200309,148,10,6.908755,1,20.726190,34.443628,73.035005,-0.057863,-0.009497
200310,150,10,6.908755,1,27.634945,28.898802,101.933807,-0.061551,-0.009359
200311,152,11,6.908755,1,34.543699,24.506267,126.440075,-0.061551,-0.009359
200312,150,10,6.908755,1,41.452454,28.411339,154.851414,-0.061551,-0.009359
200401,139,10,6.908755,1,48.361209,25.336480,180.187893,-0.047112,-0.005474
200402,143,10,6.908750,1,55.269958,19.076318,199.264212,-0.039852,-0.010923
200403,139,10,6.908755,1,62.178713,23.106571,222.370783,-0.039852,-0.010923
200404,135,9,6.815311,1,68.994024,9.231059,231.601842,-0.039852,-0.010923
200405,140,10,6.908755,1,75.902778,24.308394,255.910237,-0.033486,-0.023774
200406,146,10,6.908755,1,82.811533,28.092075,284.002312,-0.031078,-0.040806
200407,152,11,6.908755,1,89.720288,30.815532,314.817844,-0.031078,-0.040806
200408,153,11,6.908755,1,96.629043,27.639939,342.457783,-0.035726,-0.040615
200409,155,11,6.904765,1,103.533808,12.429890,354.887672,-0.028612,-0.040658
200410,162,11,6.908755,1,110.442563,50.903358,405.791031,-0.036902,-0.047590
200411,167,12,6.908755,1,117.351318,29.252022,435.043053,-0.030551,-0.056543
200412,163,11,6.908755,1,124.260073,27.388360,462.431414,-0.026801,-0.061194
200501,164,11,6.908755,1,131.168827,33.538414,495.969828,-0.028782,-0.068165
200502,169,12,6.908755,1,138.077582,32.158393,528.128221,-0.033813,-0.078554
200503,172,12,6.908755,1,144.986337,32.144527,560.272747,-0.029990,-0.077862
200504,187,13,6.908755,1,151.895092,53.010367,613.283114,-0.027054,-0.073257
200505,196,14,6.908755,1,158.803846,81.228441,694.511554,-0.024634,-0.072192
200506,190,13,6.908755,1,165.712601,57.116284,751.627839,-0.019504,-0.065980
200507,190,13,6.908755,1,172.621356,68.188684,819.816523,-0.010889,-0.059547
200508,190,13,6.908755,1,179.530111,51.394580,871.211103,-0.001394,-0.060574
200509,197,14,6.908755,1,186.438866,77.355074,948.566177,0.003894,-0.047733
200510,194,13,6.908755,1,193.347620,59.723041,1008.289218,0.014721,-0.031207
200511,197,14,6.908755,1,200.256375,81.523011,1089.812229,0.023357,-0.025480
200512,165,11,6.908755,1,207.165130,24.734193,1114.546422,0.027218,-0.020178
200601,164,11,6.908755,1,214.073885,25.169653,1139.716075,0.037474,-0.014536
200602,171,12,6.908754,1,220.982639,21.662875,1161.378950,0.049043,-0.004133
200603,168,12,6.908754,1,227.891393,21.192727,1182.571677,0.055456,0.005129
200604,158,11,6.908755,1,234.800148,44.663169,1227.234846,0.060172,0.008340
200605,152,11,6.908755,1,241.708903,31.671419,1258.906264,0.065792,0.009320
200606,142,10,6.282034,1,247.990936,7.045336,1265.951600,0.074112,0.011361
200607,141,10,5.225964,2,253.216900,5.430580,1271.382181,0.077313,0.013401
200608,140,10,2.490868,9,255.707768,2.502002,1273.884182,0.083630,0.016241
200609,142,10,6.908733,1,262.616502,17.662391,1291.546573,0.089769,0.020142
200610,143,10,6.908755,1,269.525256,24.272075,1315.818648,0.100025,0.028944
