date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,143.757525,143.757525,-0.078599,-0.042307
200308,444,30,6.908755,1,13.817510,153.190088,296.947613,-0.078599,-0.042307
200309,451,31,6.908755,1,20.726264,146.472738,443.420351,-0.066615,-0.047442
200310,433,29,6.908755,1,27.635019,111.148417,554.568768,-0.057512,-0.050633
200311,437,30,6.908755,1,34.543774,161.311947,715.880715,-0.057512,-0.050633
200312,442,30,6.908755,1,41.452529,125.319617,841.200332,-0.057512,-0.050633
200401,441,30,6.908755,1,48.361283,140.319695,981.520026,-0.052335,-0.057760
200402,445,30,6.908755,1,55.270038,153.106263,1134.626289,-0.046839,-0.063073
200403,438,30,6.908755,1,62.178793,166.991665,1301.617954,-0.046839,-0.063073
200404,440,30,6.908755,1,69.087548,166.701546,1468.319500,-0.046839,-0.063073
200405,435,29,6.908755,1,75.996303,160.243623,1628.563123,-0.039036,-0.060998
200406,436,30,6.908755,1,82.905057,174.890355,1803.453479,-0.031630,-0.060621
200407,432,29,6.908755,1,89.813812,210.638700,2014.092178,-0.031630,-0.060621
200408,431,29,6.908755,1,96.722567,184.560258,2198.652437,-0.026957,-0.064609
200409,441,30,6.908755,1,103.631322,207.704547,2406.356984,-0.020716,-0.069369
200410,437,30,6.908755,1,110.540076,220.232135,2626.589119,-0.013606,-0.070853
200411,434,29,6.908755,1,117.448831,139.250183,2765.839302,-0.005443,-0.068203
200412,423,29,6.908755,1,124.357586,144.446614,2910.285916,0.001685,-0.069950
200501,425,29,6.908755,1,131.266341,160.279756,3070.565672,0.007900,-0.066498
200502,427,29,6.908755,1,138.175096,121.427174,3191.992846,0.012122,-0.067790
200503,411,28,6.908755,1,145.083850,188.142383,3380.135229,0.014711,-0.069480
200504,404,27,6.908755,1,151.992605,171.723035,3551.858264,0.019821,-0.066585
200505,402,27,6.908755,1,158.901360,165.804825,3717.663089,0.025081,-0.065859
200506,397,27,6.908755,1,165.810115,132.620170,3850.283259,0.027859,-0.065702
200507,403,27,6.908755,1,172.718869,87.445172,3937.728431,0.030494,-0.061433
200508,405,27,6.908755,1,179.627624,107.386343,4045.114775,0.034894,-0.052789
200509,404,27,6.908755,1,186.536379,54.861947,4099.976722,0.039182,-0.047999
200510,414,28,6.908755,1,193.445134,85.189177,4185.165899,0.043861,-0.041394
200511,411,28,6.908755,1,200.353889,57.911284,4243.077184,0.049485,-0.031642
200512,411,28,6.908755,1,207.262643,61.554049,4304.631233,0.050588,-0.027383
200601,413,28,6.908755,1,214.171398,51.182080,4355.813313,0.052300,-0.027143
200602,424,29,6.908755,1,221.080153,32.494996,4388.308309,0.054091,-0.021781
200603,419,28,6.908755,1,227.988908,52.940065,4441.248374,0.056083,-0.015879
200604,424,29,6.908755,1,234.897662,64.014466,4505.262840,0.056497,-0.013740
200605,416,28,6.908755,1,241.806417,54.346464,4559.609304,0.057881,-0.014593
200606,410,28,6.908755,1,248.715172,110.063885,4669.673189,0.058237,-0.014490
200607,416,28,6.908755,1,255.623927,124.702301,4794.375490,0.059416,-0.016714
200608,417,28,6.908755,1,262.532682,98.673418,4893.048908,0.059276,-0.018276
200609,416,28,6.908755,1,269.441436,127.528310,5020.577218,0.060134,-0.016903
200610,403,27,6.908755,1,276.350191,136.562233,5157.139451,0.060952,-0.015164
200611,394,27,6.908755,1,283.258946,75.694138,5232.833589,0.062762,-0.010627
200612,395,27,6.908755,1,290.167701,81.212076,5314.045664,0.065420,-0.008292
200701,400,27,6.908755,1,297.076456,132.041105,5446.086770,0.067255,-0.005458
200702,391,27,6.908755,1,303.985210,75.233474,5521.320244,0.068209,-0.004690
200703,380,26,6.908755,1,310.893965,98.575222,5619.895466,0.069981,-0.001986
200704,384,26,6.908755,1,317.802720,46.284312,5666.179779,0.072087,0.002352
200705,384,26,6.908755,1,324.711475,72.842939,5739.022717,0.071775,0.002913
200706,381,26,6.908755,1,331.620229,68.970525,5807.993242,0.073609,0.013208
200707,390,26,6.908755,1,338.528984,55.028512,5863.021754,0.074573,0.017415
200708,376,26,6.908755,1,345.437739,77.307193,5940.328947,0.074393,0.014257
200709,381,26,6.908755,1,352.346494,83.366208,6023.695155,0.074915,0.013278
200710,379,26,6.908755,1,359.255249,105.274614,6128.969770,0.074973,0.015280
200711,387,26,6.908755,1,366.164003,112.281054,6241.250824,0.074940,0.018017
200712,381,26,6.908755,1,373.072758,145.557728,6386.808552,0.075148,0.019050
200801,384,26,6.908755,1,379.981513,188.401997,6575.210549,0.076190,0.023991
200802,384,26,6.908755,1,386.890268,152.484300,6727.694848,0.077048,0.026919
200803,377,26,6.908755,1,393.799022,204.905942,6932.600791,0.076880,0.025633
200804,387,26,6.908755,1,400.707777,223.844601,7156.445392,0.076575,0.023023
200805,405,27,6.908755,1,407.616532,187.085546,7343.530937,0.076846,0.022499
200806,413,28,6.908755,1,414.525287,165.668164,7509.199101,0.076082,0.020750
200807,424,29,6.908755,1,421.434042,205.159968,7714.359069,0.075137,0.019652
200808,427,29,6.908755,1,428.342796,234.631201,7948.990270,0.074918,0.021651
200809,428,29,6.908755,1,435.251551,341.862787,8290.853057,0.071854,0.014522
200810,424,29,6.908755,1,442.160306,195.148435,8486.001492,0.067726,0.005661
200811,415,28,6.908755,1,449.069061,394.508641,8880.510133,0.063310,-0.000413
200812,422,29,6.908755,1,455.977815,355.275104,9235.785237,0.055214,-0.012828
200901,430,29,6.908755,1,462.886570,215.361127,9451.146364,0.048341,-0.019035
200902,439,30,6.908755,1,469.795325,133.263739,9584.410103,0.041222,-0.023244
200903,434,29,6.908755,1,476.704080,170.329507,9754.739609,0.033661,-0.019842
200904,441,30,6.908755,1,483.612835,106.260840,9861.000449,0.023726,-0.026733
200905,451,31,6.908755,1,490.521589,69.570027,9930.570476,0.015022,-0.028026
200906,457,31,6.908755,1,497.430344,61.315071,9991.885548,0.008712,-0.029402
200907,463,31,6.908755,1,504.339099,37.515146,10029.400694,0.003735,-0.035911
200908,460,31,6.908749,1,511.247848,18.938764,10048.339458,-0.000240,-0.036469
200909,477,32,6.908755,1,518.156602,25.655097,10073.994556,-0.002370,-0.036613
200910,488,33,6.908755,1,525.065357,31.205029,10105.199584,-0.010332,-0.041047
200911,506,34,6.908755,1,531.974112,30.576106,10135.775690,-0.027872,-0.055005
200912,515,35,6.908755,1,538.882867,38.152086,10173.927776,-0.035850,-0.053538
201001,521,35,6.908755,1,545.791622,63.508129,10237.435905,-0.043282,-0.056893
201002,522,35,6.908755,1,552.700376,68.917475,10306.353380,-0.047774,-0.057764
201003,521,35,6.908755,1,559.609131,91.443615,10397.796996,-0.047637,-0.057629
201004,523,35,6.908755,1,566.517886,117.223671,10515.020667,-0.038197,-0.045355
201005,534,36,6.908755,1,573.426641,151.405089,10666.425756,-0.031874,-0.039332
201006,531,36,6.908755,1,580.335395,200.372249,10866.798005,-0.027581,-0.035861
201007,529,36,6.908755,1,587.244150,194.366905,11061.164910,-0.028236,-0.032801
