date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.908755,1,6.908755,24.733476,24.733476,28.703048,14.950178
200308,365,25,6.908755,1,13.817509,23.442027,48.175503,28.703048,14.950178
200309,373,25,6.908755,1,20.726264,23.799813,71.975317,28.280205,16.497317
200310,367,25,6.908755,1,27.635019,33.241004,105.216320,27.790066,17.033340
200311,373,25,6.908682,1,34.543701,16.430768,121.647089,27.790066,17.033340
200312,376,26,6.908755,1,41.452455,40.106489,161.753578,27.790066,17.033340
200401,379,26,6.908755,1,48.361210,27.888896,189.642474,26.983946,15.937839
200402,375,25,6.908755,1,55.269965,61.465544,251.108018,26.244586,15.616768
200403,377,26,6.908755,1,62.178720,34.411964,285.519982,26.244586,15.616768
200404,372,25,6.908755,1,69.087475,57.179361,342.699343,26.244586,15.616768
200405,371,25,6.908755,1,75.996229,61.346240,404.045583,25.438492,15.518482
200406,372,25,6.908755,1,82.904984,40.227339,444.272921,25.284353,16.267330
200407,374,25,6.908755,1,89.813739,58.805628,503.078549,25.284353,16.267330
200408,377,26,6.908755,1,96.722494,82.477598,585.556147,24.772525,15.661455
200409,386,26,6.908755,1,103.631248,83.497597,669.053745,26.642596,17.649884
200410,383,26,6.908755,1,110.540003,65.972662,735.026407,24.633914,18.714008
200411,393,27,6.908755,1,117.448758,47.546700,782.573107,21.386114,19.065648
200412,393,27,6.908755,1,124.357513,63.958097,846.531204,15.042602,16.664375
200501,391,27,6.908755,1,131.266268,69.015404,915.546608,9.985224,12.365510
200502,388,26,6.908755,1,138.175022,39.411242,954.957850,8.053732,11.920133
200503,384,26,6.908755,1,145.083777,61.405127,1016.362978,5.539741,14.835139
200504,381,26,6.908755,1,151.992532,56.107556,1072.470534,6.230142,20.167869
200505,377,26,6.908755,1,158.901287,62.816921,1135.287455,4.749383,19.802973
200506,386,26,6.908755,1,165.810041,85.334679,1220.622133,3.041661,18.464809
200507,392,27,6.908755,1,172.718796,82.593987,1303.216121,0.677492,14.029486
200508,390,26,6.908755,1,179.627551,66.163137,1369.379258,-0.509973,11.828643
200509,398,27,6.908755,1,186.536306,111.762279,1481.141536,-0.120409,14.480632
200510,403,27,6.908755,1,193.445061,80.633799,1561.775335,-0.541411,14.308229
200511,402,27,6.908755,1,200.353815,115.267208,1677.042543,-1.284210,13.779550
200512,390,26,6.908755,1,207.262570,53.046535,1730.089078,0.209195,15.809441
200601,375,25,6.908755,1,214.171325,82.101805,1812.190883,0.314084,16.143681
200602,380,26,6.908755,1,221.080080,79.209286,1891.400169,1.155116,15.535078
200603,377,26,6.908755,1,227.988834,70.497888,1961.898057,1.149956,15.845673
200604,372,25,6.908755,1,234.897589,29.219795,1991.117852,-0.493730,9.919791
