date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,1.965597,34,1.965597,1.971755,1.971755,0.000000,0.000000
200308,23,2,-0.035461,230,1.930136,-0.035496,1.936259,0.000000,0.000000
200309,24,2,0.745580,159,2.675716,0.746688,2.682947,0.000000,0.000000
200310,24,2,-0.505908,536,2.169808,-0.506305,2.176642,0.000000,0.000000
200311,24,2,-3.849665,347,-1.679857,-3.850643,-1.674001,0.000000,0.000000
200312,24,2,-8.467476,615,-10.147333,-8.468475,-10.142476,0.000000,0.000000
200401,26,2,-3.016805,767,-13.164138,-3.017756,-13.160232,304.389576,3283.223241
200402,27,2,-0.082460,385,-13.246598,-0.082539,-13.242771,34.007180,185.576782
200403,27,2,-5.837290,714,-19.083888,-5.838287,-19.081057,34.007180,185.576782
200404,25,2,-0.243799,301,-19.327687,-0.244016,-19.325073,34.007180,185.576782
200405,29,2,-1.041878,872,-20.369565,-1.042525,-20.367598,34.491158,181.129525
200406,31,3,0.153125,243,-20.216440,0.153290,-20.214308,35.449344,102.540988
200407,32,3,-0.499779,633,-20.716219,-0.500172,-20.714480,35.449344,102.540988
200408,32,3,0.166264,223,-20.549955,0.166445,-20.548034,33.746723,85.547194
200409,31,3,0.013632,411,-20.536323,0.013645,-20.534389,39.500073,20.884040
200410,31,3,0.150637,196,-20.385686,0.150799,-20.383590,37.261629,76.737525
200411,32,3,2.811333,2,-17.574354,2.827088,-17.556501,50.621269,44.817536
200412,32,3,0.608407,122,-16.965946,0.609245,-16.947256,37.445639,72.187396
200501,34,3,-8.101006,613,-25.066952,-8.102005,-25.049261,18.588057,44.740442
200502,34,3,-0.895096,471,-25.962048,-0.895687,-25.944948,15.891401,32.714195
200503,33,3,-1.088792,591,-27.050840,-1.089456,-27.034404,20.731719,57.659257
200504,35,3,0.623685,132,-26.427156,0.624551,-26.409853,28.299560,87.815552
200505,35,3,0.943665,92,-25.483491,0.945235,-25.464618,31.666322,13.664304
200506,35,3,3.014711,5,-22.468780,3.034284,-22.430334,30.389112,-18.021466
200507,40,3,-2.237809,443,-24.706590,-2.238702,-24.669036,15.214698,-64.025502
200508,40,3,1.197739,36,-23.508851,1.200054,-23.468981,11.039866,-78.382189
200509,40,3,0.464119,142,-23.044732,0.464710,-23.004272,3.516734,-137.774957
200510,40,3,2.392197,3,-20.652535,2.402184,-20.602087,5.704914,-161.072107
