date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,2.475289,6,2.475289,2.486234,2.486234,24.506490,3.610614
200308,86,6,5.217695,2,7.692984,5.420434,7.906668,24.506490,3.610614
200309,91,7,2.093055,16,9.786040,2.100191,10.006858,23.678336,2.289468
200310,94,7,1.245463,27,11.031503,1.247941,11.254799,24.614732,2.471631
200311,95,7,2.290485,23,13.321988,2.299404,13.554204,24.614732,2.471631
200312,92,7,6.325513,1,19.647501,7.141153,20.695357,24.614732,2.471631
200401,102,7,-20.796021,981,-1.148520,-20.797020,-0.101663,25.206994,0.765470
200402,97,7,6.908663,1,5.760143,16.209288,16.107625,26.008688,1.096249
200403,101,7,3.322894,9,9.083037,3.349999,19.457623,26.008688,1.096249
200404,100,7,5.777733,2,14.860770,6.166379,25.624002,26.008688,1.096249
200405,101,7,5.343113,1,20.203883,5.576513,31.200515,26.043354,1.942109
200406,99,7,4.654540,2,24.858423,4.764423,35.964937,25.459257,1.684471
200407,104,7,6.908284,1,31.766707,14.567805,50.532742,25.459257,1.684471
200408,102,7,4.412927,5,36.179633,4.497952,55.030694,26.491529,1.971174
200409,105,7,-1.027134,16,35.152499,-1.027776,54.002918,28.760769,0.697890
200410,102,7,6.908069,1,42.060568,14.192242,68.195161,29.085504,-1.776715
200411,103,7,-2.063185,98,39.997384,-2.064057,66.131104,29.762702,-0.037842
200412,109,8,3.680048,8,43.677432,3.719463,69.850567,30.784067,1.183946
200501,109,8,-15.584359,436,28.093072,-15.585359,54.265208,31.050008,0.859779
200502,109,8,3.868644,4,31.961717,3.916656,58.181864,32.495779,0.342703
200503,106,8,2.928668,8,34.890385,2.946529,61.128393,29.210731,-0.722098
200504,95,7,4.831270,3,39.721655,4.964081,66.092474,27.101475,-0.808365
200505,92,7,2.223373,7,41.945028,2.231646,68.324121,26.334723,-1.203822
200506,99,7,1.734437,5,43.679465,1.739114,70.063234,27.113453,-3.423412
200507,101,7,0.294797,11,43.974262,0.295140,70.358374,29.628465,-5.236161
200508,100,7,6.199783,1,50.174044,6.876352,77.234726,29.583697,-3.946351
200509,97,7,-2.062344,134,48.111700,-2.063216,75.171509,29.090908,-3.764970
200510,99,7,-2.673397,88,45.438303,-2.674328,72.497181,31.694879,-0.064416
200511,98,7,1.897650,3,47.335953,1.903336,74.400517,32.327436,-0.984214
200512,113,8,5.952203,1,53.288156,6.436062,80.836579,31.787560,-1.902348
200601,112,8,6.908560,1,60.196716,15.450197,96.286776,30.416407,-1.529775
200602,112,8,3.712284,5,63.909000,3.753051,100.039827,28.536092,-1.317737
200603,114,8,1.188838,32,65.097838,1.191124,101.230951,31.129253,-1.862462
200604,111,8,-3.436949,90,61.660889,-3.437916,97.793035,33.574842,-1.849454
200605,114,8,-0.488817,27,61.172072,-0.489203,97.303831,33.490177,-0.390361
200606,121,9,4.198326,4,65.370398,4.266149,101.569981,31.135197,3.289575
200607,118,8,6.811329,1,72.181727,9.187315,110.757295,29.515381,3.178471
200608,119,8,6.907951,1,79.089678,14.033757,124.791053,28.436175,3.337522
200609,122,9,6.908721,1,85.998399,17.205514,141.996567,26.904889,1.370787
200610,133,9,6.908693,1,92.907092,16.603441,158.600007,23.127468,-0.905732
200611,119,8,6.908753,1,99.815845,20.073178,178.673185,21.827477,0.153838
200612,119,8,6.831089,1,106.646934,9.424006,188.097191,22.634903,4.252608
200701,115,8,-8.742933,39,97.904000,-8.743933,179.353258,24.736026,6.276831
200702,110,8,-1.345525,37,96.558476,-1.346264,178.006994,28.833949,9.082269
200703,101,7,3.439242,7,99.997718,3.469869,181.476864,29.901739,11.739769
200704,110,8,-4.863852,59,95.133865,-4.864844,176.612019,29.682784,13.205986
200705,105,7,-1.865479,49,93.268386,-1.866324,174.745696,27.504093,14.486663
200706,98,7,6.901807,1,100.170193,11.873557,186.619253,26.677215,14.381026
200707,94,7,-8.227382,18,91.942812,-8.228381,178.390872,26.423983,18.019509
200708,89,6,1.193398,3,93.136210,1.195699,179.586571,25.146776,20.773044
200709,85,6,6.908499,1,100.044708,15.177300,194.763871,26.169139,21.396663
200710,74,5,6.356786,1,106.401495,7.213373,201.977244,28.591090,23.048422
200711,72,5,6.905150,1,113.306644,12.531360,214.508604,30.596824,23.324446
200712,68,5,6.906178,1,120.212823,12.867784,227.376388,31.439043,23.409035
200801,67,5,5.150907,2,125.363730,5.339152,232.715540,32.823748,23.242302
200802,68,5,6.908695,1,132.272425,16.636072,249.351612,31.475154,21.330930
200803,46,4,6.907061,1,139.179486,13.287849,262.639462,29.051590,18.007746
200804,48,4,6.908685,1,146.088171,16.472269,279.111731,27.998483,17.904641
200805,51,4,6.905209,1,152.993381,12.548118,291.659848,29.412351,17.373676
200806,36,3,0.309817,84,153.303197,0.310180,291.970029,28.911389,16.073863
200807,35,3,-0.775801,317,152.527396,-0.776341,291.193688,29.037900,14.195165
200808,36,3,1.763985,36,154.291381,1.768832,292.962520,28.587945,13.483132
200809,36,3,0.186946,83,154.478327,0.187151,293.149671,25.350852,12.355681
200810,33,3,-13.495828,523,140.982499,-13.496827,279.652844,29.552279,14.882878
200811,33,3,-5.872390,653,135.110109,-5.873387,273.779457,25.861753,11.161726
200812,30,2,-23.469021,865,111.641088,-23.470020,250.309437,25.107501,9.096165
200901,30,2,-0.341902,218,111.299186,-0.342191,249.967246,22.062543,7.384008
200902,31,3,0.561240,137,111.860427,0.561994,250.529239,20.404608,6.289844
200903,31,3,-0.368289,213,111.492137,-0.368597,250.160642,20.871600,8.615264
200904,32,3,0.693902,126,112.186040,0.694904,250.855546,22.990590,10.730261
200905,31,3,-0.749616,181,111.436423,-0.750144,250.105402,32.419042,15.646347
200906,31,3,0.110643,310,111.547066,0.110760,250.216163,32.077729,14.550628
200907,32,3,1.322351,77,112.869417,1.325107,251.541269,32.344023,16.273847
200908,35,3,1.558752,44,114.428169,1.562512,253.103781,34.024749,15.000299
200909,36,3,3.543079,5,117.971248,3.577229,256.681010,37.639174,14.012308
200910,36,3,1.875222,19,119.846470,1.880760,258.561770,29.480394,9.567438
200911,39,3,1.590109,26,121.436579,1.594021,260.155791,30.989806,7.871168
200912,45,3,3.134073,8,124.570652,3.156285,263.312076,23.937373,7.411752
201001,50,4,5.317956,3,129.888608,5.544815,268.856891,13.395539,5.217743
201002,54,4,-0.761163,16,129.127446,-0.761696,268.095195,14.843592,5.060966
201003,54,4,-0.220601,32,128.906845,-0.220799,267.874397,15.840483,5.405156
201004,60,4,-1.910242,42,126.996603,-1.911094,265.963303,16.738037,5.263187
201005,60,4,-8.201756,335,118.794846,-8.202756,257.760547,12.050886,4.089230
201006,61,5,6.370549,1,125.165396,7.246127,265.006674,11.976747,5.160534
201007,62,5,5.325435,2,130.490831,5.554217,270.560891,12.792876,5.040096
201008,73,5,6.908754,1,137.399584,20.543478,291.104369,12.685069,4.299283
201009,81,6,6.908755,1,144.308339,25.588874,316.693244,13.872292,3.411572
201010,93,7,6.908755,1,151.217094,44.451994,361.145238,13.218615,4.347552
201011,96,7,6.908751,1,158.125845,19.355196,380.500433,13.466110,3.514072
201012,99,7,6.908586,1,165.034431,15.595933,396.096366,16.506278,6.277174
201101,99,7,6.908755,1,171.943186,25.724225,421.820591,35.780172,4.340996
