date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,6.908716,1,6.908716,17.056500,17.056500,33.697763,-7.579119
200308,135,9,-0.550723,14,6.357992,-0.551147,16.505354,33.697763,-7.579119
200309,139,10,6.908755,1,13.266747,27.507699,44.013053,36.186872,-4.686424
200310,141,10,6.908755,1,20.175502,33.758400,77.771453,36.237779,-5.673052
200311,144,10,2.380029,6,22.555531,2.389883,80.161336,36.237779,-5.673052
200312,144,10,6.908755,1,29.464286,33.562054,113.723390,36.237779,-5.673052
200401,133,9,6.886916,1,36.351202,10.720893,124.444283,34.145832,-8.443030
200402,136,10,6.906180,1,43.257383,12.868642,137.312925,36.834398,-6.221266
200403,132,9,4.075434,2,47.332817,4.135052,141.447977,36.834398,-6.221266
200404,128,9,-9.754014,409,37.578803,-9.755014,131.692964,36.834398,-6.221266
200405,131,9,6.908755,1,44.487557,22.505392,154.198355,37.238688,-6.833335
200406,137,10,-6.106121,109,38.381437,-6.107118,148.091237,36.514353,-9.801462
200407,143,10,6.907609,1,45.289046,13.678861,161.770098,36.514353,-9.801462
200408,144,10,6.908610,1,52.197656,15.750605,177.520704,35.311962,-11.186107
200409,146,10,-18.858315,354,33.339341,-18.859314,158.661389,35.217406,-8.222366
200410,152,11,6.908755,1,40.248096,26.617654,185.279043,33.396098,-10.131130
200411,157,11,1.942778,8,42.190874,1.948775,187.227817,28.202636,-11.548664
200412,153,11,6.908390,1,49.099265,14.824798,202.052615,26.998929,-12.443765
200501,153,11,6.908755,1,56.008020,25.254551,227.307166,23.755821,-12.262153
200502,158,11,6.907431,1,62.915451,13.534624,240.841790,20.168264,-14.146372
200503,160,11,6.907351,1,69.822802,13.475658,254.317448,20.508730,-11.285433
200504,173,12,6.908755,1,76.731557,27.866847,282.184296,24.737667,-7.586384
200505,182,13,6.908755,1,83.640312,26.680537,308.864833,20.341272,-12.172396
200506,176,12,6.901545,1,90.541857,11.836469,320.701302,19.066868,-9.789544
200507,177,12,6.908755,1,97.450611,35.906430,356.607732,18.711109,-8.538269
200508,174,12,6.908755,1,104.359366,22.960736,379.568468,19.456255,-4.406781
200509,181,13,6.908754,1,111.268120,20.831862,400.400330,18.633197,-3.420226
200510,182,13,0.382392,2,111.650512,0.382858,400.783188,21.550015,-2.294348
200511,183,13,6.908755,1,118.559267,31.680606,432.463794,23.880117,2.857163
200512,151,11,6.908755,1,125.468022,48.643843,481.107637,23.608958,4.367360
200601,150,10,6.908755,1,132.376777,23.369776,504.477414,23.404987,5.731906
200602,154,11,6.908755,1,139.285531,23.279573,527.756986,23.424939,5.851122
200603,151,11,6.908755,1,146.194286,34.013477,561.770463,20.163567,2.844070
200604,146,10,6.908755,1,153.103041,24.087502,585.857965,18.641401,5.313965
200605,140,10,6.906686,1,160.009727,13.087402,598.945367,23.675874,11.583708
200606,130,9,6.908752,1,166.918479,19.766697,618.712064,24.077312,10.038459
200607,129,9,1.787563,6,168.706042,1.792550,620.504614,26.487664,11.771508
200608,128,9,6.908315,1,175.614357,14.636576,635.141191,28.520359,9.816552
200609,130,9,6.908755,1,182.523111,23.015848,658.157038,30.787780,5.129614
200610,131,9,-2.420361,81,180.102751,-2.421271,655.735767,31.330670,8.503703
200611,144,10,6.908752,1,187.011503,19.687160,675.422927,30.252275,10.449097
200612,139,10,-3.593050,32,183.418453,-3.594022,671.828905,29.934920,11.076147
200701,144,10,6.908752,1,190.327205,19.838983,691.667888,29.347577,11.897876
200702,148,10,6.908419,1,197.235624,14.907825,706.575714,28.315863,11.383041
200703,148,10,6.901916,1,204.137541,11.889549,718.465262,32.458285,12.903926
200704,124,9,6.908748,1,211.046289,18.773465,737.238727,31.052523,12.092622
200705,122,9,6.908755,1,217.955043,29.741985,766.980713,28.199338,15.012938
200706,125,9,6.908755,1,224.863798,37.403863,804.384576,29.452596,18.711795
200707,118,8,6.908755,1,231.772553,30.697092,835.081668,26.535410,19.175796
200708,116,8,6.908755,1,238.681308,30.850358,865.932026,21.866027,14.485741
200709,120,8,6.908755,1,245.590062,25.164284,891.096310,22.918060,17.173768
200710,110,8,6.908755,1,252.498817,43.536673,934.632983,22.064640,14.150136
200711,102,7,6.908754,1,259.407572,21.923147,956.556130,21.776588,14.891880
200712,96,7,6.908755,1,266.316326,32.230199,988.786330,20.341551,12.584483
200801,93,7,6.901855,1,273.218181,11.880518,1000.666848,20.314369,11.541668
200802,93,7,6.908292,1,280.126473,14.585438,1015.252286,21.557690,10.833303
200803,113,8,6.908755,1,287.035228,52.447507,1067.699793,18.499916,4.502071
200804,112,8,3.572141,2,290.607369,3.607346,1071.307139,19.519204,6.482039
200805,104,7,6.229193,1,296.836561,6.935113,1078.242251,20.105476,5.258112
200806,103,7,4.834274,2,301.670835,4.967517,1083.209768,18.400094,-1.826545
200807,96,7,6.905458,1,308.576294,12.620981,1095.830749,18.882588,-3.351174
200808,96,7,4.604251,2,313.180545,4.708399,1100.539148,19.702447,-1.803814
200809,95,7,6.908681,1,320.089226,16.422887,1116.962035,14.306189,-3.923981
200810,96,7,-25.631276,45,294.457949,-25.632276,1091.329760,10.980536,-3.236305
200811,93,7,-15.628674,58,278.829276,-15.629673,1075.700086,9.878250,-4.923525
200812,92,7,6.908599,1,285.737875,15.676259,1091.376345,9.028422,-3.077005
200901,92,7,5.487099,2,291.224974,5.762268,1097.138613,8.902132,-1.957706
200902,94,7,3.486203,3,294.711177,3.518377,1100.656990,11.178079,2.018178
200903,98,7,6.908755,1,301.619932,24.230297,1124.887286,13.110510,5.454126
200904,110,8,6.885362,1,308.505294,10.651371,1135.538657,14.134332,6.156919
200905,107,8,4.157274,3,312.662568,4.222236,1139.760893,14.239826,7.315938
200906,110,8,2.060136,16,314.722704,2.067006,1141.827899,14.097679,8.845304
200907,113,8,5.401041,2,320.123745,5.650320,1147.478219,13.885760,9.015331
200908,110,8,6.766049,1,326.889794,8.782522,1156.260741,13.818177,9.429444
200909,118,8,6.908745,1,333.798539,18.427033,1174.687775,16.915552,12.008843
200910,117,8,6.805060,1,340.603599,9.121765,1183.809539,21.033755,15.917716
200911,118,8,5.311158,2,345.914757,5.536284,1189.345824,22.390342,14.866907
200912,112,8,5.696576,1,351.611333,6.048756,1195.394579,25.668721,9.250269
201001,114,8,1.297951,14,352.909284,1.300616,1196.695196,30.906988,6.649753
201002,117,8,6.908161,1,359.817446,14.336969,1211.032164,28.328148,4.671302
201003,125,9,6.908754,1,366.726200,21.961951,1232.994115,29.418274,4.331873
201004,123,9,6.908755,1,373.634955,27.279181,1260.273297,31.366288,4.387305
201005,127,9,6.908755,1,380.543710,26.126718,1286.400014,31.315937,4.417839
201006,130,9,4.515078,2,385.058787,4.609811,1291.009825,30.023220,4.474655
201007,135,9,6.908755,1,391.967542,40.948885,1331.958711,29.970845,3.463404
201008,134,9,6.908755,1,398.876297,42.967309,1374.926020,30.416873,3.426588
201009,143,10,6.906658,1,405.782954,13.073832,1387.999852,30.994205,2.074636
201010,142,10,6.749940,1,412.532894,8.667312,1396.667163,31.949388,1.070510
201011,150,10,6.906789,1,419.439683,13.138742,1409.805906,32.573623,1.764296
201012,155,11,6.908721,1,426.348404,17.191612,1426.997518,33.153609,4.892051
201101,155,11,6.908435,1,433.256839,14.956053,1441.953571,30.589607,6.183898
201102,166,12,6.908589,1,440.165428,15.615218,1457.568789,32.821992,7.410396
201103,175,12,6.908748,1,447.074177,18.859053,1476.427842,29.545494,8.534987
201104,184,13,6.347586,1,453.421763,7.191818,1483.619659,25.215524,10.710226
201105,183,13,6.908755,1,460.330518,23.815937,1507.435596,25.218431,11.946132
201106,189,13,6.908755,1,467.239272,36.069221,1543.504816,30.077939,12.178377
201107,210,14,6.908755,1,474.148027,23.926042,1567.430858,35.711333,15.241889
201108,209,14,6.908755,1,481.056782,94.264715,1661.695573,39.203916,17.583380
201109,212,15,6.908755,1,487.965537,43.167432,1704.863005,38.908576,21.069046
201110,209,14,6.908726,1,494.874262,17.355635,1722.218641,37.634699,26.666923
201111,214,15,6.908755,1,501.783017,49.511105,1771.729746,40.721778,26.517605
201112,216,15,-3.856491,3,497.926526,-3.857469,1767.872277,43.127808,28.923080
201201,220,15,6.908755,1,504.835281,41.217641,1809.089917,45.928107,26.444659
201202,217,15,6.810092,1,511.645373,9.174069,1818.263986,36.249349,26.590840
201203,210,14,6.908755,1,518.554128,23.947802,1842.211788,37.235513,26.137095
201204,209,14,6.908755,1,525.462883,39.309334,1881.521122,35.789419,25.178715
201205,206,14,6.908755,1,532.371638,33.283955,1914.805077,34.010252,24.993611
201206,215,15,6.908755,1,539.280392,57.543808,1972.348885,34.530715,22.526655
201207,215,15,6.908755,1,546.189147,53.883079,2026.231964,31.258329,23.078007
201208,225,15,6.908755,1,553.097902,105.011779,2131.243743,28.594458,23.915951
201209,239,16,6.908755,1,560.006657,39.283022,2170.526765,27.841989,21.486720
201210,235,16,6.908755,1,566.915412,86.485410,2257.012176,28.226202,16.141799
201211,242,17,6.908755,1,573.824166,85.937651,2342.949827,29.613767,16.673700
201212,240,16,6.908755,1,580.732921,67.469238,2410.419064,30.834935,13.657005
201301,239,16,6.908755,1,587.641676,74.660202,2485.079267,31.626532,14.602213
201302,251,17,6.908755,1,594.550431,70.217478,2555.296745,39.264843,14.357478
201303,245,17,6.908755,1,601.459185,52.071771,2607.368517,40.202996,13.415433
201304,240,16,6.908755,1,608.367940,34.641614,2642.010131,42.487412,13.077952
201305,243,17,6.908755,1,615.276695,78.770454,2720.780585,43.838892,12.933562
201306,250,17,6.908755,1,622.185450,69.647962,2790.428547,42.985415,13.928869
201307,255,17,6.908755,1,629.094205,59.883772,2850.312319,44.278700,11.895909
201308,260,18,6.908755,1,636.002959,182.818168,3033.130486,42.539305,12.076229
201309,248,17,6.908755,1,642.911714,69.111367,3102.241854,42.594309,10.364712
201310,254,17,6.908755,1,649.820469,60.781216,3163.023070,44.122150,9.742052
201311,257,18,6.908753,1,656.729222,20.171299,3183.194369,42.970307,8.717936
201312,254,17,6.908755,1,663.637977,33.711618,3216.905987,41.758722,7.631068
201401,254,17,6.908755,1,670.546732,58.142954,3275.048942,42.294743,5.496107
201402,255,17,6.908755,1,677.455486,39.824711,3314.873653,38.318941,2.804151
201403,254,17,6.908755,1,684.364241,23.412595,3338.286248,34.622427,3.496611
201404,255,17,6.908755,1,691.272996,32.809400,3371.095648,28.111655,6.160364
201405,263,18,6.908755,1,698.181751,35.096903,3406.192551,27.411078,5.070661
201406,277,19,6.908755,1,705.090505,24.909891,3431.102442,26.029959,5.474537
201407,274,19,6.908755,1,711.999260,25.194879,3456.297321,23.216375,6.032926
201408,279,19,6.908755,1,718.908015,43.089839,3499.387160,23.906246,4.952140
201409,273,19,6.908755,1,725.816770,54.529248,3553.916408,20.461018,4.551147
201410,274,19,6.908755,1,732.725524,78.008347,3631.924755,16.812747,7.898601
201411,281,19,6.908755,1,739.634279,52.941310,3684.866064,14.326613,8.126415
201412,283,19,6.908755,1,746.543034,47.915531,3732.781595,15.140449,7.355372
201501,293,20,6.908755,1,753.451789,81.047179,3813.828774,10.103196,7.096649
201502,287,20,6.908755,1,760.360544,74.039457,3887.868231,9.095218,6.608894
201503,287,20,6.908755,1,767.269298,97.035484,3984.903715,8.249001,4.411564
201504,297,20,6.908755,1,774.178053,64.602223,4049.505938,10.173846,2.171916
201505,291,20,6.908755,1,781.086808,90.462834,4139.968773,8.913672,2.807201
201506,296,20,6.908755,1,787.995563,65.919745,4205.888518,9.018044,-0.289782
201507,300,20,6.908755,1,794.904317,61.902128,4267.790646,8.079879,-1.535991
201508,306,21,6.908755,1,801.813072,90.993981,4358.784627,7.684750,-0.023472
201509,312,21,6.908755,1,808.721827,130.838986,4489.623614,10.068379,3.619012
201510,314,21,6.908755,1,815.630582,152.944163,4642.567776,11.126203,4.059590
201511,317,22,6.908755,1,822.539337,85.684508,4728.252285,16.113249,5.487331
201512,324,22,6.908755,1,829.448091,130.545263,4858.797547,18.387863,5.176845
201601,330,22,6.908755,1,836.356846,229.882217,5088.679765,23.836001,8.116659
201602,330,22,6.908755,1,843.265601,171.693344,5260.373109,27.614601,6.845000
201603,306,21,6.908755,1,850.174356,120.112083,5380.485192,30.614962,5.613168
201604,299,20,6.908755,1,857.083110,51.668545,5432.153738,32.795759,3.995183
201605,307,21,6.908755,1,863.991865,73.930053,5506.083791,32.671808,3.933530
201606,302,21,6.908755,1,870.900620,74.227359,5580.311151,32.878288,5.684329
201607,303,21,6.908755,1,877.809375,106.853292,5687.164443,33.104910,5.979663
201608,300,20,6.908755,1,884.718130,58.189745,5745.354188,32.565180,4.960063
