date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,405,27,6.908755,1,6.908755,71.143180,71.143180,61.721902,4.023459
200308,413,28,6.908755,1,13.817510,97.970483,169.113663,61.721902,4.023459
200309,417,28,6.908755,1,20.726264,82.358136,251.471798,62.337818,5.790185
200310,398,27,6.908755,1,27.635019,63.593289,315.065088,61.805675,6.602690
200311,402,27,6.908755,1,34.543774,68.424072,383.489159,61.805675,6.602690
200312,406,28,6.908755,1,41.452529,56.851861,440.341020,61.805675,6.602690
200401,405,27,6.908755,1,48.361283,49.956970,490.297990,61.658137,7.753772
200402,408,28,6.908755,1,55.270038,87.338121,577.636111,60.372592,9.114838
200403,401,27,6.908755,1,62.178793,139.941427,717.577538,60.372592,9.114838
200404,403,27,6.908755,1,69.087548,28.299268,745.876806,60.372592,9.114838
200405,402,27,6.908755,1,75.996303,62.299111,808.175917,58.708223,9.947946
200406,402,27,6.908755,1,82.905057,49.259563,857.435480,59.028097,10.734443
200407,397,27,6.908755,1,89.813812,60.741144,918.176624,59.028097,10.734443
200408,396,27,6.908755,1,96.722567,45.501412,963.678036,58.702938,11.443683
200409,403,27,6.908755,1,103.631322,71.335095,1035.013131,60.409060,16.668922
200410,399,27,6.908755,1,110.540076,70.145915,1105.159046,56.390799,19.060542
200411,397,27,6.908755,1,117.448831,70.622281,1175.781327,53.669108,22.746212
200412,386,26,6.908755,1,124.357586,31.511051,1207.292378,53.105144,27.864601
200501,387,26,6.908755,1,131.266341,44.411198,1251.703576,52.535335,34.670522
200502,387,26,6.908755,1,138.175096,49.605152,1301.308728,48.677614,36.043967
200503,370,25,6.908755,1,145.083850,86.551150,1387.859878,45.096535,37.136491
200504,359,24,6.908755,1,151.992605,109.134247,1496.994125,42.039472,36.789623
200505,354,24,6.908755,1,158.901360,58.640198,1555.634323,39.913576,35.370527
200506,345,23,6.908755,1,165.810115,55.316904,1610.951226,37.112758,36.536378
200507,348,24,6.908755,1,172.718869,57.650664,1668.601890,33.809830,35.910071
200508,350,24,6.908750,1,179.627620,19.232657,1687.834548,32.268082,34.357725
200509,347,24,6.904960,1,186.532580,12.480064,1700.314612,30.235236,31.684973
200510,349,24,6.797774,1,193.330354,9.050153,1709.364764,27.455322,25.611243
200511,342,23,6.908755,1,200.239109,40.034245,1749.399009,25.946205,21.393878
200512,345,23,3.918856,5,204.157965,3.969458,1753.368467,22.831955,20.334928
200601,347,24,6.908704,1,211.066669,16.789175,1770.157642,20.932264,17.678094
200602,349,24,6.908755,1,217.975424,41.043608,1811.201250,19.605292,15.084806
200603,351,24,6.908755,1,224.884178,45.274726,1856.475976,19.427058,15.379320
200604,354,24,6.908755,1,231.792933,34.728235,1891.204212,19.665194,13.884454
200605,345,23,6.908755,1,238.701688,32.877500,1924.081712,19.439909,14.535742
200606,338,23,6.908755,1,245.610443,46.591166,1970.672878,18.835901,12.768032
200607,343,23,6.908755,1,252.519197,46.611847,2017.284724,18.446553,11.958548
200608,343,23,6.908755,1,259.427952,34.741660,2052.026385,16.723146,12.267262
200609,340,23,6.908755,1,266.336707,38.095296,2090.121681,16.026382,13.960478
200610,328,22,6.908755,1,273.245462,101.427967,2191.549648,14.982537,10.753583
200611,313,21,6.908755,1,280.154217,26.282555,2217.832204,14.455432,8.438625
200612,309,21,6.908755,1,287.062971,27.133555,2244.965758,13.381320,7.505610
200701,313,21,6.908670,1,293.971641,16.278508,2261.244267,11.678367,7.775074
200702,315,21,4.322645,2,298.294286,4.399945,2265.644211,11.442044,9.806345
200703,307,21,6.908755,1,305.203040,39.067108,2304.711320,10.180356,8.548611
200704,312,21,6.906857,1,312.109898,13.174085,2317.885405,8.917080,9.862285
200705,311,21,6.902344,1,319.012242,11.954367,2329.839772,8.584649,11.249992
200706,307,21,6.908755,1,325.920997,33.909132,2363.748904,7.395513,11.854863
200707,318,22,6.908755,1,332.829752,26.591908,2390.340812,7.281779,12.340092
200708,301,21,6.905470,1,339.735222,12.624658,2402.965470,7.210296,11.996514
200709,305,21,6.904697,1,346.639919,12.412944,2415.378415,7.561757,12.364516
200710,304,21,6.908755,1,353.548674,31.524685,2446.903100,8.084218,14.930476
200711,312,21,6.908755,1,360.457429,31.153152,2478.056252,7.036549,12.145866
200712,304,21,6.908755,1,367.366184,27.303964,2505.360216,8.553704,14.050288
200801,308,21,6.908755,1,374.274939,61.855647,2567.215863,9.039055,13.562725
200802,308,21,6.908755,1,381.183693,87.940468,2655.156331,9.402669,13.953043
200803,304,21,6.908755,1,388.092448,118.432632,2773.588962,10.241015,14.222409
200804,317,22,6.908755,1,395.001203,58.407190,2831.996153,10.793650,12.586091
200805,326,22,6.908755,1,401.909958,64.701313,2896.697466,11.547943,14.332925
200806,331,23,6.908755,1,408.818712,99.992729,2996.690195,12.973026,16.282285
200807,343,23,6.908755,1,415.727467,63.687683,3060.377878,11.534238,14.873165
200808,347,24,6.908755,1,422.636222,135.549264,3195.927142,11.574465,15.600693
