date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,421.611801,421.611801,0.313096,-0.027644
200308,401,27,6.908755,1,13.817510,471.660014,893.271815,0.313096,-0.027644
200309,412,28,6.908755,1,20.726264,375.290316,1268.562132,0.318761,-0.028998
200310,406,28,6.908755,1,27.635019,595.867036,1864.429168,0.319725,-0.033722
200311,416,28,6.908755,1,34.543774,496.173396,2360.602563,0.319725,-0.033722
200312,421,29,6.908755,1,41.452529,672.127232,3032.729795,0.319725,-0.033722
200401,429,29,6.908755,1,48.361283,645.105853,3677.835648,0.321714,-0.041899
200402,426,29,6.908755,1,55.270038,685.870559,4363.706207,0.325769,-0.034975
200403,428,29,6.908755,1,62.178793,695.912173,5059.618380,0.325769,-0.034975
200404,423,29,6.908755,1,69.087548,872.920417,5932.538797,0.325769,-0.034975
200405,423,29,6.908755,1,75.996303,929.775051,6862.313848,0.326534,-0.034709
200406,424,29,6.908755,1,82.905057,778.094393,7640.408241,0.326923,-0.035516
200407,425,29,6.908755,1,89.813812,721.135531,8361.543772,0.326923,-0.035516
200408,428,29,6.908755,1,96.722567,572.995299,8934.539071,0.333251,-0.032614
200409,439,30,6.908755,1,103.631322,590.789197,9525.328268,0.336958,-0.030762
200410,436,30,6.908755,1,110.540076,630.282163,10155.610432,0.342740,-0.028694
200411,444,30,6.908755,1,117.448831,818.712636,10974.323068,0.346605,-0.024627
200412,445,30,6.908755,1,124.357586,915.571317,11889.894385,0.350402,-0.020199
200501,444,30,6.908755,1,131.266341,1129.027772,13018.922157,0.353532,-0.015350
200502,443,30,6.908755,1,138.175096,1462.931803,14481.853961,0.354765,-0.015427
200503,438,30,6.908755,1,145.083850,1596.085217,16077.939177,0.357610,-0.010872
200504,436,30,6.908755,1,151.992605,1675.161809,17753.100986,0.358658,-0.006688
200505,431,29,6.908755,1,158.901360,1766.251392,19519.352378,0.357530,-0.007302
200506,438,30,6.908755,1,165.810115,2083.453401,21602.805779,0.359719,-0.002048
200507,442,30,6.908755,1,172.718869,2234.474595,23837.280374,0.359255,0.002327
200508,439,30,6.908755,1,179.627624,2404.190741,26241.471115,0.354640,0.003777
200509,449,30,6.908755,1,186.536379,2502.982914,28744.454029,0.350673,0.008717
200510,455,31,6.908755,1,193.445134,2380.894803,31125.348832,0.342255,0.011022
200511,455,31,6.908755,1,200.353889,2622.434407,33747.783240,0.334924,0.014784
200512,446,30,6.908755,1,207.262643,2807.708021,36555.491261,0.325527,0.017403
200601,430,29,6.908755,1,214.171398,2488.824094,39044.315355,0.313969,0.018910
200602,434,29,6.908755,1,221.080153,2740.129733,41784.445088,0.299171,0.015165
200603,434,29,6.908755,1,227.988908,2324.804971,44109.250059,0.281457,0.014306
200604,431,29,6.908755,1,234.897662,1713.291614,45822.541674,0.264366,0.015963
200605,433,29,6.908755,1,241.806417,1676.298189,47498.839863,0.248044,0.019255
200606,421,29,6.908755,1,248.715172,1584.381046,49083.220909,0.229022,0.026859
200607,423,29,6.908755,1,255.623927,1394.209125,50477.430034,0.212202,0.033747
200608,414,28,6.908755,1,262.532682,1056.486471,51533.916504,0.194812,0.035950
200609,415,28,6.908755,1,269.441436,951.721201,52485.637705,0.178080,0.034174
200610,380,26,6.908755,1,276.350191,685.753401,53171.391106,0.163099,0.037847
200611,389,26,6.908755,1,283.258946,660.811794,53832.202900,0.149442,0.037194
200612,380,26,6.908755,1,290.167701,544.528264,54376.731164,0.137143,0.038443
200701,378,26,6.908755,1,297.076456,367.616248,54744.347412,0.124759,0.035139
