date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.908495,1,6.908495,15.163232,15.163232,0.345189,-0.020072
200308,54,4,-5.663504,68,1.244991,-5.664500,9.498732,0.345189,-0.020072
200309,53,4,2.777901,15,4.022892,2.793102,12.291834,0.352369,-0.023955
200310,62,5,4.587593,3,8.610486,4.689912,16.981745,0.354888,-0.031740
200311,62,5,-1.253573,30,7.356913,-1.254288,15.727458,0.354888,-0.031740
200312,64,5,6.800110,1,14.157023,9.072613,24.800071,0.354888,-0.031740
200401,67,5,5.376553,2,19.533576,5.618976,30.419047,0.359297,-0.031706
200402,69,5,6.863201,1,26.396777,9.973750,40.392797,0.360557,-0.027942
200403,67,5,6.874417,1,33.271194,10.262034,50.654831,0.360557,-0.027942
200404,67,5,6.907117,1,40.178310,13.321212,63.976043,0.360557,-0.027942
200405,69,5,6.908755,1,47.087065,40.112547,104.088590,0.361638,-0.018587
200406,73,5,6.908755,1,53.995820,22.819819,126.908409,0.361361,-0.030864
200407,71,5,-5.855057,15,48.140763,-5.856053,121.052356,0.361361,-0.030864
200408,69,5,6.873052,1,55.013815,10.222370,131.274726,0.365107,-0.027399
200409,72,5,6.900278,1,61.914093,11.673903,142.948629,0.368633,-0.034466
200410,71,5,6.908509,1,68.822601,15.218288,158.166917,0.373718,-0.037030
200411,72,5,6.908755,1,75.731356,30.587651,188.754568,0.377788,-0.026940
200412,72,5,6.908755,1,82.640111,54.659028,243.413596,0.383027,-0.018790
200501,72,5,6.908755,1,89.548866,81.005865,324.419460,0.384355,-0.018773
200502,87,6,6.908755,1,96.457621,125.468882,449.888342,0.381829,-0.024308
200503,88,6,6.908755,1,103.366375,124.995788,574.884130,0.381713,-0.023543
200504,89,6,6.908755,1,110.275130,196.112529,770.996660,0.379300,-0.029854
200505,90,6,6.908755,1,117.183885,183.881856,954.878516,0.371329,-0.041703
200506,93,7,6.908755,1,124.092640,248.927495,1203.806011,0.372410,-0.045424
200507,93,7,6.908755,1,131.001394,229.782474,1433.588485,0.371028,-0.025057
200508,95,7,6.908755,1,137.910149,252.713633,1686.302118,0.364709,-0.009996
200509,100,7,6.908755,1,144.818904,275.489157,1961.791275,0.361815,0.001586
200510,94,7,6.908755,1,151.727659,314.385391,2276.176666,0.352390,0.005242
200511,94,7,6.908755,1,158.636414,342.570614,2618.747280,0.342292,0.006114
200512,95,7,6.908755,1,165.545168,335.894425,2954.641705,0.329397,0.001299
