date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.904873,1,6.904873,12.457289,12.457289,-0.001615,0.102254
200308,88,6,6.908755,1,13.813628,24.583297,37.040586,-0.001615,0.102254
200309,94,7,6.302413,1,20.116041,7.089625,44.130211,-0.001999,0.089452
200310,97,7,6.908751,1,27.024793,19.469302,63.599512,-0.010647,0.091215
200311,98,7,6.908736,1,33.933529,17.799852,81.399364,-0.010647,0.091215
200312,96,7,6.905530,1,40.839059,12.643149,94.042513,-0.010647,0.091215
200401,106,8,6.907410,1,47.746469,13.518453,107.560966,0.007174,0.079557
200402,101,7,6.908752,1,54.655221,19.695743,127.256709,0.031349,0.062948
200403,106,8,6.908745,1,61.563966,18.471505,145.728214,0.031349,0.062948
200404,107,8,6.908755,1,68.472721,26.654174,172.382388,0.031349,0.062948
200405,108,8,6.908708,1,75.381429,16.872428,189.254817,0.045395,0.061142
200406,106,8,6.908755,1,82.290183,26.701725,215.956541,0.065081,0.030323
200407,110,8,6.908755,1,89.198938,27.054017,243.010559,0.065081,0.030323
200408,108,8,6.908751,1,96.107689,19.273031,262.283590,0.083696,0.003580
200409,111,8,6.908755,1,103.016443,23.036120,285.319710,0.103005,0.002084
200410,108,8,6.908620,1,109.925064,15.820175,301.139886,0.103072,-0.003940
200411,109,8,6.894365,1,116.819429,11.141792,312.281678,0.109645,-0.028287
200412,116,8,6.897690,1,123.717118,11.406190,323.687868,0.119792,-0.041893
200501,115,8,6.908712,1,130.625831,16.972362,340.660230,0.125470,-0.049252
200502,115,8,6.908749,1,137.534579,18.923861,359.584091,0.141255,-0.059377
200503,111,8,6.449973,1,143.984552,7.448790,367.032881,0.154464,-0.073363
200504,100,7,-7.001405,121,136.983148,-7.002403,360.030478,0.149612,-0.105200
200505,98,7,6.879574,1,143.862722,10.427386,370.457863,0.158222,-0.101582
200506,104,7,6.908740,1,150.771462,18.041020,388.498883,0.162511,-0.118601
200507,105,7,6.258508,1,157.029970,6.995479,395.494361,0.165438,-0.121170
200508,104,7,5.015007,2,162.044977,5.177123,400.671484,0.165344,-0.128053
200509,101,7,6.908755,1,168.953732,24.551130,425.222614,0.168112,-0.134251
200510,103,7,6.908711,1,175.862442,16.938206,442.160821,0.177518,-0.146801
200511,101,7,6.317742,1,182.180184,7.123655,449.284475,0.179834,-0.151845
200512,116,8,6.908755,1,189.088939,33.525084,482.809559,0.179015,-0.146767
200601,116,8,6.908755,1,195.997694,28.593439,511.402998,0.186483,-0.147824
200602,116,8,6.908755,1,202.906449,33.275777,544.678775,0.186655,-0.143422
200603,118,8,6.908754,1,209.815203,21.933276,566.612051,0.180868,-0.134649
200604,117,8,6.908688,1,216.723892,16.528045,583.140096,0.183531,-0.128772
200605,120,8,6.908695,1,223.632587,16.639683,599.779779,0.173646,-0.114297
200606,128,9,6.908755,1,230.541342,26.965146,626.744925,0.161254,-0.116637
200607,125,9,6.908755,1,237.450096,22.088642,648.833567,0.147184,-0.112994
200608,127,9,6.908526,1,244.358622,15.290346,664.123913,0.131259,-0.112135
200609,130,9,6.908755,1,251.267377,24.847412,688.971325,0.117156,-0.111286
200610,141,10,6.908755,1,258.176132,29.236455,718.207780,0.107298,-0.089089
200611,127,9,2.613416,3,260.789548,2.626143,720.833923,0.096638,-0.086240
200612,127,9,-2.091873,5,258.697676,-2.092749,718.741174,0.081516,-0.092125
200701,123,9,-6.729720,54,251.967956,-6.730718,712.010456,0.072949,-0.074197
200702,118,8,6.868879,1,258.836835,10.109729,722.120185,0.065070,-0.056734
200703,109,8,6.903750,1,265.740585,12.202580,734.322765,0.062646,-0.040843
200704,118,8,6.907637,1,272.648221,13.703407,748.026172,0.062318,-0.036892
200705,113,8,6.858534,1,279.506756,9.873872,757.900044,0.062258,-0.028642
200706,105,7,1.011820,5,280.518576,1.013572,758.913617,0.069890,-0.005138
200707,101,7,-14.518035,51,266.000541,-14.519035,744.394582,0.081390,0.013223
200708,95,7,-13.974942,109,252.025599,-13.975941,730.418640,0.099789,0.025957
200709,91,7,-9.899582,43,242.126016,-9.900582,720.518059,0.115494,0.033009
200710,79,6,-5.683771,94,236.442246,-5.684767,714.833292,0.126562,0.045611
200711,77,6,-11.831308,23,224.610938,-11.832307,703.000985,0.142667,0.042860
200712,73,5,-13.032014,83,211.578924,-13.033013,689.967971,0.151807,0.054832
200801,72,5,6.906436,1,218.485360,12.973413,702.941384,0.151229,0.048533
200802,72,5,-3.687483,15,214.797877,-3.688458,699.252927,0.148131,0.031730
200803,50,4,0.014982,12,214.812860,0.014997,699.267924,0.150853,0.027049
200804,52,4,-4.618329,71,210.194530,-4.619319,694.648605,0.153325,0.024420
200805,55,4,-10.661229,224,199.533302,-10.662228,683.986377,0.155881,0.016989
200806,40,3,-4.158028,110,195.375274,-4.159012,679.827365,0.155661,0.006108
200807,37,3,-4.774181,353,190.601093,-4.775172,675.052193,0.157770,-0.000643
200808,38,3,-4.535081,254,186.066012,-4.536070,670.516123,0.155171,-0.005524
200809,38,3,-6.760776,179,179.305235,-6.761775,663.754348,0.147270,-0.011178
200810,35,3,-9.872744,437,169.432491,-9.873744,653.880605,0.135733,-0.024882
200811,35,3,-12.522384,490,156.910106,-12.523384,641.357221,0.122530,-0.031255
200812,32,3,-14.031955,144,142.878152,-14.032954,627.324266,0.117286,-0.037322
200901,32,3,-2.018410,421,140.859742,-2.019277,625.304990,0.118330,-0.037368
200902,33,3,-3.046570,904,137.813172,-3.047522,622.257468,0.123597,-0.032331
200903,33,3,-2.135393,927,135.677779,-2.136274,620.121194,0.123525,-0.028665
200904,34,3,-0.572044,477,135.105735,-0.572479,619.548715,0.116419,-0.022659
200905,33,3,-0.974195,598,134.131541,-0.974817,618.573897,0.114808,-0.007137
200906,34,3,-1.836913,714,132.294628,-1.837753,616.736144,0.122160,0.000952
200907,35,3,2.409678,6,134.704305,2.419860,619.156004,0.107965,-0.012389
