date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,219.291192,219.291192,0.226536,-0.025354
200308,444,30,6.908755,1,13.817510,262.399018,481.690210,0.226536,-0.025354
200309,451,31,6.908755,1,20.726264,225.873066,707.563277,0.239375,-0.029700
200310,433,29,6.908755,1,27.635019,203.981944,911.545221,0.248145,-0.033711
200311,437,30,6.908755,1,34.543774,228.243881,1139.789102,0.248145,-0.033711
200312,442,30,6.908755,1,41.452529,229.391488,1369.180590,0.248145,-0.033711
200401,441,30,6.908755,1,48.361283,243.309383,1612.489973,0.254728,-0.038852
200402,445,30,6.908755,1,55.270038,276.547430,1889.037404,0.261437,-0.041379
200403,438,30,6.908755,1,62.178793,263.811853,2152.849257,0.261437,-0.041379
200404,440,30,6.908755,1,69.087548,308.683171,2461.532428,0.261437,-0.041379
200405,435,29,6.908755,1,75.996303,332.892862,2794.425290,0.265738,-0.043982
200406,436,30,6.908755,1,82.905057,308.508420,3102.933710,0.271652,-0.046140
200407,432,29,6.908755,1,89.813812,300.596872,3403.530582,0.271652,-0.046140
200408,431,29,6.908755,1,96.722567,253.613256,3657.143838,0.280422,-0.047685
200409,441,30,6.908755,1,103.631322,262.859072,3920.002910,0.291316,-0.048724
200410,437,30,6.908755,1,110.540076,356.412989,4276.415899,0.302763,-0.049252
200411,434,29,6.908755,1,117.448831,345.784840,4622.200739,0.311704,-0.044802
200412,423,29,6.908755,1,124.357586,503.929349,5126.130089,0.318956,-0.043014
200501,425,29,6.908755,1,131.266341,670.943123,5797.073212,0.326004,-0.039951
200502,427,29,6.908755,1,138.175096,902.553966,6699.627177,0.331042,-0.039332
200503,411,28,6.908755,1,145.083850,985.274736,7684.901914,0.334205,-0.040797
200504,404,27,6.908755,1,151.992605,1117.528905,8802.430819,0.338862,-0.040298
200505,402,27,6.908755,1,158.901360,1245.572300,10048.003118,0.342478,-0.037517
200506,397,27,6.908755,1,165.810115,1366.510515,11414.513633,0.346643,-0.036149
200507,403,27,6.908755,1,172.718869,1545.147764,12959.661398,0.348068,-0.033298
200508,405,27,6.908755,1,179.627624,1513.937693,14473.599091,0.345731,-0.028853
200509,404,27,6.908755,1,186.536379,1463.033210,15936.632300,0.342668,-0.025470
200510,414,28,6.908755,1,193.445134,1394.989858,17331.622159,0.337289,-0.021186
200511,411,28,6.908755,1,200.353889,1471.522418,18803.144577,0.333135,-0.010868
200512,411,28,6.908755,1,207.262643,1531.418387,20334.562964,0.324266,-0.007344
200601,413,28,6.908755,1,214.171398,1550.591941,21885.154904,0.312931,-0.008712
200602,424,29,6.908755,1,221.080153,1661.562400,23546.717304,0.298707,-0.008795
200603,419,28,6.908755,1,227.988908,1232.068744,24778.786048,0.284102,-0.005370
200604,424,29,6.908755,1,234.897662,1001.987576,25780.773624,0.267494,0.001326
200605,416,28,6.908755,1,241.806417,821.038193,26601.811817,0.251757,0.000501
200606,410,28,6.908755,1,248.715172,838.077563,27439.889380,0.234116,0.001395
200607,416,28,6.908755,1,255.623927,728.215288,28168.104668,0.217623,0.012494
200608,417,28,6.908755,1,262.532682,589.326331,28757.431000,0.199904,0.017334
200609,416,28,6.908755,1,269.441436,528.141608,29285.572608,0.183599,0.021774
200610,403,27,6.908755,1,276.350191,414.084119,29699.656727,0.169147,0.022181
200611,394,27,6.908755,1,283.258946,300.890474,30000.547201,0.156265,0.019605
200612,395,27,6.908755,1,290.167701,192.323277,30192.870479,0.144945,0.017385
200701,400,27,6.908755,1,297.076456,176.081865,30368.952344,0.133379,0.012403
200702,391,27,6.908755,1,303.985210,179.790071,30548.742415,0.124146,0.009124
200703,380,26,6.908755,1,310.893965,106.144308,30654.886722,0.115471,0.007843
200704,384,26,6.908755,1,317.802720,97.558107,30752.444830,0.110328,0.016528
200705,384,26,6.908755,1,324.711475,62.171611,30814.616440,0.105799,0.017375
200706,381,26,6.908755,1,331.620229,54.992403,30869.608843,0.103753,0.017638
200707,390,26,6.908755,1,338.528984,63.109209,30932.718052,0.100696,0.020038
200708,376,26,6.908755,1,345.437739,137.180230,31069.898282,0.097629,0.022237
200709,381,26,6.908755,1,352.346494,130.115134,31200.013416,0.095288,0.022495
200710,379,26,6.908755,1,359.255249,154.423274,31354.436689,0.092274,0.021340
200711,387,26,6.908755,1,366.164003,305.408169,31659.844858,0.089246,0.024473
200712,381,26,6.908755,1,373.072758,319.949031,31979.793890,0.086673,0.022384
200801,384,26,6.908755,1,379.981513,599.383812,32579.177702,0.086727,0.022555
200802,384,26,6.908755,1,386.890268,766.901898,33346.079600,0.086575,0.025485
200803,377,26,6.908755,1,393.799022,539.497543,33885.577143,0.086978,0.019633
200804,387,26,6.908755,1,400.707777,419.816432,34305.393575,0.087083,0.016343
200805,405,27,6.908755,1,407.616532,542.447710,34847.841285,0.085640,0.016251
200806,413,28,6.908755,1,414.525287,537.014684,35384.855969,0.083938,0.017639
200807,424,29,6.908755,1,421.434042,568.915165,35953.771134,0.084495,0.015525
200808,427,29,6.908755,1,428.342796,542.815100,36496.586233,0.085961,0.014477
200809,428,29,6.908755,1,435.251551,515.547599,37012.133832,0.086637,0.005778
200810,424,29,6.908755,1,442.160306,237.743461,37249.877294,0.088555,-0.002600
200811,415,28,6.908755,1,449.069061,337.608797,37587.486091,0.089754,-0.008507
200812,422,29,6.908755,1,455.977815,403.582134,37991.068225,0.092029,-0.018339
200901,430,29,6.908755,1,462.886570,351.161658,38342.229883,0.095073,-0.022973
200902,439,30,6.908755,1,469.795325,296.001722,38638.231605,0.104265,-0.023552
200903,434,29,6.908755,1,476.704080,368.096730,39006.328335,0.116271,-0.012777
200904,441,30,6.908755,1,483.612835,276.126232,39282.454567,0.124407,-0.014601
200905,451,31,6.908755,1,490.521589,256.233636,39538.688203,0.131745,-0.014948
200906,457,31,6.908755,1,497.430344,187.764101,39726.452305,0.141010,-0.019789
200907,463,31,6.908755,1,504.339099,134.369247,39860.821552,0.148980,-0.024534
200908,460,31,6.908755,1,511.247854,115.931791,39976.753343,0.158727,-0.024305
200909,477,32,6.908755,1,518.156608,123.944313,40100.697655,0.167972,-0.023096
200910,488,33,6.908755,1,525.065363,141.824750,40242.522405,0.172899,-0.029032
200911,506,34,6.908755,1,531.974118,149.396146,40391.918552,0.175940,-0.036802
200912,515,35,6.908755,1,538.882873,204.327144,40596.245695,0.182109,-0.034148
201001,521,35,6.908755,1,545.791628,263.312242,40859.557937,0.187350,-0.034729
201002,522,35,6.908755,1,552.700382,305.144804,41164.702741,0.192652,-0.028264
201003,521,35,6.908755,1,559.609137,370.953578,41535.656318,0.197560,-0.023997
201004,523,35,6.908755,1,566.517892,438.923806,41974.580125,0.207662,-0.018734
201005,534,36,6.908755,1,573.426647,479.031713,42453.611838,0.221362,-0.015379
201006,531,36,6.908755,1,580.335401,484.490809,42938.102647,0.238814,-0.010879
201007,529,36,6.908755,1,587.244156,436.814804,43374.917451,0.252377,-0.009521
201008,540,36,6.908755,1,594.152911,361.417807,43736.335258,0.263125,-0.013539
201009,548,37,6.908755,1,601.061666,401.136417,44137.471675,0.273873,-0.019474
201010,563,38,6.908755,1,607.970421,331.252274,44468.723949,0.288851,-0.017070
201011,565,38,6.908755,1,614.879175,347.766114,44816.490063,0.307137,-0.014084
201012,573,39,6.908755,1,621.787930,392.443560,45208.933623,0.320129,-0.012030
201101,568,38,6.908755,1,628.696685,402.884546,45611.818169,0.332157,-0.008839
201102,577,39,6.908755,1,635.605440,365.106888,45976.925058,0.342643,-0.004429
201103,566,38,6.908755,1,642.514194,381.147998,46358.073055,0.350864,-0.001476
201104,548,37,6.908755,1,649.422949,371.749219,46729.822274,0.356028,0.002128
201105,563,38,6.908755,1,656.331704,320.667250,47050.489524,0.357308,0.005110
201106,576,39,6.908755,1,663.240459,400.861366,47451.350891,0.352623,0.003094
