date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,304.917543,304.917543,0.769296,0.110193
200308,401,27,6.908755,1,13.817510,260.930114,565.847657,0.769296,0.110193
200309,412,28,6.908755,1,20.726264,373.766136,939.613793,0.718022,0.119170
200310,406,28,6.908755,1,27.635019,267.407539,1207.021332,0.732565,0.121903
200311,416,28,6.908755,1,34.543774,307.152147,1514.173479,0.732565,0.121903
200312,421,29,6.908755,1,41.452529,222.397276,1736.570755,0.732565,0.121903
200401,429,29,6.908755,1,48.361283,291.682354,2028.253108,0.667381,0.121168
200402,426,29,6.908755,1,55.270038,411.355184,2439.608293,0.684594,0.116801
200403,428,29,6.908755,1,62.178793,485.755683,2925.363975,0.684594,0.116801
200404,423,29,6.908755,1,69.087548,647.131165,3572.495140,0.684594,0.116801
200405,423,29,6.908755,1,75.996303,637.159415,4209.654555,0.708349,0.124662
200406,424,29,6.908755,1,82.905057,361.403173,4571.057728,0.726977,0.124592
200407,425,29,6.908755,1,89.813812,547.700190,5118.757919,0.726977,0.124592
200408,428,29,6.908755,1,96.722567,608.070247,5726.828166,0.739666,0.129198
200409,439,30,6.908755,1,103.631322,360.371450,6087.199617,0.752677,0.127820
200410,436,30,6.908755,1,110.540076,748.772382,6835.971998,0.729531,0.149815
200411,444,30,6.908755,1,117.448831,490.942913,7326.914911,0.715453,0.169049
200412,445,30,6.908755,1,124.357586,226.672223,7553.587134,0.796074,0.172621
200501,444,30,6.908755,1,131.266341,125.632873,7679.220007,0.844444,0.166765
200502,443,30,6.908755,1,138.175096,182.267905,7861.487912,0.934393,0.167692
200503,438,30,6.908755,1,145.083850,87.416315,7948.904227,0.946842,0.183439
200504,436,30,6.908755,1,151.992605,80.062175,8028.966403,1.255367,0.256834
200505,431,29,6.908755,1,158.901360,47.344831,8076.311234,1.251341,0.286041
200506,438,30,6.908755,1,165.810115,31.364497,8107.675730,1.224717,0.323040
200507,442,30,0.032307,13,165.842422,0.032340,8107.708070,1.258048,0.301028
200508,439,30,4.834411,2,170.676833,4.967674,8112.675744,1.346416,0.289167
