date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.692487,1,6.692487,8.328911,8.328911,1.220140,0.442795
200308,54,4,3.126635,6,9.819122,3.148673,11.477584,1.220140,0.442795
200309,53,4,1.157785,38,10.976907,1.159970,12.637554,1.221306,0.482623
200310,62,5,1.361001,18,12.337907,1.363905,14.001459,1.292008,0.391717
200311,62,5,5.159281,2,17.497189,5.349279,19.350739,1.292008,0.391717
200312,64,5,4.619203,4,22.116391,4.725022,24.075761,1.292008,0.391717
200401,67,5,0.350060,62,22.466452,0.350480,24.426241,1.338729,0.331324
200402,69,5,3.657563,4,26.124015,3.696062,28.122302,1.360182,0.334702
200403,67,5,-0.988935,64,25.135080,-0.989563,27.132740,1.360182,0.334702
200404,67,5,6.895653,1,32.030734,11.236238,38.368978,1.360182,0.334702
200405,69,5,6.908755,1,38.939488,23.649627,62.018604,1.367982,0.340250
200406,73,5,5.841192,1,44.780680,6.261551,68.280156,1.383008,0.364245
200407,71,5,6.908428,1,51.689108,14.932416,83.212572,1.383008,0.364245
200408,69,5,6.031920,1,57.721027,6.568942,89.781514,1.391721,0.376571
200409,72,5,6.547045,1,64.268073,7.738368,97.519882,1.414214,0.436967
200410,71,5,6.904072,1,71.172144,12.269200,109.789082,1.190433,0.484253
200411,72,5,6.841626,1,78.013770,9.575145,119.364227,1.179310,0.495379
200412,72,5,1.372399,60,79.386169,1.375348,120.739575,1.211589,0.546568
200501,72,5,0.479609,166,79.865778,0.480225,121.219800,1.260761,0.553836
200502,87,6,-1.249701,90,78.616077,-1.250414,119.969386,1.249525,0.528276
200503,88,6,1.062089,62,79.678167,1.063983,121.033369,1.128805,0.446334
200504,89,6,6.658088,1,86.336254,8.163434,129.196804,1.071813,0.412012
200505,90,6,4.633881,1,90.970135,4.741369,133.938173,1.045780,0.411175
200506,93,7,1.899045,35,92.869181,1.904741,135.842914,1.062364,0.440356
200507,93,7,-0.355837,51,92.513343,-0.356137,135.486777,1.015434,0.422912
200508,95,7,1.708440,27,94.221783,1.712970,137.199748,1.008654,0.419400
200509,100,7,2.317180,23,96.538964,2.326369,139.526117,0.972929,0.406508
200510,94,7,-1.164979,339,95.373984,-1.165667,138.360450,1.433761,0.441777
200511,94,7,2.709456,7,98.083440,2.723576,141.084026,1.466085,0.459581
200512,95,7,-18.796007,454,79.287433,-18.797006,122.287020,1.550383,0.392596
200601,100,7,6.908755,1,86.196188,23.797603,146.084623,1.519603,0.412624
200602,103,7,6.907920,1,93.104108,13.995780,160.080403,1.515362,0.438526
200603,101,7,6.908753,1,100.012861,20.087023,180.167426,1.699988,0.314700
200604,103,7,6.908382,1,106.921243,14.802857,194.970283,1.698129,0.247154
200605,101,7,-9.463128,587,97.458116,-9.464127,185.506156,1.613563,0.209469
200606,130,9,6.899996,1,104.358112,11.641067,197.147224,1.524311,0.391310
200607,127,9,6.908755,1,111.266866,37.962389,235.109612,1.508168,0.337712
200608,134,9,6.908754,1,118.175621,21.917242,257.026854,1.363071,0.154663
200609,128,9,6.908755,1,125.084376,30.593072,287.619926,1.275571,0.361034
