date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,5.914263,1,5.914263,6.375159,6.375159,2.230287,0.191445
200308,24,2,5.126181,3,11.040445,5.309351,11.684510,2.230287,0.191445
200309,26,2,-3.444814,218,7.595630,-3.445782,8.238728,2.219603,0.218712
200310,26,2,-0.141990,113,7.453640,-0.142123,8.096605,2.371067,0.376622
200311,25,2,0.940158,29,8.393798,0.941720,9.038325,2.371067,0.376622
200312,25,2,-0.787694,227,7.606104,-0.788239,8.250086,2.371067,0.376622
200401,27,2,1.368308,59,8.974412,1.371241,9.621327,2.470351,0.221577
200402,28,2,-0.131203,142,8.843209,-0.131326,9.490001,2.487804,0.035769
200403,29,2,0.212665,100,9.055875,0.212902,9.702903,2.487804,0.035769
200404,27,2,1.390508,34,10.446383,1.393530,11.096433,2.487804,0.035769
200405,31,3,-0.646405,212,9.799978,-0.646881,10.449552,2.529882,0.016298
200406,33,3,-0.798283,239,9.001695,-0.798833,9.650719,2.549595,-0.146879
200407,34,3,2.320062,11,11.321756,2.329281,11.980000,2.549595,-0.146879
200408,34,3,1.090227,62,12.411983,1.092204,13.072204,2.620119,-0.198712
200409,33,3,-0.342730,355,12.069254,-0.343020,12.729184,2.683081,-0.210374
200410,33,3,-4.259819,829,7.809435,-4.260805,8.468379,2.725016,-0.426123
200411,34,3,-0.888109,705,6.921326,-0.888697,7.579682,2.773734,-0.285344
200412,34,3,0.926481,76,7.847807,0.928008,8.507690,2.933972,-0.190500
200501,36,3,-1.030438,532,6.817369,-1.031081,7.476609,2.749395,-0.289436
200502,36,3,-0.780250,723,6.037119,-0.780791,6.695817,2.571462,-0.676785
200503,35,3,-2.134202,711,3.902917,-2.135083,4.560735,2.538686,-0.690374
200504,38,3,-28.158197,897,-24.255280,-28.159197,-23.598462,2.416674,-0.685012
200505,38,3,-4.642546,1001,-28.897826,-4.643536,-28.241998,2.338587,-0.638889
