date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-22.307495,393,-22.307495,-22.308494,-22.308494,0.722948,0.275815
200308,88,6,-12.766184,111,-35.073678,-12.767183,-35.075677,0.722948,0.275815
200309,94,7,-2.821823,149,-37.895502,-2.822763,-37.898441,0.691539,0.261254
200310,97,7,4.551941,3,-33.343561,4.650454,-33.247987,0.698648,0.246906
200311,98,7,0.180352,26,-33.163208,0.180550,-33.067437,0.698648,0.246906
200312,96,7,-1.466759,15,-34.629967,-1.467528,-34.534965,0.698648,0.246906
200401,106,8,-0.899247,10,-35.529215,-0.899840,-35.434805,0.690308,0.247317
200402,101,7,6.908752,1,-28.620463,19.540467,-15.894337,0.677222,0.216383
200403,106,8,6.788160,1,-21.832303,8.962174,-6.932163,0.677222,0.216383
200404,107,8,0.151824,9,-21.680479,0.151988,-6.780175,0.677222,0.216383
200405,108,8,-3.300312,26,-24.980790,-3.301274,-10.081449,0.684361,0.231379
200406,106,8,-22.650868,112,-47.631659,-22.651868,-32.733317,0.682401,0.222051
200407,110,8,6.908733,1,-40.722926,17.628129,-15.105188,0.682401,0.222051
200408,108,8,6.908755,1,-33.814171,43.758498,28.653310,0.693777,0.224080
200409,111,8,6.908752,1,-26.905419,19.779833,48.433143,0.694172,0.222654
200410,108,8,6.908754,1,-19.996665,21.287378,69.720521,0.674498,0.194774
200411,109,8,4.983582,4,-15.013083,5.140232,74.860753,0.669961,0.197694
200412,116,8,6.750648,1,-8.262435,8.672147,83.532899,0.691614,0.213970
200501,115,8,6.908741,1,-1.353694,18.082881,101.615781,0.647130,0.206929
200502,115,8,6.908755,1,5.555061,73.235232,174.851012,0.628675,0.166122
200503,111,8,6.908755,1,12.463816,30.993668,205.844680,0.629042,0.176928
200504,100,7,6.908720,1,19.372536,17.177744,223.022424,0.649320,0.163109
200505,98,7,6.908755,1,26.281291,60.544052,283.566476,0.617027,0.186469
200506,104,7,6.908755,1,33.190045,50.622095,334.188571,0.611295,0.181350
200507,105,7,6.908755,1,40.098800,37.784565,371.973136,0.614745,0.183392
200508,104,7,6.908755,1,47.007555,31.674512,403.647647,0.610731,0.201921
200509,101,7,6.908755,1,53.916310,24.259628,427.907275,0.638365,0.177080
200510,103,7,6.908755,1,60.825064,40.155706,468.062982,0.660411,0.180568
200511,101,7,6.908748,1,67.733812,18.738992,486.801974,0.682983,0.157567
200512,116,8,6.908755,1,74.642567,24.577620,511.379593,0.681985,0.149380
200601,116,8,6.908755,1,81.551321,24.412516,535.792109,0.726450,0.114068
200602,116,8,6.897819,1,88.449140,11.417995,547.210104,0.781682,0.070677
200603,118,8,-16.056485,88,72.392655,-16.057485,531.152619,0.795306,0.037422
200604,117,8,-3.754733,9,68.637922,-3.755709,527.396910,0.780911,0.035243
200605,120,8,-0.839469,10,67.798453,-0.840037,526.556873,0.878457,-0.009627
200606,128,9,-14.308615,41,53.489838,-14.309615,512.247259,0.887839,-0.017954
200607,125,9,6.126608,1,59.616446,6.737033,518.984292,0.900106,0.002982
