date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,137.053214,137.053214,0.723019,0.097116
200308,444,30,6.908755,1,13.817510,117.330744,254.383958,0.723019,0.097116
200309,451,31,6.908755,1,20.726264,113.346732,367.730689,0.717157,0.088632
200310,433,29,6.908755,1,27.635019,95.155375,462.886064,0.734709,0.084983
200311,437,30,6.908755,1,34.543774,138.928957,601.815021,0.734709,0.084983
200312,442,30,6.908755,1,41.452529,150.496910,752.311931,0.734709,0.084983
200401,441,30,6.908755,1,48.361283,140.260205,892.572136,0.739336,0.077743
200402,445,30,6.908755,1,55.270038,130.552956,1023.125091,0.724982,0.083019
200403,438,30,6.908755,1,62.178793,270.957083,1294.082175,0.724982,0.083019
200404,440,30,6.908755,1,69.087548,265.020131,1559.102306,0.724982,0.083019
200405,435,29,6.908755,1,75.996303,272.309242,1831.411547,0.730524,0.082127
200406,436,30,6.908755,1,82.905057,305.668243,2137.079791,0.735550,0.080158
200407,432,29,6.908755,1,89.813812,255.981144,2393.060934,0.735550,0.080158
200408,431,29,6.908755,1,96.722567,393.140409,2786.201343,0.740104,0.075576
200409,441,30,6.908755,1,103.631322,287.985386,3074.186730,0.765764,0.079080
200410,437,30,6.908755,1,110.540076,280.704470,3354.891200,0.736643,0.070839
200411,434,29,6.908755,1,117.448831,233.606063,3588.497263,0.729813,0.066342
200412,423,29,6.908755,1,124.357586,88.956339,3677.453602,0.777638,0.053303
200501,425,29,6.908755,1,131.266341,89.245432,3766.699034,0.786359,0.054042
200502,427,29,6.908755,1,138.175096,98.905363,3865.604397,0.810964,0.056531
200503,411,28,6.908755,1,145.083850,96.420151,3962.024548,0.811914,0.057791
200504,404,27,6.908755,1,151.992605,128.672641,4090.697189,0.807826,0.075869
200505,402,27,6.908755,1,158.901360,53.430597,4144.127785,0.875615,0.066650
200506,397,27,6.908755,1,165.810115,40.618148,4184.745934,0.903220,0.050479
200507,403,27,6.702510,1,172.512625,8.381555,4193.127489,0.918880,0.064735
200508,405,27,6.908755,1,179.421380,26.189002,4219.316491,0.946538,0.048504
200509,404,27,6.908755,1,186.330135,27.199465,4246.515956,0.989553,0.038055
200510,414,28,-1.228644,7,185.101490,-1.229351,4245.286604,1.039952,0.017873
200511,411,28,2.347162,2,187.448652,2.356663,4247.643267,1.082548,0.022271
200512,411,28,5.597936,2,193.046588,5.911098,4253.554365,1.094731,0.040816
200601,413,28,2.567112,5,195.613700,2.579213,4256.133578,1.094648,0.059224
