date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.908755,1,6.908755,23.845736,23.845736,0.003977,-0.015479
200308,365,25,6.908755,1,13.817510,27.015903,50.861639,0.003977,-0.015479
200309,373,25,6.908244,1,20.725753,14.486472,65.348111,0.002908,-0.021822
200310,367,25,6.908755,1,27.634508,32.027553,97.375664,0.002908,-0.021822
200311,373,25,6.908755,1,34.543263,24.177200,121.552864,0.002908,-0.021822
200312,376,26,6.908755,1,41.452018,34.604612,156.157476,0.002908,-0.021822
200401,379,26,3.326192,4,44.778210,3.353391,159.510868,0.002908,-0.021822
200402,375,25,6.908755,1,51.686965,27.629812,187.140679,0.008634,-0.010173
200403,377,26,6.908755,1,58.595719,42.913393,230.054072,0.008634,-0.010173
200404,372,25,6.039363,2,64.635082,6.581723,236.635795,0.008634,-0.010173
200405,371,25,6.908755,1,71.543837,34.030005,270.665800,0.010960,-0.006158
200406,372,25,6.908581,1,78.452418,15.565923,286.231723,0.010960,-0.006158
200407,374,25,6.908755,1,85.361173,32.541806,318.773529,0.010960,-0.006158
200408,377,26,6.908755,1,92.269928,50.483901,369.257430,0.009306,-0.003729
200409,386,26,6.908755,1,99.178682,57.648723,426.906153,0.013160,0.004811
200410,383,26,6.908755,1,106.087437,49.013011,475.919163,0.011467,0.007344
200411,393,27,6.908755,1,112.996192,56.581466,532.500629,0.012194,0.015146
200412,393,27,6.908755,1,119.904947,40.762787,573.263416,0.009380,0.015108
200501,391,27,6.908755,1,126.813702,64.746993,638.010409,0.007204,0.014731
200502,388,26,6.908755,1,133.722456,67.622650,705.633059,0.007895,0.014328
200503,384,26,6.908755,1,140.631211,55.652237,761.285296,0.003388,0.000670
200504,381,26,6.908755,1,147.539966,64.230569,825.515865,0.003012,0.003658
200505,377,26,6.908755,1,154.448721,48.432592,873.948457,0.000822,-0.002696
200506,386,26,6.908755,1,161.357475,61.053692,935.002148,0.001110,-0.004316
200507,392,27,6.908755,1,168.266230,47.228939,982.231088,0.002985,-0.000404
200508,390,26,6.908755,1,175.174985,51.123108,1033.354195,0.003116,-0.000377
200509,398,27,6.908755,1,182.083740,89.326624,1122.680819,0.001776,-0.003690
200510,403,27,6.908755,1,188.992495,115.627783,1238.308602,0.004411,0.001529
200511,402,27,6.908755,1,195.901249,102.262000,1340.570602,0.006958,0.005460
200512,390,26,6.908755,1,202.810004,69.439063,1410.009665,0.004914,-0.003671
200601,375,25,6.908755,1,209.718759,43.637842,1453.647508,0.001924,-0.008310
200602,380,26,6.908755,1,216.627514,58.427339,1512.074847,0.001225,-0.007443
200603,377,26,6.908755,1,223.536268,65.779034,1577.853881,0.002970,0.000939
200604,372,25,6.908754,1,230.445023,21.745017,1599.598898,-0.000238,-0.006096
200605,369,25,6.908755,1,237.353778,72.425420,1672.024319,-0.001745,-0.004821
200606,382,26,6.908755,1,244.262532,71.996216,1744.020535,-0.001214,-0.006799
200607,385,26,6.908755,1,251.171287,39.265793,1783.286328,-0.001919,-0.010054
200608,377,26,6.908755,1,258.080042,75.874576,1859.160904,-0.002961,-0.016954
200609,373,25,6.908755,1,264.988797,67.664165,1926.825069,-0.003218,-0.029724
200610,336,23,6.908755,1,271.897552,43.881543,1970.706612,-0.002490,-0.028035
200611,345,23,6.908755,1,278.806306,37.605039,2008.311650,-0.002050,-0.027886
200612,337,23,6.908666,1,285.714972,16.233953,2024.545604,-0.002826,-0.029683
200701,333,23,6.908755,1,292.623727,25.729788,2050.275391,-0.002175,-0.025786
200702,310,21,4.413064,3,297.036791,4.498101,2054.773493,-0.001169,-0.018930
200703,308,21,6.907498,1,303.944289,13.586239,2068.359732,-0.001552,-0.016098
200704,320,22,6.908733,1,310.853022,17.661128,2086.020860,-0.001723,-0.015677
200705,322,22,6.908747,1,317.761769,18.624387,2104.645248,-0.002165,-0.020145
200706,321,22,6.908755,1,324.670524,22.935047,2127.580295,-0.002105,-0.020031
200707,317,22,6.908384,1,331.578907,14.806525,2142.386820,-0.003117,-0.021731
200708,313,21,6.908755,1,338.487662,50.071632,2192.458452,-0.005005,-0.029175
200709,317,22,6.908755,1,345.396417,67.639483,2260.097935,-0.005855,-0.032356
200710,339,23,6.908755,1,352.305172,109.310346,2369.408281,-0.005730,-0.030253
200711,333,23,6.908755,1,359.213926,140.530405,2509.938686,-0.004822,-0.022240
200712,349,24,6.908755,1,366.122681,120.042498,2629.981183,-0.004518,-0.018627
200801,348,24,6.908755,1,373.031436,209.529490,2839.510674,-0.004704,-0.012693
200802,352,24,6.908755,1,379.940191,210.827462,3050.338136,-0.003446,-0.009951
200803,356,24,6.908755,1,386.848946,486.762377,3537.100514,-0.004126,-0.012429
200804,360,24,6.908755,1,393.757700,358.467014,3895.567528,-0.004518,-0.010687
200805,371,25,6.908755,1,400.666455,369.794088,4265.361616,-0.005865,-0.011601
200806,393,27,6.908755,1,407.575210,510.002536,4775.364152,-0.003807,-0.003980
200807,403,27,6.908755,1,414.483965,748.563507,5523.927658,-0.002306,-0.004364
200808,401,27,6.908755,1,421.392719,691.508269,6215.435927,-0.002263,-0.001684
200809,391,27,6.908755,1,428.301474,681.846013,6897.281940,-0.000446,0.002214
200810,391,27,6.908755,1,435.210229,374.929279,7272.211218,0.002021,0.001473
200811,399,27,6.908755,1,442.118984,605.657380,7877.868599,0.003698,0.003263
200812,463,31,6.908755,1,449.027739,532.792544,8410.661143,0.001920,-0.003476
200901,442,30,6.908755,1,455.936493,646.702113,9057.363256,0.002920,0.004560
200902,448,30,6.908755,1,462.845248,787.353122,9844.716378,0.006401,0.013691
200903,456,31,6.908755,1,469.754003,672.308500,10517.024878,0.013458,0.017772
200904,454,31,6.908755,1,476.662758,480.847247,10997.872125,0.014721,0.014026
200905,463,31,6.908755,1,483.571512,187.989198,11185.861323,0.017651,0.012386
200906,483,33,6.908755,1,490.480267,170.772166,11356.633489,0.026059,0.015003
200907,496,34,6.908755,1,497.389022,114.805367,11471.438856,0.030378,0.015839
200908,507,34,6.908755,1,504.297777,105.273293,11576.712149,0.031332,0.012765
200909,516,35,6.908755,1,511.206532,65.564074,11642.276223,0.033899,0.011869
200910,514,35,6.908755,1,518.115286,25.325997,11667.602220,0.049616,0.024355
200911,510,34,6.908755,1,525.024041,101.339783,11768.942002,0.032962,0.005331
200912,527,36,6.908755,1,531.932796,34.763071,11803.705074,0.034185,0.007147
201001,530,36,6.908755,1,538.841551,45.254468,11848.959541,0.038537,0.008199
201002,538,36,6.908755,1,545.750305,73.714917,11922.674459,0.042188,0.007653
201003,533,36,6.908755,1,552.659060,71.275814,11993.950273,0.044457,0.007360
201004,540,36,6.908755,1,559.567815,79.010682,12072.960955,0.049380,0.009264
