date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,6.381218,1,6.381218,7.271955,7.271955,0.041579,-0.041485
200308,52,4,-9.597614,46,-3.216396,-9.598614,-2.326659,0.041579,-0.041485
200309,51,4,-0.506271,151,-3.722667,-0.506668,-2.833327,0.039900,-0.054121
200310,59,4,3.719579,4,-0.003088,3.760659,0.927332,0.039900,-0.054121
200311,59,4,1.909616,19,1.906528,1.915383,2.842714,0.039900,-0.054121
200312,61,5,3.700340,6,5.606868,3.740601,6.583315,0.039900,-0.054121
200401,64,5,5.054656,2,10.661524,5.223963,11.807278,0.039900,-0.054121
200402,66,5,-1.323238,145,9.338286,-1.323971,10.483307,0.039476,-0.042868
200403,65,5,3.515370,5,12.853655,3.548542,14.031849,0.039476,-0.042868
200404,65,5,0.461333,40,13.314989,0.461920,14.493769,0.039476,-0.042868
200405,65,5,-8.989354,391,4.325634,-8.990354,5.503415,0.040229,-0.044265
200406,69,5,2.928441,10,7.254075,2.946298,8.449713,0.040229,-0.044265
200407,66,5,4.808129,1,12.062204,4.937671,13.387384,0.040229,-0.044265
200408,64,5,3.712811,5,15.775016,3.753601,17.140985,0.037109,-0.054331
200409,67,5,-1.299636,115,14.475379,-1.300363,15.840621,0.036035,-0.030980
200410,66,5,2.143502,23,16.618882,2.151060,17.991681,0.023186,-0.003607
200411,67,5,4.406031,1,21.024912,4.490438,22.482120,0.023615,0.028466
200412,67,5,2.835395,10,23.860307,2.851562,25.333682,0.024485,0.033613
200501,67,5,1.834355,26,25.694662,1.839630,27.173312,0.022194,0.050629
200502,82,6,5.172162,1,30.866824,5.364892,32.538204,0.033025,0.067625
200503,83,6,2.636477,18,33.503301,2.649526,35.187729,0.038141,0.051955
200504,84,6,5.407378,2,38.910679,5.658466,40.846195,0.040288,0.051046
200505,85,6,6.896352,1,45.807031,11.291415,52.137610,0.035597,0.053820
200506,88,6,4.024876,5,49.831908,4.081418,56.219029,0.031953,0.053271
200507,88,6,-4.050254,202,45.781654,-4.051236,52.167793,0.030926,0.038436
200508,90,6,2.951659,10,48.733313,2.969963,55.137756,0.027996,0.044594
200509,95,7,-1.735358,145,46.997955,-1.736181,53.401575,0.025314,0.037582
200510,89,6,1.188156,34,48.186111,1.190440,54.592015,0.024428,0.040493
200511,89,6,-0.163977,58,48.022134,-0.164128,54.427886,0.014804,0.042142
200512,90,6,-9.529983,70,38.492150,-9.530983,44.896903,0.017067,0.036786
200601,94,7,1.159845,37,39.651995,1.162037,46.058940,0.017801,0.043339
200602,97,7,-7.514410,561,32.137585,-7.515409,38.543531,0.015441,0.028235
200603,95,7,-1.474355,110,30.663231,-1.475125,37.068406,0.014682,0.026096
200604,97,7,-0.667021,162,29.996210,-0.667507,36.400898,0.014947,0.027609
200605,95,7,1.999432,12,31.995642,2.005837,38.406735,0.020040,0.029485
200606,98,7,-22.936397,811,9.059245,-22.937396,15.469339,0.021270,0.030885
200607,94,7,-8.308083,458,0.751162,-8.309082,7.160257,0.022372,0.026551
200608,100,7,5.483504,1,6.234666,5.757531,12.917788,0.022667,0.035580
200609,106,8,0.797965,33,7.032630,0.799186,13.716974,0.023239,0.024673
200610,142,6,-75.345016,76,-68.312386,-75.346016,-61.629042,0.023436,0.024697
200611,142,10,6.750281,1,-61.562104,8.669641,-52.959401,0.022525,0.030653
200612,137,10,-16.940425,211,-78.502530,-16.941425,-69.900825,0.021190,0.029648
200701,136,10,-3.788053,93,-82.290583,-3.789030,-73.689856,0.017645,0.014958
200702,160,11,3.758316,3,-78.532267,3.801094,-69.888762,0.017111,0.029738
200703,160,11,6.071500,1,-72.460767,6.637715,-63.251047,0.016262,0.031019
200704,161,11,-4.269369,20,-76.730137,-4.270355,-67.521401,0.013241,0.048544
200705,164,11,4.849248,2,-71.880888,4.984661,-62.536741,0.012613,0.040418
200706,162,11,6.908274,1,-64.972614,14.548015,-47.988726,0.010184,0.015553
200707,161,11,6.835570,1,-58.137044,9.485714,-38.503011,0.010855,0.023952
200708,161,11,-17.795754,735,-75.932797,-17.796753,-56.299764,0.009407,0.007058
200709,167,12,-39.995495,726,-115.928292,-39.996495,-96.296259,0.010212,0.017678
200710,154,11,5.512416,2,-110.415877,5.795772,-90.500487,0.006750,-0.011637
