date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,2.659760,19,2.659760,2.673142,2.673142,0.000000,0.000000
200308,23,2,-0.286369,246,2.373391,-0.286618,2.386524,0.000000,0.000000
200309,24,2,-0.194563,587,2.178828,-0.194740,2.191784,0.000000,0.000000
200310,24,2,0.123009,291,2.301837,0.123140,2.314924,0.000000,0.000000
200311,24,2,-0.036531,392,2.265306,-0.036567,2.278357,0.000000,0.000000
200312,24,2,0.802914,41,3.068220,0.804147,3.082504,0.000000,0.000000
200401,26,2,-0.310102,560,2.758118,-0.310368,2.772136,0.000000,0.000000
200402,27,2,0.219675,198,2.977793,0.219920,2.992056,0.000000,0.000000
200403,27,2,0.855817,144,3.833610,0.857171,3.849228,0.000000,0.000000
200404,25,2,0.312134,178,4.145745,0.312501,4.161728,0.000000,0.000000
200405,29,2,-0.497817,325,3.647928,-0.498209,3.663519,0.000000,0.000000
200406,31,3,0.460398,176,4.108326,0.460983,4.124502,0.000000,0.000000
200407,32,3,-1.353476,448,2.754849,-1.354218,2.770284,0.000000,0.000000
200408,32,3,-0.272447,383,2.482403,-0.272685,2.497599,0.000000,0.000000
200409,31,3,-0.352032,486,2.130370,-0.352329,2.145270,0.000000,0.000000
200410,31,3,0.212172,105,2.342542,0.212408,2.357678,0.186166,1.643095
200411,32,3,0.314631,205,2.657173,0.315001,2.672679,0.154449,0.754703
200412,32,3,0.237578,231,2.894750,0.237846,2.910525,0.134040,0.788915
200501,34,3,-1.429468,633,1.465283,-1.430228,1.480297,0.131081,0.588377
200502,34,3,1.251038,54,2.716321,1.253535,2.733832,0.108184,0.628075
200503,33,3,-1.575800,709,1.140521,-1.576593,1.157239,0.116326,0.898596
200504,35,3,-3.002589,169,-1.862068,-3.003539,-1.846300,0.108994,0.595187
200505,35,3,1.029602,83,-0.832466,1.031404,-0.814896,0.127725,0.542182
200506,35,3,0.109973,188,-0.722493,0.110089,-0.704807,0.171812,0.198970
200507,40,3,-1.401310,374,-2.123803,-1.402063,-2.106870,0.206804,0.235792
200508,40,3,-3.226246,486,-5.350049,-3.227205,-5.334076,0.225378,0.124305
200509,40,3,0.463907,183,-4.886141,0.464498,-4.869578,0.231510,0.132071
200510,40,3,-0.349260,494,-5.235402,-0.349555,-5.219133,0.264286,0.054858
200511,42,3,1.257424,56,-3.977977,1.259944,-3.959189,0.226994,0.229261
200512,42,3,1.081586,46,-2.896391,1.083537,-2.875652,0.171543,0.605197
200601,43,3,0.042363,304,-2.854029,0.042406,-2.833246,0.126880,0.560752
200602,44,3,-3.652577,197,-6.506606,-3.653551,-6.486796,0.100440,0.196467
200603,42,3,1.099534,83,-5.407072,1.101539,-5.385258,0.073186,0.236615
200604,42,3,-1.605119,721,-7.012190,-1.605918,-6.991175,0.042484,0.316812
200605,43,3,-2.083537,384,-9.095728,-2.084413,-9.075588,0.036006,0.183597
200606,42,3,-0.719485,250,-9.815213,-0.719998,-9.795586,0.030919,0.066793
200607,43,3,-0.971860,446,-10.787072,-0.972481,-10.768067,0.032637,0.066095
200608,43,3,0.278351,234,-10.508722,0.278672,-10.489395,0.036184,0.097002
200609,43,3,-0.172624,278,-10.681345,-0.172782,-10.662177,0.053709,-0.039584
200610,43,3,1.865386,23,-8.815960,1.870859,-8.791318,0.061029,-0.017161
200611,44,3,4.402693,2,-4.413266,4.486804,-4.304514,0.087932,0.228950
200612,45,3,-3.148694,480,-7.561960,-3.149650,-7.454164,0.101788,0.260298
200701,44,3,1.527557,39,-6.034403,1.531170,-5.922994,0.115842,0.166248
200702,43,3,-3.400702,427,-9.435105,-3.401668,-9.324662,0.143583,0.305140
200703,43,3,-0.778185,181,-10.213290,-0.778725,-10.103387,0.162493,0.394646
200704,44,3,-0.635736,262,-10.849026,-0.636206,-10.739594,0.165667,0.363089
200705,45,3,2.507082,14,-8.341944,2.518415,-8.221179,0.144044,0.446218
200706,44,3,-4.691768,97,-13.033711,-4.692758,-12.913937,0.129014,0.415692
200707,45,3,-3.242166,515,-16.275878,-3.243127,-16.157063,0.118281,0.520701
200708,45,3,-11.407390,437,-27.683267,-11.408389,-27.565453,0.117441,0.473930
200709,48,4,0.482494,28,-27.200774,0.483114,-27.082339,0.128055,0.207861
200710,49,4,6.314063,1,-20.886711,7.115428,-19.966910,0.131993,0.296243
200711,51,4,-9.666400,403,-30.553111,-9.667399,-29.634310,0.108894,0.365116
200712,50,4,-0.912110,209,-31.465221,-0.912709,-30.547018,0.102661,0.474904
200801,50,4,-2.138192,65,-33.603413,-2.139074,-32.686092,0.110819,0.687669
200802,51,4,3.444805,2,-30.158608,3.475612,-29.210480,0.107061,0.826300
200803,52,4,6.908755,1,-23.249853,35.190608,5.980128,0.097490,0.858160
200804,51,4,6.908755,1,-16.341098,22.725901,28.706029,0.089113,0.864627
200805,51,4,6.908753,1,-9.432345,20.254586,48.960615,0.088167,0.868833
200806,52,4,6.908755,1,-2.523591,22.317051,71.277665,0.107473,0.750948
200807,52,4,-2.552419,4,-5.076009,-2.553340,68.724325,0.083474,0.332908
200808,54,4,-12.659194,19,-17.735203,-12.660194,56.064131,0.067622,0.227648
200809,54,4,-24.349347,26,-42.084551,-24.350347,31.713785,0.062289,0.210999
200810,52,4,6.908755,1,-35.175796,77.660998,109.374783,0.057888,0.158732
200811,52,4,6.908755,1,-28.267041,91.593756,200.968539,0.050910,0.136980
200812,52,4,6.908755,1,-21.358286,65.832615,266.801154,0.016480,0.292670
200901,55,4,6.908755,1,-14.449532,62.342636,329.143790,0.075384,0.282448
200902,56,4,6.908755,1,-7.540777,114.199484,443.343274,0.068903,0.412523
200903,17,2,-5.655231,705,-13.196008,-5.656227,437.687047,0.060214,0.651843
200904,20,2,1.212656,29,-11.983352,1.215021,438.902068,0.084302,0.389429
200905,19,2,0.033290,303,-11.950062,0.033324,438.935391,0.068902,0.226052
200906,19,2,-0.280465,526,-12.230527,-0.280709,438.654682,0.101700,0.182088
200907,22,2,-0.158133,518,-12.388659,-0.158279,438.496404,0.106598,0.108601
200908,22,2,-0.178730,507,-12.567389,-0.178893,438.317510,0.142937,0.151331
200909,22,2,0.295704,181,-12.271685,0.296048,438.613559,0.209529,0.062894
200910,17,2,3.178570,1,-9.093115,3.201851,441.815410,0.226586,0.001082
200911,18,2,2.670423,4,-6.422692,2.683960,444.499370,0.287198,0.065804
200912,18,2,-2.041366,708,-8.464059,-2.042236,442.457134,0.298513,0.042228
201001,17,2,1.108737,29,-7.355321,1.110770,443.567904,0.314833,0.094893
201002,9,2,-0.392558,803,-7.747879,-0.392882,443.175021,0.310424,0.131460
201003,9,2,-0.079006,548,-7.826884,-0.079082,443.095940,0.276585,0.333522
201004,9,2,-1.405424,468,-9.232309,-1.406179,441.689761,0.508575,-0.201439
201005,9,2,-0.024607,398,-9.256916,-0.024632,441.665130,0.631213,-0.275785
201006,9,2,-0.269240,862,-9.526156,-0.269476,441.395654,0.640964,-0.153187
201007,9,2,-0.185327,710,-9.711483,-0.185496,441.210158,0.558369,-0.132856
201008,9,2,-0.415146,788,-10.126629,-0.415486,440.794672,0.544699,-0.067782
201009,10,2,-0.624046,687,-10.750674,-0.624510,440.170162,0.539372,0.013579
201010,10,2,-0.031652,457,-10.782326,-0.031683,440.138479,0.356546,-0.063073
201011,11,2,-0.076380,550,-10.858706,-0.076453,440.062026,0.324118,-0.046424
201012,11,2,-0.038649,452,-10.897355,-0.038687,440.023339,0.295588,-0.034999
201101,11,2,0.076671,277,-10.820684,0.076750,440.100090,0.284810,-0.058367
201102,11,2,-0.018445,535,-10.839129,-0.018463,440.081626,0.251813,-0.042569
201103,12,2,-0.111755,450,-10.950885,-0.111861,439.969765,0.130578,0.008012
201104,12,2,0.196090,282,-10.754794,0.196307,440.166072,0.110353,0.069991
201105,12,2,-0.944961,485,-11.699755,-0.945572,439.220500,0.010114,-0.052639
201106,12,2,-0.666151,431,-12.365906,-0.666637,438.553863,-0.000517,0.073949
201107,12,2,0.007646,317,-12.358260,0.007654,438.561517,0.006097,0.059479
201108,12,2,0.035453,361,-12.322807,0.035489,438.597006,0.012776,0.031424
201109,12,2,0.472714,221,-11.850093,0.473319,439.070324,0.027566,0.050908
201110,12,2,0.285828,202,-11.564265,0.286159,439.356483,0.036331,-0.027957
201111,12,2,-0.005736,417,-11.570001,-0.005742,439.350742,0.055452,-0.087328
201112,12,2,0.186989,252,-11.383012,0.187195,439.537936,0.073962,-0.311642
201201,12,2,-0.029919,464,-11.412930,-0.029948,439.507988,0.069951,-0.395479
201202,12,2,0.123173,314,-11.289757,0.123304,439.631292,0.031529,0.159660
201203,12,2,0.523632,51,-10.766126,0.524320,440.155613,0.554234,1.309002
201204,12,2,0.188457,60,-10.577668,0.188665,440.344277,0.533687,0.514251
201205,12,2,0.196077,83,-10.381591,0.196293,440.540571,0.553878,0.102167
201206,12,2,0.443519,171,-9.938072,0.444077,440.984648,0.320405,-0.040175
201207,12,2,-18.983495,831,-28.921567,-18.984495,422.000153,0.033071,0.844517
201208,11,2,0.080079,289,-28.841489,0.080162,422.080316,-0.211352,1.000822
201209,11,2,-0.220391,473,-29.061880,-0.220589,421.859727,-0.508436,-0.492494
201210,11,2,-0.898230,487,-29.960110,-0.898822,420.960904,-0.683082,-1.868629
201211,11,2,0.062796,247,-29.897313,0.062861,421.023766,-0.681754,-1.615659
201212,13,2,-0.002196,446,-29.899509,-0.002198,421.021567,-0.777945,-1.302847
201301,13,2,-0.073219,601,-29.972728,-0.073289,420.948278,-0.698290,-1.334303
201302,13,2,-0.087986,499,-30.060714,-0.088071,420.860208,-0.704035,0.182483
201303,13,2,-0.062704,483,-30.123418,-0.062765,420.797443,-0.684137,0.726158
201304,13,2,-0.232531,440,-30.355949,-0.232738,420.564705,-0.738339,2.084386
201305,12,2,0.204754,306,-30.151194,0.204982,420.769686,-0.715347,1.371533
201306,13,2,0.377468,319,-29.773726,0.377927,421.147613,-0.681873,0.350032
201307,13,2,0.010275,442,-29.763451,0.010286,421.157899,-0.549370,-0.563998
201308,13,2,2.497764,34,-27.265686,2.508982,423.666881,-0.628274,-0.568401
201309,13,2,-0.167880,424,-27.433566,-0.168034,423.498847,-0.623139,-0.144244
