date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,6.840893,1,6.840893,9.563914,9.563914,0.000765,-0.001538
200308,86,6,6.752706,1,13.593599,8.686301,18.250215,0.000765,-0.001538
200309,91,7,6.908753,1,20.502351,19.920808,38.171022,0.000441,-0.001677
200310,94,7,3.331013,5,23.833364,3.358350,41.529372,0.000441,-0.001677
200311,95,7,1.270434,22,25.103799,1.273000,42.802372,0.000441,-0.001677
200312,92,7,-1.434761,85,23.669038,-1.435523,41.366850,0.000441,-0.001677
200401,102,7,-2.981915,271,20.687122,-2.982864,38.383985,0.000441,-0.001677
200402,97,7,5.101917,3,25.789039,5.280251,43.664236,0.000517,-0.001826
200403,100,7,6.907526,1,32.696565,13.608961,57.273197,0.000517,-0.001826
200404,99,7,-2.341774,2,30.354791,-2.342678,54.930519,0.000517,-0.001826
200405,101,7,6.825987,1,37.180778,9.357798,64.288317,0.000550,-0.001868
200406,99,7,6.075259,1,43.256037,6.644354,70.932671,0.000550,-0.001868
200407,104,7,6.908753,1,50.164790,20.066161,90.998832,0.000550,-0.001868
200408,102,7,2.988339,6,53.153129,3.007371,94.006203,0.000575,-0.001953
200409,105,7,-1.473864,19,51.679264,-1.474635,92.531568,0.000675,-0.002651
200410,102,7,-3.625886,105,48.053378,-3.626859,88.904709,0.000774,-0.001956
200411,103,7,-2.477257,87,45.576122,-2.478172,86.426537,0.002091,-0.000695
200412,110,8,-7.242579,79,38.333543,-7.243578,79.182959,0.039190,0.020596
200501,109,8,5.704844,1,44.038386,6.060546,85.243505,0.040348,0.018652
200502,109,8,5.067009,3,49.105395,5.238626,90.482131,0.046049,0.022338
200503,106,8,2.291199,19,51.396594,2.300126,92.782257,0.043985,0.021440
200504,95,7,4.671337,4,56.067932,4.783208,97.565465,0.036290,0.019571
200505,92,7,-1.002550,57,55.065382,-1.003182,96.562283,0.037519,0.023460
200506,99,7,2.296325,5,57.361707,2.305303,98.867586,0.031009,0.016252
200507,101,7,4.648438,3,62.010145,4.757608,103.625193,0.024373,0.021259
200508,100,7,3.667069,4,65.677214,3.705952,107.331146,0.012298,0.014924
200509,97,7,1.987612,20,67.664825,1.993930,109.325075,0.003651,0.011529
200510,99,7,3.759535,5,71.424361,3.802368,113.127443,-0.002792,0.006751
200511,98,7,6.908410,1,78.332771,14.881171,128.008614,-0.007462,-0.000899
200512,113,8,6.908755,1,85.241526,36.565300,164.573914,-0.008456,-0.005881
200601,112,8,6.908755,1,92.150280,23.428671,188.002585,-0.001570,-0.005696
200602,112,8,6.908755,1,99.059035,26.648743,214.651328,0.007739,-0.006770
200603,114,8,1.763519,5,100.822554,1.768364,216.419692,-0.000234,0.001239
200604,111,8,2.913863,6,103.736417,2.931444,219.351136,-0.000024,0.001756
200605,114,8,6.198584,1,109.935000,6.873993,226.225129,0.000247,0.002100
200606,121,9,-0.041920,8,109.893080,-0.041961,226.183167,0.000350,0.002374
200607,118,8,6.908754,1,116.801834,21.112000,247.295168,0.000421,0.002610
200608,119,8,6.908694,1,123.710528,16.618136,263.913304,0.000520,0.002851
200609,122,9,6.908394,1,130.618922,14.833959,278.747263,0.001052,0.003520
200610,133,9,6.908755,1,137.527677,23.400478,302.147741,0.001306,0.004193
200611,119,8,-0.362734,2,137.164942,-0.363038,301.784703,0.000987,0.003945
200612,119,8,-0.128084,11,137.036859,-0.128204,301.656499,0.000806,0.003505
