date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,410,28,6.908755,1,6.908755,140.430998,140.430998,0.183284,0.001257
200308,413,28,6.908755,1,13.817510,138.163859,278.594857,0.183284,0.001257
200309,418,28,6.908755,1,20.726264,178.495105,457.089962,0.226505,0.020924
200310,398,27,6.908755,1,27.635019,163.534583,620.624545,0.226505,0.020924
200311,402,27,6.908755,1,34.543774,220.956707,841.581252,0.226505,0.020924
200312,406,28,6.908755,1,41.452529,223.371861,1064.953114,0.226505,0.020924
200401,405,27,6.908755,1,48.361283,211.381962,1276.335076,0.226505,0.020924
200402,408,28,6.908755,1,55.270038,132.289027,1408.624103,0.183265,0.021988
200403,401,27,6.908755,1,62.178793,124.980591,1533.604694,0.183265,0.021988
200404,403,27,6.908755,1,69.087548,181.382111,1714.986805,0.183265,0.021988
200405,402,27,6.908755,1,75.996303,232.332659,1947.319463,0.173931,0.016849
200406,402,27,6.908755,1,82.905057,177.460504,2124.779967,0.173931,0.016849
200407,397,27,6.908755,1,89.813812,178.603636,2303.383603,0.173931,0.016849
200408,396,27,6.908755,1,96.722567,204.645420,2508.029023,0.157872,0.010019
200409,403,27,6.908755,1,103.631322,185.580023,2693.609046,0.146446,-0.006739
200410,399,27,6.908755,1,110.540076,148.724220,2842.333266,0.146844,0.007384
200411,397,27,6.908755,1,117.448831,120.107336,2962.440602,0.114588,-0.012791
200412,387,26,6.908755,1,124.357586,136.822251,3099.262853,0.111350,-0.011059
200501,387,26,6.908755,1,131.266341,105.495492,3204.758344,0.106760,-0.005861
200502,387,26,6.908755,1,138.175096,95.496973,3300.255317,0.104766,-0.001171
200503,370,25,6.908755,1,145.083850,138.504366,3438.759683,0.097981,0.005449
200504,359,24,6.908755,1,151.992605,59.488966,3498.248649,0.078282,0.004627
200505,354,24,6.908755,1,158.901360,77.524484,3575.773133,0.077667,0.017743
200506,345,23,6.908755,1,165.810115,68.157439,3643.930572,0.071537,0.024907
200507,348,24,6.908755,1,172.718869,54.436871,3698.367443,0.063554,0.027545
200508,350,24,6.908755,1,179.627624,52.895878,3751.263321,0.056697,0.032661
200509,347,24,6.908755,1,186.536379,64.941772,3816.205092,0.054536,0.039478
200510,349,24,6.908755,1,193.445134,48.059132,3864.264224,0.051271,0.049878
200511,342,23,6.908755,1,200.353889,63.893628,3928.157852,0.040036,0.044885
200512,345,23,6.908755,1,207.262643,41.566242,3969.724094,0.034214,0.045522
200601,347,24,6.908755,1,214.171398,51.690764,4021.414858,0.030665,0.052072
200602,349,24,6.908755,1,221.080153,54.851960,4076.266818,0.029416,0.056408
200603,351,24,6.908755,1,227.988908,39.620482,4115.887300,0.021353,0.053814
200604,354,24,6.908755,1,234.897662,32.339360,4148.226659,0.014405,0.051630
200605,345,23,6.889642,1,241.787304,10.855579,4159.082238,0.016119,0.056471
200606,338,23,6.908755,1,248.696059,50.731769,4209.814007,0.019123,0.053553
200607,343,23,6.908755,1,255.604814,45.301438,4255.115445,0.019783,0.053930
200608,343,23,6.908755,1,262.513569,36.696040,4291.811485,0.022865,0.055443
200609,340,23,6.908755,1,269.422324,54.589409,4346.400894,0.035850,0.052633
200610,328,22,6.908755,1,276.331078,83.832034,4430.232928,0.047034,0.059519
200611,313,21,6.908755,1,283.239833,37.580313,4467.813241,0.066214,0.087685
200612,309,21,6.908755,1,290.148588,36.307775,4504.121016,0.070514,0.087778
200701,313,21,6.908755,1,297.057343,35.069120,4539.190136,0.075331,0.077904
200702,315,21,6.908755,1,303.966097,36.598319,4575.788454,0.077556,0.081297
200703,307,21,6.908755,1,310.874852,38.406925,4614.195379,0.076898,0.084514
200704,312,21,6.908755,1,317.783607,23.510164,4637.705543,0.068871,0.083281
200705,311,21,6.903053,1,324.686660,12.071847,4649.777390,0.028847,0.080438
200706,307,21,6.459465,1,331.146125,7.474801,4657.252191,0.026952,0.078794
200707,318,22,6.908755,1,338.054880,27.937625,4685.189816,0.018788,0.073616
200708,301,21,6.873166,1,344.928046,10.225639,4695.415454,0.015612,0.069070
200709,305,21,-6.284976,42,338.643070,-6.285973,4689.129481,0.004700,0.034822
200710,304,21,6.908754,1,345.551824,21.704866,4710.834347,-0.002245,0.011578
200711,312,21,6.908633,1,352.460457,15.919983,4726.754329,-0.012805,-0.010638
200712,304,21,6.907525,1,359.367983,13.608228,4740.362557,-0.024691,-0.046827
200801,308,21,6.908755,1,366.276737,54.695347,4795.057904,-0.017579,-0.021029
200802,308,21,6.908755,1,373.185492,82.874979,4877.932884,-0.023183,-0.023443
200803,304,21,6.908755,1,380.094247,87.191034,4965.123918,-0.022471,-0.009828
200804,317,22,6.908755,1,387.003002,98.271964,5063.395882,-0.023123,-0.014882
200805,326,22,6.908755,1,393.911756,103.602075,5166.997958,-0.028855,-0.049428
200806,331,23,6.908755,1,400.820511,93.980114,5260.978072,-0.033703,-0.061041
200807,343,23,6.908755,1,407.729266,193.847011,5454.825083,-0.041090,-0.089964
200808,347,24,6.908755,1,414.638021,218.598568,5673.423650,-0.038924,-0.086809
200809,343,23,6.908755,1,421.546776,142.926997,5816.350647,-0.039743,-0.093053
200810,339,23,6.908755,1,428.455530,195.192268,6011.542916,-0.044532,-0.100418
200811,330,22,6.908755,1,435.364285,348.732818,6360.275733,-0.046631,-0.113119
200812,343,23,6.908755,1,442.273040,345.343427,6705.619160,-0.046595,-0.109435
200901,352,24,6.908755,1,449.181795,408.009578,7113.628738,-0.050043,-0.099663
200902,362,25,6.908755,1,456.090549,580.473645,7694.102383,-0.054355,-0.089750
200903,358,24,6.908755,1,462.999304,483.431048,8177.533432,-0.042216,-0.035955
200904,366,25,6.908755,1,469.908059,267.970339,8445.503770,-0.023282,-0.000166
200905,375,25,6.908755,1,476.816814,93.228021,8538.731791,-0.002443,0.032915
200906,377,26,6.908755,1,483.725569,106.024935,8644.756726,0.027784,0.072641
200907,385,26,6.908755,1,490.634323,96.564218,8741.320944,0.032868,0.058715
200908,380,26,6.908755,1,497.543078,64.069322,8805.390265,0.052376,0.040723
200909,390,26,6.908755,1,504.451833,69.943863,8875.334128,0.067223,0.037134
200910,395,27,6.908755,1,511.360588,40.468993,8915.803121,0.079161,0.043753
200911,409,28,6.908755,1,518.269342,61.935043,8977.738165,0.080488,0.044493
200912,417,28,6.908755,1,525.178097,29.030728,9006.768893,0.080464,0.038459
201001,425,29,6.908755,1,532.086852,31.057443,9037.826336,0.088031,0.040207
