date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,214.875792,214.875792,0.311014,0.200623
200308,401,27,6.908755,1,13.817510,278.042856,492.918648,0.311014,0.200623
200309,412,28,6.908755,1,20.726264,335.727904,828.646552,0.315352,0.192511
200310,406,28,6.908755,1,27.635019,323.529542,1152.176094,0.315352,0.192511
200311,416,28,6.908755,1,34.543774,355.152985,1507.329079,0.315352,0.192511
200312,421,29,6.908755,1,41.452529,372.937183,1880.266262,0.315352,0.192511
200401,429,29,6.908755,1,48.361283,379.237654,2259.503916,0.315352,0.192511
200402,426,29,6.908755,1,55.270038,480.957702,2740.461618,0.314332,0.213539
200403,428,29,6.908755,1,62.178793,449.436409,3189.898027,0.314332,0.213539
200404,423,29,6.908755,1,69.087548,514.824229,3704.722256,0.314332,0.213539
200405,423,29,6.908755,1,75.996303,625.801025,4330.523281,0.324927,0.213167
200406,424,29,6.908755,1,82.905057,647.538852,4978.062133,0.324927,0.213167
200407,425,29,6.908755,1,89.813812,633.612482,5611.674616,0.324927,0.213167
200408,428,29,6.908755,1,96.722567,517.705647,6129.380262,0.302982,0.211251
200409,439,30,6.908755,1,103.631322,553.039029,6682.419291,0.290266,0.214378
200410,436,30,6.908755,1,110.540076,513.482329,7195.901621,0.268117,0.222505
200411,444,30,6.908755,1,117.448831,310.890637,7506.792258,0.227163,0.206207
200412,445,30,6.908755,1,124.357586,231.417969,7738.210227,0.201242,0.197854
200501,444,30,6.908755,1,131.266341,132.189303,7870.399530,0.158654,0.165648
200502,443,30,6.908755,1,138.175096,91.138870,7961.538400,0.135360,0.136713
200503,438,30,6.908755,1,145.083850,80.148902,8041.687302,0.109502,0.115804
200504,436,30,6.908755,1,151.992605,26.678122,8068.365424,0.086789,0.105570
200505,431,29,6.908755,1,158.901360,35.765412,8104.130836,0.083012,0.119476
200506,438,30,6.908755,1,165.810115,33.905449,8138.036285,0.071895,0.122110
200507,442,30,6.908755,1,172.718869,27.862370,8165.898655,0.066993,0.131247
200508,439,30,6.908755,1,179.627624,30.807229,8196.705885,0.064787,0.144249
200509,449,30,6.908755,1,186.536379,27.654696,8224.360581,0.064666,0.152769
200510,455,31,6.904539,1,193.440918,12.374667,8236.735248,0.067996,0.168286
200511,455,31,6.908755,1,200.349673,48.656560,8285.391808,0.066014,0.159051
200512,446,30,6.908755,1,207.258428,29.044702,8314.436510,0.064419,0.167428
200601,430,29,6.908755,1,214.167183,74.264463,8388.700973,0.065691,0.165714
200602,434,29,6.908755,1,221.075938,34.351773,8423.052746,0.063764,0.155206
200603,434,29,6.908755,1,227.984692,53.575025,8476.627770,0.064272,0.154002
200604,431,29,6.908755,1,234.893447,66.661250,8543.289020,0.062854,0.161485
200605,433,29,6.908755,1,241.802202,45.774215,8589.063236,0.063079,0.175349
200606,421,29,6.908755,1,248.710957,86.451081,8675.514317,0.065433,0.181218
200607,423,29,6.908755,1,255.619711,38.682437,8714.196754,0.064577,0.183073
200608,414,28,6.908755,1,262.528466,45.001806,8759.198560,0.064618,0.192733
200609,415,28,6.908755,1,269.437221,58.274608,8817.473168,0.060704,0.198444
200610,380,26,6.908755,1,276.345976,56.291901,8873.765069,0.057958,0.183905
200611,389,26,6.908755,1,283.254731,50.303454,8924.068523,0.057676,0.177110
200612,380,26,6.908755,1,290.163485,28.478992,8952.547515,0.060638,0.200316
200701,378,26,6.908755,1,297.072240,47.945034,9000.492549,0.061649,0.207397
200702,356,24,6.908755,1,303.980995,33.902423,9034.394973,0.063851,0.204791
200703,353,24,6.908755,1,310.889750,42.077906,9076.472879,0.066696,0.187099
200704,367,25,6.908755,1,317.798504,46.274949,9122.747828,0.070578,0.203280
200705,371,25,6.908755,1,324.707259,60.595604,9183.343431,0.069847,0.214101
200706,370,25,6.908755,1,331.616014,77.494540,9260.837971,0.065998,0.192392
200707,362,25,6.908755,1,338.524769,96.286259,9357.124230,0.067168,0.204316
200708,356,24,6.908754,1,345.433523,20.875932,9378.000162,0.068669,0.212616
200709,364,25,6.908755,1,352.342278,24.562164,9402.562326,0.070509,0.235074
200710,386,26,6.908725,1,359.251002,17.323608,9419.885934,0.074804,0.241019
200711,379,26,-9.433232,3,349.817771,-9.434231,9410.451703,0.070809,0.208942
200712,395,27,6.908755,1,356.726525,90.758016,9501.209720,0.074373,0.225171
200801,394,27,6.908755,1,363.635280,112.473226,9613.682945,0.073072,0.210301
200802,400,27,6.908755,1,370.544035,178.366549,9792.049494,0.078299,0.216174
200803,401,27,6.908755,1,377.452790,188.538890,9980.588384,0.084163,0.216722
200804,408,28,6.908755,1,384.361544,94.380632,10074.969016,0.086580,0.210863
200805,414,28,6.908755,1,391.270299,109.019784,10183.988800,0.098528,0.263751
200806,439,30,6.908755,1,398.179054,248.825011,10432.813811,0.103412,0.265885
200807,449,30,6.908755,1,405.087809,336.160992,10768.974803,0.109116,0.294278
200808,447,30,6.908755,1,411.996564,311.563647,11080.538450,0.105587,0.280923
200809,440,30,6.908755,1,418.905318,285.998372,11366.536821,0.105617,0.280383
200810,440,30,6.908755,1,425.814073,142.746633,11509.283454,0.105012,0.279873
200811,446,30,6.908755,1,432.722828,296.404460,11805.687914,0.107567,0.286100
200812,518,35,6.908755,1,439.631583,217.808787,12023.496701,0.104906,0.282844
200901,499,34,6.908755,1,446.540337,193.647363,12217.144064,0.105401,0.263242
200902,506,34,6.908755,1,453.449092,212.813428,12429.957492,0.105160,0.247950
200903,529,36,6.908755,1,460.357847,169.117007,12599.074499,0.097904,0.184042
200904,527,36,6.908755,1,467.266602,121.547862,12720.622361,0.091162,0.155655
200905,538,36,6.908755,1,474.175357,31.134931,12751.757292,0.084229,0.147025
200906,561,38,6.908755,1,481.084111,25.282921,12777.040212,0.056388,0.042466
200907,575,39,6.908354,1,487.992466,14.730876,12791.771088,0.030630,-0.012955
200908,593,40,6.908755,1,494.901221,23.377434,12815.148522,0.033690,-0.031222
200909,606,41,6.908755,1,501.809975,25.141540,12840.290061,0.027548,-0.035118
200910,604,41,6.908755,1,508.718730,42.237784,12882.527846,0.021571,-0.060562
200911,601,41,6.908755,1,515.627485,40.561410,12923.089256,0.015099,-0.084572
200912,622,42,6.908755,1,522.536240,31.418959,12954.508215,0.049261,-0.071253
201001,626,42,6.908755,1,529.444994,27.103028,12981.611243,0.084323,-0.055654
201002,638,43,6.908755,1,536.353749,42.164148,13023.775390,0.086307,-0.049829
201003,637,43,6.908755,1,543.262504,31.823345,13055.598735,0.101460,-0.041326
201004,644,43,6.908755,1,550.171259,36.318617,13091.917353,0.130080,-0.038973
201005,641,43,6.908755,1,557.080014,60.222348,13152.139701,0.140357,-0.027335
201006,648,44,6.908755,1,563.988768,29.070905,13181.210606,0.137988,-0.055621
201007,669,45,6.908755,1,570.897523,73.840530,13255.051136,0.116677,-0.055967
201008,667,45,6.908755,1,577.806278,103.334522,13358.385658,0.102585,-0.057296
201009,689,46,6.908755,1,584.715033,96.690175,13455.075833,0.099119,-0.033488
201010,703,47,6.908755,1,591.623787,100.862075,13555.937908,0.126111,-0.034683
201011,722,49,6.908755,1,598.532542,154.109565,13710.047472,0.143221,-0.056259
201012,732,49,6.908755,1,605.441297,82.285693,13792.333166,0.154829,-0.032623
201101,730,49,6.908755,1,612.350052,109.494124,13901.827290,0.185484,-0.011726
201102,744,50,6.908755,1,619.258807,74.340200,13976.167491,0.199852,0.020807
201103,729,49,6.908755,1,626.167561,79.617119,14055.784610,0.217720,0.034522
201104,758,51,6.908755,1,633.076316,92.448171,14148.232781,0.200219,0.048311
201105,767,52,6.908755,1,639.985071,88.446761,14236.679542,0.206266,0.078312
201106,786,53,6.908755,1,646.893826,83.563817,14320.243358,0.202886,0.091129
201107,800,54,6.908755,1,653.802580,192.436758,14512.680116,0.204908,0.096538
201108,799,54,6.908755,1,660.711335,142.154544,14654.834660,0.210685,0.094835
201109,820,55,6.908755,1,667.620090,153.469383,14808.304043,0.211436,0.109451
201110,834,56,6.908755,1,674.528845,185.039011,14993.343054,0.210572,0.107693
201111,823,55,6.908755,1,681.437600,279.384990,15272.728044,0.204580,0.105258
201112,845,57,6.908755,1,688.346354,241.811048,15514.539092,0.215206,0.114486
201201,858,58,6.908755,1,695.255109,196.685344,15711.224436,0.215158,0.111676
201202,871,59,6.908755,1,702.163864,153.506921,15864.731357,0.217749,0.115457
201203,863,58,6.908755,1,709.072619,163.888782,16028.620139,0.222528,0.115350
