date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,1.472619,23,1.472619,1.475985,1.475985,0.124324,0.015252
200308,54,4,3.991314,2,5.463933,4.045904,5.521889,0.124324,0.015252
200309,53,4,5.009423,1,10.473356,5.170553,10.692441,0.163875,0.067595
200310,62,5,5.732502,1,16.205858,6.100297,16.792738,0.163875,0.067595
200311,62,5,6.636052,1,22.841911,8.067681,24.860419,0.163875,0.067595
200312,64,5,6.906669,1,29.748580,13.079549,37.939968,0.163875,0.067595
200401,67,5,6.870785,1,36.619365,10.159670,48.099639,0.163875,0.067595
200402,69,5,6.829591,1,43.448955,9.404143,57.503781,0.172740,0.185507
200403,67,5,6.903575,1,50.352531,12.168231,69.672013,0.172740,0.185507
200404,67,5,-1.144022,60,49.208509,-1.144703,68.527309,0.172740,0.185507
200405,69,5,-1.044618,18,48.163890,-1.045266,67.482043,0.171123,0.205026
200406,73,5,6.903834,1,55.067725,12.219650,79.701693,0.171123,0.205026
200407,71,5,6.908173,1,61.975898,14.357237,94.058930,0.171123,0.205026
200408,69,5,6.899583,1,68.875481,11.594789,105.653719,0.160464,0.184241
200409,72,5,6.908694,1,75.784175,16.609693,122.263412,0.177967,0.230105
200410,71,5,6.896600,1,82.680774,11.311690,133.575101,0.160479,0.202234
200411,72,5,6.894962,1,89.575737,11.184486,144.759588,0.139144,0.193782
200412,72,5,6.907094,1,96.482830,13.307188,158.066776,0.126850,0.176455
200501,72,5,6.512940,1,102.995770,7.630137,165.696913,0.114504,0.144983
200502,87,6,6.748923,1,109.744694,8.660411,174.357323,0.102474,0.105866
200503,88,6,6.806058,1,116.550751,9.131938,183.489262,0.107884,0.094699
200504,89,6,6.830750,1,123.381501,9.419480,192.908741,0.093266,0.089414
200505,90,6,5.787112,2,129.168613,6.180258,199.088999,0.081383,0.072185
200506,93,7,2.755407,7,131.924020,2.770244,201.859243,0.069976,0.098823
200507,93,7,2.525253,14,134.449272,2.536813,204.396057,0.059419,0.079578
200508,95,7,-2.257404,187,132.191869,-2.258299,202.137758,0.058179,0.048184
200509,100,7,-3.466430,207,128.725438,-3.467399,198.670359,0.044317,0.072341
200510,94,7,2.261787,14,130.987225,2.270425,200.940784,0.045965,0.037905
200511,94,7,6.893229,1,137.880454,11.065225,212.006008,0.077914,0.000815
200512,95,7,-22.527969,200,115.352485,-22.528968,189.477040,0.081855,-0.030988
200601,100,7,6.908698,1,122.261183,16.679294,206.156334,0.084690,-0.039945
200602,103,7,6.898614,1,129.159797,11.493911,217.650245,0.081726,-0.029300
200603,101,7,6.899471,1,136.059268,11.582583,229.232829,0.072476,-0.079019
200604,103,7,6.087502,1,142.146770,6.666106,235.898935,0.072170,-0.083773
200605,101,7,1.320700,30,143.467470,1.323450,237.222385,0.041515,-0.113355
200606,130,9,6.284197,1,149.751666,7.049987,244.272371,0.037383,-0.103276
200607,127,9,-12.177808,123,137.573858,-12.178808,232.093564,0.036183,-0.115215
200608,134,9,6.545471,1,144.119329,7.733192,239.826755,0.039517,-0.140937
200609,128,9,6.590500,1,150.709829,7.889313,247.716068,0.041313,-0.128565
200610,164,11,6.908754,1,157.618583,21.904741,269.620809,0.041811,-0.096842
200611,164,11,6.151270,2,163.769853,6.782970,276.403779,0.039583,-0.062307
200612,159,11,-0.993428,17,162.776425,-0.994057,275.409722,0.036198,0.014538
200701,158,11,6.800260,1,169.576685,9.074066,284.483788,0.037048,0.044743
200702,184,13,6.907671,1,176.484356,13.734405,298.218193,0.035387,0.066872
200703,185,13,6.908754,1,183.393110,20.888398,319.106591,0.035819,0.099995
200704,185,13,6.808426,1,190.201536,9.156479,328.263070,0.034835,0.096370
200705,188,13,6.908755,1,197.110291,29.069895,357.332965,0.026819,0.082005
200706,184,13,6.908755,1,204.019046,50.529189,407.862154,0.028575,0.077266
200707,184,13,6.908755,1,210.927801,86.932137,494.794291,0.035666,0.105120
200708,186,13,-13.070798,13,197.857002,-13.071798,481.722493,0.032528,0.112093
