date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-0.101885,684,-0.101885,-0.101981,-0.101981,0.107519,0.105037
200308,24,2,-0.094986,833,-0.196870,-0.095076,-0.197058,0.107519,0.105037
200309,26,2,-2.063840,753,-2.260710,-2.064712,-2.261770,0.058891,0.279426
200310,26,2,0.893947,76,-1.366763,0.895393,-1.366377,0.058891,0.279426
200311,25,2,0.102906,100,-1.263857,0.103014,-1.263363,0.058891,0.279426
200312,25,2,1.292026,72,0.028169,1.294670,0.031307,0.058891,0.279426
200401,27,2,-0.112639,694,-0.084469,-0.112745,-0.081438,0.058891,0.279426
200402,28,2,-0.029876,342,-0.114346,-0.029906,-0.111344,0.062905,0.156402
200403,29,2,-1.325230,353,-1.439575,-1.325964,-1.437307,0.062905,0.156402
200404,27,2,-0.591972,521,-2.031548,-0.592419,-2.029727,0.062905,0.156402
200405,31,3,0.913650,75,-1.117897,0.915145,-1.114582,0.077616,0.172422
200406,33,3,-0.474169,508,-1.592066,-0.474547,-1.589128,0.077616,0.172422
200407,34,3,-1.189999,584,-2.782066,-1.190695,-2.779823,0.077616,0.172422
200408,34,3,0.403038,196,-2.379028,0.403534,-2.376289,0.071373,0.168957
200409,33,3,1.259503,52,-1.119525,1.262030,-1.114259,0.050727,0.223064
200410,33,3,-0.088257,343,-1.207782,-0.088341,-1.202601,0.054588,0.212821
200411,34,3,0.951838,38,-0.255944,0.953430,-0.249171,0.062948,0.208535
200412,34,3,1.905235,7,1.649291,1.910973,1.661802,0.057424,0.269982
200501,36,3,-0.803456,178,0.845835,-0.804008,0.857794,0.042568,0.226873
200502,36,3,0.353343,131,1.199179,0.353767,1.211561,0.034476,0.169955
200503,35,3,-1.565472,290,-0.366294,-1.566263,-0.354702,0.034861,0.159071
200504,38,3,-18.660718,341,-19.027012,-18.661717,-19.016419,0.024505,0.099351
200505,38,3,1.651576,37,-17.375436,1.655800,-17.360619,0.028140,0.116647
200506,38,3,1.544381,38,-15.831055,1.548073,-15.812546,0.043206,0.201829
200507,43,3,-5.652077,723,-21.483131,-5.653073,-21.465619,0.047554,0.192530
200508,43,3,1.243894,42,-20.239237,1.246366,-20.219253,0.044208,0.195199
200509,43,3,-0.762708,431,-21.001945,-0.763241,-20.982494,0.047223,0.171378
200510,43,3,-0.253755,224,-21.255699,-0.253979,-21.236472,0.058105,0.138007
200511,45,3,1.131433,72,-20.124266,1.133536,-20.102937,0.060807,0.108638
200512,45,3,-0.082879,381,-20.207144,-0.082958,-20.185895,0.043846,0.071196
200601,46,4,-2.307447,967,-22.514591,-2.308347,-22.494242,0.044117,0.078295
200602,48,4,-2.708993,237,-25.223585,-2.709926,-25.204168,0.047438,0.064894
200603,46,4,-3.413294,810,-28.636879,-3.414261,-28.618429,0.043806,0.002527
200604,46,4,0.291822,199,-28.345057,0.292160,-28.326268,0.037362,0.097790
200605,47,4,-2.921771,171,-31.266829,-2.922717,-31.248986,0.034656,0.140950
200606,47,4,2.700451,9,-28.566378,2.714435,-28.534551,0.040195,0.110996
200607,48,4,3.711720,7,-24.854658,3.752463,-24.782088,0.038040,0.115910
200608,48,4,0.274056,143,-24.580602,0.274372,-24.507716,0.037136,0.112803
200609,48,4,-0.801611,311,-25.382213,-0.802163,-25.309879,0.036485,0.126947
200610,48,4,1.475603,38,-23.906610,1.478983,-23.830896,0.032602,0.114086
200611,49,4,-1.631293,477,-25.537903,-1.632097,-25.462994,0.072719,0.093932
200612,50,4,-1.820346,338,-27.358249,-1.821184,-27.284178,0.075770,0.152297
200701,49,4,2.057881,17,-25.300368,2.064734,-25.219444,0.076201,0.125767
200702,48,4,2.455554,15,-22.844815,2.466264,-22.753180,0.079395,0.171775
200703,48,4,3.398464,4,-19.446351,3.427808,-19.325372,0.088228,0.159824
200704,49,4,0.148595,255,-19.297756,0.148755,-19.176616,0.096504,0.170022
200705,50,4,5.775274,1,-13.522481,6.162751,-13.013865,0.049503,0.180316
200706,49,4,3.581496,2,-9.940986,3.617047,-9.396818,0.043524,0.134549
200707,50,4,6.631687,1,-3.309299,8.049518,-1.347299,0.042023,0.132200
200708,50,4,-11.136502,239,-14.445801,-11.137502,-12.484801,0.045651,0.119104
200709,53,4,-5.924473,55,-20.370274,-5.925470,-18.410271,0.051658,0.166846
200710,54,4,1.739742,17,-18.630532,1.744449,-16.665823,0.055402,0.232017
200711,56,4,-1.615136,10,-20.245668,-1.615937,-18.281759,0.062389,0.256683
200712,55,4,-1.757155,16,-22.002824,-1.757982,-20.039742,0.071728,0.336637
200801,54,4,5.484887,3,-16.517937,5.759352,-14.280390,0.081913,0.346423
200802,55,4,2.816398,5,-13.701539,2.832240,-11.448150,0.086270,0.302927
200803,56,4,6.521360,1,-7.180179,7.656123,-3.792027,0.081056,0.286094
200804,55,4,0.165647,9,-7.014532,0.165827,-3.626201,0.077513,0.289921
200805,55,4,6.908629,1,-0.105903,15.889621,12.263421,0.080186,0.255404
200806,56,4,6.908526,1,6.802623,15.289447,27.552868,0.080722,0.241727
200807,56,4,6.908720,1,13.711343,17.182687,44.735555,0.070718,0.149224
200808,57,4,6.575243,1,20.286586,7.834448,52.570003,0.069021,0.155958
200809,57,4,-79.517905,376,-59.231319,-79.518905,-26.948902,0.076621,0.187430
200810,55,4,-23.894389,33,-83.125707,-23.895388,-50.844290,0.080524,0.176884
200811,55,4,-25.712188,175,-108.837896,-25.713188,-76.557477,0.078773,0.101381
200812,55,4,-19.691317,341,-128.529213,-19.692316,-96.249794,0.077572,0.104402
200901,58,4,2.004350,6,-126.524863,2.010792,-94.239002,0.058788,0.096089
200902,56,4,-21.472595,31,-147.997458,-21.473595,-115.712597,0.058907,0.123499
200903,17,2,-4.263401,532,-152.260859,-4.264386,-119.976983,0.044707,0.071417
200904,20,2,-0.518037,355,-152.778896,-0.518442,-120.495425,0.025483,-0.079502
200905,19,2,-1.522114,622,-154.301010,-1.522896,-122.018320,0.025746,-0.107991
200906,19,2,-0.987581,722,-155.288592,-0.988209,-123.006529,0.035012,-0.069359
200907,22,2,-0.045397,381,-155.333989,-0.045442,-123.051971,0.053549,0.002947
200908,22,2,-0.007255,304,-155.341244,-0.007262,-123.059233,0.069177,0.031192
200909,22,2,-0.118378,557,-155.459622,-0.118490,-123.177722,0.095854,0.037662
200910,17,2,-0.090835,434,-155.550457,-0.090921,-123.268644,0.132215,0.102411
200911,18,2,0.095184,237,-155.455272,0.095284,-123.173360,0.148099,0.141489
200912,18,2,0.617186,137,-154.838087,0.618040,-122.555320,0.170804,0.224035
201001,17,2,-0.018647,430,-154.856733,-0.018665,-122.573985,0.226596,0.199550
201002,9,2,0.596526,123,-154.260207,0.597342,-121.976643,0.231267,0.217025
201003,9,2,0.693816,102,-153.566391,0.694818,-121.281825,0.241902,0.198151
201004,9,2,0.696622,112,-152.869769,0.697629,-120.584196,0.217578,0.056197
201005,9,2,1.032096,27,-151.837674,1.033904,-119.550292,0.242555,0.026430
201006,9,2,0.727835,122,-151.109838,0.728906,-118.821385,0.234695,-0.101315
201007,9,2,0.913031,142,-150.196807,0.914524,-117.906861,0.206488,-0.160723
201008,9,2,1.627209,85,-148.569598,1.631307,-116.275554,0.236324,-0.141195
201009,10,2,0.567599,122,-148.001999,0.568364,-115.707190,0.285321,-0.139455
201010,10,2,-2.753560,228,-150.755559,-2.754496,-118.461686,0.354977,-0.059104
201011,11,2,1.681346,59,-149.074213,1.685728,-116.775958,0.362851,-0.026662
201012,11,2,1.964169,35,-147.110044,1.970317,-114.805641,0.396334,0.025402
201101,11,2,3.595085,3,-143.514959,3.631146,-111.174495,0.441286,0.048755
201102,11,2,3.312705,5,-140.202253,3.339521,-107.834974,0.430993,0.026986
201103,12,2,0.552530,160,-139.649723,0.553268,-107.281705,0.311838,-0.241431
201104,12,2,-2.179377,551,-141.829100,-2.180263,-109.461969,0.260995,-0.420806
201105,12,2,-0.956290,319,-142.785390,-0.956905,-110.418874,0.234249,-0.205735
201106,12,2,-0.017939,335,-142.803329,-0.017957,-110.436831,0.219919,-0.221230
201107,12,2,0.206788,363,-142.596542,0.207017,-110.229814,0.217933,-0.230585
201108,12,2,0.033297,246,-142.563244,0.033331,-110.196483,0.213543,-0.339020
201109,12,2,-4.353884,787,-146.917128,-4.354871,-114.551353,0.208328,-0.381543
201110,12,2,-0.264187,343,-147.181315,-0.264419,-114.815772,0.199790,-0.446457
201111,12,2,-0.399325,303,-147.580640,-0.399654,-115.215426,0.204068,-0.318187
201112,12,2,0.295162,338,-147.285478,0.295505,-114.919921,0.215943,-0.312436
201201,12,2,-4.636557,302,-151.922035,-4.637547,-119.557468,0.210105,-0.157507
201202,12,2,-4.201172,454,-156.123207,-4.202156,-123.759624,0.214260,-0.097633
201203,12,2,-4.423037,672,-160.546243,-4.424024,-128.183648,0.226385,-0.131250
201204,12,2,-2.526745,671,-163.072988,-2.527665,-130.711313,0.234790,-0.147245
201205,12,2,-0.929693,390,-164.002681,-0.930298,-131.641611,0.230623,-0.076754
201206,12,2,-3.553952,723,-167.556633,-3.554923,-135.196534,0.216013,0.084093
201207,12,2,-30.670774,723,-198.227407,-30.671773,-165.868307,0.198029,0.341250
201208,11,2,-0.033598,319,-198.261005,-0.033631,-165.901938,0.181367,0.057693
201209,11,2,0.351611,160,-197.909394,0.352033,-165.549906,0.149965,0.082570
201210,11,2,-0.514689,325,-198.424083,-0.515091,-166.064997,0.132634,0.177392
201211,11,2,0.976459,101,-197.447624,0.978116,-165.086881,0.125774,0.309451
201212,13,2,0.098558,217,-197.349066,0.098662,-164.988219,0.129235,0.196277
201301,13,2,-0.445304,749,-197.794370,-0.445663,-165.433883,0.154507,-0.000670
201302,13,2,0.705884,199,-197.088486,0.706910,-164.726973,0.173363,-0.119060
201303,13,2,0.964411,193,-196.124075,0.966035,-163.760937,0.203281,-0.143450
201304,13,2,1.196594,152,-194.927480,1.198906,-162.562031,0.215423,-0.155137
201305,12,2,0.283196,216,-194.644284,0.283524,-162.278508,0.232875,-0.148716
201306,13,2,-0.432005,153,-195.076289,-0.432355,-162.710863,0.244882,-0.051270
201307,13,2,0.816903,133,-194.259386,0.818167,-161.892696,0.261471,0.003951
201308,13,2,0.504612,123,-193.754774,0.505269,-161.387427,0.258187,0.110484
201309,13,2,1.312060,67,-192.442714,1.314777,-160.072650,0.254236,0.096074
201310,13,2,0.908839,73,-191.533875,0.910322,-159.162329,0.258275,0.189708
201311,13,2,1.562704,86,-189.971171,1.566483,-157.595846,0.259645,0.363517
201312,13,2,1.985760,27,-187.985411,1.992065,-155.603781,0.270894,0.191880
201401,18,2,1.854339,32,-186.131073,1.859741,-153.744041,0.261521,0.312910
201402,18,2,0.339795,131,-185.791278,0.340200,-153.403841,0.303910,0.090618
201403,18,2,1.546870,66,-184.244407,1.550574,-151.853267,0.303973,0.120103
201404,19,2,1.745097,60,-182.499311,1.749834,-150.103433,0.289593,0.135108
201405,18,2,-0.631926,143,-183.131236,-0.632394,-150.735827,0.277819,-0.020463
201406,18,2,-0.592629,211,-183.723865,-0.593076,-151.328903,0.271772,-0.011158
201407,18,2,1.270776,26,-182.453089,1.273343,-150.055559,0.247284,-0.260034
201408,18,2,-1.061215,297,-183.514303,-1.061868,-151.117428,0.194552,-0.098113
201409,18,2,-0.440237,190,-183.954540,-0.440593,-151.558020,0.177783,-0.050466
201410,18,2,-2.416681,246,-186.371221,-2.417592,-153.975612,0.169261,-0.046582
201411,18,2,-0.040049,277,-186.411270,-0.040088,-154.015700,0.147967,-0.069707
201412,18,2,-0.179959,141,-186.591229,-0.180123,-154.195824,0.132186,-0.079832
201501,18,2,-2.875994,262,-189.467223,-2.876937,-157.072761,0.118581,-0.080271
201502,18,2,-0.618014,249,-190.085237,-0.618475,-157.691235,0.107630,-0.028747
201503,24,2,0.200800,61,-189.884437,0.201022,-157.490213,0.099630,0.002454
201504,28,2,2.890126,4,-186.994311,2.907268,-154.582945,0.084980,0.031831
201505,28,2,3.905009,7,-183.089301,3.954883,-150.628062,0.085157,0.042265
201506,28,2,3.214026,5,-179.875276,3.238194,-147.389868,0.079579,0.050856
201507,28,2,3.037217,7,-176.838059,3.057263,-144.332604,0.072553,0.128955
201508,28,2,2.087823,22,-174.750236,2.094915,-142.237689,0.075551,0.158562
201509,28,2,2.456527,13,-172.293709,2.467249,-139.770441,0.078782,0.138987
201510,28,2,1.481370,46,-170.812339,1.484775,-138.285666,0.088299,0.168317
201511,28,2,3.402676,2,-167.409663,3.432151,-134.853515,0.095495,0.183684
201512,34,3,2.381963,9,-165.027700,2.391838,-132.461677,0.099965,0.173343
201601,34,3,5.491519,1,-159.536181,5.768097,-126.693581,0.107617,0.201656
201602,34,3,3.174212,10,-156.361970,3.197386,-123.496195,0.106597,0.284677
201603,34,3,2.069364,9,-154.292605,2.076308,-121.419886,0.110674,0.307870
201604,33,3,5.532896,1,-148.759709,5.823082,-115.596804,0.116017,0.311512
201605,33,3,5.762864,1,-142.996845,6.144503,-109.452302,0.128057,0.315177
201606,33,3,5.445805,1,-137.551040,5.708189,-103.744113,0.134411,0.223182
201607,33,3,6.183516,1,-131.367524,6.844571,-96.899543,0.143370,0.258081
201608,33,3,6.582985,1,-124.784538,7.862018,-89.037525,0.155756,0.146297
201609,39,3,6.792098,1,-117.992440,8.997378,-80.040146,0.161998,0.170400
201610,39,3,6.505303,1,-111.487137,7.606956,-72.433190,0.164891,0.171834
201611,39,3,6.816603,1,-104.670534,9.245644,-63.187547,0.161201,0.120039
201612,39,3,4.691517,2,-99.979017,4.805827,-58.381720,0.160506,0.112111
201701,39,3,4.643132,3,-95.335885,4.751686,-53.630034,0.155148,0.121498
201702,39,3,6.602206,1,-88.733679,7.932945,-45.697088,0.147027,0.150439
201703,45,3,4.718772,1,-84.014907,4.836465,-40.860624,0.143192,0.194239
201704,49,4,6.378565,1,-77.636342,7.265495,-33.595129,0.147494,0.257818
201705,49,4,6.173488,1,-71.462854,6.825218,-26.769911,0.150426,0.294365
201706,49,4,4.648208,1,-66.814646,4.757351,-22.012560,0.157280,0.297869
201707,49,4,3.305047,3,-63.509599,3.331648,-18.680912,0.173386,0.191516
201708,48,4,2.538420,23,-60.971179,2.550148,-16.130765,0.192137,0.218136
201709,48,4,1.310111,55,-59.661069,1.312821,-14.817944,0.208041,0.221611
201710,48,4,-1.071525,153,-60.732594,-1.072182,-15.890126,0.220191,0.277344
201711,48,4,0.069682,212,-60.662912,0.069754,-15.820372,0.224978,0.324470
201712,48,4,-2.188922,483,-62.851834,-2.189810,-18.010182,0.227358,0.345063
201801,48,4,-0.612969,426,-63.464804,-0.613428,-18.623609,0.223486,0.370948
201802,52,4,-0.106803,279,-63.571607,-0.106904,-18.730514,0.221598,0.382746
201803,52,4,-5.922323,922,-69.493929,-5.923320,-24.653833,0.215875,0.378982
