date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.908755,1,6.908755,32.585737,32.585737,-0.172268,-0.289099
200308,88,6,6.908755,1,13.817510,28.224661,60.810398,-0.172268,-0.289099
200309,94,7,6.908754,1,20.726264,21.279505,82.089903,-0.112663,-0.285402
200310,97,7,6.908754,1,27.635018,21.847254,103.937157,-0.112663,-0.285402
200311,98,7,6.908755,1,34.543773,29.371550,133.308707,-0.112663,-0.285402
200312,96,7,6.908755,1,41.452528,27.596418,160.905124,-0.112663,-0.285402
200401,106,8,6.908755,1,48.361283,50.585698,211.490822,-0.112663,-0.285402
200402,101,7,6.908755,1,55.270037,32.089679,243.580501,-0.003095,-0.319420
200403,106,8,6.908754,1,62.178792,21.584163,265.164664,-0.003095,-0.319420
200404,107,8,6.908755,1,69.087546,38.040385,303.205049,-0.003095,-0.319420
200405,108,8,6.908755,1,75.996301,33.714072,336.919121,0.033097,-0.321746
200406,106,8,6.908755,1,82.905056,38.049024,374.968145,0.033097,-0.321746
200407,110,8,6.908755,1,89.813811,44.802619,419.770764,0.033097,-0.321746
200408,108,8,6.908755,1,96.722566,39.052791,458.823555,0.082699,-0.233787
200409,111,8,6.908755,1,103.631320,44.711745,503.535300,0.141099,-0.256176
200410,108,8,6.908755,1,110.540075,38.583785,542.119085,0.194124,-0.263762
200411,109,8,6.908755,1,117.448830,28.179796,570.298881,0.254542,-0.283863
200412,116,8,6.908755,1,124.357585,37.626619,607.925500,0.254806,-0.308841
200501,115,8,6.908755,1,131.266339,29.075670,637.001170,0.299366,-0.269516
200502,115,8,6.908664,1,138.175003,16.209373,653.210543,0.291435,-0.241965
200503,111,8,-4.006915,3,134.168088,-4.007896,649.202647,0.326078,-0.215528
200504,100,7,-3.735858,7,130.432230,-3.736834,645.465813,0.327688,-0.167438
200505,98,7,-22.588168,17,107.844063,-22.589167,622.876646,0.325086,-0.112530
200506,104,7,-18.115585,72,89.728477,-18.116585,604.760061,0.348770,-0.054098
200507,105,7,-8.296838,20,81.431639,-8.297838,596.462224,0.333229,-0.047326
200508,104,7,1.864126,5,83.295765,1.869591,598.331814,0.353596,0.010673
200509,101,7,-0.760404,15,82.535360,-0.760937,597.570878,0.339008,-0.020879
200510,103,7,4.559527,2,87.094887,4.658837,602.229715,0.344107,0.006128
200511,101,7,-12.144600,233,74.950287,-12.145600,590.084115,0.317854,-0.021710
200512,116,8,-15.729433,236,59.220854,-15.730433,574.353683,0.291243,-0.021072
200601,116,8,-10.491239,166,48.729615,-10.492239,563.861444,0.293665,-0.006439
200602,116,8,-4.348628,4,44.380987,-4.349615,559.511829,0.288961,-0.008115
200603,118,8,0.047881,26,44.428868,0.047930,559.559759,0.316195,0.028279
200604,117,8,-1.107944,82,43.320924,-1.108614,558.451146,0.339712,0.064426
200605,120,8,3.358104,7,46.679028,3.386231,561.837377,0.375548,0.087441
200606,128,9,0.626408,34,47.305436,0.627280,562.464656,0.399219,0.102603
200607,125,9,6.908754,1,54.214191,21.233576,583.698233,0.404363,0.079949
200608,127,9,6.908755,1,61.122945,27.540414,611.238647,0.406175,0.083601
200609,130,9,6.908695,1,68.031640,16.631958,627.870604,0.394847,0.071172
200610,141,10,6.908331,1,74.939971,14.673524,642.544128,0.365946,0.041293
200611,127,9,6.908754,1,81.848726,21.755984,664.300113,0.333776,0.041241
200612,127,9,6.362751,1,88.211477,7.227492,671.527605,0.312800,0.030198
200701,123,9,-2.608221,7,85.603256,-2.609147,668.918458,0.308595,0.023528
200702,118,8,4.714340,3,90.317596,4.831475,673.749933,0.297468,0.024159
200703,109,8,5.047419,2,95.365015,5.215388,678.965321,0.287189,-0.016208
200704,118,8,6.831315,1,102.196330,9.427042,688.392363,0.308833,0.025571
200705,113,8,2.918395,4,105.114725,2.936062,691.328424,0.334607,0.046039
200706,105,7,3.838822,2,108.953547,3.885359,695.213783,0.342170,0.066708
200707,101,7,-6.643862,11,102.309685,-6.644860,688.568923,0.338721,0.099716
200708,95,7,4.590465,3,106.900150,4.693096,693.262020,0.331822,0.087987
200709,91,7,-1.340717,2,105.559432,-1.341456,691.920564,0.333142,0.077799
200710,79,6,6.908755,1,112.468187,40.599567,732.520131,0.331063,0.048005
200711,77,6,6.908755,1,119.376942,45.134054,777.654185,0.301374,0.046086
200712,73,5,6.900748,1,126.277690,11.731229,789.385414,0.269179,0.055837
200801,72,5,-3.613689,10,122.664001,-3.614662,785.770752,0.244791,0.072553
200802,72,5,6.908737,1,129.572738,17.867627,803.638379,0.212831,0.084989
200803,50,4,6.904631,1,136.477369,12.396569,816.034948,0.192308,0.069798
200804,52,4,6.908755,1,143.386124,32.060661,848.095609,0.174658,0.088294
200805,55,4,6.908750,1,150.294873,19.119841,867.215450,0.179678,0.041547
200806,40,3,-1.816080,77,148.478793,-1.816917,865.398533,0.202229,0.014148
200807,37,3,0.388834,31,148.867627,0.389309,865.787842,0.209553,-0.006408
200808,38,3,-22.372416,595,126.495211,-22.373415,843.414427,0.229335,0.003490
200809,38,3,-6.302903,97,120.192308,-6.303901,837.110526,0.239840,0.015680
200810,35,3,-10.726917,363,109.465392,-10.727916,826.382610,0.242098,0.022375
200811,35,3,-4.788808,39,104.676584,-4.789799,821.592811,0.246342,0.052090
200812,32,3,-5.177772,240,99.498812,-5.178766,816.414045,0.231794,0.031462
200901,32,3,1.353602,41,100.852414,1.356478,817.770523,0.213669,0.046481
200902,33,3,2.543914,14,103.396329,2.555713,820.326236,0.166894,0.032151
200903,33,3,0.614481,77,104.010810,0.615330,820.941566,0.105500,-0.021361
200904,34,3,0.908123,86,104.918933,0.909604,821.851170,0.076471,-0.023112
200905,33,3,-1.461350,578,103.457582,-1.462118,820.389052,0.002483,-0.074459
200906,34,3,2.556838,3,106.014420,2.568804,822.957856,-0.088328,-0.075856
200907,35,3,2.858925,3,108.873345,2.875505,825.833360,-0.155457,-0.078287
200908,38,3,4.356880,2,113.230225,4.437020,830.270381,-0.192311,-0.069029
200909,39,3,6.845925,1,120.076150,9.643496,839.913876,-0.293001,-0.051670
200910,39,3,6.908652,1,126.984801,16.088023,856.001899,-0.416536,-0.068158
200911,42,3,6.908754,1,133.893555,21.087611,877.089510,-0.481680,-0.115273
200912,50,4,6.908755,1,140.802310,40.071403,917.160913,-0.584102,-0.162108
201001,55,4,6.908755,1,147.711065,35.748546,952.909459,-0.589756,-0.133492
201002,58,4,6.908755,1,154.619820,42.795780,995.705239,-0.622437,-0.203348
201003,59,4,6.908755,1,161.528574,41.360969,1037.066208,-0.503481,-0.160187
201004,66,5,6.908755,1,168.437329,37.134669,1074.200877,-0.359809,-0.206254
201005,66,5,6.908679,1,175.346008,16.392075,1090.592953,-0.109818,-0.042907
201006,67,5,2.466906,11,177.812914,2.477750,1093.070703,0.427819,-0.089225
201007,69,5,0.842845,33,178.655759,0.844168,1093.914871,0.407776,-0.046531
201008,81,6,1.376145,27,180.031903,1.379109,1095.293980,0.426926,0.045340
201009,91,7,1.121275,6,181.153178,1.123346,1096.417326,0.466837,0.062035
201010,104,7,6.851038,1,188.004217,9.730967,1106.148293,0.420212,0.095880
201011,106,8,6.908753,1,194.912970,20.141214,1126.289507,0.424194,0.096549
201012,109,8,5.673069,2,200.586039,6.015456,1132.304963,0.394672,0.003282
201101,109,8,2.243879,6,202.829918,2.252345,1134.557307,0.379819,-0.086147
201102,106,8,-4.819566,175,198.010352,-4.820558,1129.736750,0.364614,-0.095158
201103,107,8,2.613069,19,200.623420,2.625790,1132.362540,0.383868,-0.139591
201104,107,8,3.270470,3,203.893890,3.296119,1135.658659,0.417962,-0.081535
201105,104,7,3.775494,5,207.669384,3.819048,1139.477707,0.422780,-0.023763
201106,107,8,4.676391,4,212.345774,4.788867,1144.266574,0.452138,0.068029
201107,106,8,1.024833,9,213.370608,1.026622,1145.293196,0.458850,0.071115
201108,110,8,-8.735042,432,204.635566,-8.736042,1136.557154,0.449258,0.067929
201109,116,8,-23.242170,144,181.393395,-23.243170,1113.313984,0.461691,0.074139
201110,119,8,-11.181177,36,170.212218,-11.182177,1102.131807,0.466230,0.056223
201111,126,9,-10.607713,53,159.604505,-10.608713,1091.523095,0.421760,0.087492
201112,124,9,-2.399212,10,157.205293,-2.400120,1089.122974,0.411632,0.037824
201201,125,9,3.909941,3,161.115234,3.960073,1093.083047,0.424830,0.069058
201202,127,9,-0.181789,11,160.933445,-0.181955,1092.901092,0.444820,0.029097
201203,133,9,-6.709082,67,154.224364,-6.710080,1086.191012,0.433040,0.025984
201204,135,9,5.185165,2,159.409529,5.380697,1091.571710,0.443493,-0.036671
201205,132,9,6.289971,1,165.699500,7.062460,1098.634170,0.494077,-0.050051
201206,136,10,6.903902,1,172.603403,12.233603,1110.867773,0.513427,-0.074313
201207,141,10,-3.511539,8,169.091864,-3.512509,1107.355264,0.516115,-0.065439
201208,136,10,6.185023,1,175.276886,6.847493,1114.202757,0.518480,-0.060365
201209,155,11,6.694723,1,181.971609,8.340462,1122.543219,0.507316,-0.051879
201210,162,11,6.908638,1,188.880248,15.965856,1138.509076,0.496386,-0.040019
201211,164,11,6.902194,1,195.782441,11.931069,1150.440144,0.494113,-0.027586
201212,167,12,6.908755,1,202.691196,23.101297,1173.541441,0.497794,0.004605
201301,166,12,6.868765,1,209.559961,10.106829,1183.648270,0.508066,-0.001545
201302,162,11,6.358589,1,215.918550,7.217627,1190.865898,0.511271,0.013574
201303,158,11,6.908720,1,222.827270,17.172884,1208.038781,0.541883,0.062021
201304,167,12,6.907072,1,229.734341,13.293974,1221.332755,0.562480,0.062023
201305,158,11,4.425748,3,234.160090,4.511933,1225.844688,0.577910,0.084391
201306,158,11,6.902340,1,241.062430,11.953642,1237.798330,0.579461,0.112194
201307,166,12,6.908755,1,247.971184,23.092112,1260.890441,0.583823,0.129788
201308,166,12,6.908755,1,254.879939,25.935550,1286.825991,0.589167,0.115632
201309,180,12,-0.427155,2,254.452784,-0.427502,1286.398489,0.577575,0.068796
201310,171,12,6.908755,1,261.361539,43.048434,1329.446923,0.565583,0.035411
201311,175,12,6.908755,1,268.270294,36.117824,1365.564747,0.548864,0.029320
201312,174,12,6.908755,1,275.179048,47.934526,1413.499273,0.529939,0.011459
201401,178,12,6.908755,1,282.087803,63.156541,1476.655813,0.518430,0.021376
201402,176,12,6.908755,1,288.996558,51.573691,1528.229505,0.505156,0.031136
201403,170,12,6.908755,1,295.905313,47.516922,1575.746427,0.498882,0.033259
201404,173,12,6.908755,1,302.814068,61.545830,1637.292257,0.486037,0.030068
201405,169,12,6.908755,1,309.722822,69.788177,1707.080434,0.475451,0.035335
201406,167,12,6.908755,1,316.631577,83.385419,1790.465854,0.468986,0.018675
201407,185,13,6.908755,1,323.540332,84.982554,1875.448407,0.458989,0.013325
201408,188,13,6.908755,1,330.449087,48.751087,1924.199494,0.468905,0.021283
201409,194,13,6.908755,1,337.357841,35.740325,1959.939819,0.485501,0.025341
201410,191,13,6.908755,1,344.266596,46.484459,2006.424278,0.506453,0.044134
201411,187,13,4.013284,2,348.279881,4.069144,2010.493423,0.541366,0.075935
201412,185,13,1.449632,2,349.729512,1.452898,2011.946321,0.579271,0.112135
201501,174,12,6.904796,1,356.634309,12.437701,2024.384022,0.591946,0.125145
201502,180,12,6.902523,1,363.536832,11.982800,2036.366822,0.590691,0.140447
201503,176,12,-3.825077,5,359.711755,-3.826054,2032.540768,0.567817,0.143777
201504,164,11,6.908738,1,366.620493,17.901702,2050.442470,0.548917,0.117934
201505,157,11,6.793289,1,373.413782,9.008246,2059.450716,0.527824,0.121616
201506,149,10,4.998568,2,378.412350,5.157799,2064.608515,0.510910,0.116196
201507,150,10,-14.980376,21,363.431975,-14.981375,2049.627140,0.514051,0.139978
201508,151,11,-6.890158,17,356.541817,-6.891156,2042.735983,0.508998,0.151898
201509,157,11,-22.872905,199,333.668911,-22.873905,2019.862079,0.526882,0.176560
201510,154,11,2.758666,7,336.427578,2.773555,2022.635634,0.538375,0.224554
201511,148,10,5.522838,2,341.950416,5.809647,2028.445281,0.537910,0.244398
201512,150,10,6.908755,1,348.859171,31.368785,2059.814066,0.538006,0.264313
201601,147,10,6.908755,1,355.767926,51.193336,2111.007402,0.532170,0.290708
201602,160,11,6.908755,1,362.676681,94.649635,2205.657037,0.524208,0.295176
201603,161,11,6.908755,1,369.585435,51.483454,2257.140491,0.513988,0.300396
201604,160,11,6.908755,1,376.494190,33.064037,2290.204527,0.503315,0.283638
201605,160,11,6.908649,1,383.402839,16.057524,2306.262051,0.504618,0.263576
201606,160,11,6.908755,1,390.311594,27.380159,2333.642211,0.502132,0.232134
201607,166,12,6.908755,1,397.220348,30.327081,2363.969292,0.513849,0.183158
201608,161,11,6.804884,1,404.025233,9.119982,2373.089274,0.532546,0.153419
201609,152,11,6.873574,1,410.898807,10.237373,2383.326646,0.524959,0.129959
201610,147,10,6.908752,1,417.807559,19.862014,2403.188661,0.519647,0.129116
201611,147,10,6.908694,1,424.716253,16.611882,2419.800543,0.508430,0.150463
201612,149,10,6.906897,1,431.623150,13.195220,2432.995763,0.493843,0.165215
201701,166,12,6.908755,1,438.531905,22.788795,2455.784558,0.476877,0.172758
201702,151,11,6.908136,1,445.440040,14.294842,2470.079400,0.454118,0.170112
201703,153,11,6.908752,1,452.348792,19.646002,2489.725403,0.448931,0.155201
201704,154,11,6.908755,1,459.257547,24.034236,2513.759639,0.452202,0.136530
201705,159,11,6.908755,1,466.166302,30.142953,2543.902592,0.436126,0.086572
201706,161,11,6.908755,1,473.075057,32.375090,2576.277682,0.402961,0.056839
201707,161,11,6.908755,1,479.983811,31.633561,2607.911243,0.392306,0.035656
201708,162,11,6.908755,1,486.892566,27.147916,2635.059159,0.372085,0.011193
201709,162,11,6.908755,1,493.801321,48.694015,2683.753174,0.360569,-0.021521
201710,163,11,6.908755,1,500.710076,33.012601,2716.765775,0.312642,-0.052583
201711,178,12,6.908755,1,507.618830,63.596519,2780.362295,0.303429,-0.044596
201712,176,12,6.908755,1,514.527585,23.080267,2803.442562,0.328619,-0.030862
201801,166,12,6.908481,1,521.436066,15.111005,2818.553567,0.333790,-0.010032
201802,168,12,6.791010,1,528.227076,8.987540,2827.541108,0.368273,0.002579
201803,163,11,-6.367030,18,521.860046,-6.368028,2821.173080,0.398006,0.001619
201804,156,11,5.089448,2,526.949494,5.265350,2826.438430,0.471093,-0.010091
201805,159,11,1.361131,12,528.310625,1.364036,2827.802466,0.525301,-0.013457
201806,155,11,4.435576,2,532.746201,4.522661,2832.325127,0.582190,-0.017042
201807,142,10,6.839812,1,539.586013,9.547561,2841.872688,0.612495,-0.041185
201808,140,10,6.908653,1,546.494666,16.098253,2857.970941,0.626334,-0.037228
201809,140,10,6.882890,1,553.377556,10.549664,2868.520606,0.645279,0.005846
201810,125,9,6.904148,1,560.281704,12.285695,2880.806301,0.645263,0.049768
201811,123,9,6.906716,1,567.188419,13.101912,2893.908213,0.650590,0.081900
201812,122,9,6.908755,1,574.097174,32.382210,2926.290423,0.634182,0.141680
201901,123,9,6.908755,1,581.005929,27.547553,2953.837976,0.630335,0.181161
201902,119,8,6.908754,1,587.914683,20.796644,2974.634620,0.651834,0.215818
201903,112,8,6.908692,1,594.823374,16.578067,2991.212687,0.655586,0.200634
201904,108,8,6.908755,1,601.732129,25.746332,3016.959019,0.655155,0.175047
201905,108,8,6.908754,1,608.640884,21.871611,3038.830630,0.648115,0.176724
201906,110,8,-1.014550,3,607.626333,-1.015187,3037.815442,0.651094,0.146039
201907,107,8,1.389219,5,609.015553,1.392236,3039.207678,0.635409,0.114282
201908,102,7,-4.608127,27,604.407426,-4.609116,3034.598562,0.611308,0.075479
201909,98,7,0.294680,34,604.702106,0.295023,3034.893585,0.580546,0.043510
201910,93,7,-1.395347,19,603.306759,-1.396099,3033.497486,0.551993,0.018555
201911,90,6,-6.549081,52,596.757678,-6.550080,3026.947406,0.533281,-0.008003
201912,87,6,2.202112,12,598.959790,2.210189,3029.157595,0.509712,-0.007126
202001,85,6,2.222118,15,601.181908,2.230379,3031.387973,0.511572,-0.007340
202002,81,6,0.007676,91,601.189584,0.007684,3031.395658,0.506316,-0.006712
202003,68,5,-9.946605,77,591.242979,-9.947604,3021.448053,0.498677,-0.003261
202004,78,6,-4.925142,42,586.317837,-4.926134,3016.521919,0.496242,0.010903
202005,79,6,6.879648,1,593.197486,10.429964,3026.951883,0.476374,0.003457
202006,78,6,6.908619,1,600.106104,15.809906,3042.761790,0.444926,-0.049895
202007,76,6,-3.523605,22,596.582499,-3.524575,3039.237215,0.405063,-0.082249
202008,73,5,2.786047,5,599.368546,2.801380,3042.038595,0.373692,-0.105204
202009,59,4,1.047486,42,600.416032,1.049338,3043.087933,0.360373,-0.097349
