date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,5.070249,3,5.070249,5.242478,5.242478,0.282106,0.024633
200308,143,10,3.965045,3,9.035294,4.018153,9.260631,0.282106,0.024633
200309,148,10,6.901607,1,15.936901,11.845119,21.105750,0.229905,-0.024176
200310,150,10,6.600851,1,22.537752,7.927824,29.033575,0.229905,-0.024176
200311,152,11,6.796103,1,29.333855,9.034356,38.067931,0.229905,-0.024176
200312,150,10,4.541220,3,33.875074,4.638618,42.706549,0.229905,-0.024176
200401,139,10,1.114786,50,34.989861,1.116837,43.823386,0.229905,-0.024176
200402,143,10,1.072010,13,36.061871,1.073933,44.897319,0.205423,-0.055648
200403,139,10,6.503810,1,42.565681,7.602464,52.499783,0.205423,-0.055648
200404,135,9,4.198344,5,46.764025,4.266169,56.765952,0.205423,-0.055648
200405,140,10,-3.922533,22,42.841492,-3.923513,52.842439,0.234279,-0.047220
200406,146,10,6.878996,1,49.720487,10.407457,63.249895,0.234279,-0.047220
200407,152,11,6.661038,1,56.381525,8.176812,71.426707,0.234279,-0.047220
200408,153,11,6.903658,1,63.285183,12.184278,83.610985,0.255184,-0.036417
200409,155,11,6.908755,1,70.193938,26.657585,110.268569,0.263135,-0.054867
200410,162,11,6.908753,1,77.102691,20.278218,130.546788,0.248498,-0.088672
200411,167,12,6.908755,1,84.011446,26.673765,157.220553,0.269474,-0.103003
200412,163,11,6.908755,1,90.920200,22.317544,179.538098,0.316531,-0.079080
200501,164,11,6.908755,1,97.828955,38.982439,218.520537,0.343939,-0.096609
200502,169,12,6.908755,1,104.737710,29.664932,248.185469,0.362305,-0.063796
200503,172,12,6.908747,1,111.646457,18.632904,266.818373,0.381653,-0.084483
200504,187,13,0.057685,3,111.704141,0.057744,266.876117,0.389581,-0.049053
200505,196,14,6.435568,1,118.139709,7.410115,274.286233,0.411428,0.001724
200506,190,13,6.574563,1,124.714272,7.832050,282.118283,0.401121,0.020556
200507,190,13,6.908746,1,131.623018,18.559292,300.677574,0.371776,0.063100
200508,190,13,6.908755,1,138.531773,24.543767,325.221342,0.334361,0.087450
200509,197,14,5.075826,2,143.607599,5.249114,330.470455,0.321655,0.085541
200510,194,13,6.873323,1,150.480922,10.230141,340.700596,0.314194,0.103837
200511,197,14,6.735542,1,157.216464,8.573132,349.273728,0.279953,0.100008
200512,165,11,6.851873,1,164.068336,9.745952,359.019680,0.275224,0.100056
200601,164,11,6.908740,1,170.977077,18.038748,377.058428,0.269896,0.078804
200602,171,12,6.873345,1,177.850422,10.230775,387.289203,0.284651,0.073457
200603,168,12,6.908717,1,184.759138,17.079614,404.368817,0.273671,0.118133
200604,158,11,5.099696,2,189.858834,5.277593,409.646410,0.246099,0.125168
200605,152,11,6.906573,1,196.765407,13.034175,422.680585,0.249288,0.133382
200606,142,10,6.817863,1,203.583270,9.260050,431.940635,0.236967,0.165029
200607,141,10,5.873606,2,209.456876,6.311381,438.252016,0.235015,0.197887
200608,140,10,6.908754,1,216.365630,20.678390,458.930407,0.233415,0.207967
200609,142,10,6.907276,1,223.272905,13.423219,472.353626,0.239418,0.241387
200610,143,10,6.908035,1,230.180940,14.143960,486.497586,0.240138,0.218633
200611,157,11,5.261740,3,235.442680,5.474706,491.972292,0.249434,0.181088
200612,147,10,6.907452,1,242.350131,13.550085,505.522376,0.263512,0.128765
200701,152,11,6.908755,1,249.258886,22.685716,528.208093,0.268882,0.087680
200702,157,11,6.908751,1,256.167637,19.494108,547.702201,0.276257,0.089289
200703,157,11,4.059136,2,260.226774,4.117745,551.819946,0.275099,0.084587
200704,134,9,6.902191,1,267.128964,11.930603,563.750549,0.292555,0.092554
200705,131,9,6.908169,1,274.037133,14.350027,578.100576,0.281570,0.109528
200706,136,10,5.193829,2,279.230963,5.391253,583.491829,0.262757,0.101485
200707,128,9,5.974272,2,285.205234,6.472151,589.963980,0.247180,0.099629
200708,125,9,1.461172,15,286.666407,1.464489,591.428469,0.226309,0.109555
200709,125,9,-0.547538,11,286.118868,-0.547960,590.880509,0.219225,0.122351
200710,114,8,-10.654358,3,275.464510,-10.655357,580.225151,0.192681,0.118614
200711,105,7,-1.690784,5,273.773727,-1.691599,578.533552,0.190986,0.175740
200712,99,7,6.908747,1,280.682474,18.662759,597.196311,0.183744,0.207048
200801,96,7,-5.467335,12,275.215139,-5.468330,591.727981,0.182655,0.215452
200802,95,7,-4.292267,17,270.922872,-4.293253,587.434728,0.180019,0.195423
200803,115,8,1.635799,6,272.558671,1.639941,589.074669,0.174785,0.178420
200804,114,8,2.270441,9,274.829111,2.279162,591.353831,0.184883,0.152185
200805,106,8,0.729071,33,275.558182,0.730145,592.083976,0.175333,0.137576
200806,105,7,-1.842657,28,273.715525,-1.843499,590.240477,0.178552,0.141758
200807,100,7,6.881447,1,280.596972,10.494672,600.735149,0.171118,0.160326
200808,100,7,-10.839091,98,269.757881,-10.840091,589.895058,0.166112,0.167153
200809,99,7,-20.930184,548,248.827698,-20.931183,568.963875,0.167874,0.197286
200810,99,7,-58.461838,176,190.365860,-58.462837,510.501038,0.167273,0.217310
200811,96,7,-15.509016,6,174.856844,-15.510015,494.991023,0.169393,0.218916
200812,94,7,-12.917723,28,161.939121,-12.918722,482.072301,0.170901,0.220775
200901,94,7,6.777219,1,168.716341,8.869745,490.942045,0.178699,0.225256
200902,97,7,6.899799,1,175.616140,11.618753,502.560798,0.160482,0.188328
200903,101,7,4.443510,3,180.059650,4.531329,507.092127,0.158857,0.166537
200904,113,8,6.617922,1,186.677573,7.993826,515.085953,0.162165,0.124887
200905,110,8,3.720715,3,190.398288,3.761843,518.847796,0.155052,0.115787
200906,113,8,0.094084,105,190.492372,0.094182,518.941978,0.162273,0.109288
200907,116,8,-1.929417,451,188.562954,-1.930272,517.011706,0.152737,0.082345
200908,113,8,2.563874,15,191.126829,2.575933,519.587639,0.217185,0.090075
200909,121,9,-1.563801,227,189.563028,-1.564591,518.023048,0.228544,0.080825
200910,120,8,5.503623,2,195.066651,5.784105,523.807153,0.213100,0.100470
200911,122,9,-2.458164,14,192.608487,-2.459078,521.348075,0.229802,0.075258
200912,116,8,0.169127,45,192.777614,0.169312,521.517387,0.214688,0.121207
201001,118,8,-5.062771,149,187.714843,-5.063765,516.453622,0.233981,0.118876
201002,121,9,-11.997058,240,175.717785,-11.998058,504.455564,0.194052,0.072565
201003,130,9,-5.599956,213,170.117829,-5.600952,498.854612,0.193653,0.073159
201004,127,9,-0.833052,15,169.284777,-0.833617,498.020996,0.217476,0.057149
201005,130,9,-5.288978,46,163.995799,-5.289972,492.731023,0.228497,0.030728
201006,134,9,4.308622,4,168.304421,4.384789,497.115812,0.281735,-0.055324
201007,140,10,4.312192,3,172.616613,4.388646,501.504457,0.331556,-0.052052
201008,140,10,6.787105,1,179.403719,8.952925,510.457382,0.350498,-0.055964
201009,150,10,-9.090600,131,170.313119,-9.091599,501.365783,0.347389,-0.069451
201010,149,10,-12.821969,68,157.491150,-12.822968,488.542815,0.366458,-0.116930
201011,159,11,1.762009,7,159.253159,1.766845,490.309659,0.351608,-0.119607
201012,164,11,1.610655,7,160.863813,1.614669,491.924328,0.308106,-0.128039
201101,164,11,6.908374,1,167.772187,14.779639,506.703967,0.278394,-0.146487
201102,175,12,5.995284,1,173.767471,6.506995,513.210961,0.316615,-0.058133
201103,186,13,-7.805681,62,165.961790,-7.806680,505.404281,0.359798,-0.048372
201104,194,13,6.898536,1,172.860325,11.486131,516.890412,0.365653,-0.032921
201105,193,13,-5.182152,6,167.678174,-5.183146,511.707267,0.411242,-0.026763
201106,199,14,6.246298,1,173.924471,6.970107,518.677374,0.434990,0.027642
201107,221,15,1.337496,5,175.261967,1.340309,520.017683,0.416913,0.034148
201108,221,15,6.907592,1,182.169559,13.664118,533.681801,0.402167,-0.002232
201109,224,15,-16.534239,9,165.635320,-16.535239,517.146562,0.375301,0.027978
201110,221,15,2.359273,3,167.994593,2.368902,519.515465,0.369241,0.050642
201111,227,16,-17.381882,21,150.612711,-17.382881,502.132583,0.356897,0.056788
201112,228,16,-5.217229,15,145.395483,-5.218223,496.914361,0.368357,0.072884
201201,234,16,6.908755,1,152.304237,22.741957,519.656318,0.423214,0.038673
201202,239,16,6.908755,1,159.212992,29.713108,549.369426,0.470331,0.042381
201203,232,16,-3.749502,2,155.463490,-3.750478,545.618948,0.513358,0.018438
201204,234,16,6.908754,1,162.372244,21.503096,567.122044,0.546451,-0.030029
201205,232,16,1.404981,4,163.777225,1.408061,568.530105,0.549913,-0.016353
201206,242,17,6.901186,1,170.678410,11.787640,580.317745,0.544025,-0.028581
201207,242,17,6.908755,1,177.587165,50.809573,631.127317,0.510226,-0.044646
201208,256,18,6.908755,1,184.495920,42.196400,673.323718,0.477260,-0.031666
201209,271,19,6.908755,1,191.404675,70.793524,744.117241,0.441330,-0.011949
201210,266,18,6.908755,1,198.313430,56.566451,800.683692,0.400087,0.016158
201211,273,19,6.908755,1,205.222184,87.107070,887.790762,0.385143,0.020041
201212,271,19,6.908755,1,212.130939,83.079704,970.870465,0.378822,0.053576
201301,272,19,6.908755,1,219.039694,64.356757,1035.227222,0.398032,0.062295
201302,280,19,6.908755,1,225.948449,64.469936,1099.697158,0.411731,0.075299
201303,274,19,6.908755,1,232.857203,42.187111,1141.884270,0.431364,0.099217
201304,269,18,6.908755,1,239.765958,35.605419,1177.489689,0.444284,0.101634
201305,273,19,6.908755,1,246.674713,39.718141,1217.207830,0.454501,0.087248
201306,279,19,6.908755,1,253.583468,29.262444,1246.470274,0.451299,0.076170
201307,285,19,6.908755,1,260.492223,48.938671,1295.408945,0.438641,0.077646
201308,291,20,6.908755,1,267.400977,64.532561,1359.941506,0.439796,0.073095
201309,275,19,6.908755,1,274.309732,50.324525,1410.266031,0.443836,0.092335
201310,280,19,6.908755,1,281.218487,63.294115,1473.560145,0.456188,0.105253
201311,291,20,6.908755,1,288.127242,98.786344,1572.346490,0.457438,0.111071
201312,288,20,6.908755,1,295.035996,86.949916,1659.296405,0.466257,0.094630
201401,292,20,6.908755,1,301.944751,67.867287,1727.163693,0.470708,0.067970
201402,297,20,6.908755,1,308.853506,65.991351,1793.155044,0.470250,0.073230
201403,296,20,6.908755,1,315.762261,77.246523,1870.401567,0.467447,0.076122
201404,296,20,6.908755,1,322.671016,76.451283,1946.852850,0.472864,0.091958
201405,318,22,6.908755,1,329.579770,93.636181,2040.489031,0.487611,0.125793
201406,323,22,6.908755,1,336.488525,74.428870,2114.917901,0.505326,0.183085
201407,320,22,6.908755,1,343.397280,105.294294,2220.212195,0.537372,0.196034
201408,325,22,6.908755,1,350.306035,46.573047,2266.785242,0.551557,0.221547
201409,318,22,6.908755,1,357.214790,100.969298,2367.754540,0.558573,0.238037
201410,319,22,6.908755,1,364.123544,82.070573,2449.825113,0.550673,0.250204
201411,323,22,6.908755,1,371.032299,104.050564,2553.875677,0.542574,0.268354
201412,329,22,6.908755,1,377.941054,33.924976,2587.800653,0.524544,0.280981
201501,338,23,6.908755,1,384.849809,67.066435,2654.867088,0.489111,0.287651
201502,340,23,6.908731,1,391.758540,17.575655,2672.442743,0.457676,0.289445
201503,335,23,6.908755,1,398.667295,51.442348,2723.885091,0.415519,0.281349
201504,341,23,6.908755,1,405.576050,34.465849,2758.350940,0.382575,0.271748
201505,336,23,6.908755,1,412.484804,42.870378,2801.221318,0.353381,0.274775
201506,338,23,6.908755,1,419.393559,36.398774,2837.620092,0.326295,0.294537
201507,347,24,6.908755,1,426.302314,87.073731,2924.693823,0.311429,0.304152
201508,352,24,6.908755,1,433.211069,108.829179,3033.523002,0.306977,0.308436
201509,367,25,6.908755,1,440.119824,269.194618,3302.717620,0.325335,0.338248
201510,370,25,6.908755,1,447.028578,327.132832,3629.850451,0.340117,0.361185
201511,373,25,6.908755,1,453.937333,310.873254,3940.723705,0.334138,0.365102
201512,379,26,6.908755,1,460.846088,364.203756,4304.927461,0.321916,0.355951
201601,383,26,6.908755,1,467.754843,457.913912,4762.841373,0.311956,0.364095
201602,375,25,6.908755,1,474.663597,376.483977,5139.325350,0.296554,0.364610
201603,350,24,6.908755,1,481.572352,260.079634,5399.404984,0.279996,0.353812
201604,343,23,6.908755,1,488.481107,136.288413,5535.693397,0.265922,0.333668
201605,357,24,6.908755,1,495.389862,148.743849,5684.437246,0.271634,0.320512
201606,352,24,6.908755,1,502.298617,131.779157,5816.216403,0.277105,0.311267
201607,351,24,6.908755,1,509.207371,101.612785,5917.829188,0.282396,0.298263
201608,348,24,6.908755,1,516.116126,55.415196,5973.244384,0.292479,0.286855
201609,347,24,6.908755,1,523.024881,64.132235,6037.376620,0.293835,0.294522
201610,360,24,6.908755,1,529.933636,48.652509,6086.029128,0.299578,0.303039
201611,352,24,6.908755,1,536.842390,39.974406,6126.003535,0.295837,0.293784
201612,342,23,6.908755,1,543.751145,24.789965,6150.793500,0.300857,0.297498
201701,319,22,6.908755,1,550.659900,37.732383,6188.525883,0.293440,0.299673
201702,335,23,6.908755,1,557.568655,42.645096,6231.170980,0.291651,0.305472
201703,325,22,6.908755,1,564.477410,35.495173,6266.666152,0.283347,0.270998
201704,329,22,6.908755,1,571.386164,53.157966,6319.824118,0.294015,0.234831
201705,327,22,6.908755,1,578.294919,39.291936,6359.116054,0.305402,0.188380
201706,314,21,6.908755,1,585.203674,53.398335,6412.514390,0.315296,0.140867
201707,334,23,6.908755,1,592.112429,58.183263,6470.697653,0.324683,0.076299
201708,331,23,6.908755,1,599.021183,109.071974,6579.769627,0.327639,0.025986
201709,321,22,6.908755,1,605.929938,156.816099,6736.585726,0.349648,0.005172
201710,322,22,6.908755,1,612.838693,117.889923,6854.475649,0.353220,0.004433
