date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,117.619430,117.619430,0.675398,-0.002318
200308,444,30,6.908755,1,13.817510,115.142485,232.761915,0.675398,-0.002318
200309,451,31,6.908755,1,20.726264,178.968286,411.730201,0.642402,-0.007260
200310,433,29,6.908755,1,27.635019,187.544957,599.275158,0.642402,-0.007260
200311,437,30,6.908755,1,34.543774,197.159472,796.434630,0.642402,-0.007260
200312,442,30,6.908755,1,41.452529,268.043016,1064.477646,0.642402,-0.007260
200401,441,30,6.908755,1,48.361283,309.466543,1373.944189,0.642402,-0.007260
200402,445,30,6.908755,1,55.270038,306.731195,1680.675385,0.596249,0.058977
200403,438,30,6.908755,1,62.178793,292.414356,1973.089741,0.596249,0.058977
200404,440,30,6.908755,1,69.087548,319.372659,2292.462400,0.596249,0.058977
200405,435,29,6.908755,1,75.996303,357.279919,2649.742319,0.563333,0.088148
200406,436,30,6.908755,1,82.905057,406.743893,3056.486212,0.563333,0.088148
200407,432,29,6.908755,1,89.813812,485.680966,3542.167178,0.563333,0.088148
200408,431,29,6.908755,1,96.722567,430.492439,3972.659617,0.538882,0.095512
200409,441,30,6.908755,1,103.631322,445.777420,4418.437037,0.502606,0.115334
200410,437,30,6.908755,1,110.540076,422.702495,4841.139533,0.471024,0.146637
200411,434,29,6.908755,1,117.448831,492.799694,5333.939226,0.445006,0.192491
200412,423,29,6.908755,1,124.357586,417.026529,5750.965755,0.425853,0.206684
200501,425,29,6.908755,1,131.266341,458.726055,6209.691811,0.406522,0.219972
200502,427,29,6.908755,1,138.175096,411.636196,6621.328006,0.378497,0.196377
200503,411,28,6.908755,1,145.083850,320.820841,6942.148847,0.342404,0.204049
200504,404,27,6.908755,1,151.992605,253.422662,7195.571509,0.313720,0.192793
200505,402,27,6.908755,1,158.901360,195.760253,7391.331762,0.284614,0.193122
200506,397,27,6.908755,1,165.810115,158.056817,7549.388579,0.264471,0.205843
200507,403,27,6.908755,1,172.718869,178.935471,7728.324050,0.249005,0.210426
200508,405,27,6.908755,1,179.627624,165.777974,7894.102024,0.234168,0.223742
200509,404,27,6.908755,1,186.536379,132.798736,8026.900760,0.223111,0.243879
200510,414,28,6.908755,1,193.445134,117.361012,8144.261773,0.213826,0.247798
200511,411,28,6.908755,1,200.353889,142.890496,8287.152269,0.208934,0.246918
200512,411,28,6.908755,1,207.262643,112.898945,8400.051214,0.202380,0.245460
