date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,39.351758,39.351758,0.022359,-0.023983
200308,401,27,6.908755,1,13.817510,36.756382,76.108140,0.022359,-0.023983
200309,412,28,6.908755,1,20.726264,51.763597,127.871737,0.009196,-0.033533
200310,406,28,6.908755,1,27.635019,56.657120,184.528857,0.009196,-0.033533
200311,416,28,6.908755,1,34.543774,30.746066,215.274924,0.009196,-0.033533
200312,421,29,6.908755,1,41.452529,58.047354,273.322277,0.009196,-0.033533
200401,429,29,6.908755,1,48.361283,51.725091,325.047369,0.009196,-0.033533
200402,426,29,6.908755,1,55.270038,145.730707,470.778075,0.000573,-0.040853
200403,428,29,6.908755,1,62.178793,150.644546,621.422621,0.000573,-0.040853
200404,423,29,6.908755,1,69.087548,153.419772,774.842394,0.000573,-0.040853
200405,423,29,6.908755,1,75.996303,178.841385,953.683778,0.000843,-0.052404
200406,424,29,6.908755,1,82.905057,195.412111,1149.095889,0.000843,-0.052404
200407,425,29,6.908755,1,89.813812,197.769017,1346.864906,0.000843,-0.052404
200408,428,29,6.908755,1,96.722567,168.812100,1515.677006,0.007600,-0.055948
200409,439,30,6.908755,1,103.631322,231.859089,1747.536095,0.008827,-0.068123
200410,436,30,6.908755,1,110.540076,260.135268,2007.671363,0.009529,-0.086325
200411,444,30,6.908755,1,117.448831,111.686076,2119.357439,0.018871,-0.079741
200412,445,30,6.908755,1,124.357586,99.233049,2218.590488,0.030678,-0.076227
200501,444,30,6.908755,1,131.266341,114.550800,2333.141288,0.036353,-0.081935
200502,443,30,6.908755,1,138.175096,115.155736,2448.297024,0.038345,-0.081433
200503,438,30,6.908755,1,145.083850,88.692658,2536.989681,0.038856,-0.079686
200504,436,30,6.908755,1,151.992605,43.706234,2580.695915,0.043295,-0.067497
200505,431,29,6.908755,1,158.901360,86.675392,2667.371307,0.042173,-0.065270
200506,438,30,6.908755,1,165.810115,70.896362,2738.267670,0.039777,-0.055379
200507,442,30,6.908755,1,172.718869,79.247883,2817.515553,0.039097,-0.042679
200508,439,30,6.908755,1,179.627624,56.045745,2873.561297,0.038357,-0.036107
200509,449,30,6.908755,1,186.536379,118.502935,2992.064233,0.042306,-0.027595
200510,455,31,6.908755,1,193.445134,199.058422,3191.122655,0.041359,-0.032028
200511,455,31,6.908755,1,200.353889,108.543537,3299.666192,0.042459,-0.035778
200512,446,30,6.908755,1,207.262643,96.531555,3396.197747,0.046443,-0.026603
200601,430,29,6.908755,1,214.171398,57.178401,3453.376148,0.049604,-0.022336
200602,434,29,6.908755,1,221.080153,29.788018,3483.164166,0.054428,-0.010562
200603,434,29,6.908755,1,227.988908,40.486025,3523.650191,0.056415,-0.006330
200604,431,29,6.908755,1,234.897662,52.892600,3576.542791,0.060942,0.018206
200605,433,29,6.908694,1,241.806356,16.612981,3593.155772,0.064553,0.037973
200606,421,29,6.908755,1,248.715111,43.868505,3637.024277,0.061186,0.040534
200607,423,29,6.908755,1,255.623866,81.045969,3718.070246,0.060800,0.044251
200608,414,28,6.908755,1,262.532621,50.749226,3768.819472,0.058887,0.047015
200609,415,28,6.908755,1,269.441375,77.554744,3846.374216,0.056189,0.050230
200610,380,26,6.908755,1,276.350130,44.424377,3890.798594,0.054014,0.045842
200611,389,26,6.908755,1,283.258885,52.409236,3943.207829,0.052240,0.042423
200612,380,26,6.908755,1,290.167640,51.252476,3994.460305,0.052179,0.029441
200701,378,26,6.908755,1,297.076395,29.803778,4024.264084,0.053502,0.029996
200702,356,24,6.908755,1,303.985149,57.359123,4081.623207,0.054039,0.022598
200703,353,24,6.908755,1,310.893904,49.499896,4131.123102,0.055782,0.014588
200704,367,25,6.908739,1,317.802643,17.958442,4149.081544,0.058130,0.023153
200705,371,25,6.908755,1,324.711398,48.115166,4197.196710,0.061278,0.036821
200706,370,25,6.908748,1,331.620145,18.766145,4215.962855,0.065167,0.050607
200707,362,25,6.908755,1,338.528900,30.462126,4246.424980,0.066475,0.054693
200708,356,24,6.908755,1,345.437655,47.695659,4294.120639,0.068651,0.065684
200709,364,25,6.908755,1,352.346410,160.691484,4454.812123,0.069437,0.076167
200710,386,26,6.908755,1,359.255165,47.487680,4502.299803,0.066549,0.060353
200711,379,26,6.908755,1,366.163919,49.692456,4551.992259,0.062127,0.039222
200712,395,27,6.908755,1,373.072674,162.113064,4714.105323,0.061400,0.034082
200801,394,27,6.908755,1,379.981429,102.578637,4816.683960,0.062937,0.030679
200802,400,27,6.908755,1,386.890184,156.402507,4973.086467,0.059882,0.010389
200803,401,27,6.908755,1,393.798939,113.919513,5087.005980,0.062026,0.009921
200804,408,28,6.908755,1,400.707693,170.920844,5257.926824,0.066198,0.024252
200805,414,28,6.908755,1,407.616448,187.306839,5445.233663,0.070756,0.037974
200806,439,29,6.908755,1,414.525203,255.147516,5700.381179,0.068861,0.028903
200807,449,30,6.908755,1,421.433958,366.229309,6066.610488,0.065046,0.023751
200808,447,30,6.908755,1,428.342712,363.658311,6430.268799,0.065831,0.034756
200809,440,30,6.908755,1,435.251467,267.901514,6698.170313,0.062200,0.026428
200810,440,30,6.908755,1,442.160222,311.180864,7009.351177,0.060750,0.024410
200811,446,30,6.908755,1,449.068977,456.856580,7466.207757,0.057886,0.015040
200812,518,35,6.908755,1,455.977732,367.509664,7833.717421,0.057825,0.012572
200901,499,34,6.908755,1,462.886486,291.002064,8124.719485,0.060193,0.011327
200902,506,34,6.908755,1,469.795241,373.533382,8498.252867,0.059947,0.005815
200903,529,36,6.908755,1,476.703996,361.339837,8859.592704,0.056595,-0.008681
200904,527,36,6.908755,1,483.612751,232.140357,9091.733061,0.050983,-0.024587
200905,538,36,6.908755,1,490.521505,102.869363,9194.602424,0.049252,-0.015082
200906,561,38,6.908755,1,497.430260,95.565301,9290.167725,0.036665,-0.027393
200907,575,39,6.908755,1,504.339015,76.524074,9366.691799,0.023693,-0.041184
200908,593,40,6.908755,1,511.247770,49.342500,9416.034300,0.019366,-0.041597
200909,606,41,6.908755,1,518.156525,57.587085,9473.621385,0.014738,-0.037938
200910,604,41,6.908755,1,525.065279,67.908435,9541.529821,0.007415,-0.046756
200911,601,41,6.908755,1,531.974034,70.548038,9612.077858,-0.001669,-0.051691
200912,622,42,6.908755,1,538.882789,45.909414,9657.987272,0.005520,-0.051000
201001,626,42,6.908755,1,545.791544,52.729499,9710.716771,0.011048,-0.047480
201002,638,43,6.908755,1,552.700298,63.949970,9774.666741,0.009378,-0.051058
201003,637,43,6.908755,1,559.609053,48.336441,9823.003182,0.012161,-0.052347
201004,644,43,6.908755,1,566.517808,63.541138,9886.544320,0.012261,-0.045156
201005,641,43,6.908755,1,573.426563,93.778246,9980.322566,0.000710,-0.048483
201006,648,44,6.908755,1,580.335318,107.243997,10087.566564,-0.009416,-0.051355
201007,669,45,6.908755,1,587.244072,206.124878,10293.691442,-0.024603,-0.046631
201008,667,45,6.908755,1,594.152827,313.466746,10607.158187,-0.033641,-0.032375
201009,689,46,6.908755,1,601.061582,425.526227,11032.684414,-0.049211,-0.031399
201010,703,47,6.908755,1,607.970337,473.202278,11505.886692,-0.043449,-0.041856
201011,722,49,6.908755,1,614.879091,461.416618,11967.303310,-0.031385,-0.050828
201012,732,49,6.908755,1,621.787846,413.823518,12381.126828,-0.026453,-0.050385
201101,730,49,6.908755,1,628.696601,326.525268,12707.652097,-0.015215,-0.052277
201102,744,50,6.908755,1,635.605356,293.482555,13001.134651,-0.005540,-0.054298
201103,729,49,6.908755,1,642.514111,230.527581,13231.662233,0.012892,-0.051699
201104,758,51,6.908755,1,649.422865,234.131713,13465.793946,0.018810,-0.043064
201105,767,52,6.908755,1,656.331620,251.826111,13717.620057,0.029293,-0.032475
201106,786,53,6.908755,1,663.240375,273.439470,13991.059528,0.039303,-0.020273
201107,800,54,6.908755,1,670.149130,341.518899,14332.578427,0.043942,-0.017370
201108,799,54,6.908755,1,677.057884,366.074575,14698.653001,0.050693,-0.016003
201109,820,55,6.908755,1,683.966639,508.933194,15207.586196,0.054722,-0.012425
201110,834,56,6.908755,1,690.875394,513.271101,15720.857297,0.057236,-0.013280
201111,823,55,6.908755,1,697.784149,577.053875,16297.911172,0.057485,-0.013757
201112,845,57,6.908755,1,704.692904,534.041457,16831.952629,0.056147,-0.016280
201201,858,58,6.908755,1,711.601658,406.592368,17238.544997,0.059203,-0.015002
201202,871,59,6.908755,1,718.510413,317.467787,17556.012784,0.060136,-0.012726
201203,863,58,6.908755,1,725.419168,219.844455,17775.857239,0.065120,-0.007896
201204,886,60,6.908755,1,732.327923,283.743829,18059.601067,0.070522,-0.006109
201205,877,59,6.908755,1,739.236677,398.859117,18458.460184,0.077160,0.000785
201206,892,60,6.908755,1,746.145432,350.636639,18809.096823,0.081100,0.005473
201207,896,60,6.908755,1,753.054187,281.231585,19090.328408,0.078997,0.006536
201208,894,60,6.908755,1,759.962942,280.714887,19371.043294,0.077724,0.009275
201209,930,62,6.908755,1,766.871697,291.327127,19662.370421,0.072841,0.006506
201210,942,63,6.908755,1,773.780451,238.178862,19900.549284,0.069951,0.010269
