date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,-0.599062,291,-0.599062,-0.599513,-0.599513,0.056857,-0.024076
200308,54,4,-18.292236,809,-18.891298,-18.293235,-18.892748,0.056857,-0.024076
200309,53,4,-0.384944,221,-19.276242,-0.385263,-19.278012,0.051313,-0.031353
200310,62,5,-0.751156,325,-20.027398,-0.751684,-20.029696,0.051313,-0.031353
200311,62,5,-4.294776,592,-24.322174,-4.295762,-24.325457,0.051313,-0.031353
200312,64,5,0.352846,151,-23.969328,0.353269,-23.972188,0.051313,-0.031353
200401,67,5,-1.228459,381,-25.197787,-1.229166,-25.201354,0.051313,-0.031353
200402,69,5,0.102311,148,-25.095476,0.102419,-25.098936,0.047294,-0.024294
200403,67,5,-4.141427,815,-29.236903,-4.142410,-29.241346,0.047294,-0.024294
200404,67,5,-0.361439,223,-29.598341,-0.361742,-29.603088,0.047294,-0.024294
200405,69,5,-16.162122,839,-45.760463,-16.163121,-45.766209,0.048697,-0.016644
200406,73,5,0.405702,96,-45.354761,0.406203,-45.360006,0.048697,-0.016644
200407,71,5,-1.970324,371,-47.325085,-1.971184,-47.331190,0.048697,-0.016644
200408,69,5,-0.000893,242,-47.325977,-0.000894,-47.332084,0.053677,-0.007400
200409,72,5,-0.604167,273,-47.930144,-0.604620,-47.936704,0.056913,-0.003087
200410,71,5,-2.008313,300,-49.938457,-2.009178,-49.945883,0.059045,-0.002331
200411,72,5,6.905238,1,-43.033219,12.556233,-37.389649,0.062858,-0.015159
200412,72,5,6.908751,1,-36.124468,19.412791,-17.976858,0.071930,0.005762
200501,72,5,6.561507,1,-29.562961,7.786829,-10.190029,0.072177,0.007618
200502,87,6,6.908751,1,-22.654210,19.467074,9.277045,0.068354,-0.002784
200503,88,6,3.050002,6,-19.604207,3.070323,12.347367,0.059209,-0.016390
200504,89,6,2.697859,7,-16.906349,2.711804,15.059171,0.053416,-0.019748
200505,90,6,4.578700,2,-12.327649,4.680055,19.739226,0.047292,-0.014004
200506,93,7,-2.782825,144,-15.110474,-2.783763,16.955462,0.037645,-0.042705
200507,93,7,-5.660873,164,-20.771347,-5.661869,11.293594,0.030894,-0.071438
200508,95,7,6.898645,1,-13.872702,11.496963,22.790557,0.020327,-0.135440
200509,100,7,6.906425,1,-6.966276,12.968727,35.759284,0.021543,-0.160622
200510,94,7,3.316380,4,-3.649896,3.343300,39.102583,0.019894,-0.164201
200511,94,7,6.908755,1,3.258858,24.201373,63.303956,0.006924,-0.145502
200512,95,7,6.907806,1,10.166665,13.867773,77.171729,0.012021,-0.202739
200601,100,7,6.908755,1,17.075419,22.228011,99.399740,0.017609,-0.132510
200602,103,7,4.916943,2,21.992362,5.062645,104.462385,0.028069,-0.096212
200603,101,7,0.274853,82,22.267215,0.275169,104.737554,0.034557,-0.022942
200604,103,7,0.173462,81,22.440676,0.173651,104.911205,0.039235,0.007376
200605,101,7,5.032181,2,27.472858,5.197371,110.108576,0.054148,0.055740
200606,130,9,6.381387,1,33.854245,7.272367,117.380943,0.043508,0.037812
200607,127,9,6.908755,1,40.763000,34.186019,151.566962,0.037093,0.040558
200608,134,9,6.743682,1,47.506682,8.625451,160.192413,0.030669,0.029333
200609,128,9,6.908739,1,54.415421,17.988030,178.180443,0.024034,-0.022898
200610,164,11,6.908755,1,61.324176,36.450848,214.631291,0.021529,-0.014969
200611,164,11,6.908755,1,68.232931,54.509289,269.140579,0.023502,-0.000920
200612,159,11,6.908755,1,75.141685,30.529084,299.669663,0.028276,-0.011285
200701,158,11,6.908755,1,82.050440,45.940134,345.609797,0.032748,-0.011159
200702,184,13,6.907198,1,88.957638,13.371907,358.981705,0.035297,-0.020653
200703,185,13,6.908734,1,95.866371,17.670162,376.651866,0.039684,0.015894
200704,185,13,6.908754,1,102.775125,20.920965,397.572831,0.042629,0.008698
200705,188,13,6.908755,1,109.683880,26.399688,423.972519,0.041466,-0.001711
200706,184,13,6.908755,1,116.592635,26.536741,450.509260,0.043397,-0.028150
200707,184,13,6.908755,1,123.501390,23.313769,473.823029,0.044549,-0.016624
200708,186,13,6.858370,1,130.359760,9.870526,483.693556,0.046767,-0.022139
200709,192,13,6.908755,1,137.268515,34.284108,517.977663,0.045382,-0.028823
200710,183,13,6.900374,1,144.168889,11.685416,529.663080,0.042129,-0.057920
200711,185,13,6.908755,1,151.077644,33.718722,563.381802,0.038394,-0.069084
200712,186,13,6.908755,1,157.986398,32.304012,595.685814,0.038956,-0.074203
200801,178,12,6.908755,1,164.895153,35.268811,630.954625,0.035821,-0.068186
200802,179,12,6.908755,1,171.803908,31.451788,662.406412,0.020356,-0.073074
200803,178,12,-10.439423,5,161.364485,-10.440422,651.965990,0.022996,-0.094364
200804,177,12,6.908755,1,168.273240,68.108310,720.074300,0.025802,-0.098501
200805,177,12,6.908755,1,175.181995,65.461757,785.536057,0.034417,-0.068793
200806,178,12,6.908755,1,182.090750,71.039419,856.575476,0.036604,-0.064567
200807,176,12,6.908755,1,188.999504,66.142816,922.718292,0.038990,-0.040128
200808,176,12,6.908755,1,195.908259,64.965819,987.684112,0.051472,-0.003921
200809,173,12,-156.467966,859,39.440293,-156.468966,831.215146,0.043808,-0.033930
200810,172,12,6.908755,1,46.349048,138.009120,969.224266,0.045087,-0.027005
200811,173,12,6.908755,1,53.257802,140.394356,1109.618621,0.040171,-0.054897
200812,103,7,6.908221,1,60.166023,14.442539,1124.061161,0.036362,-0.063784
200901,101,7,6.908755,1,67.074778,33.270009,1157.331170,0.037985,-0.072277
200902,104,7,6.908755,1,73.983533,44.587463,1201.918633,0.038331,-0.082936
200903,126,9,6.902160,1,80.885693,11.925900,1213.844533,0.040835,-0.070426
200904,132,9,6.908580,1,87.794272,15.557996,1229.402529,0.036661,-0.073112
200905,134,9,4.255714,3,92.049986,4.327755,1233.730284,0.038581,-0.067529
200906,129,9,6.675001,1,98.724987,8.242091,1241.972375,0.032554,-0.056948
200907,131,9,2.425367,19,101.150354,2.435727,1244.408102,0.024131,-0.042242
200908,132,9,0.963666,36,102.114020,0.965289,1245.373390,0.020451,-0.036806
200909,134,9,2.802652,9,104.916672,2.818261,1248.191652,0.014860,-0.034952
200910,138,10,6.906926,1,111.823598,13.210762,1261.402414,0.005929,-0.041430
200911,141,10,5.325013,2,117.148611,5.553686,1266.956099,-0.002395,-0.047584
200912,144,10,-14.478737,350,102.669873,-14.479737,1252.476363,0.006381,-0.046197
201001,141,10,4.141895,3,106.811769,4.205817,1256.682180,0.014419,-0.022910
201002,156,11,5.901682,1,112.713450,6.355264,1263.037444,0.016646,-0.015794
201003,158,11,6.606776,1,119.320226,7.950367,1270.987811,0.024539,-0.005425
201004,157,11,5.773160,1,125.093386,6.159635,1277.147446,0.006400,-0.021781
201005,159,11,6.908455,1,132.001842,15.021597,1292.169043,-0.013852,-0.032304
201006,156,11,6.908755,1,138.910597,42.687544,1334.856587,-0.044167,-0.038142
201007,160,11,6.908755,1,145.819351,66.447825,1401.304412,-0.065752,-0.044324
201008,161,11,6.908755,1,152.728106,143.554907,1544.859319,-0.084319,-0.067292
201009,163,11,6.908755,1,159.636861,239.784196,1784.643515,-0.109101,-0.079113
201010,163,11,6.908755,1,166.545616,203.845313,1988.488828,-0.075752,-0.082494
201011,165,11,6.908755,1,173.454371,113.823348,2102.312176,-0.042447,-0.047098
201012,165,11,6.908755,1,180.363125,45.054115,2147.366290,-0.012623,-0.015784
201101,165,11,6.908755,1,187.271880,41.765913,2189.132204,0.003667,-0.003705
201102,174,12,6.908755,1,194.180635,26.624260,2215.756464,0.018050,0.010354
201103,173,12,6.908754,1,201.089389,21.779841,2237.536305,0.038230,0.022099
201104,175,12,5.252559,2,206.341948,5.463347,2242.999652,0.043573,0.023914
201105,177,12,6.908755,1,213.250703,29.844352,2272.844004,0.048693,0.022710
201106,181,13,6.908755,1,220.159458,26.263638,2299.107641,0.053925,0.028480
201107,181,13,6.908755,1,227.068212,38.201283,2337.308924,0.048730,0.011195
201108,182,13,6.908755,1,233.976967,33.610635,2370.919559,0.053736,0.010468
201109,182,13,6.908755,1,240.885722,34.249642,2405.169202,0.057750,0.011104
201110,186,13,6.908755,1,247.794477,29.967117,2435.136319,0.057809,0.006621
201111,160,11,6.908755,1,254.703232,25.981485,2461.117803,0.054505,0.003925
201112,159,11,6.908755,1,261.611986,33.252955,2494.370758,0.055772,0.004668
201201,159,11,6.908755,1,268.520741,38.551220,2532.921979,0.066113,0.027283
201202,160,11,6.908384,1,275.429125,14.806299,2547.728278,0.065569,0.025773
201203,161,11,6.908690,1,282.337814,16.545372,2564.273650,0.068097,0.018816
201204,158,11,6.712992,1,289.050807,8.439131,2572.712781,0.070675,0.019226
201205,169,12,6.908755,1,295.959561,22.897465,2595.610246,0.076388,0.029010
201206,172,12,6.908755,1,302.868316,35.232159,2630.842405,0.078598,0.033300
201207,178,12,6.908755,1,309.777071,26.034994,2656.877399,0.074710,0.023692
201208,170,12,6.907955,1,316.685025,14.037911,2670.915311,0.073393,0.024177
201209,177,12,6.906628,1,323.591653,13.059786,2683.975097,0.068826,0.025867
201210,175,12,6.908689,1,330.500342,16.536351,2700.511448,0.065298,0.023323
201211,177,12,6.908755,1,337.409097,23.298943,2723.810392,0.058931,0.020003
201212,173,12,6.898860,1,344.307957,11.518600,2735.328992,0.058455,0.012016
201301,173,12,6.908755,1,351.216712,23.183380,2758.512372,0.063124,0.024737
201302,180,12,6.494744,1,357.711456,7.575480,2766.087852,0.065144,0.022282
201303,182,13,6.908183,1,364.619639,14.374439,2780.462291,0.069001,0.026112
201304,175,12,6.905251,1,371.524890,12.559925,2793.022217,0.074013,0.032629
201305,177,12,6.908750,1,378.433640,19.145566,2812.167783,0.076251,0.040651
201306,190,13,6.908755,1,385.342394,46.188502,2858.356285,0.079850,0.039978
201307,193,13,6.908755,1,392.251149,35.026125,2893.382411,0.081637,0.045413
201308,194,13,6.908755,1,399.159904,38.168991,2931.551402,0.084709,0.046207
201309,197,14,6.908755,1,406.068659,46.847293,2978.398695,0.083966,0.049289
201310,198,14,6.908755,1,412.977414,39.659068,3018.057763,0.080656,0.042468
201311,200,14,6.908755,1,419.886168,29.580953,3047.638716,0.082812,0.032316
201312,219,15,6.908755,1,426.794923,52.939837,3100.578554,0.083807,0.033065
201401,216,15,6.908755,1,433.703678,50.075861,3150.654415,0.086923,0.032153
201402,218,15,6.908755,1,440.612433,47.480151,3198.134566,0.084951,0.037259
201403,215,15,6.908755,1,447.521187,59.012153,3257.146719,0.085881,0.040779
201404,214,15,6.908755,1,454.429942,42.791076,3299.937796,0.086847,0.044854
201405,216,15,6.908755,1,461.338697,65.784838,3365.722633,0.084425,0.047221
201406,231,16,6.908755,1,468.247452,63.668282,3429.390916,0.079989,0.049317
201407,234,16,6.908755,1,475.156207,39.121581,3468.512497,0.073003,0.040422
201408,236,16,6.908755,1,482.064961,34.860286,3503.372783,0.072396,0.043201
201409,237,16,6.908755,1,488.973716,36.943873,3540.316657,0.071814,0.043895
201410,235,16,6.908755,1,495.882471,45.400971,3585.717628,0.071202,0.047432
201411,234,16,6.908755,1,502.791226,74.616173,3660.333800,0.072626,0.054087
201412,236,16,6.908755,1,509.699980,42.945543,3703.279344,0.073307,0.050078
201501,231,16,6.908755,1,516.608735,52.240773,3755.520117,0.076405,0.048611
201502,227,16,6.908755,1,523.517490,40.631314,3796.151431,0.073499,0.044902
201503,229,16,6.908755,1,530.426245,52.488681,3848.640111,0.071785,0.038138
201504,246,17,6.908755,1,537.335000,60.519674,3909.159785,0.070895,0.032237
201505,241,17,6.908755,1,544.243754,79.020378,3988.180163,0.071080,0.031045
201506,251,17,6.908755,1,551.152509,80.708223,4068.888386,0.069573,0.026387
201507,252,17,6.908755,1,558.061264,136.965903,4205.854289,0.065986,0.026209
201508,252,17,6.908755,1,564.970019,202.645241,4408.499530,0.067232,0.029587
201509,254,17,6.908755,1,571.878774,222.145608,4630.645138,0.066045,0.027129
201510,253,17,6.908755,1,578.787528,270.007697,4900.652835,0.064220,0.032387
201511,252,17,6.908755,1,585.696283,237.890788,5138.543623,0.059514,0.020873
201512,258,18,6.908755,1,592.605038,167.069092,5305.612715,0.058627,0.019400
201601,251,17,6.908755,1,599.513793,243.544910,5549.157625,0.059850,0.021710
201602,226,16,6.908755,1,606.422547,219.598535,5768.756160,0.058815,0.017888
201603,234,16,6.908755,1,613.331302,121.168714,5889.924874,0.059856,0.021716
