date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,2.610071,7,2.610071,2.622751,2.622751,0.107179,0.003103
200308,24,2,1.809440,81,4.419511,1.814560,4.437311,0.107179,0.003103
200309,26,2,0.853565,132,5.273076,0.854914,5.292225,0.087320,0.011478
200310,26,2,1.108856,120,6.381932,1.110889,6.403114,0.087320,0.011478
200311,25,2,-7.795172,784,-1.413240,-7.796171,-1.393057,0.087320,0.011478
200312,25,2,-0.868512,206,-2.281752,-0.869092,-2.262149,0.087320,0.011478
200401,27,2,1.586292,59,-0.695460,1.590185,-0.671964,0.087320,0.011478
200402,28,2,-0.171968,162,-0.867428,-0.172126,-0.844090,0.083439,0.000663
200403,29,2,-8.249025,222,-9.116453,-8.250024,-9.094114,0.083439,0.000663
200404,27,2,-1.601831,157,-10.718283,-1.602629,-10.696743,0.083439,0.000663
200405,31,3,-4.517657,161,-15.235940,-4.518645,-15.215388,0.075365,-0.009404
200406,33,3,2.784536,14,-12.451404,2.799844,-12.415544,0.075365,-0.009404
200407,34,3,3.897615,4,-8.553789,3.947105,-8.468439,0.075365,-0.009404
200408,34,3,4.885747,1,-3.668042,5.026607,-3.441832,0.077884,0.006562
200409,33,3,3.034568,3,-0.633474,3.054558,-0.387273,0.075098,0.045824
200410,33,3,4.333604,2,3.700130,4.411802,4.024529,0.070609,0.030136
200411,34,3,5.692080,1,9.392210,6.042360,10.066889,0.072111,0.066689
200412,34,3,5.165567,1,14.557776,5.356893,15.423782,0.072628,0.075175
200501,36,3,-12.410519,698,2.147257,-12.411519,3.012263,0.074687,0.116779
200502,36,3,5.009710,1,7.156967,5.170890,8.183153,0.072318,0.118452
200503,35,3,2.078450,27,9.235417,2.085467,10.268620,0.066659,0.096255
200504,38,3,-1.185406,87,8.050011,-1.186100,9.082520,0.065274,0.102879
200505,38,3,0.802908,81,8.852919,0.804140,9.886660,0.063228,0.095085
200506,38,3,2.310870,11,11.163789,2.319995,12.206655,0.056345,0.111411
200507,43,3,1.039543,85,12.203332,1.041373,13.248028,0.046754,0.052960
200508,43,3,1.397213,44,13.600545,1.400262,14.648289,0.042493,0.024623
200509,43,3,0.765857,98,14.366402,0.767008,15.415298,0.043401,0.011028
200510,43,3,0.701003,173,15.067405,0.702020,16.117317,0.018406,0.016981
200511,45,3,3.331015,2,18.398420,3.358352,19.475669,0.015731,-0.006363
200512,45,3,1.648142,10,20.046563,1.652348,21.128018,0.017731,-0.018827
200601,46,4,2.027745,4,22.074307,2.034363,23.162381,0.024964,0.011070
200602,48,4,0.485273,111,22.559580,0.485898,23.648279,0.025401,0.026057
200603,46,4,3.057597,4,25.617177,3.078082,26.726360,0.023088,0.030604
200604,46,4,0.387038,190,26.004215,0.387511,27.113871,0.046511,0.117251
200605,47,4,-0.890492,71,25.113723,-0.891081,26.222790,0.046116,0.137066
200606,47,4,3.916901,2,29.030624,3.967399,30.190189,0.041695,0.091512
200607,48,4,4.501614,1,33.532238,4.595005,34.785194,0.038054,0.074248
200608,48,4,4.128797,1,37.661035,4.191847,38.977041,0.036433,0.065467
200609,48,4,2.710591,9,40.371626,2.724729,41.701769,0.033167,0.049439
200610,48,4,3.762564,4,44.134190,3.805532,45.507302,0.032169,0.029173
200611,49,4,5.911543,1,50.045732,6.370844,51.878146,0.010920,0.054317
200612,50,4,-2.966760,201,47.078972,-2.967708,48.910438,0.012609,0.019152
200701,49,4,3.588879,7,50.667851,3.624706,52.535144,0.014876,-0.009179
200702,48,4,-10.297219,497,40.370632,-10.298218,42.236926,0.016453,-0.006466
200703,48,4,-2.666416,122,37.704216,-2.667346,39.569580,0.020573,-0.061811
200704,49,4,1.668592,35,39.372808,1.672906,41.242485,0.023254,-0.055044
200705,50,4,-1.756142,635,37.616666,-1.756969,39.485517,0.044009,-0.038784
200706,49,4,-11.500220,661,26.116446,-11.501219,27.984297,0.047429,-0.030424
200707,50,4,-2.640574,293,23.475872,-2.641502,25.342795,0.048370,-0.018029
200708,50,4,-11.492432,52,11.983439,-11.493432,13.849363,0.048264,-0.009128
200709,53,4,-14.929193,544,-2.945753,-14.930192,-1.080829,0.041673,0.000505
200710,54,4,-0.718745,149,-3.664498,-0.719257,-1.800087,0.041957,-0.024051
200711,56,4,-18.222526,860,-21.887024,-18.223525,-20.023612,0.042192,-0.009993
200712,55,4,2.185392,9,-19.701632,2.193318,-17.830294,0.043789,-0.003842
200801,54,4,-3.274862,87,-22.976493,-3.275823,-21.106117,0.047813,0.041796
200802,55,4,-9.725912,89,-32.702405,-9.726911,-30.833028,0.049873,0.051774
200803,56,4,-6.032528,22,-38.734932,-6.033525,-36.866553,0.056429,0.115232
200804,55,4,-3.381266,71,-42.116198,-3.382231,-40.248784,0.053453,0.060422
200805,55,4,2.550297,2,-39.565901,2.562179,-37.686606,0.053085,0.059833
200806,56,4,6.437684,1,-33.128217,7.415737,-30.270868,0.050701,0.044763
200807,56,4,-15.406634,237,-48.534851,-15.407634,-45.678502,0.043390,-0.027829
200808,57,4,6.908691,1,-41.626160,16.572176,-29.106326,0.041702,-0.069952
200809,57,4,-79.403189,983,-121.029349,-79.404188,-108.510514,0.034363,-0.063821
200810,55,4,6.894395,1,-114.134954,11.143881,-97.366634,0.035676,-0.080524
200811,55,4,6.908754,1,-107.226199,21.841388,-75.525246,0.033930,-0.096588
200812,55,4,6.550413,1,-100.675787,7.749507,-67.775739,0.034104,-0.118643
200901,58,4,6.908755,1,-93.767032,27.604786,-40.170953,0.026908,-0.119355
200902,56,4,6.908755,1,-86.858277,35.010110,-5.160843,0.028587,-0.107226
200903,17,2,-3.159757,311,-90.018034,-3.160715,-8.321557,0.031840,-0.097016
200904,20,2,-0.701528,502,-90.719563,-0.702032,-9.023589,0.020855,-0.078659
200905,19,2,-0.368811,395,-91.088373,-0.369119,-9.392708,0.021490,-0.069915
200906,19,2,0.417871,233,-90.670503,0.418389,-8.974319,0.011499,-0.100525
200907,22,2,0.359602,188,-90.310900,0.360035,-8.614284,0.011511,-0.076762
200908,22,2,0.013990,322,-90.296910,0.014004,-8.600280,0.014618,-0.038487
200909,22,2,0.446739,32,-89.850171,0.447302,-8.152978,0.019639,-0.023279
200910,17,2,0.521622,62,-89.328550,0.522307,-7.630671,0.024714,-0.005059
200911,18,2,0.675704,63,-88.652845,0.676670,-6.954000,0.024294,-0.010081
200912,18,2,0.373733,278,-88.279112,0.374186,-6.579814,0.037826,-0.008662
201001,17,2,0.065184,334,-88.213928,0.065252,-6.514562,0.052407,0.001452
201002,9,2,0.196385,159,-88.017543,0.196602,-6.317960,0.056509,-0.019400
201003,9,2,0.502119,15,-87.515424,0.502771,-5.815189,0.060699,-0.011710
201004,9,2,-1.581918,742,-89.097341,-1.582712,-7.397901,0.040222,-0.015843
201005,9,2,-2.190858,983,-91.288199,-2.191746,-9.589646,0.025722,-0.026010
201006,9,2,0.567888,76,-90.720311,0.568653,-9.020993,0.000483,0.003984
201007,9,2,0.026428,99,-90.693883,0.026455,-8.994538,-0.009951,-0.001110
