date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,1.541841,21,1.541841,1.545521,1.545521,-0.315323,0.075796
200308,88,6,6.878428,1,8.420269,10.388277,11.933799,-0.315323,0.075796
200309,94,7,3.760513,5,12.180783,3.803390,15.737189,-0.312942,0.094210
200310,97,7,6.908125,1,19.088907,14.276866,30.014055,-0.312942,0.094210
200311,98,7,6.903592,1,25.992500,12.171505,42.185560,-0.312942,0.094210
200312,96,7,6.250907,1,32.243407,6.979646,49.165206,-0.312942,0.094210
200401,106,8,6.902342,1,39.145748,11.953961,61.119167,-0.312942,0.094210
200402,101,7,6.908755,1,46.054503,23.940359,85.059525,-0.327564,0.145238
200403,106,8,6.908754,1,52.963257,20.779737,105.839262,-0.327564,0.145238
200404,107,8,6.908755,1,59.872012,39.089636,144.928898,-0.327564,0.145238
200405,108,8,6.908755,1,66.780766,24.106952,169.035850,-0.346105,0.135897
200406,106,8,6.908755,1,73.689521,44.131820,213.167670,-0.346105,0.135897
200407,110,8,6.908755,1,80.598276,51.482810,264.650481,-0.346105,0.135897
200408,108,8,6.908755,1,87.507031,33.345226,297.995707,-0.349723,0.088684
200409,111,8,6.908755,1,94.415786,53.417546,351.413253,-0.354394,0.108218
200410,108,8,6.908755,1,101.324540,53.878224,405.291478,-0.345516,0.123292
200411,109,8,6.908755,1,108.233295,47.095310,452.386788,-0.318605,0.108886
200412,116,8,6.908755,1,115.142050,40.376427,492.763215,-0.287202,0.083050
200501,115,8,6.908755,1,122.050805,37.087598,529.850813,-0.246500,0.030587
200502,115,8,6.908755,1,128.959559,39.099351,568.950164,-0.217096,0.017199
200503,111,8,6.908034,1,135.867593,14.142417,583.092581,-0.189861,0.018776
200504,100,7,-9.761140,35,126.106454,-9.762139,573.330442,-0.199366,-0.004934
200505,98,7,6.571952,1,132.678405,7.822889,581.153331,-0.204754,-0.023512
200506,104,7,6.908755,1,139.587160,25.348830,606.502161,-0.204299,-0.035614
200507,105,7,6.905287,1,146.492448,12.570386,619.072547,-0.223533,-0.054884
200508,104,7,6.901265,1,153.393712,11.798186,630.870733,-0.217151,-0.106712
200509,101,7,6.908747,1,160.302459,18.631163,649.501896,-0.212290,-0.097572
200510,103,7,6.907723,1,167.210182,13.783232,663.285128,-0.211255,-0.110422
200511,101,7,-0.960831,44,166.249351,-0.961448,662.323680,-0.187757,-0.108848
200512,116,8,6.908749,1,173.158099,18.931952,681.255632,-0.177893,-0.108225
200601,116,8,6.902626,1,180.060725,11.999462,693.255093,-0.148444,-0.123976
200602,116,8,6.908754,1,186.969479,20.696576,713.951670,-0.139566,-0.112966
200603,118,8,6.906251,1,193.875730,12.896518,726.848188,-0.122498,-0.123731
200604,117,8,6.899380,1,200.775110,11.572761,738.420949,-0.079664,-0.130278
200605,120,8,6.896739,1,207.671849,11.323275,749.744224,-0.074503,-0.133131
200606,128,9,6.908755,1,214.580604,36.741806,786.486030,-0.066372,-0.132298
