date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.908660,1,6.908660,16.167563,16.167563,-0.122016,-0.031275
200308,143,10,6.908753,1,13.817412,19.933467,36.101030,-0.122016,-0.031275
200309,148,10,6.908755,1,20.726167,28.511758,64.612788,-0.114830,-0.026277
200310,150,10,6.908755,1,27.634922,25.794660,90.407448,-0.114830,-0.026277
200311,152,11,6.908755,1,34.543676,22.845919,113.253367,-0.114830,-0.026277
200312,150,10,6.908755,1,41.452431,27.922192,141.175559,-0.114830,-0.026277
200401,139,10,6.908755,1,48.361186,22.817092,163.992652,-0.114830,-0.026277
200402,143,10,6.908750,1,55.269936,19.111830,183.104481,-0.090875,-0.040146
200403,139,10,6.908263,1,62.178199,14.525223,197.629704,-0.090875,-0.040146
200404,135,9,6.908518,1,69.086717,15.256866,212.886570,-0.090875,-0.040146
200405,140,10,6.908755,1,75.995472,26.112107,238.998677,-0.086130,-0.029168
200406,146,10,6.908755,1,82.904226,41.071320,280.069997,-0.086130,-0.029168
200407,152,11,6.908755,1,89.812981,35.301805,315.371802,-0.086130,-0.029168
200408,153,11,6.908755,1,96.721736,27.854797,343.226599,-0.057863,-0.009497
200409,155,11,6.908745,1,103.630481,18.464153,361.690752,-0.052906,-0.004562
200410,162,11,6.908755,1,110.539236,46.835764,408.526515,-0.034172,-0.015167
200411,167,12,6.908755,1,117.447991,24.827338,433.353854,-0.019477,-0.020845
200412,163,11,6.908753,1,124.356743,19.940549,453.294403,-0.014466,-0.034089
200501,164,11,6.908749,1,131.265492,18.982476,472.276880,-0.009618,-0.053779
200502,169,12,6.908755,1,138.174247,25.165553,497.442433,-0.026124,-0.051882
200503,172,12,6.908755,1,145.083002,27.683814,525.126247,-0.016976,-0.053556
200504,187,13,6.908755,1,151.991757,43.498788,568.625035,-0.038290,-0.070766
200505,196,14,6.908755,1,158.900512,76.736559,645.361594,-0.036281,-0.077551
200506,190,13,6.908755,1,165.809266,52.517926,697.879520,-0.033983,-0.087800
200507,190,13,6.908755,1,172.718021,85.495844,783.375364,-0.041187,-0.084139
200508,190,13,6.908755,1,179.626776,73.668695,857.044059,-0.039309,-0.091486
200509,197,14,6.908755,1,186.535531,106.169520,963.213579,-0.039560,-0.089039
200510,194,13,6.908755,1,193.444285,72.776903,1035.990481,-0.018436,-0.067158
200511,197,14,6.908755,1,200.353040,85.828673,1121.819155,-0.015177,-0.056369
200512,165,11,6.908755,1,207.261795,31.399875,1153.219030,-0.007611,-0.047977
200601,164,11,6.908755,1,214.170550,26.475122,1179.694152,0.014199,-0.039128
200602,171,12,6.908586,1,221.079136,15.596270,1195.290422,0.030316,-0.026946
200603,168,12,6.908755,1,227.987891,22.100936,1217.391358,0.041377,0.001806
200604,158,11,6.908755,1,234.896645,42.303876,1259.695234,0.043678,0.005244
200605,152,11,6.908755,1,241.805400,26.811151,1286.506385,0.056769,0.007318
200606,142,10,2.331220,5,244.136620,2.340554,1288.846939,0.057649,0.014197
200607,141,10,3.681891,3,247.818511,3.721382,1292.568322,0.057734,0.015870
200608,140,10,2.507952,7,250.326463,2.519296,1295.087617,0.065291,0.015129
200609,142,10,6.858806,1,257.185269,9.879437,1304.967054,0.067574,0.011250
200610,143,10,6.908755,1,264.094024,22.907940,1327.874994,0.074478,0.013365
200611,157,11,6.908755,1,271.002779,29.316189,1357.191182,0.073818,0.007134
200612,147,10,5.181800,3,276.184579,5.376603,1362.567785,0.088737,0.011969
200701,152,11,6.908530,1,283.093109,15.308210,1377.875995,0.094703,0.008345
200702,157,11,6.906160,1,289.999269,12.860648,1390.736643,0.099971,0.022201
