date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,128.847220,128.847220,-0.072566,-0.011170
200308,444,30,6.908755,1,13.817510,139.389902,268.237122,-0.072566,-0.011170
200309,451,31,6.908755,1,20.726264,177.015016,445.252138,-0.090525,-0.033039
200310,433,29,6.908755,1,27.635019,141.274463,586.526601,-0.090525,-0.033039
200311,437,30,6.908755,1,34.543774,179.403116,765.929717,-0.090525,-0.033039
200312,442,30,6.908755,1,41.452529,142.952487,908.882204,-0.090525,-0.033039
200401,441,30,6.908755,1,48.361283,161.566899,1070.449103,-0.090525,-0.033039
200402,445,30,6.908755,1,55.270038,153.289207,1223.738310,-0.084736,-0.036662
200403,438,30,6.908755,1,62.178793,178.076856,1401.815165,-0.084736,-0.036662
200404,440,30,6.908755,1,69.087548,166.911409,1568.726575,-0.084736,-0.036662
200405,435,29,6.908755,1,75.996303,205.279391,1774.005965,-0.078599,-0.042307
200406,436,30,6.908755,1,82.905057,202.144979,1976.150944,-0.078599,-0.042307
200407,432,29,6.908755,1,89.813812,249.968788,2226.119732,-0.078599,-0.042307
200408,431,29,6.908755,1,96.722567,224.051325,2450.171057,-0.066615,-0.047442
200409,441,30,6.908755,1,103.631322,232.965588,2683.136645,-0.055805,-0.058086
200410,437,30,6.908755,1,110.540076,254.024239,2937.160884,-0.046715,-0.067990
200411,434,29,6.908755,1,117.448831,151.304222,3088.465106,-0.029193,-0.063297
200412,423,29,6.908755,1,124.357586,141.736836,3230.201942,-0.015416,-0.061702
200501,425,29,6.908755,1,131.266341,149.254539,3379.456481,-0.002134,-0.059389
200502,427,29,6.908755,1,138.175096,120.555349,3500.011830,0.002384,-0.060591
200503,411,28,6.908755,1,145.083850,156.097313,3656.109143,0.005956,-0.065354
200504,404,27,6.908755,1,151.992605,157.807558,3813.916702,0.012146,-0.069400
200505,402,27,6.908755,1,158.901360,152.945335,3966.862036,0.013777,-0.076155
200506,397,27,6.908755,1,165.810115,161.028060,4127.890096,0.016413,-0.075993
