date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.908747,1,6.908747,18.679755,18.679755,22.118707,11.930242
200308,365,25,6.908747,1,13.817494,18.660039,37.339795,22.118707,11.930242
200309,373,25,6.905400,1,20.722894,12.603308,49.943102,25.556414,13.548700
200310,367,25,6.908755,1,27.631648,32.273083,82.216186,25.556414,13.548700
200311,373,25,6.908754,1,34.540402,21.015353,103.231539,25.556414,13.548700
200312,376,26,6.908755,1,41.449157,24.643942,127.875481,25.556414,13.548700
200401,379,26,6.430186,1,47.879343,7.395901,135.271383,25.556414,13.548700
200402,375,25,6.908755,1,54.788098,38.949390,174.220773,27.308943,13.771542
200403,377,26,6.908755,1,61.696853,33.297768,207.518541,27.308943,13.771542
200404,372,25,6.908755,1,68.605607,30.462195,237.980736,27.308943,13.771542
200405,371,25,6.908755,1,75.514362,51.958184,289.938919,28.703048,14.950178
200406,372,25,6.908634,1,82.422997,15.932456,305.871376,28.703048,14.950178
200407,374,25,6.908755,1,89.331751,35.642982,341.514358,28.703048,14.950178
200408,377,26,6.908755,1,96.240506,60.935103,402.449461,28.280205,16.497317
200409,386,26,6.908755,1,103.149261,65.257139,467.706600,33.610380,19.450265
200410,383,26,6.908755,1,110.058016,64.149586,531.856185,30.947106,17.459291
200411,393,27,6.908755,1,116.966770,39.969236,571.825421,27.284973,18.563832
200412,393,27,6.908755,1,123.875525,52.064613,623.890034,21.029460,13.370614
200501,391,27,6.908755,1,130.784280,57.971360,681.861394,15.221442,8.271285
200502,388,26,6.908755,1,137.693035,39.956703,721.818097,13.057012,7.011992
200503,384,26,6.908755,1,144.601790,65.750610,787.568707,9.596138,12.400935
200504,381,26,6.908755,1,151.510544,53.157106,840.725813,9.747833,19.400422
200505,377,26,6.908755,1,158.419299,66.265071,906.990883,8.966126,24.291755
200506,386,26,6.908755,1,165.328054,78.026357,985.017240,5.534904,20.347270
200507,392,27,6.908755,1,172.236809,81.555408,1066.572648,2.620145,16.895555
200508,390,26,6.908755,1,179.145563,57.302235,1123.874883,0.902124,14.404637
200509,398,27,6.908755,1,186.054318,99.780573,1223.655456,0.173558,12.642935
200510,403,27,6.908755,1,192.963073,80.973108,1304.628564,1.921817,18.699102
200511,402,27,6.908755,1,199.871828,105.206989,1409.835552,0.211314,13.605216
200512,390,26,6.908755,1,206.780583,50.013362,1459.848915,-0.387888,21.701149
200601,375,25,6.908755,1,213.689337,73.210718,1533.059632,-2.056187,13.500497
200602,380,26,6.908755,1,220.598092,77.579973,1610.639606,-2.372061,11.181508
