date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,2.301824,20,2.301824,2.310857,2.310857,7.498257,-18.387865
200308,52,4,-6.062523,245,-3.760699,-6.063520,-3.752663,7.498257,-18.387865
200309,51,4,4.231861,3,0.471162,4.302117,0.549454,9.649609,-25.473772
200310,59,4,1.643799,38,2.114960,1.647982,2.197436,9.649609,-25.473772
200311,59,4,-2.078156,307,0.036804,-2.079031,0.118405,9.649609,-25.473772
200312,61,5,-1.999293,235,-1.962489,-2.000157,-1.881752,9.649609,-25.473772
200401,64,5,1.998861,16,0.036372,2.005262,0.123510,9.649609,-25.473772
200402,66,5,0.573968,70,0.610340,0.574743,0.698254,12.415490,-7.685186
200403,65,5,-0.134508,215,0.475832,-0.134634,0.563620,12.415490,-7.685186
200404,65,5,-1.513284,495,-1.037452,-1.514064,-0.950444,12.415490,-7.685186
200405,65,5,-2.413023,104,-3.450475,-2.413933,-3.364377,14.625467,-7.174090
200406,69,5,1.496225,43,-1.954250,1.499696,-1.864681,14.625467,-7.174090
200407,66,5,2.281552,15,0.327302,2.290383,0.425702,14.625467,-7.174090
200408,64,5,-0.318998,107,0.008303,-0.319271,0.106430,14.927580,-5.191623
200409,67,5,-0.961361,121,-0.953058,-0.961979,-0.855548,26.348043,-6.984705
200410,66,5,-0.843225,189,-1.796283,-0.843795,-1.699343,29.485231,10.468837
200411,67,5,-0.573419,120,-2.369702,-0.573856,-2.273198,33.999398,31.441614
200412,67,5,2.939957,12,0.570255,2.958035,0.684836,36.900172,39.210884
200501,67,5,6.659240,1,7.229496,8.168644,8.853480,37.270891,42.627307
200502,82,6,6.849515,1,14.079010,9.704150,18.557630,38.242192,54.734135
200503,83,6,6.905632,1,20.984642,12.675103,31.232733,42.034844,64.783860
200504,84,6,6.842029,1,27.826671,9.581366,40.814099,42.498083,79.750848
200505,85,6,6.636416,1,34.463087,8.069207,48.883305,30.812565,68.788226
200506,88,6,0.579150,30,35.042237,0.579935,49.463241,23.185884,52.158996
200507,88,6,-15.334236,685,19.708002,-15.335235,34.128005,23.599132,33.120600
200508,90,6,4.941278,2,24.649280,5.090880,39.218885,16.553383,27.404778
200509,95,7,-3.598778,102,21.050501,-3.599751,35.619135,10.327094,2.426438
200510,89,6,5.267481,2,26.317982,5.481821,41.100956,10.111288,7.278476
200511,89,6,3.713211,5,30.031193,3.754018,44.854974,9.012359,8.194599
200512,90,6,-47.323263,615,-17.292070,-47.324263,-2.469289,4.988908,16.963999
200601,94,7,-1.871982,245,-19.164052,-1.872828,-4.342117,0.354653,11.603731
200602,97,7,4.565018,4,-14.599034,4.664910,0.322793,2.711263,22.852161
200603,95,7,-2.910609,218,-17.509642,-2.911554,-2.588761,2.409344,20.515933
200604,97,7,-1.422230,161,-18.931872,-1.422989,-4.011749,-3.085855,-6.294597
200605,95,7,-1.766092,123,-20.697965,-1.766921,-5.778670,-4.718263,1.742131
200606,98,7,-20.707083,204,-41.405048,-20.708082,-26.486753,2.510969,10.988689
200607,94,7,-10.669727,483,-52.074775,-10.670727,-37.157479,2.084032,6.246211
200608,100,7,-0.795223,148,-52.869998,-0.795771,-37.953251,0.951145,4.168512
200609,106,8,-5.649395,476,-58.519393,-5.650391,-43.603642,-0.358801,18.028692
200610,142,9,-10.710745,325,-69.230138,-10.711744,-54.315387,1.008009,19.219147
200611,142,10,-1.416191,15,-70.646329,-1.416948,-55.732334,1.913839,25.007287
200612,137,10,4.933531,2,-65.712798,5.081879,-50.650455,-0.954406,26.183353
200701,136,10,4.722421,3,-60.990377,4.840575,-45.809881,0.772768,29.433433
200702,160,11,-7.961552,83,-68.951928,-7.962551,-53.772432,1.437273,23.262632
200703,160,11,6.811000,1,-62.140928,9.183773,-44.588658,1.234149,23.679384
200704,161,11,-12.357651,198,-74.498579,-12.358650,-56.947309,0.850193,19.858079
200705,164,11,-0.176055,7,-74.674634,-0.176217,-57.123525,0.617290,17.339785
200706,162,11,6.907773,1,-67.766861,13.833570,-43.289956,-2.463971,14.174305
200707,161,11,6.908755,1,-60.858106,34.373266,-8.916689,-3.982437,21.443891
200708,161,11,6.908666,1,-53.949441,16.233741,7.317052,-5.165563,28.690369
200709,167,12,-9.104701,52,-63.054141,-9.105700,-1.788648,-3.141916,30.417789
200710,154,11,6.908755,1,-56.145386,27.112999,25.324351,-2.804282,34.085144
200711,157,11,6.908755,1,-49.236632,73.287888,98.612238,0.626538,49.168271
200712,158,11,6.908755,1,-42.327877,56.147278,154.759516,3.347945,45.360772
200801,150,10,6.908755,1,-35.419122,90.793219,245.552735,-0.871920,51.803782
200802,152,11,6.908755,1,-28.510367,189.682838,435.235573,-5.054965,30.485026
200803,152,11,6.908755,1,-21.601613,400.771844,836.007417,-3.829230,50.632967
200804,151,11,6.908755,1,-14.692858,434.696586,1270.704003,-3.691181,46.030614
200805,151,11,6.908755,1,-7.784103,238.859837,1509.563839,-6.111637,29.016455
200806,153,11,6.908755,1,-0.875348,218.692427,1728.256266,-2.850374,44.477971
200807,150,10,6.908755,1,6.033407,262.586892,1990.843158,2.161834,36.055698
200808,149,10,6.908755,1,12.942161,245.722800,2236.565958,6.307540,31.007644
200809,147,10,6.908755,1,19.850916,248.788683,2485.354641,3.508865,27.387646
200810,146,10,6.908755,1,26.759671,221.978733,2707.333374,5.633397,32.858777
200811,146,10,6.908755,1,33.668426,512.466021,3219.799394,4.650441,27.317778
200812,77,6,6.722401,1,40.390827,8.493241,3228.292635,2.582369,9.424288
200901,76,6,6.908755,1,47.299582,45.013914,3273.306549,0.752516,10.076815
200902,77,6,6.908755,1,54.208336,92.621464,3365.928012,0.415829,12.179619
200903,115,5,6.908755,1,61.117091,28.487490,3394.415503,4.974433,-1.627437
200904,119,8,6.908755,1,68.025846,37.383166,3431.798669,7.873879,1.545639
200905,119,8,6.908690,1,74.934536,16.551538,3448.350207,13.731483,-0.387092
200906,113,8,6.908755,1,81.843291,35.358152,3483.708358,14.991455,-6.381442
200907,114,8,6.908754,1,88.752045,20.957018,3504.665376,23.968397,-8.997126
200908,114,8,6.908712,1,95.660757,16.978895,3521.644271,26.851267,-2.874163
200909,114,8,6.908750,1,102.569507,19.111545,3540.755816,25.752550,-1.753507
200910,118,8,6.250951,1,108.820458,6.979737,3547.735553,35.896684,0.064716
200911,120,8,6.201727,1,115.022185,6.880185,3554.615738,14.463899,5.607610
200912,121,9,6.908754,1,121.930939,20.830247,3575.445985,15.562864,5.172174
201001,118,8,6.908755,1,128.839694,22.346627,3597.792612,15.894718,5.818828
201002,132,9,6.907323,1,135.747017,13.456006,3611.248618,17.840253,7.277990
201003,123,9,6.885185,1,142.632202,10.643726,3621.892344,17.905631,7.314724
201004,122,9,6.908743,1,149.540944,18.235723,3640.128067,19.348313,6.087968
201005,124,9,6.908755,1,156.449699,22.258869,3662.386936,29.102803,9.561895
201006,127,9,6.908745,1,163.358444,18.412971,3680.799907,33.535315,10.581964
201007,128,9,6.908755,1,170.267198,22.181457,3702.981364,28.033822,6.727829
201008,129,9,6.908755,1,177.175953,24.313665,3727.295029,27.348493,5.606656
201009,128,9,6.908755,1,184.084708,28.052436,3755.347465,29.041548,4.125233
201010,127,9,6.908755,1,190.993462,22.199606,3777.547071,29.150883,4.719229
