date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,1.922815,35,1.922815,1.928672,1.928672,0.000000,0.000000
200308,23,2,-0.286369,246,1.636446,-0.286618,1.642054,0.000000,0.000000
200309,24,2,0.667866,161,2.304312,0.668816,2.310871,0.000000,0.000000
200310,24,2,0.123009,291,2.427320,0.123140,2.434010,0.000000,0.000000
200311,24,2,-3.911712,177,-1.484391,-3.912691,-1.478681,0.000000,0.000000
200312,24,2,-7.518090,614,-9.002482,-7.519089,-8.997770,0.000000,0.000000
200401,26,2,-0.211389,554,-9.213870,-0.211579,-9.209349,0.000000,0.000000
200402,27,2,0.219675,198,-8.994195,0.219920,-8.989429,0.000000,0.000000
200403,27,2,0.508955,381,-8.485240,0.509619,-8.479810,0.000000,0.000000
200404,25,2,0.312134,178,-8.173106,0.312501,-8.167309,0.000000,0.000000
200405,29,2,-0.244040,603,-8.417146,-0.244256,-8.411566,0.000000,0.000000
200406,31,3,0.190109,268,-8.227037,0.190318,-8.221248,0.000000,0.000000
200407,32,3,-1.310232,695,-9.537269,-1.310962,-9.532210,0.000000,0.000000
200408,32,3,-0.531969,400,-10.069238,-0.532382,-10.064591,0.000000,0.000000
200409,31,3,-0.044139,397,-10.113377,-0.044182,-10.108773,0.000000,0.000000
200410,31,3,-48.994091,255,-59.107468,-48.995091,-59.103864,304.114531,2684.106509
200411,32,3,0.463527,169,-58.643941,0.464117,-58.639746,34.013119,200.076331
200412,32,3,0.856023,51,-57.787918,0.857377,-57.782369,34.494477,188.370786
200501,34,3,-9.698653,676,-67.486571,-9.699653,-67.482022,35.450265,104.563046
200502,34,3,-0.021202,384,-67.507773,-0.021222,-67.503244,33.749146,95.880975
200503,33,3,-1.482244,703,-68.990016,-1.483016,-68.986260,39.502125,25.231201
200504,35,3,1.743578,37,-67.246438,1.748307,-67.237953,32.786371,127.660902
200505,35,3,0.959520,89,-66.286918,0.961132,-66.276821,72.207752,211.663541
200506,35,3,-0.066881,110,-66.353799,-0.066946,-66.343767,40.180413,28.236782
200507,40,3,-1.138908,243,-67.492708,-1.139588,-67.483355,4.108262,-10.580570
200508,40,3,-0.031337,129,-67.524045,-0.031368,-67.514723,2.814852,4.922822
200509,40,3,0.500638,153,-67.023406,0.501288,-67.013435,7.787863,9.979217
200510,40,3,2.771020,2,-64.252386,2.786108,-64.227326,25.305253,8.682179
200511,42,3,1.802937,18,-62.449449,1.808018,-62.419309,16.083752,6.443568
200512,42,3,2.775990,6,-59.673459,2.791159,-59.628150,24.584023,-37.109722
200601,43,3,1.629934,33,-58.043524,1.634046,-57.994103,20.918829,-69.486166
200602,44,3,-2.241178,27,-60.284702,-2.242071,-60.236175,15.221213,-110.097434
200603,42,3,1.297838,58,-58.986865,1.300503,-58.935672,1.624558,-205.925054
200604,42,3,-2.257294,716,-61.244159,-2.258189,-61.193861,-3.406717,-155.543132
200605,43,3,-0.775231,245,-62.019390,-0.775770,-61.969631,2.720500,-34.421991
200606,42,3,2.009993,29,-60.009397,2.016477,-59.953154,2.259470,-8.680520
200607,43,3,-0.223675,194,-60.233072,-0.223875,-60.177030,2.406724,-2.860451
200608,43,3,1.927701,15,-58.305371,1.933592,-58.243437,2.075222,1.157263
200609,43,3,1.311943,46,-56.993428,1.314660,-56.928777,2.132807,2.646449
200610,43,3,1.313929,52,-55.679499,1.316653,-55.612124,1.746090,2.339422
200611,44,3,4.594668,2,-51.084830,4.697759,-50.914364,-1.884086,-4.343670
200612,45,3,1.263228,53,-49.821603,1.265768,-49.648597,-1.949214,-56.120779
200701,44,3,1.367031,50,-48.454572,1.369959,-48.278638,-0.302875,-118.710421
200702,43,3,0.862666,116,-47.591906,0.864037,-47.414601,4.707148,-36.129023
200703,43,3,0.871754,32,-46.720152,0.873146,-46.541455,7.786436,5.048429
200704,44,3,0.894451,96,-45.825701,0.895898,-45.645557,16.678419,-19.066025
200705,45,3,-1.304317,616,-47.130018,-1.305046,-46.950603,18.342372,-22.240235
200706,44,3,-5.365674,281,-52.495692,-5.366669,-52.317272,2.884993,53.221912
200707,45,3,-2.480993,415,-54.976685,-2.481909,-54.799181,-0.357499,27.493640
200708,45,3,-2.979291,482,-57.955976,-2.980239,-57.779420,-5.624871,29.907197
200709,48,4,6.607381,1,-51.348595,7.952691,-49.826729,-5.723536,27.986740
200710,49,4,0.427130,112,-50.921465,0.427663,-49.399066,-5.607929,21.995914
200711,51,4,-3.788496,178,-54.709960,-3.789473,-53.188539,-5.742973,22.206368
200712,50,4,-1.334932,144,-56.044893,-1.335669,-54.524207,-7.676354,3.429917
200801,50,4,-5.901785,141,-61.946677,-5.902782,-60.426989,-7.607338,-1.238558
200802,51,4,-9.538572,111,-71.485250,-9.539572,-69.966561,-7.253133,11.864393
200803,52,4,6.908743,1,-64.576507,18.279466,-51.687095,-8.021554,-33.435504
200804,51,4,6.908755,1,-57.667752,22.574226,-29.112869,-9.669252,-27.268742
200805,51,4,-3.946032,34,-61.613784,-3.947012,-33.059880,-8.236038,-74.040512
200806,52,4,-3.924953,321,-65.538737,-3.925933,-36.985813,-12.422745,-37.677783
200807,52,4,3.070211,4,-62.468526,3.090971,-33.894842,-10.979710,-39.426431
200808,54,4,5.699080,2,-56.769446,6.052321,-27.842521,-4.354025,-19.165163
200809,54,4,-29.936900,109,-86.706346,-29.937900,-57.780421,-2.579627,-27.243688
200810,52,4,-7.711965,11,-94.418312,-7.712964,-65.493385,-1.588173,-44.869553
200811,52,4,6.908755,1,-87.509557,26.211696,-39.281689,-1.068035,-61.213225
200812,52,4,6.908602,1,-80.600955,15.695521,-23.586168,6.340060,9.279751
200901,55,4,6.897936,1,-73.703019,11.428813,-12.157356,3.120114,-17.836198
200902,56,4,6.908755,1,-66.794264,48.430694,36.273339,16.005551,10.975961
200903,17,2,1.953643,40,-64.840621,1.959716,38.233055,20.729991,-8.344456
200904,20,2,1.541129,45,-63.299492,1.544806,39.777861,25.467639,-20.774056
200905,19,2,-9.153510,563,-72.453001,-9.154509,30.623351,21.680353,-18.968951
200906,19,2,1.006676,70,-71.446325,1.008414,31.631765,22.354502,-21.499262
200907,22,2,0.111359,313,-71.334967,0.111477,31.743242,26.567837,6.756402
200908,22,2,-2.482998,990,-73.817964,-2.483914,29.259328,22.933953,-15.245948
200909,22,2,0.039364,305,-73.778600,0.039405,29.298733,27.441185,9.985507
200910,17,2,0.951926,52,-72.826674,0.953518,30.252250,35.611901,17.707022
200911,18,2,1.086228,32,-71.740446,1.088193,31.340443,45.354849,1.958376
200912,18,2,-0.227639,249,-71.968085,-0.227843,31.112601,27.675175,-2.636678
201001,17,2,-0.334436,513,-72.302522,-0.334721,30.777880,24.203012,8.018661
201002,9,2,0.077174,214,-72.225348,0.077254,30.855134,29.659118,1.132291
201003,9,2,0.399855,132,-71.825493,0.400347,31.255481,28.099054,19.504452
201004,9,2,0.365420,219,-71.460073,0.365861,31.621342,43.547036,18.550760
201005,9,2,0.094627,156,-71.365446,0.094727,31.716068,59.701195,-0.406966
201006,9,2,0.769591,70,-70.595854,0.770751,32.486819,85.375160,6.665417
201007,9,2,1.491102,46,-69.104752,1.494550,33.981369,78.204331,-5.785735
201008,9,2,-0.434863,192,-69.539615,-0.435216,33.546154,73.747034,5.380819
201009,10,2,-0.963742,657,-70.503358,-0.964361,32.581793,81.063341,5.794385
201010,10,2,0.030179,207,-70.473179,0.030210,32.612003,67.825369,14.320558
201011,11,2,0.654076,111,-69.819102,0.655000,33.267003,61.867798,5.616443
201012,11,2,-0.943999,722,-70.763101,-0.944610,32.322393,58.159801,10.080496
201101,11,2,0.063179,252,-70.699922,0.063245,32.385638,59.068957,3.454488
201102,11,2,0.255097,203,-70.444825,0.255388,32.641025,57.680353,0.350092
201103,12,2,-0.652432,839,-71.097256,-0.652911,31.988115,34.422509,7.057075
201104,12,2,0.044865,384,-71.052391,0.044911,32.033026,30.845093,21.294072
201105,12,2,0.860403,114,-70.191988,0.861768,32.894794,23.019123,22.392662
201106,12,2,-0.193105,305,-70.385093,-0.193281,32.701513,18.576703,30.881822
201107,12,2,0.172257,219,-70.212836,0.172445,32.873959,12.853368,30.773475
201108,12,2,-6.942829,541,-77.155665,-6.943827,25.930131,5.402447,9.637445
201109,12,2,0.469232,78,-76.686433,0.469831,26.399962,0.038941,-11.495240
201110,12,2,0.196779,133,-76.489654,0.196997,26.596959,1.954475,-25.059847
201111,12,2,-1.120034,600,-77.609687,-1.120707,25.476251,2.197061,-49.277457
201112,12,2,-1.577006,245,-79.186694,-1.577799,23.898452,-1.097061,4.524952
201201,12,2,0.426330,159,-78.760363,0.426862,24.325314,-3.544381,-25.434649
201202,12,2,0.879842,104,-77.880522,0.881253,25.206567,-8.024780,9.968298
201203,12,2,1.078923,43,-76.801599,1.080866,26.287433,-15.944752,-47.180100
201204,12,2,0.530740,156,-76.270859,0.531440,26.818873,-15.799857,-39.871774
201205,12,2,-9.588989,552,-85.859848,-9.589988,17.228886,-11.640824,-5.111561
201206,12,2,-0.664935,402,-86.524783,-0.665420,16.563465,-7.121343,15.056404
201207,12,2,1.454094,85,-85.070689,1.457380,18.020845,-2.912567,8.219931
201208,11,2,0.894474,81,-84.176214,0.895921,18.916767,7.269208,-43.357769
201209,11,2,0.148039,445,-84.028176,0.148198,19.064965,11.880972,0.729780
201210,11,2,0.027529,376,-84.000647,0.027557,19.092522,12.786159,9.288282
201211,11,2,-0.243485,918,-84.244132,-0.243702,18.848820,18.233485,18.231523
201212,13,2,2.869407,8,-81.374725,2.886174,21.734994,28.755196,72.121785
201301,13,2,4.711560,1,-76.663165,4.828348,26.563342,25.357652,103.113773
201302,13,2,1.455430,55,-75.207734,1.458722,28.022064,19.695492,-6.558209
201303,13,2,1.667741,40,-73.539994,1.672050,29.694114,15.428455,-30.618622
201304,13,2,1.399293,109,-72.140701,1.402350,31.096464,18.767816,-24.328835
201305,12,2,0.758532,125,-71.382169,0.759668,31.856131,16.730181,-2.472299
201306,13,2,2.000488,34,-69.381681,2.006901,33.863033,15.817967,-0.322793
201307,13,2,2.296985,26,-67.084695,2.305970,36.169002,12.112493,-12.064751
201308,13,2,2.811244,14,-64.273451,2.826998,38.996001,13.889482,16.928686
201309,13,2,2.774057,30,-61.499394,2.789194,41.785195,11.131251,-2.809238
201310,13,2,2.336824,22,-59.162571,2.346216,44.131411,12.398283,-10.900721
201311,13,2,1.664903,54,-57.497667,1.669198,45.800609,14.315485,-20.443895
201312,13,2,-0.219895,256,-57.717563,-0.220093,45.580516,11.456896,-13.249446
201401,18,2,0.925337,109,-56.792225,0.926861,46.507377,12.064215,-5.742491
201402,18,2,0.377945,57,-56.414281,0.378404,46.885781,-7.820026,-30.643058
201403,18,2,-1.663413,176,-58.077694,-1.664224,45.221558,-13.543259,-23.975772
201404,19,2,-0.842907,108,-58.920601,-0.843477,44.378081,-23.277245,-39.115483
201405,18,2,-0.758516,88,-59.679118,-0.759048,43.619033,-23.045718,-29.860313
201406,18,2,-0.277794,103,-59.956912,-0.278036,43.340997,-28.339420,-57.575416
201407,18,2,0.387205,87,-59.569706,0.387678,43.728675,-19.317160,-26.573114
201408,18,2,-0.910810,119,-60.480516,-0.911408,42.817267,7.128596,1.939867
201409,18,2,0.004760,110,-60.475757,0.004765,42.822032,8.285312,-5.364861
201410,18,2,0.080856,231,-60.394900,0.080941,42.902972,12.069370,-3.307948
201411,18,2,0.200054,248,-60.194846,0.200275,43.103248,13.804423,-9.301972
201412,18,2,-0.684355,198,-60.879201,-0.684851,42.418397,9.838617,-10.134016
201501,18,2,-0.802004,203,-61.681205,-0.802555,41.615842,11.810617,-7.867462
201502,18,2,-1.034323,519,-62.715529,-1.034968,40.580874,11.979627,-9.384510
201503,24,2,-1.308022,601,-64.023551,-1.308751,39.272123,6.965785,-10.786474
201504,28,2,3.223661,10,-60.799890,3.248076,42.520199,8.600394,-9.310703
201505,28,2,-2.023459,246,-62.823349,-2.024326,40.495873,10.319974,-8.416204
201506,28,2,1.342882,71,-61.480466,1.345716,41.841589,11.437084,-11.074007
201507,28,2,1.672147,36,-59.808320,1.676480,43.518069,10.435058,-9.406119
201508,28,2,1.064108,46,-58.744211,1.066008,44.584077,10.690747,-8.093434
201509,28,2,0.646185,92,-58.098027,0.647093,45.231171,15.662395,-9.921483
201510,28,2,1.502883,35,-56.595144,1.506384,46.737554,13.465407,-6.448975
201511,28,2,0.934185,85,-55.660959,0.935732,47.673286,8.691549,-9.374836
201512,34,3,-3.174620,98,-58.835578,-3.175577,44.497708,12.249750,-18.537680
201601,34,3,-1.156951,77,-59.992529,-1.157636,43.340072,20.309195,-27.905155
201602,34,3,-0.102071,106,-60.094600,-0.102168,43.237904,23.006879,-23.915463
201603,34,3,1.450593,52,-58.644007,1.453864,44.691768,30.366147,-20.201735
201604,33,3,1.676701,33,-56.967306,1.681059,46.372827,32.085027,-15.436120
201605,33,3,0.497468,165,-56.469839,0.498112,46.870939,50.723788,43.835083
201606,33,3,5.021460,1,-51.448378,5.184724,52.055663,62.569678,133.820333
201607,33,3,5.387165,1,-46.061213,5.632532,57.688195,47.003618,136.658495
201608,33,3,2.111673,28,-43.949540,2.118962,59.807157,27.522578,97.597947
