date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,6.908751,1,6.908751,19.456983,19.456983,1.624886,-3.760259
200308,135,9,6.908493,1,13.817244,15.153916,34.610899,1.624886,-3.760259
200309,139,10,6.908754,1,20.725998,21.495481,56.106380,33.798542,-1.872052
200310,141,10,6.908755,1,27.634753,26.302069,82.408449,33.798542,-1.872052
200311,144,10,2.507508,6,30.142261,2.518846,84.927295,33.798542,-1.872052
200312,144,10,6.908755,1,37.051016,28.227499,113.154794,33.798542,-1.872052
200401,133,9,6.839528,1,43.890544,9.543313,122.698107,33.798542,-1.872052
200402,136,10,6.486793,1,50.377337,7.552207,130.250313,32.953886,-4.227249
200403,132,9,1.216206,2,51.593542,1.218583,131.468896,32.953886,-4.227249
200404,128,9,-5.934571,435,45.658972,-5.935568,125.533329,32.953886,-4.227249
200405,131,9,6.906441,1,52.565413,12.975499,138.508828,33.697763,-7.579119
200406,137,10,-1.394375,29,51.171037,-1.395127,137.113701,33.697763,-7.579119
200407,143,10,6.848464,1,58.019501,9.686030,146.799730,33.697763,-7.579119
200408,144,10,6.655479,1,64.674980,8.151723,154.951453,36.186872,-4.686424
200409,146,10,-12.631696,160,52.043284,-12.632696,142.318757,41.618401,-6.760188
200410,152,11,6.908752,1,58.952036,19.816305,162.135062,40.479712,-5.918075
200411,157,11,6.509105,1,65.461141,7.618450,169.753513,37.934835,-7.413712
200412,153,11,6.908053,1,72.369194,14.168893,183.922406,41.816911,-6.249971
200501,153,11,6.908752,1,79.277946,19.823268,203.745673,44.676895,-22.832592
200502,158,11,6.908746,1,86.186692,18.569101,222.314774,32.861164,-29.154575
200503,160,11,6.891064,1,93.077756,10.933581,233.248355,23.663690,-13.015174
200504,173,12,6.908754,1,99.986510,20.960469,254.208824,22.020404,-12.683971
200505,182,13,6.908755,1,106.895264,33.294803,287.503627,13.724381,-17.528888
200506,176,12,6.908753,1,113.804018,20.384590,307.888217,12.718497,-17.078437
200507,177,12,6.908755,1,120.712773,38.243824,346.132041,12.098276,-10.839234
200508,174,12,6.908755,1,127.621527,26.098540,372.230581,11.545652,-6.678335
200509,181,13,6.908751,1,134.530278,19.287936,391.518517,15.917482,-9.490136
200510,182,13,6.908755,1,141.439033,26.659536,418.178052,28.302408,-1.891961
200511,183,13,6.908755,1,148.347788,37.310145,455.488197,28.957777,-4.048852
200512,151,11,6.908755,1,155.256542,50.592894,506.081092,27.954253,-3.669535
200601,150,10,6.908755,1,162.165297,22.307099,528.388191,28.010830,-3.658613
200602,154,11,6.908755,1,169.074052,23.880152,552.268343,28.801682,2.618668
200603,151,11,6.908755,1,175.982806,32.306284,584.574627,20.481179,0.560657
200604,146,10,6.908755,1,182.891561,30.551066,615.125693,16.218877,-2.083556
200605,140,10,6.908670,1,189.800231,16.283451,631.409144,19.945665,2.694377
200606,130,9,6.908755,1,196.708986,23.135360,654.544503,20.378648,3.082298
200607,129,9,-6.494488,49,190.214498,-6.495486,648.049017,20.174817,7.466498
200608,128,9,6.908653,1,197.123151,16.101936,664.150953,19.254098,5.510409
200609,130,9,5.627895,2,202.751046,5.952346,670.103299,19.918475,6.498790
200610,131,9,-2.815761,56,199.935285,-2.816701,667.286598,21.456405,12.997320
200611,144,10,6.908755,1,206.844039,23.120605,690.407203,27.968153,15.964320
200612,139,10,-4.025643,49,202.818396,-4.026625,686.380578,27.869074,12.036737
200701,144,10,6.908751,1,209.727146,19.300960,705.681538,32.384389,11.561566
200702,148,10,4.406292,2,214.133439,4.490723,710.172261,36.636987,8.539757
200703,148,10,6.908538,1,221.041977,15.344274,725.516535,39.712094,1.876951
200704,124,9,6.908618,1,227.950594,15.801339,741.317874,39.461707,2.241337
200705,122,9,6.908754,1,234.859348,21.214093,762.531966,32.027629,4.106228
200706,125,9,6.908755,1,241.768103,36.109566,798.641532,31.356191,9.482092
200707,118,8,6.908755,1,248.676858,45.833520,844.475052,27.345338,11.399003
200708,116,8,6.908755,1,255.585613,29.801989,874.277041,21.809322,9.196608
200709,120,8,6.908755,1,262.494368,23.435359,897.712400,27.065375,17.250508
200710,110,8,6.908755,1,269.403122,48.553756,946.266156,25.282277,16.489263
200711,102,7,6.908754,1,276.311876,20.734056,967.000212,25.258496,20.388524
200712,96,7,6.908755,1,283.220631,47.286360,1014.286573,26.656870,32.653089
200801,93,7,6.891878,1,290.112509,10.981143,1025.267716,25.044495,37.798519
