date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,405,27,6.908755,1,6.908755,60.572248,60.572248,62.834040,0.633404
200308,413,28,6.908755,1,13.817510,89.528016,150.100263,62.834040,0.633404
200309,417,28,6.908755,1,20.726264,71.564871,221.665134,65.521383,4.566091
200310,398,27,6.908755,1,27.635019,48.558350,270.223484,65.521383,4.566091
200311,402,27,6.908755,1,34.543774,68.342280,338.565764,65.521383,4.566091
200312,406,28,6.908755,1,41.452529,48.028902,386.594666,65.521383,4.566091
200401,405,27,6.908755,1,48.361283,69.298386,455.893052,65.521383,4.566091
200402,408,28,6.908755,1,55.270038,92.753070,548.646123,62.581996,4.354836
200403,401,27,6.908755,1,62.178793,142.345952,690.992075,62.581996,4.354836
200404,403,27,6.453873,1,68.632666,7.459425,698.451499,62.581996,4.354836
200405,402,27,6.908755,1,75.541421,58.667906,757.119406,61.721902,4.023459
200406,402,27,6.908755,1,82.450175,59.263616,816.383022,61.721902,4.023459
200407,397,27,6.908755,1,89.358930,59.996746,876.379769,61.721902,4.023459
200408,396,27,6.908755,1,96.267685,54.023393,930.403161,62.337818,5.790185
200409,403,27,6.908755,1,103.176440,79.639024,1010.042185,66.436274,10.469500
200410,399,27,6.908755,1,110.085195,67.980613,1078.022799,60.807660,11.128504
200411,397,27,6.908755,1,116.993949,88.725855,1166.748653,55.464305,15.630168
200412,386,26,6.908755,1,123.902704,25.468673,1192.217326,53.147582,19.440975
200501,387,26,6.908755,1,130.811459,48.751296,1240.968622,53.607480,26.266615
200502,387,26,6.908755,1,137.720214,43.959394,1284.928016,50.129168,28.117110
200503,370,25,6.908755,1,144.628968,69.930589,1354.858605,49.184443,33.224999
200504,359,24,6.908755,1,151.537723,86.578574,1441.437179,48.354877,35.447977
200505,354,24,6.908755,1,158.446478,58.822795,1500.259974,49.642994,40.143908
200506,345,23,6.908755,1,165.355233,64.989027,1565.249001,52.981974,52.388692
200507,348,24,6.908755,1,172.263988,58.901761,1624.150762,50.018296,51.149351
200508,350,24,6.580877,1,178.844864,7.854455,1632.005217,45.677646,48.902050
200509,347,24,6.851806,1,185.696670,9.744741,1641.749958,38.286659,38.021938
200510,349,24,-6.071110,2,179.625560,-6.072107,1635.677850,33.029169,37.114941
200511,342,23,6.908755,1,186.534315,33.472990,1669.150841,28.741464,31.821427
200512,345,23,-3.733016,12,182.801299,-3.733992,1665.416849,25.773119,25.835846
200601,347,24,6.908751,1,189.710050,19.412371,1684.829220,22.022277,23.729836
200602,349,24,6.908755,1,196.618804,38.517558,1723.346778,21.394517,17.607334
200603,351,24,6.908755,1,203.527559,42.847491,1766.194269,21.745915,12.779044
200604,354,24,6.908755,1,210.436314,33.936842,1800.131111,21.566607,10.429066
200605,345,23,6.908755,1,217.345069,34.348146,1834.479257,22.984382,13.419811
200606,338,23,6.908755,1,224.253824,44.743418,1879.222675,19.826138,15.050816
200607,343,23,6.908755,1,231.162578,52.238751,1931.461426,19.873217,13.185137
200608,343,23,6.908755,1,238.071333,32.527910,1963.989336,17.828902,11.520183
200609,340,23,6.908755,1,244.980088,40.910462,2004.899798,17.238003,13.282408
200610,328,22,6.908755,1,251.888843,110.631848,2115.531646,17.422283,9.903983
200611,313,21,6.908755,1,258.797597,25.694417,2141.226063,15.434038,7.380150
200612,309,21,6.908755,1,265.706352,23.225706,2164.451769,17.154193,1.799789
200701,313,21,6.908601,1,272.614953,15.689964,2180.141733,15.711302,8.199154
200702,315,21,4.050493,4,276.665446,4.108573,2184.250306,14.953738,9.692831
200703,307,21,6.908755,1,283.574201,26.965306,2211.215612,14.333839,11.233564
200704,312,21,5.821772,2,289.395972,6.232103,2217.447715,12.056910,8.261940
200705,311,21,3.210323,2,292.606295,3.234397,2220.682112,13.308859,13.689930
200706,307,21,6.908755,1,299.515050,28.329746,2249.011858,10.350864,7.784190
200707,318,22,6.908748,1,306.423798,18.802851,2267.814708,8.914464,10.039390
200708,301,21,6.304520,1,312.728318,7.094264,2274.908973,8.596092,11.618623
