date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,311.122818,311.122818,0.322903,-0.001777
200308,401,27,6.908755,1,13.817510,324.285350,635.408167,0.322903,-0.001777
200309,412,28,6.908755,1,20.726264,278.488808,913.896976,0.319264,-0.014336
200310,406,28,6.908755,1,27.635019,364.066942,1277.963918,0.319264,-0.014336
200311,416,28,6.908755,1,34.543774,290.623123,1568.587041,0.319264,-0.014336
200312,421,29,6.908755,1,41.452529,417.533333,1986.120373,0.319264,-0.014336
200401,429,29,6.908755,1,48.361283,350.297249,2336.417623,0.319264,-0.014336
200402,426,29,6.908755,1,55.270038,447.960147,2784.377769,0.311344,-0.023591
200403,428,29,6.908755,1,62.178793,456.488976,3240.866746,0.311344,-0.023591
200404,423,29,6.908755,1,69.087548,559.199619,3800.066364,0.311344,-0.023591
200405,423,29,6.908755,1,75.996303,679.323680,4479.390045,0.313096,-0.027644
200406,424,29,6.908755,1,82.905057,540.184839,5019.574883,0.313096,-0.027644
200407,425,29,6.908755,1,89.813812,504.900546,5524.475429,0.313096,-0.027644
200408,428,29,6.908755,1,96.722567,418.543437,5943.018866,0.318761,-0.028998
200409,439,30,6.908755,1,103.631322,499.978304,6442.997170,0.319192,-0.038751
200410,436,30,6.908755,1,110.540076,552.340734,6995.337903,0.321454,-0.052162
200411,444,30,6.908755,1,117.448831,707.448356,7702.786259,0.328108,-0.041393
200412,445,30,6.908755,1,124.357586,770.625968,8473.412227,0.333849,-0.036363
200501,444,30,6.908755,1,131.266341,946.384518,9419.796745,0.335331,-0.031436
200502,443,30,6.908755,1,138.175096,1280.358265,10700.155010,0.343872,-0.030353
200503,438,30,6.908755,1,145.083850,1496.305152,12196.460162,0.350498,-0.020466
200504,436,30,6.908755,1,151.992605,1559.469310,13755.929472,0.359639,-0.007977
200505,431,29,6.908755,1,158.901360,1723.400181,15479.329652,0.361497,-0.008981
200506,438,30,6.908755,1,165.810115,1992.632957,17471.962609,0.364061,-0.005014
200507,442,30,6.908755,1,172.718869,2163.354666,19635.317274,0.369066,0.002496
200508,439,30,6.908755,1,179.627624,2267.480666,21902.797941,0.364295,0.002807
200509,449,30,6.908755,1,186.536379,2358.411704,24261.209645,0.363834,0.005627
200510,455,31,6.908755,1,193.445134,2205.831537,26467.041182,0.357804,-0.006209
200511,455,31,6.908755,1,200.353889,2291.536086,28758.577268,0.354003,-0.006165
200512,446,30,6.908755,1,207.262643,2593.895508,31352.472776,0.355787,-0.002060
200601,430,29,6.908755,1,214.171398,2288.335406,33640.808182,0.350273,-0.001626
200602,434,29,6.908755,1,221.080153,2624.469686,36265.277868,0.345593,0.007451
200603,434,29,6.908755,1,227.988908,2498.097022,38763.374890,0.337928,0.009214
200604,431,29,6.908755,1,234.897662,2098.356282,40861.731172,0.326887,0.021283
200605,433,29,6.908755,1,241.806417,2167.426083,43029.157255,0.316002,0.021916
200606,421,29,6.908755,1,248.715172,2175.012511,45204.169766,0.296342,0.020351
200607,423,29,6.908755,1,255.623927,2120.272915,47324.442681,0.279909,0.028509
200608,414,28,6.908755,1,262.532682,1913.388037,49237.830718,0.257194,0.025693
200609,415,28,6.908755,1,269.441436,1672.169051,50909.999769,0.232270,0.024944
200610,380,26,6.908755,1,276.350191,1302.620624,52212.620393,0.210502,0.037701
200611,389,26,6.908755,1,283.258946,1157.705129,53370.325522,0.189013,0.028857
200612,380,26,6.908755,1,290.167701,871.448568,54241.774090,0.168447,0.024268
200701,378,26,6.908755,1,297.076456,623.329163,54865.103253,0.149668,0.016378
200702,356,24,6.908755,1,303.985210,535.290309,55400.393562,0.135552,0.015641
200703,353,24,6.908755,1,310.893965,277.102881,55677.496443,0.124272,0.016470
200704,367,25,6.908755,1,317.802720,251.260573,55928.757016,0.115550,0.023725
200705,371,25,6.908755,1,324.711475,197.599081,56126.356097,0.110267,0.044420
200706,370,25,6.908755,1,331.620229,50.396245,56176.752343,0.106700,0.058555
200707,362,25,6.908755,1,338.528984,71.414475,56248.166818,0.100432,0.053918
200708,356,24,6.908755,1,345.437739,186.449204,56434.616023,0.096373,0.070052
200709,364,25,6.908755,1,352.346494,216.237137,56650.853159,0.089375,0.064011
200710,386,26,6.908755,1,359.255249,170.219918,56821.073077,0.081533,0.061409
200711,379,26,6.908755,1,366.164003,333.497480,57154.570557,0.075592,0.043976
200712,395,27,6.908755,1,373.072758,444.170484,57598.741041,0.073288,0.032233
200801,394,27,6.908755,1,379.981513,739.742262,58338.483303,0.073448,0.034074
200802,400,27,6.908755,1,386.890268,933.572687,59272.055990,0.069505,0.022742
200803,401,27,6.908755,1,393.799022,1006.229321,60278.285311,0.072580,0.018941
200804,408,28,6.908755,1,400.707777,771.348746,61049.634056,0.073677,0.021873
200805,414,28,6.908755,1,407.616532,926.683410,61976.317466,0.071633,0.034069
200806,439,29,6.908755,1,414.525287,1083.432385,63059.749851,0.063614,0.036190
200807,449,30,6.908755,1,421.434042,1193.951237,64253.701088,0.058003,0.019866
200808,447,30,6.908755,1,428.342796,1067.660584,65321.361672,0.056607,0.020013
200809,440,30,6.908755,1,435.251551,968.728850,66290.090522,0.051639,0.012832
200810,440,30,6.908755,1,442.160306,916.044622,67206.135144,0.052354,0.017633
200811,446,30,6.908755,1,449.069061,857.696186,68063.831330,0.051254,0.008054
200812,518,35,6.908755,1,455.977815,628.420194,68692.251524,0.055261,0.007214
200901,499,34,6.908755,1,462.886570,743.707487,69435.959012,0.062825,-0.001164
200902,506,34,6.908755,1,469.795325,850.468581,70286.427593,0.068202,-0.010688
200903,529,36,6.908755,1,476.704080,899.077244,71185.504838,0.073891,-0.020958
200904,527,36,6.908755,1,483.612835,719.359743,71904.864581,0.079410,-0.016070
200905,538,36,6.908755,1,490.521589,587.984980,72492.849561,0.088790,-0.000443
200906,561,38,6.908755,1,497.430344,559.732514,73052.582074,0.095607,-0.009370
200907,575,39,6.908755,1,504.339099,495.554897,73548.136971,0.098636,-0.025875
200908,593,40,6.908755,1,511.247854,424.425996,73972.562967,0.122351,-0.027945
200909,606,41,6.908755,1,518.156608,361.435590,74333.998557,0.148082,-0.018794
200910,604,41,6.908755,1,525.065363,429.328097,74763.326654,0.166594,-0.017011
200911,601,41,6.908755,1,531.974118,366.276428,75129.603082,0.180514,-0.035930
200912,622,42,6.908755,1,538.882873,326.116143,75455.719225,0.200172,-0.037192
201001,626,42,6.908755,1,545.791628,346.087583,75801.806808,0.216007,-0.033289
201002,638,43,6.908755,1,552.700382,387.455161,76189.261969,0.214116,-0.035765
201003,637,43,6.908755,1,559.609137,397.000819,76586.262788,0.210679,-0.037274
