date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-2.090978,437,-2.090978,-2.091854,-2.091854,0.398687,0.010881
200308,24,2,-0.430264,436,-2.521242,-0.430614,-2.522468,0.398687,0.010881
200309,26,2,1.470195,25,-1.051048,1.473550,-1.048918,0.385356,0.026168
200310,26,2,0.839338,92,-0.211710,0.840653,-0.208264,0.385356,0.026168
200311,25,2,-0.571739,462,-0.783449,-0.572174,-0.780439,0.385356,0.026168
200312,25,2,-0.462542,547,-1.245991,-0.462913,-1.243351,0.385356,0.026168
200401,27,2,0.257745,252,-0.988246,0.258039,-0.985312,0.385356,0.026168
200402,28,2,1.096763,73,0.108517,1.098760,0.113448,0.384858,0.030253
200403,29,2,-0.674178,625,-0.565661,-0.674668,-0.561220,0.384858,0.030253
200404,27,2,-2.835645,386,-3.401306,-2.836586,-3.397806,0.384858,0.030253
200405,31,3,1.188845,20,-2.212461,1.191131,-2.206675,0.380258,0.025844
200406,33,3,5.075454,2,2.862994,5.248671,3.041996,0.380258,0.025844
200407,34,3,5.378070,1,8.241064,5.620911,8.662908,0.380258,0.025844
200408,34,3,3.907427,4,12.148491,3.957427,12.620334,0.383936,0.043790
200409,33,3,3.004455,10,15.152946,3.023817,15.644151,0.381828,0.064064
200410,33,3,4.388225,1,19.541171,4.471061,20.115212,0.382250,0.063943
200411,34,3,6.699662,1,26.240833,8.366366,28.481578,0.384058,0.070017
200412,34,3,6.807637,1,33.048471,9.148243,37.629820,0.377750,0.078859
200501,36,3,6.906991,1,39.955462,13.247449,50.877269,0.376352,0.112073
200502,36,3,6.908754,1,46.864217,21.518999,72.396268,0.383329,0.103217
200503,35,3,6.908750,1,53.772966,19.151299,91.547568,0.387701,0.089875
200504,38,3,6.908755,1,60.681721,24.631472,116.179040,0.391404,0.089562
200505,38,3,6.908755,1,67.590476,44.788788,160.967827,0.394113,0.101743
200506,38,3,6.908755,1,74.499231,58.668190,219.636017,0.395225,0.124612
200507,43,3,6.908755,1,81.407986,54.722106,274.358123,0.393245,0.095138
200508,43,3,6.908755,1,88.316740,66.067176,340.425299,0.384271,0.088326
200509,43,3,6.908755,1,95.225495,52.503037,392.928336,0.378927,0.099560
200510,43,3,6.908755,1,102.134250,39.351516,432.279852,0.348402,0.032440
200511,45,3,6.908755,1,109.043005,40.341208,472.621060,0.337174,0.023120
200512,45,3,6.908755,1,115.951759,53.847191,526.468251,0.334964,0.019607
200601,46,4,6.908755,1,122.860514,86.893948,613.362199,0.331300,0.022942
200602,48,4,6.908755,1,129.769269,105.012189,718.374389,0.320788,0.042024
200603,46,4,6.908755,1,136.678024,77.302510,795.676899,0.307769,0.035788
200604,46,4,6.908755,1,143.586779,72.249132,867.926031,0.315050,0.104435
200605,47,4,6.908755,1,150.495533,88.211200,956.137231,0.303198,0.116565
200606,47,4,6.908755,1,157.404288,91.493983,1047.631214,0.284464,0.098292
200607,48,4,6.908755,1,164.313043,92.625428,1140.256642,0.266337,0.112349
200608,48,4,6.908755,1,171.221798,110.399611,1250.656253,0.243786,0.062272
200609,48,4,6.908755,1,178.130552,95.346377,1346.002631,0.218047,0.038183
200610,48,4,6.908755,1,185.039307,82.608195,1428.610825,0.197435,0.055647
200611,49,4,6.908755,1,191.948062,62.595277,1491.206102,0.153530,0.023960
200612,50,4,6.908755,1,198.856817,43.127365,1534.333467,0.131738,-0.002004
200701,49,4,6.908748,1,205.765565,18.861897,1553.195364,0.111686,-0.052068
200702,48,4,6.834890,1,212.600455,9.476112,1562.671477,0.097285,-0.077371
200703,48,4,4.935080,3,217.535535,5.083678,1567.755155,0.086500,-0.105546
200704,49,4,6.889019,1,224.424555,10.823201,1578.578356,0.077950,-0.054809
200705,50,4,6.896008,1,231.320562,11.263839,1589.842195,0.090495,-0.076585
200706,49,4,-17.478668,300,213.841894,-17.479668,1572.362527,0.086226,-0.052402
200707,50,4,-5.484970,117,208.356925,-5.485965,1566.876562,0.078974,-0.041763
200708,50,4,-25.203441,273,183.153484,-25.204441,1541.672122,0.071346,0.017184
200709,53,4,6.858399,1,190.011883,9.871117,1551.543239,0.056177,0.066947
200710,54,4,6.908511,1,196.920394,15.227243,1566.770482,0.051761,0.065756
200711,56,4,6.908755,1,203.829149,28.804606,1595.575087,0.050650,0.071875
200712,55,4,6.908755,1,210.737903,30.883064,1626.458151,0.050817,0.077562
200801,54,4,6.908755,1,217.646658,88.663044,1715.121195,0.053091,0.095920
200802,55,4,6.908755,1,224.555413,139.852715,1854.973911,0.053466,0.102229
200803,56,4,6.908755,1,231.464168,126.212723,1981.186633,0.059104,0.056030
200804,55,4,6.908755,1,238.372923,93.283224,2074.469858,0.050493,0.059318
200805,55,4,6.908755,1,245.281677,135.737126,2210.206983,0.040446,0.018277
200806,56,4,6.908755,1,252.190432,123.126172,2333.333156,0.028892,-0.000981
200807,56,4,6.908755,1,259.099187,126.644963,2459.978119,0.018704,-0.013512
200808,57,4,6.908755,1,266.007942,121.847035,2581.825154,0.014467,-0.029652
200809,57,4,-72.779841,321,193.228100,-72.780841,2509.044313,0.005245,-0.023860
200810,55,4,6.908755,1,200.136855,31.476994,2540.521307,0.008776,-0.030054
