date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.908749,1,6.908749,18.939630,18.939630,0.210447,-0.027197
200308,143,10,6.908755,1,13.817504,26.122678,45.062308,0.210447,-0.027197
200309,148,10,6.908755,1,20.726258,35.428787,80.491095,0.225592,-0.022272
200310,150,10,6.908755,1,27.635013,31.058145,111.549240,0.225592,-0.022272
200311,152,11,6.908755,1,34.543768,27.077027,138.626267,0.225592,-0.022272
200312,150,10,6.908755,1,41.452523,35.324364,173.950631,0.225592,-0.022272
200401,139,10,6.908755,1,48.361277,27.225006,201.175637,0.225592,-0.022272
200402,143,10,6.908749,1,55.270027,19.040679,220.216316,0.256835,-0.033632
200403,139,10,6.908755,1,62.178782,26.051746,246.268063,0.256835,-0.033632
200404,135,9,6.908738,1,69.087520,17.918909,264.186971,0.256835,-0.033632
200405,140,10,6.908755,1,75.996275,37.318823,301.505794,0.262084,-0.046829
200406,146,10,6.908755,1,82.905029,37.572431,339.078225,0.262084,-0.046829
200407,152,11,6.908755,1,89.813784,39.790305,378.868530,0.262084,-0.046829
200408,153,11,6.908755,1,96.722539,31.023763,409.892293,0.288936,-0.038646
200409,155,11,6.908755,1,103.631294,25.931677,435.823969,0.288280,-0.033566
200410,162,11,6.908755,1,110.540049,68.854621,504.678590,0.308647,-0.059690
200411,167,12,6.908755,1,117.448803,67.352342,572.030932,0.323347,-0.062906
200412,163,11,6.908755,1,124.357558,71.044590,643.075522,0.315155,-0.061605
200501,164,11,6.908755,1,131.266313,88.196956,731.272478,0.315028,-0.053124
200502,169,12,6.908755,1,138.175068,89.959321,821.231799,0.305219,-0.066229
200503,172,12,6.908755,1,145.083823,63.823278,885.055077,0.318488,-0.068311
200504,187,13,6.908755,1,151.992577,45.502943,930.558020,0.302807,-0.090825
200505,196,14,6.908755,1,158.901332,153.577260,1084.135280,0.305995,-0.099619
200506,190,13,6.908755,1,165.810087,135.006389,1219.141670,0.313451,-0.100249
200507,190,13,6.908755,1,172.718842,184.427869,1403.569539,0.311004,-0.099663
200508,190,13,6.908755,1,179.627596,137.500202,1541.069741,0.307573,-0.108536
200509,197,14,6.908755,1,186.536351,170.117602,1711.187343,0.301914,-0.105933
200510,194,13,6.908755,1,193.445106,134.043897,1845.231240,0.315457,-0.077970
200511,197,14,6.908755,1,200.353861,118.841733,1964.072974,0.309841,-0.066206
200512,165,11,6.908755,1,207.262616,118.556098,2082.629072,0.309518,-0.061108
200601,164,11,6.908755,1,214.171370,88.096038,2170.725109,0.318236,-0.046525
200602,171,12,6.908755,1,221.080125,72.574781,2243.299890,0.322240,-0.023235
200603,168,12,6.908755,1,227.988880,63.737824,2307.037714,0.323062,-0.003252
200604,158,11,6.908755,1,234.897635,72.101481,2379.139195,0.310209,-0.005074
200605,152,11,6.908755,1,241.806389,64.886866,2444.026061,0.311127,0.001106
200606,142,10,6.908755,1,248.715144,28.424270,2472.450331,0.298287,0.005212
200607,141,10,6.908755,1,255.623899,25.760723,2498.211054,0.284463,0.008585
200608,140,10,6.908755,1,262.532654,24.264283,2522.475337,0.272090,0.004455
200609,142,10,6.908755,1,269.441408,27.209898,2549.685235,0.252477,0.003453
200610,143,10,6.908755,1,276.350163,28.718221,2578.403456,0.238753,0.004975
200611,157,11,6.908755,1,283.258918,31.853072,2610.256528,0.216802,0.001584
200612,147,10,5.483891,2,288.742809,5.758040,2616.014568,0.209643,0.006284
200701,152,11,6.903702,1,295.646510,12.192960,2628.207528,0.194550,0.009027
200702,157,11,6.204820,1,301.851330,6.886295,2635.093823,0.185387,0.025232
200703,157,11,-2.788252,11,299.063078,-2.789190,2632.304633,0.182371,0.033768
200704,134,9,4.596063,2,303.659140,4.699307,2637.003940,0.185321,0.039342
200705,131,9,6.907655,1,310.566795,13.719740,2650.723680,0.182756,0.043256
200706,136,10,-1.382923,14,309.183872,-1.383672,2649.340008,0.174484,0.039470
200707,128,9,-29.160673,283,280.023199,-29.161673,2620.178335,0.164634,0.034671
200708,125,9,6.898349,1,286.921548,11.467942,2631.646278,0.159638,0.028794
200709,125,9,-1.085202,12,285.836346,-1.085864,2630.560414,0.148151,0.014739
200710,114,8,1.973478,16,287.809823,1.979693,2632.540106,0.134274,0.016070
200711,105,7,1.752184,5,289.562007,1.756963,2634.297069,0.126388,0.007242
200712,99,7,4.773502,3,294.335509,4.898310,2639.195378,0.119241,0.000695
200801,96,7,6.858133,1,301.193643,9.865715,2649.061093,0.124502,-0.000164
200802,95,7,1.070283,2,302.263926,1.072201,2650.133294,0.113552,-0.017692
200803,115,8,6.908754,1,309.172680,20.594981,2670.728275,0.116911,-0.025117
200804,114,8,6.296407,1,315.469087,7.076461,2677.804736,0.113779,-0.040590
200805,106,8,6.908751,1,322.377838,19.391163,2697.195899,0.108568,-0.045136
200806,105,7,5.929334,2,328.307172,6.399184,2703.595083,0.104731,-0.040454
200807,100,7,6.655096,1,334.962268,8.150012,2711.745095,0.106177,-0.037714
200808,100,7,-0.532942,11,334.429326,-0.533355,2711.211740,0.117629,-0.029333
200809,99,7,-23.089730,374,311.339596,-23.090729,2688.121011,0.118781,-0.018409
200810,99,7,-30.957230,94,280.382366,-30.958230,2657.162781,0.120277,-0.007742
200811,96,7,-22.995733,49,257.386634,-22.996732,2634.166049,0.126740,-0.002617
200812,94,7,-37.906011,325,219.480622,-37.907011,2596.259038,0.131633,-0.001748
200901,94,7,-0.594533,5,218.886089,-0.594981,2595.664057,0.138639,-0.004111
200902,97,7,-7.648200,13,211.237889,-7.649199,2588.014858,0.137231,-0.006585
200903,101,7,1.501892,7,212.739781,1.505389,2589.520246,0.128320,-0.006921
200904,113,8,6.893370,1,219.633152,11.074450,2600.594696,0.121868,-0.005806
200905,110,8,6.908488,1,226.541640,15.137903,2615.732599,0.108594,-0.010310
200906,113,8,6.908755,1,233.450395,25.268014,2641.000614,0.087280,-0.026922
200907,116,8,6.908755,1,240.359149,23.109856,2664.110470,0.067208,-0.037473
200908,113,8,6.908755,1,247.267904,32.095186,2696.205656,0.048378,-0.042113
200909,121,9,6.908755,1,254.176659,29.303304,2725.508960,0.049261,-0.038215
200910,120,8,6.908755,1,261.085414,23.189950,2748.698910,0.061222,-0.037359
200911,122,9,6.908755,1,267.994168,29.193366,2777.892277,0.069909,-0.034523
200912,116,8,6.908747,1,274.902915,18.649807,2796.542084,0.106776,-0.023469
201001,118,8,6.908755,1,281.811670,35.293425,2831.835508,0.139258,-0.003103
201002,121,9,6.908755,1,288.720425,37.093535,2868.929043,0.178645,0.000392
201003,130,9,6.908755,1,295.629179,27.133743,2896.062787,0.206136,-0.000797
201004,127,9,6.908755,1,302.537934,37.994918,2934.057705,0.200836,-0.012996
201005,130,9,6.908555,1,309.446490,15.428293,2949.485997,0.187423,-0.034552
201006,134,9,6.908755,1,316.355245,50.367289,2999.853286,0.161868,-0.029203
201007,140,10,6.908755,1,323.263999,59.552634,3059.405920,0.158740,-0.024260
201008,140,10,6.908755,1,330.172754,61.546329,3120.952249,0.143548,-0.044642
201009,150,10,6.908755,1,337.081509,54.445174,3175.397424,0.150609,-0.061121
201010,149,10,6.908755,1,343.990264,37.589069,3212.986492,0.187972,-0.056298
201011,159,11,6.908755,1,350.899018,49.297680,3262.284173,0.261712,-0.064209
