date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,233.635397,233.635397,0.213443,0.001969
200308,444,30,6.908755,1,13.817510,269.262320,502.897717,0.213443,0.001969
200309,451,31,6.908755,1,20.726264,279.721981,782.619698,0.207826,-0.013440
200310,433,29,6.908755,1,27.635019,245.128597,1027.748295,0.207826,-0.013440
200311,437,30,6.908755,1,34.543774,265.449237,1293.197532,0.207826,-0.013440
200312,442,30,6.908755,1,41.452529,277.797153,1570.994685,0.207826,-0.013440
200401,441,30,6.908755,1,48.361283,289.008003,1860.002688,0.207826,-0.013440
200402,445,30,6.908755,1,55.270038,267.381060,2127.383748,0.216926,-0.019105
200403,438,30,6.908755,1,62.178793,275.283991,2402.667739,0.216926,-0.019105
200404,440,30,6.908755,1,69.087548,314.975924,2717.643663,0.216926,-0.019105
200405,435,29,6.908755,1,75.996303,317.445212,3035.088876,0.226536,-0.025354
200406,436,30,6.908755,1,82.905057,257.517737,3292.606613,0.226536,-0.025354
200407,432,29,6.908755,1,89.813812,276.079258,3568.685871,0.226536,-0.025354
200408,431,29,6.908755,1,96.722567,202.517955,3771.203826,0.239375,-0.029700
200409,441,30,6.908755,1,103.631322,146.335247,3917.539073,0.252488,-0.039616
200410,437,30,6.908755,1,110.540076,163.010049,4080.549122,0.266194,-0.046730
200411,434,29,6.908755,1,117.448831,192.004150,4272.553272,0.283097,-0.038723
200412,423,29,6.908755,1,124.357586,260.513059,4533.066331,0.290966,-0.039307
200501,425,29,6.908755,1,131.266341,406.652505,4939.718836,0.299984,-0.035489
200502,427,29,6.908755,1,138.175096,637.308851,5577.027688,0.310792,-0.037530
200503,411,28,6.908755,1,145.083850,803.287410,6380.315098,0.320833,-0.039844
200504,404,27,6.908755,1,151.992605,960.006080,7340.321178,0.331207,-0.034907
200505,402,27,6.908755,1,158.901360,1128.711893,8469.033071,0.334862,-0.040958
200506,397,27,6.908755,1,165.810115,1334.373292,9803.406364,0.343079,-0.045202
200507,403,27,6.908755,1,172.718869,1535.785037,11339.191401,0.350239,-0.039748
200508,405,27,6.908755,1,179.627624,1509.571827,12848.763227,0.351217,-0.036577
200509,404,27,6.908755,1,186.536379,1493.338901,14342.102128,0.347923,-0.039470
200510,414,28,6.908755,1,193.445134,1404.757816,15746.859944,0.346979,-0.038778
200511,411,28,6.908755,1,200.353889,1507.462751,17254.322696,0.350647,-0.028556
200512,411,28,6.908755,1,207.262643,1645.511956,18899.834652,0.350463,-0.027282
200601,413,28,6.908755,1,214.171398,1659.339605,20559.174256,0.345760,-0.024600
200602,424,29,6.908755,1,221.080153,1857.972419,22417.146675,0.339960,-0.021648
200603,419,28,6.908755,1,227.988908,1618.572139,24035.718814,0.337131,-0.011952
200604,424,29,6.908755,1,234.897662,1412.160420,25447.879234,0.327236,-0.007196
200605,416,28,6.908755,1,241.806417,1287.228781,26735.108015,0.315039,-0.004559
200606,410,28,6.908755,1,248.715172,1256.609608,27991.717623,0.297823,-0.000653
