date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,254.162201,254.162201,0.904054,0.157638
200308,401,27,6.908755,1,13.817510,224.627761,478.789962,0.904054,0.157638
200309,412,28,6.908755,1,20.726264,277.226982,756.016944,0.954150,0.089645
200310,406,28,6.908755,1,27.635019,193.262244,949.279188,0.954150,0.089645
200311,416,28,6.908755,1,34.543774,226.995753,1176.274941,0.954150,0.089645
200312,421,29,6.908755,1,41.452529,178.107277,1354.382218,0.954150,0.089645
200401,429,29,6.908755,1,48.361283,235.095735,1589.477953,0.954150,0.089645
200402,426,29,6.908755,1,55.270038,384.202973,1973.680925,0.792879,0.066920
200403,428,29,6.908755,1,62.178793,436.584736,2410.265662,0.792879,0.066920
200404,423,29,6.908755,1,69.087548,528.124341,2938.390003,0.792879,0.066920
200405,423,29,6.908755,1,75.996303,585.176837,3523.566840,0.769296,0.110193
200406,424,29,6.908755,1,82.905057,346.830085,3870.396925,0.769296,0.110193
200407,425,29,6.908755,1,89.813812,523.666731,4394.063656,0.769296,0.110193
200408,428,29,6.908755,1,96.722567,537.880735,4931.944391,0.718022,0.119170
200409,439,30,6.908755,1,103.631322,354.328274,5286.272665,0.723351,0.121537
200410,436,30,6.908755,1,110.540076,792.808093,6079.080758,0.610228,0.130279
200411,444,30,6.908755,1,117.448831,555.414218,6634.494976,0.567606,0.150610
200412,445,30,6.908755,1,124.357586,256.939324,6891.434300,0.636695,0.158255
200501,444,30,6.908755,1,131.266341,136.625598,7028.059897,0.669259,0.158116
200502,443,30,6.908755,1,138.175096,209.606346,7237.666243,0.785771,0.160281
200503,438,30,6.908755,1,145.083850,95.056798,7332.723041,0.813082,0.183142
200504,436,30,6.908755,1,151.992605,88.043727,7420.766768,1.110620,0.195474
200505,431,29,6.908755,1,158.901360,30.629954,7451.396721,1.199748,0.281470
200506,438,30,6.908753,1,165.810113,19.965749,7471.362471,1.223311,0.313897
200507,442,30,3.506541,8,169.316654,3.539408,7474.901879,1.253727,0.294979
200508,439,30,6.090272,1,175.406926,6.671058,7481.572937,1.225493,0.245433
200509,449,30,6.908755,1,182.315681,32.469197,7514.042135,1.204608,0.248211
200510,455,31,2.017211,4,184.332892,2.023750,7516.065884,1.486561,0.246005
200511,455,31,6.908755,1,191.241647,33.104500,7549.170384,1.320049,0.289212
200512,446,30,6.904182,1,198.145829,12.293118,7561.463502,1.226547,0.335326
200601,430,29,6.908755,1,205.054584,40.753840,7602.217343,1.263093,0.307580
200602,434,29,6.908755,1,211.963339,85.632865,7687.850208,1.490877,0.295198
