date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,5.295584,1,5.295584,5.516797,5.516797,2.585163,1.155633
200308,24,2,6.303122,1,11.598706,7.091184,12.607980,2.585163,1.155633
200309,26,2,-1.210260,84,10.388445,-1.210962,11.397018,2.604132,0.547675
200310,26,2,0.106755,111,10.495201,0.106868,11.503886,2.604132,0.547675
200311,25,2,1.472873,27,11.968074,1.476241,12.980127,2.604132,0.547675
200312,25,2,0.503591,84,12.471665,0.504246,13.484373,2.604132,0.547675
200401,27,2,-6.645920,465,5.825745,-6.646918,6.837455,2.604132,0.547675
200402,28,2,0.638282,19,6.464027,0.639176,7.476631,2.271991,0.575891
200403,29,2,-1.548779,47,4.915249,-1.549566,5.927065,2.271991,0.575891
200404,27,2,2.390138,29,7.305387,2.400103,8.327168,2.271991,0.575891
200405,31,3,-1.779829,143,5.525557,-1.780660,6.546507,2.230287,0.191445
200406,33,3,-3.787772,264,1.737785,-3.788749,2.757758,2.230287,0.191445
200407,34,3,4.862153,1,6.599939,4.999466,7.757224,2.230287,0.191445
200408,34,3,3.786084,3,10.386023,3.830123,11.587347,2.219603,0.218712
200409,33,3,1.147993,56,11.534016,1.150147,12.737495,2.332335,0.302136
200410,33,3,-3.540163,520,7.993853,-3.541133,9.196362,2.427216,-0.102894
200411,34,3,-1.018901,423,6.974953,-1.019540,8.176822,2.424227,-0.174018
200412,34,3,0.969982,53,7.944934,0.971621,9.148443,2.737199,-0.131753
200501,36,3,-1.286617,487,6.658317,-1.287341,7.861102,2.865830,0.241707
200502,36,3,-1.625061,941,5.033255,-1.625864,6.235237,3.050644,-0.487711
200503,35,3,-0.388294,350,4.644961,-0.388615,5.846622,3.050218,-0.187392
200504,38,3,-19.433822,715,-14.788861,-19.434822,-13.588200,3.041480,-0.477009
200505,38,3,5.192829,1,-9.596032,5.390033,-8.198167,3.165788,-0.619738
200506,38,3,6.902045,1,-2.693987,11.908633,3.710466,3.142749,-0.721577
200507,43,3,-6.353537,464,-9.047524,-6.354535,-2.644069,2.639277,-0.487821
200508,43,3,2.383720,1,-6.663805,2.393613,-0.250456,2.111498,-0.400277
200509,43,3,5.240331,2,-1.423473,5.448257,5.197801,2.018683,-0.292658
200510,43,3,0.559449,4,-0.864025,0.560199,5.758000,1.804822,-0.491185
200511,45,3,0.641622,2,-0.222403,0.642522,6.400522,1.542025,-0.398351
200512,45,3,-10.568604,426,-10.791007,-10.569604,-4.169082,1.466156,-0.262923
200601,46,4,2.080620,1,-8.710387,2.087654,-2.081428,1.696256,-0.480544
200602,48,4,6.908383,1,-1.802004,14.805254,12.723826,2.236321,-0.735706
200603,46,4,6.587895,1,4.785891,7.879791,20.603617,2.219354,-0.871327
200604,46,4,-3.245193,229,1.540697,-3.246154,17.357463,2.444846,-0.576863
200605,47,4,5.173231,1,6.713928,5.366189,22.723652,2.622164,-0.415499
200606,47,4,6.614002,1,13.327930,7.978379,30.702031,2.673794,-0.899083
200607,48,4,6.908745,1,20.236675,18.452418,49.154449,2.672454,-1.173966
200608,48,4,6.905910,1,27.142585,12.768581,61.923031,2.441528,-0.674407
