date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-6.437492,45,-6.437492,-6.438490,-6.438490,0.783119,0.405884
200308,88,6,-4.451276,24,-10.888768,-4.452264,-10.890754,0.783119,0.405884
200309,94,7,-3.067258,178,-13.956026,-3.068211,-13.958965,0.740629,0.316553
200310,97,7,3.198419,6,-10.757607,3.222193,-10.736772,0.740629,0.316553
200311,98,7,-0.089421,20,-10.847028,-0.089507,-10.826278,0.740629,0.316553
200312,96,7,2.672654,6,-8.174374,2.686224,-8.140055,0.740629,0.316553
200401,106,8,0.249896,8,-7.924479,0.250180,-7.889875,0.740629,0.316553
200402,101,7,6.908731,1,-1.015748,17.550632,9.660757,0.702355,0.225936
200403,106,8,6.682012,1,5.666264,8.276180,17.936937,0.702355,0.225936
200404,107,8,-0.035576,21,5.630688,-0.035611,17.901326,0.702355,0.225936
200405,108,8,-2.273110,23,3.357577,-2.274007,15.627319,0.722948,0.275815
200406,106,8,-23.615732,129,-20.258155,-23.616732,-7.989413,0.722948,0.275815
200407,110,8,6.908744,1,-13.349411,18.310109,10.320697,0.722948,0.275815
200408,108,8,6.908755,1,-6.440656,44.864308,55.185005,0.691539,0.261254
200409,111,8,6.908745,1,0.468089,18.432600,73.617605,0.713486,0.256145
200410,108,8,6.908755,1,7.376843,22.929253,96.546857,0.662640,0.229749
200411,109,8,4.614894,4,11.991738,4.720230,101.267087,0.642442,0.206006
200412,116,8,6.844052,1,18.835789,9.613176,110.880263,0.669770,0.218496
200501,115,8,6.908750,1,25.744540,19.246050,130.126313,0.644547,0.228895
200502,115,8,6.908755,1,32.653295,50.583345,180.709658,0.696683,0.180317
200503,111,8,6.908755,1,39.562049,23.163493,203.873150,0.673769,0.175270
200504,100,7,-3.555705,8,36.006345,-3.556676,200.316475,0.688036,0.166659
200505,98,7,6.908755,1,42.915099,32.649212,232.965687,0.698901,0.218704
200506,104,7,6.908753,1,49.823852,20.033254,252.998941,0.711267,0.174795
200507,105,7,6.908755,1,56.732607,28.079191,281.078132,0.649351,0.188805
200508,104,7,6.908755,1,63.641362,36.021045,317.099177,0.575799,0.249507
200509,101,7,6.908755,1,70.550117,31.377406,348.476584,0.589562,0.210796
200510,103,7,6.908755,1,77.458871,47.236479,395.713062,0.616134,0.160222
200511,101,7,6.908755,1,84.367626,35.458916,431.171978,0.551067,0.131770
200512,116,8,6.908755,1,91.276381,70.103734,501.275712,0.519990,0.114374
200601,116,8,6.908755,1,98.185136,63.458896,564.734608,0.577293,0.161010
