date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-1.827659,22,-1.827659,-1.828498,-1.828498,0.906105,0.131998
200308,143,10,-4.521617,10,-6.349276,-4.522605,-6.351103,0.906105,0.131998
200309,148,10,6.655908,1,0.306632,8.153642,1.802538,0.905750,0.096464
200310,150,10,-10.649231,235,-10.342599,-10.650231,-8.847692,0.905750,0.096464
200311,152,11,6.908179,1,-3.434420,14.367851,5.520159,0.905750,0.096464
200312,150,10,6.908220,1,3.473800,14.440654,19.960812,0.905750,0.096464
200401,139,10,-10.018822,281,-6.545022,-10.019821,9.940991,0.905750,0.096464
200402,143,10,6.908755,1,0.363733,24.228461,34.169452,0.798140,0.064678
200403,139,10,3.908448,2,4.272181,3.958502,38.127954,0.798140,0.064678
200404,135,9,6.873778,1,11.145959,10.243275,48.371229,0.798140,0.064678
200405,140,10,-3.726494,8,7.419465,-3.727470,44.643759,0.805815,0.091625
200406,146,10,0.957184,5,8.376649,0.958790,45.602549,0.805815,0.091625
200407,152,11,6.908755,1,15.285404,28.569830,74.172379,0.805815,0.091625
200408,153,11,-0.395549,4,14.889855,-0.395876,73.776504,0.814375,0.112686
200409,155,11,6.908755,1,21.798609,32.288543,106.065047,0.835496,0.102365
200410,162,11,6.908755,1,28.707364,37.006786,143.071833,0.786091,0.098014
200411,167,12,6.908755,1,35.616119,35.005866,178.077699,0.768862,0.086699
200412,163,11,6.908755,1,42.524874,30.681773,208.759471,0.796003,0.108308
200501,164,11,6.908755,1,49.433629,31.781308,240.540779,0.794452,0.061465
200502,169,12,6.908556,1,56.342184,15.429189,255.969968,0.775583,0.011369
200503,172,12,2.400978,4,58.743163,2.411063,258.381031,0.757732,-0.012639
200504,187,13,6.908753,1,65.651916,20.145303,278.526334,0.799103,-0.026199
200505,196,14,-2.416901,2,63.235014,-2.417812,276.108522,0.743365,-0.016655
200506,190,13,6.908755,1,70.143769,35.154832,311.263354,0.780661,-0.073075
200507,190,13,6.908755,1,77.052524,30.660063,341.923417,0.760178,-0.077903
200508,190,13,6.908755,1,83.961279,54.115960,396.039377,0.732334,-0.111172
