date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,119.544543,119.544543,0.755821,0.117488
200308,444,30,6.908755,1,13.817510,107.483704,227.028247,0.755821,0.117488
200309,451,31,6.908755,1,20.726264,105.747768,332.776015,0.766914,0.119741
200310,433,29,6.908755,1,27.635019,88.458249,421.234264,0.766914,0.119741
200311,437,30,6.908755,1,34.543774,131.115465,552.349729,0.766914,0.119741
200312,442,30,6.908755,1,41.452529,136.596507,688.946236,0.766914,0.119741
200401,441,30,6.908755,1,48.361283,137.685326,826.631562,0.766914,0.119741
200402,445,30,6.908755,1,55.270038,142.376692,969.008255,0.715926,0.101029
200403,438,30,6.908755,1,62.178793,254.084828,1223.093083,0.715926,0.101029
200404,440,30,6.908755,1,69.087548,273.793029,1496.886112,0.715926,0.101029
200405,435,29,6.908755,1,75.996303,276.206743,1773.092855,0.723019,0.097116
200406,436,30,6.908755,1,82.905057,285.128882,2058.221737,0.723019,0.097116
200407,432,29,6.908755,1,89.813812,245.299390,2303.521127,0.723019,0.097116
200408,431,29,6.908755,1,96.722567,385.645145,2689.166272,0.717157,0.088632
200409,441,30,6.908755,1,103.631322,272.230256,2961.396528,0.772096,0.088895
200410,437,30,6.908755,1,110.540076,275.484101,3236.880629,0.731513,0.069346
200411,434,29,6.908755,1,117.448831,244.007298,3480.887927,0.690793,0.072711
200412,423,29,6.908755,1,124.357586,85.795061,3566.682987,0.750641,0.051621
200501,425,29,6.908755,1,131.266341,94.056839,3660.739827,0.756036,0.037824
200502,427,29,6.908755,1,138.175096,97.562778,3758.302605,0.785440,0.035992
200503,411,28,6.908755,1,145.083850,91.723751,3850.026356,0.754538,0.072153
200504,404,27,6.908755,1,151.992605,112.062538,3962.088894,0.747071,0.075356
200505,402,27,6.908755,1,158.901360,49.385043,4011.473937,0.818072,0.067818
200506,397,27,6.908755,1,165.810115,37.582534,4049.056471,0.832104,0.069934
200507,403,27,6.908755,1,172.718869,24.628745,4073.685216,0.851251,0.083455
200508,405,27,6.908755,1,179.627624,35.946236,4109.631452,0.866764,0.070411
200509,404,27,6.908755,1,186.536379,33.829172,4143.460624,0.941792,0.045397
200510,414,28,6.904786,1,193.441165,12.435042,4155.895666,0.932872,0.058594
200511,411,28,6.889735,1,200.330900,10.860518,4166.756185,0.977303,0.041832
200512,411,28,-8.282370,108,192.048530,-8.283369,4158.472815,1.023289,0.003176
200601,413,28,-6.403655,49,185.644874,-6.404653,4152.068162,1.024252,0.001428
200602,424,29,6.908636,1,192.553510,15.945062,4168.013224,1.062595,0.009006
200603,419,28,6.903395,1,199.456906,12.133954,4180.147178,1.052371,0.022795
200604,424,29,-4.657310,12,194.799596,-4.658300,4175.488878,1.191837,0.029672
200605,416,28,6.908755,1,201.708351,29.636321,4205.125200,1.229782,0.081187
200606,410,28,6.908755,1,208.617105,45.758680,4250.883880,1.191019,0.084879
200607,416,28,6.908755,1,215.525860,75.981758,4326.865638,1.193068,0.120309
200608,417,28,6.908755,1,222.434615,48.830033,4375.695671,1.159093,0.161731
200609,416,28,6.908755,1,229.343370,62.651809,4438.347480,1.134684,0.200624
200610,403,27,6.908751,1,236.252121,19.483119,4457.830599,1.122646,0.232769
200611,394,27,6.907914,1,243.160035,13.988236,4471.818835,1.094825,0.283312
200612,395,27,6.908715,1,250.068750,17.033007,4488.851842,1.031746,0.301272
