date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,311,21,6.908755,1,6.908755,52.714214,52.714214,,
200302,315,21,6.908755,1,13.817510,47.365593,100.079807,,
200303,319,22,6.908755,1,20.726264,28.482852,128.562659,,
200304,323,22,6.908735,1,27.634999,17.727141,146.289800,,
200305,336,23,6.908755,1,34.543754,29.646965,175.936765,,
200306,348,24,6.908755,1,41.452509,30.365101,206.301866,,
200307,359,24,6.908718,1,48.361227,17.121261,223.423127,,
200308,365,25,6.905978,1,55.267204,12.792690,236.215818,,
200309,373,25,6.856468,1,62.123672,9.832507,246.048324,,
200310,367,25,6.908753,1,69.032425,20.291970,266.340294,,
200311,373,25,6.908753,1,75.941179,20.357081,286.697375,,
200312,376,26,6.908533,1,82.849712,15.322951,302.020326,,
200401,379,26,-2.736918,5,80.112795,-2.737852,299.282473,,
200402,375,25,6.908752,1,87.021547,19.794473,319.076947,,
200403,377,26,6.908667,1,93.930214,16.253551,335.330497,,
200404,372,25,6.908755,1,100.838969,25.255695,360.586193,,
200405,371,25,6.908755,1,107.747724,41.266233,401.852425,,
200406,372,25,6.908755,1,114.656479,27.394379,429.246804,,
200407,374,25,6.908755,1,121.565233,42.485353,471.732157,,
200408,377,26,6.908755,1,128.473988,51.676801,523.408958,,
200409,386,26,6.908755,1,135.382743,55.030081,578.439039,,
200410,383,26,6.908755,1,142.291498,37.346477,615.785516,,
200411,393,27,6.908755,1,149.200252,53.750169,669.535685,,
200412,393,27,6.908755,1,156.109007,30.853091,700.388777,,
200501,391,27,6.908755,1,163.017762,62.572028,762.960805,,
200502,388,26,6.908755,1,169.926517,71.040483,834.001288,,
200503,384,26,6.908755,1,176.835272,55.401179,889.402467,,
200504,381,26,6.908755,1,183.744026,69.828963,959.231430,,
200505,377,26,6.908755,1,190.652781,58.403413,1017.634843,,
200506,386,26,6.908755,1,197.561536,65.391287,1083.026131,,
200507,392,27,6.908755,1,204.470291,45.976839,1129.002970,,
200508,390,26,6.908755,1,211.379045,60.783164,1189.786134,,
200509,398,27,6.908755,1,218.287800,97.462303,1287.248437,,
200510,403,27,6.908755,1,225.196555,134.596367,1421.844804,,
200511,402,27,6.908755,1,232.105310,101.329598,1523.174402,,
200512,390,26,6.908755,1,239.014065,81.337257,1604.511659,,
200601,375,25,6.908755,1,245.922819,46.413472,1650.925131,,
200602,380,26,6.908755,1,252.831574,57.088586,1708.013717,,
200603,377,26,6.908755,1,259.740329,64.221241,1772.234958,,
200604,372,25,6.908755,1,266.649084,22.735454,1794.970413,,
200605,369,25,6.908755,1,273.557838,66.911116,1861.881529,,
200606,382,26,6.908755,1,280.466593,77.192172,1939.073701,,
200607,385,26,6.908755,1,287.375348,41.672878,1980.746579,,
200608,377,26,6.908755,1,294.284103,83.746020,2064.492599,,
200609,373,25,6.908755,1,301.192857,75.122290,2139.614889,,
200610,336,23,6.908755,1,308.101612,39.153669,2178.768558,,
200611,345,23,6.908755,1,315.010367,23.188427,2201.956985,,
200612,337,23,4.418214,2,319.428581,4.503715,2206.460700,,
200701,333,23,6.908755,1,326.337336,27.452984,2233.913685,,
200702,310,21,6.908755,1,333.246091,27.399512,2261.313196,,
200703,308,21,6.908754,1,340.154845,21.231924,2282.545120,,
200704,320,22,6.908755,1,347.063600,23.863037,2306.408157,,
200705,322,22,6.908755,1,353.972354,22.324235,2328.732392,,
200706,321,22,6.908743,1,360.881097,18.227974,2346.960366,,
200707,317,22,4.544838,3,365.425934,4.642611,2351.602977,,
200708,313,21,3.260161,3,368.686096,3.285534,2354.888511,,
200709,317,22,6.908755,1,375.594850,32.066897,2386.955408,,
200710,339,23,6.908755,1,382.503605,66.625030,2453.580438,,
200711,333,23,6.908755,1,389.412360,108.285265,2561.865703,,
200712,349,24,6.908755,1,396.321115,94.176702,2656.042405,,
200801,348,24,6.908755,1,403.229870,188.380560,2844.422965,,
200802,352,24,6.908755,1,410.138624,190.986963,3035.409928,,
200803,356,24,6.908755,1,417.047379,395.467448,3430.877376,,
200804,360,24,6.908755,1,423.956134,285.977001,3716.854377,,
200805,371,25,6.908755,1,430.864889,259.981390,3976.835767,,
200806,393,27,6.908755,1,437.773643,454.528320,4431.364086,,
200807,403,27,6.908755,1,444.682398,676.088320,5107.452406,,
200808,401,27,6.908755,1,451.591153,643.142814,5750.595219,,
200809,391,27,6.908755,1,458.499908,699.334701,6449.929920,,
200810,391,27,6.908755,1,465.408663,381.183588,6831.113508,,
200811,399,27,6.908755,1,472.317417,627.314139,7458.427647,,
200812,463,31,6.908755,1,479.226172,479.104687,7937.532333,,
200901,442,30,6.908755,1,486.134927,623.968379,8561.500713,,
200902,448,30,6.908755,1,493.043682,791.102950,9352.603663,,
200903,456,31,6.908755,1,499.952436,805.880100,10158.483763,,
200904,454,31,6.908755,1,506.861191,634.766097,10793.249860,,
200905,463,31,6.908755,1,513.769946,295.849764,11089.099624,,
200906,483,33,6.908755,1,520.678701,311.025798,11400.125422,,
200907,496,34,6.908755,1,527.587456,232.136620,11632.262042,,
200908,507,34,6.908755,1,534.496210,232.468689,11864.730730,,
200909,516,35,6.908755,1,541.404965,194.238632,12058.969363,,
200910,514,35,6.908755,1,548.313720,164.889713,12223.859076,,
200911,510,34,6.908755,1,555.222475,213.852337,12437.711413,,
200912,527,36,6.908755,1,562.131229,128.376643,12566.088056,,
201001,530,36,6.908755,1,569.039984,176.804819,12742.892874,,
201002,538,36,6.908755,1,575.948739,285.068405,13027.961279,,
201003,533,36,6.908755,1,582.857494,255.778087,13283.739367,,
201004,540,36,6.908755,1,589.766249,337.775044,13621.514411,,
201005,535,36,6.908755,1,596.675003,580.540810,14202.055221,,
201006,537,36,6.908755,1,603.583758,716.424402,14918.479623,,
201007,559,38,6.908755,1,610.492513,582.108203,15500.587826,,
201008,556,38,6.908755,1,617.401268,752.399177,16252.987004,,
201009,572,39,6.908755,1,624.310022,657.215749,16910.202753,,
201010,584,39,6.908755,1,631.218777,554.235613,17464.438365,,
201011,597,40,6.908755,1,638.127532,781.572970,18246.011335,,
201012,607,41,6.908755,1,645.036287,606.461908,18852.473243,,
201101,606,41,6.908755,1,651.945042,572.119294,19424.592538,,
201102,615,41,6.908755,1,658.853796,561.777837,19986.370374,,
201103,605,41,6.908755,1,665.762551,505.191049,20491.561424,,
201104,610,41,6.908755,1,672.671306,483.975673,20975.537097,,
201105,619,42,6.908755,1,679.580061,508.185865,21483.722962,,
201106,641,43,6.908755,1,686.488815,556.263550,22039.986512,,
201107,656,44,6.908755,1,693.397570,681.051585,22721.038097,,
201108,665,45,6.908755,1,700.306325,1127.979717,23849.017814,,
201109,683,46,6.908755,1,707.215080,1122.822614,24971.840428,,
201110,694,47,6.908755,1,714.123835,906.612751,25878.453179,,
201111,674,45,6.908755,1,721.032589,1292.535732,27170.988911,,
201112,687,46,6.908755,1,727.941344,1161.891265,28332.880176,,
201201,700,47,6.908755,1,734.850099,591.164433,28924.044608,,
201202,710,48,6.908755,1,741.758854,585.222700,29509.267309,,
201203,710,48,6.908755,1,748.667608,482.062131,29991.329440,,
201204,726,49,6.908755,1,755.576363,565.421453,30556.750893,,
201205,715,48,6.908755,1,762.485118,781.982866,31338.733760,,
201206,728,49,6.908755,1,769.393873,824.863301,32163.597061,,
201207,732,49,6.908755,1,776.302628,649.297646,32812.894707,,
201208,730,49,6.908755,1,783.211382,645.588113,33458.482820,,
201209,751,51,6.908755,1,790.120137,461.686405,33920.169225,,
201210,762,51,6.908755,1,797.028892,417.571935,34337.741160,,
201211,763,51,6.908755,1,803.937647,327.415451,34665.156610,,
201212,766,52,6.908755,1,810.846402,276.252267,34941.408878,,
201301,777,52,6.908755,1,817.755156,257.785501,35199.194378,,
201302,793,53,6.908755,1,824.663911,258.735063,35457.929442,,
201303,782,53,6.908755,1,831.572666,295.216307,35753.145748,,
201304,776,52,6.908755,1,838.481421,221.392220,35974.537968,,
201305,775,52,6.908755,1,845.390175,198.876842,36173.414810,,
201306,785,53,6.908755,1,852.298930,308.605226,36482.020036,,
201307,792,53,6.908755,1,859.207685,233.953747,36715.973782,,
201308,791,53,6.908755,1,866.116440,237.592207,36953.565990,,
201309,775,52,6.908755,1,873.025195,244.544849,37198.110838,,
201310,761,51,6.908755,1,879.933949,219.208164,37417.319002,,
201311,779,52,6.908755,1,886.842704,209.641750,37626.960753,,
201312,775,52,6.908755,1,893.751459,176.087048,37803.047800,,
201401,771,52,6.908755,1,900.660214,209.823325,38012.871125,,
201402,771,52,6.908755,1,907.568968,143.463486,38156.334612,,
201403,760,51,6.908755,1,914.477723,143.466234,38299.800846,,
201404,768,52,6.908755,1,921.386478,153.370221,38453.171067,,
201405,776,52,6.908755,1,928.295233,142.793855,38595.964921,,
201406,789,53,6.908755,1,935.203988,157.930787,38753.895709,,
201407,807,54,6.908755,1,942.112742,164.188058,38918.083767,,
201408,813,55,6.908755,1,949.021497,176.195015,39094.278783,,
201409,829,56,6.908755,1,955.930252,249.992389,39344.271172,,
201410,836,56,6.908755,1,962.839007,204.909536,39549.180708,,
201411,826,56,6.908755,1,969.747761,233.182269,39782.362978,,
201412,817,55,6.908755,1,976.656516,173.505450,39955.868428,,
201501,828,56,6.908755,1,983.565271,232.613985,40188.482413,,
201502,812,55,6.908755,1,990.474026,193.407020,40381.889433,,
201503,806,54,6.908755,1,997.382781,236.707107,40618.596541,,
