date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,53,4,2.202665,23,2.202665,2.210746,2.210746,,
200302,54,4,6.896390,1,9.099054,11.294430,13.505177,,
200303,57,4,6.908477,1,16.007531,15.095831,28.601007,,
200304,57,4,6.906676,1,22.914207,13.082585,41.683593,,
200305,48,4,6.015145,1,28.929352,6.540383,48.223976,,
200306,50,4,5.578466,1,34.507818,5.884536,54.108512,,
200307,52,4,0.399903,82,34.907720,0.400394,54.508906,,
200308,52,4,-7.845994,158,27.061726,-7.846993,46.661913,,
200309,51,4,0.371188,126,27.432914,0.371637,47.033550,,
200310,59,4,-1.311267,268,26.121646,-1.311998,45.721552,,
200311,59,4,-0.781692,265,25.339954,-0.782234,44.939318,,
200312,61,5,1.499543,31,26.839497,1.503029,46.442347,,
200401,64,5,0.921291,69,27.760788,0.922805,47.365151,,
200402,66,5,-4.348870,766,23.411918,-4.349857,43.015295,,
200403,65,5,-0.592307,234,22.819611,-0.592754,42.422540,,
200404,65,5,-1.009417,59,21.810193,-1.010053,41.412488,,
200405,65,5,-8.197577,222,13.612617,-8.198576,33.213912,,
200406,69,5,1.756403,34,15.369020,1.761206,34.975118,,
200407,66,5,0.701955,52,16.070975,0.702974,35.678092,,
200408,64,5,-0.959385,147,15.111590,-0.960002,34.718090,,
200409,67,5,0.670832,70,15.782421,0.671788,35.389877,,
200410,66,5,5.380759,2,21.163180,5.624344,41.014221,,
200411,67,5,6.542522,1,27.705703,7.723543,48.737765,,
200412,67,5,6.848976,1,34.554678,9.694818,58.432582,,
200501,67,5,4.896490,1,39.451169,5.038998,63.471580,,
200502,82,6,6.512857,1,45.964026,7.629885,71.101465,,
200503,83,6,4.063407,4,50.027434,4.122279,75.223744,,
200504,84,6,1.744827,7,51.772261,1.749564,76.973308,,
200505,85,6,6.908526,1,58.680787,15.291412,92.264720,,
200506,88,6,2.374320,12,61.055107,2.384112,94.648831,,
200507,88,6,0.004284,36,61.059391,0.004288,94.653119,,
200508,90,6,6.758273,1,67.817664,8.725483,103.378602,,
200509,95,7,-7.596340,86,60.221323,-7.597339,95.781262,,
200510,89,6,-7.649908,67,52.571415,-7.650907,88.130355,,
200511,89,6,5.771658,2,58.343073,6.157423,94.287778,,
