date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,16,2,1.615721,42,1.615721,1.619760,1.619760,,
200302,19,2,1.358286,72,2.974007,1.361180,2.980940,,
200303,19,2,-1.060752,96,1.913255,-1.061405,1.919535,,
200304,19,2,-0.211567,166,1.701687,-0.211758,1.707777,,
200305,20,2,0.593601,98,2.295288,0.594411,2.302188,,
200306,22,2,2.075558,24,4.370846,2.082551,4.384739,,
200307,23,2,2.313080,26,6.683926,2.322227,6.706966,,
200308,23,2,-0.289712,234,6.394214,-0.289964,6.417003,,
200309,24,2,0.091022,313,6.485236,0.091118,6.508120,,
200310,24,2,0.124099,301,6.609335,0.124231,6.632351,,
200311,24,2,0.182065,316,6.791399,0.182264,6.814616,,
200312,24,2,0.518951,166,7.310350,0.519631,7.334247,,
200401,26,2,0.065328,365,7.375678,0.065396,7.399643,,
200402,27,2,0.131686,314,7.507365,0.131827,7.531470,,
200403,27,2,-1.689385,439,5.817980,-1.690200,5.841270,,
200404,25,2,0.276805,174,6.094785,0.277124,6.118394,,
200405,29,2,-0.662154,332,5.432631,-0.662638,5.455756,,
200406,31,3,0.344912,187,5.777543,0.345324,5.801080,,
200407,32,3,-0.395541,365,5.382002,-0.395868,5.405212,,
200408,32,3,0.205042,186,5.587045,0.205270,5.610482,,
200409,31,3,0.185591,262,5.772635,0.185795,5.796277,,
200410,31,3,0.658425,89,6.431060,0.659357,6.455634,,
200411,32,3,1.096092,22,7.527153,1.098087,7.553721,,
200412,32,3,1.441103,5,8.968255,1.444333,8.998054,,
200501,34,3,-5.861641,326,3.106614,-5.862638,3.135417,,
200502,34,3,1.467541,40,4.574156,1.470885,4.606302,,
200503,33,3,-0.237526,289,4.336630,-0.237737,4.368565,,
200504,35,3,-2.224268,345,2.112362,-2.225160,2.143405,,
200505,35,3,0.474896,125,2.587257,0.475504,2.618909,,
200506,35,3,-0.948199,148,1.639059,-0.948811,1.670098,,
200507,40,3,-1.927046,335,-0.287987,-1.927900,-0.257802,,
200508,40,3,-2.300581,237,-2.588569,-2.301481,-2.559283,,
200509,40,3,1.189811,78,-1.398758,1.192100,-1.367183,,
200510,40,3,0.693391,99,-0.705367,0.694392,-0.672791,,
200511,42,3,0.935814,93,0.230447,0.937364,0.264573,,
200512,42,3,0.451477,189,0.681924,0.452048,0.716621,,
200601,43,3,1.105940,80,1.787864,1.107964,1.824585,,
200602,44,3,-4.886808,199,-3.098943,-4.887800,-3.063214,,
200603,42,3,0.756001,116,-2.342943,0.757131,-2.306083,,
200604,42,3,-0.160596,329,-2.503539,-0.160745,-2.466828,,
200605,43,3,0.823497,91,-1.680042,0.824776,-1.642052,,
200606,42,3,-0.289839,242,-1.969881,-0.290091,-1.932142,,
200607,43,3,-3.468917,760,-5.438798,-3.469885,-5.402028,,
200608,43,3,0.103519,277,-5.335279,0.103628,-5.298400,,
200609,43,3,-0.237030,190,-5.572309,-0.237241,-5.535640,,
200610,43,3,2.696576,6,-2.875732,2.710502,-2.825139,,
200611,44,3,5.427587,2,2.551854,5.684545,2.859406,,
200612,45,3,-1.296010,276,1.255844,-1.296736,1.562670,,
200701,44,3,2.058122,29,3.313967,2.064977,3.627647,,
200702,43,3,-0.410017,72,2.903950,-0.410353,3.217294,,
200703,43,3,1.788834,37,4.692784,1.793829,5.011123,,
200704,44,3,0.357754,109,5.050538,0.358184,5.369308,,
200705,45,3,1.948213,27,6.998751,1.954247,7.323555,,
200706,44,3,-6.584708,225,0.414044,-6.585706,0.737849,,
200707,45,3,-3.581264,659,-3.167220,-3.582236,-2.844386,,
200708,45,3,-2.969444,334,-6.136664,-2.970392,-5.814778,,
200709,48,4,-2.724351,225,-8.861015,-2.725285,-8.540063,,
200710,49,4,3.334084,3,-5.526931,3.361510,-5.178554,,
200711,51,4,-5.762284,202,-11.289214,-5.763280,-10.941834,,
200712,50,4,4.227949,1,-7.061265,4.297917,-6.643916,,
200801,50,4,-0.561844,20,-7.623110,-0.562274,-7.206191,,
200802,51,4,6.827819,1,-0.795290,9.381117,2.174926,,
200803,52,4,6.908486,1,6.113195,15.127657,17.302583,,
200804,51,4,6.908741,1,13.021936,18.125955,35.428538,,
200805,51,4,5.384138,2,18.406074,5.628661,41.057199,,
200806,52,4,6.831915,1,25.237989,9.435123,50.492322,,
200807,52,4,1.766937,7,27.004926,1.771802,52.264124,,
200808,54,4,-0.782616,11,26.222310,-0.783159,51.480965,,
200809,54,4,-13.502941,32,12.719369,-13.503940,37.977024,,
200810,52,4,6.908755,1,19.628124,74.312506,112.289531,,
