date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,68,5,6.907645,1,6.907645,13.710893,13.710893,,
200302,72,5,6.906579,1,13.814224,13.036859,26.747752,,
200303,76,6,6.908755,1,20.722978,25.314086,52.061838,,
200304,78,6,6.088184,1,26.811162,6.667324,58.729162,,
200305,78,6,6.906653,1,33.717815,13.071545,71.800707,,
200306,83,6,4.579171,2,38.296986,4.680577,76.481284,,
200307,84,6,6.907336,1,45.204322,13.464995,89.946280,,
200308,86,6,6.630309,1,51.834632,8.043838,97.990118,,
200309,91,7,6.908752,1,58.743383,19.622998,117.613115,,
200310,94,7,2.808319,7,61.551702,2.824024,120.437139,,
200311,95,7,1.177747,25,62.729449,1.179996,121.617135,,
200312,92,7,-0.444232,60,62.285217,-0.444590,121.172545,,
200401,102,7,-2.164117,227,60.121101,-2.165001,119.007544,,
200402,97,7,4.442171,3,64.563272,4.529865,123.537409,,
200403,100,7,6.907297,1,71.470569,13.438057,136.975466,,
200404,99,7,-0.889034,2,70.581535,-0.889623,136.085843,,
200405,101,7,6.757270,1,77.338805,8.718328,144.804171,,
200406,99,7,4.957384,2,82.296189,5.109628,149.913799,,
200407,104,7,6.908754,1,89.204943,20.889475,170.803275,,
200408,102,7,4.220284,4,93.425227,4.289691,175.092966,,
200409,105,7,-0.226579,19,93.198648,-0.226782,174.866183,,
200410,102,7,0.064730,34,93.263378,0.064797,174.930980,,
200411,103,7,0.219169,47,93.482547,0.219414,175.150394,,
200412,110,8,0.893927,30,94.376474,0.895373,176.045768,,
200501,109,8,5.675326,2,100.051800,6.018638,182.064405,,
200502,109,8,6.360304,1,106.412104,7.221685,189.286090,,
200503,106,8,-0.210025,122,106.202078,-0.210215,189.075875,,
200504,95,7,1.801172,12,108.003251,1.806242,190.882117,,
200505,92,7,-0.360255,55,107.642995,-0.360558,190.521559,,
200506,99,7,5.360907,2,113.003903,5.599061,196.120620,,
200507,101,7,3.624338,4,116.628240,3.661520,199.782140,,
200508,100,7,5.565015,1,122.193255,5.866295,205.648435,,
200509,97,7,3.723735,9,125.916990,3.764993,209.413428,,
200510,99,7,4.372560,2,130.289550,4.454037,213.867465,,
200511,98,7,6.681945,1,136.971495,8.275854,222.143318,,
200512,113,8,6.908755,1,143.880250,22.309449,244.452767,,
200601,112,8,6.899649,1,150.779899,11.602084,256.054851,,
200602,112,8,6.908750,1,157.688649,19.097046,275.151897,,
200603,114,8,1.978787,6,159.667435,1.985040,277.136937,,
200604,111,8,3.153783,7,162.821218,3.176462,280.313399,,
200605,114,8,6.476147,1,169.297365,7.521590,287.834989,,
200606,121,9,0.887299,16,170.184664,0.888728,288.723718,,
200607,118,8,6.908754,1,177.093419,21.942234,310.665952,,
200608,119,8,6.908751,1,184.002170,19.421976,330.087928,,
200609,122,9,6.908754,1,190.910924,21.046136,351.134064,,
200610,133,9,6.908755,1,197.819679,27.741594,378.875658,,
200611,119,8,3.249328,2,201.069006,3.274413,382.150071,,
200612,119,8,-0.854698,9,200.214308,-0.855273,381.294798,,
200701,115,8,6.548273,1,206.762581,7.742419,389.037217,,
200702,109,8,5.983717,1,212.746298,6.487754,395.524971,,
200703,100,7,6.908235,1,219.654533,14.469421,409.994392,,
200704,110,8,6.908741,1,226.563273,18.079572,428.073964,,
200705,105,7,6.907542,1,233.470815,13.622021,441.695985,,
200706,98,7,6.908502,1,240.379317,15.188991,456.884976,,
200707,94,7,6.908684,1,247.288001,16.464745,473.349721,,
200708,89,6,6.908708,1,254.196709,16.877770,490.227491,,
200709,85,6,6.908754,1,261.105463,20.974643,511.202134,,
200710,74,5,1.891733,14,262.997196,1.897380,513.099514,,
200711,72,5,-6.595079,15,256.402117,-6.596077,506.503437,,
200712,68,5,6.907984,1,263.310101,14.075037,520.578475,,
200801,67,5,5.309650,2,268.619751,5.534394,526.112868,,
200802,68,5,6.908190,1,275.527941,14.387177,540.500045,,
200803,46,4,3.573134,7,279.101075,3.608376,544.108421,,
200804,48,4,6.907794,1,286.008869,13.854672,557.963094,,
200805,51,4,5.864199,1,291.873068,6.296830,564.259923,,
200806,36,3,0.223088,93,292.096156,0.223338,564.483261,,
200807,35,3,-1.623271,288,290.472884,-1.624074,562.859187,,
200808,36,3,-4.272552,379,286.200332,-4.273538,558.585649,,
200809,36,3,3.278628,5,289.478960,3.304499,561.890149,,
200810,33,3,2.941374,7,292.420334,2.959478,564.849627,,
200811,33,3,1.931607,17,294.351940,1.937525,566.787152,,
200812,30,2,1.659556,18,296.011496,1.663822,568.450973,,
200901,30,2,4.010450,2,300.021946,4.066144,572.517118,,
200902,31,3,5.125348,1,305.147294,5.308349,577.825467,,
200903,31,3,3.427183,6,308.574477,3.457425,581.282892,,
200904,32,3,2.795675,6,311.370152,2.811168,584.094060,,
200905,31,3,1.516428,46,312.886581,1.519990,585.614051,,
200906,31,3,-0.299249,227,312.587331,-0.299508,585.314543,,
200907,32,3,2.896547,9,315.483878,2.913806,588.228349,,
200908,35,3,1.526050,31,317.009928,1.529656,589.758005,,
200909,36,3,1.580060,28,318.589987,1.583922,591.341928,,
200910,36,3,5.349847,1,323.939834,5.585033,596.926960,,
200911,39,3,4.005496,1,327.945330,4.060902,600.987862,,
200912,46,4,-0.546278,67,327.399051,-0.546699,600.441163,,
201001,51,4,-1.347478,121,326.051574,-1.348218,599.092945,,
201002,54,4,4.106652,5,330.158225,4.168254,603.261199,,
201003,54,4,-3.394477,268,326.763749,-3.395443,599.865756,,
201004,60,4,-0.961853,169,325.801896,-0.962470,598.903286,,
201005,60,4,2.071634,24,327.873530,2.078596,600.981882,,
201006,61,5,6.896677,1,334.770207,11.318100,612.299982,,
201007,62,5,3.613307,4,338.383515,3.650063,615.950045,,
201008,73,5,6.868631,1,345.252146,10.103422,626.053467,,
201009,81,6,-3.200393,65,342.051754,-3.201352,622.852115,,
201010,94,7,6.908755,1,348.960508,22.479995,645.332111,,
201011,96,7,6.908685,1,355.869194,16.484757,661.816867,,
201012,99,7,6.908754,1,362.777948,21.138151,682.955019,,
201101,99,7,6.908755,1,369.686702,42.220742,725.175761,,
201102,96,7,6.743891,1,376.430594,8.626828,733.802590,,
201103,97,7,6.899286,1,383.329880,11.562825,745.365414,,
201104,97,7,6.588364,1,389.918244,7.881499,753.246914,,
201105,93,7,5.665549,2,395.583793,6.004870,759.251784,,
201106,93,7,6.877339,1,402.461132,10.352460,769.604244,,
201107,92,7,4.401127,2,406.862259,4.485099,774.089343,,
201108,95,7,6.907439,1,413.769698,13.540247,787.629590,,
201109,101,7,-6.551380,7,407.218318,-6.552378,781.077212,,
201110,104,7,6.862450,1,414.080768,9.957026,791.034237,,
201111,109,8,6.628975,1,420.709743,8.038358,799.072595,,
201112,107,8,6.908699,1,427.618442,16.699377,815.771972,,
201201,108,8,6.908724,1,434.527165,17.285905,833.057877,,
201202,110,8,5.225955,2,439.753120,5.430570,838.488446,,
201203,116,8,6.782662,1,446.535782,8.914785,847.403231,,
201204,118,8,6.908699,1,453.444482,16.702548,864.105779,,
