date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,86,6,6.908755,1,6.908755,55.067055,55.067055,,
200302,94,7,6.908755,1,13.817510,60.661266,115.728322,,
200303,96,7,6.908755,1,20.726264,52.527345,168.255666,,
200304,96,7,6.908755,1,27.635019,28.384813,196.640479,,
200305,110,8,6.908755,1,34.543774,38.147494,234.787973,,
200306,116,8,6.908755,1,41.452529,43.728512,278.516485,,
200307,129,9,6.908755,1,48.361283,40.407119,318.923605,,
200308,135,9,6.908755,1,55.270038,44.248242,363.171847,,
200309,139,10,6.908755,1,62.178793,75.483192,438.655039,,
200310,141,10,6.908755,1,69.087548,50.781425,489.436465,,
200311,144,10,6.908755,1,75.996303,36.631481,526.067945,,
200312,144,10,6.908702,1,82.905005,16.760394,542.828339,,
200401,133,9,6.908656,1,89.813661,16.133733,558.962072,,
200402,134,9,6.908755,1,96.722416,23.698462,582.660534,,
200403,131,9,6.908755,1,103.631170,22.633886,605.294420,,
200404,127,9,3.255063,4,106.886234,3.280301,608.574720,,
200405,131,9,-7.039875,28,99.846359,-7.040873,601.533847,,
200406,137,10,-3.111018,28,96.735341,-3.111973,598.421873,,
200407,143,10,-5.701515,73,91.033825,-5.702511,592.719362,,
200408,144,10,6.908755,1,97.942580,30.385134,623.104496,,
200409,146,10,6.908755,1,104.851335,22.407841,645.512337,,
200410,152,11,6.908755,1,111.760090,30.318027,675.830364,,
200411,157,11,6.834345,1,118.594435,9.468493,685.298857,,
200412,153,11,6.816544,1,125.410979,9.244972,694.543829,,
200501,153,11,-1.840152,12,123.570827,-1.840993,692.702837,,
200502,158,11,6.907675,1,130.478502,13.738253,706.441089,,
200503,160,11,6.908755,1,137.387257,24.911705,731.352795,,
200504,173,12,6.520986,1,143.908243,7.654961,739.007755,,
200505,182,13,6.908755,1,150.816998,42.625810,781.633565,,
200506,176,12,6.908755,1,157.725753,57.394554,839.028119,,
200507,177,12,6.908755,1,164.634508,36.796224,875.824343,,
200508,174,12,6.908755,1,171.543262,56.119540,931.943883,,
200509,181,13,6.908755,1,178.452017,57.847058,989.790940,,
200510,182,13,6.908755,1,185.360772,85.506160,1075.297100,,
200511,183,13,6.908755,1,192.269527,95.008521,1170.305621,,
200512,151,11,6.908755,1,199.178281,81.196704,1251.502325,,
200601,150,10,6.908755,1,206.087036,45.862040,1297.364365,,
200602,154,11,6.908755,1,212.995791,59.557188,1356.921552,,
200603,151,11,6.908755,1,219.904546,44.662018,1401.583570,,
200604,146,10,6.908755,1,226.813301,58.558322,1460.141892,,
200605,140,10,6.908755,1,233.722055,39.163348,1499.305240,,
200606,130,9,6.431715,1,240.153771,7.399927,1506.705167,,
200607,129,9,-19.362306,59,220.791465,-19.363305,1487.341862,,
200608,128,9,6.908755,1,227.700220,29.557953,1516.899815,,
200609,130,9,6.908755,1,234.608974,63.185369,1580.085184,,
200610,131,9,6.908755,1,241.517729,26.504169,1606.589353,,
200611,144,10,-31.695379,111,209.822350,-31.696379,1574.892974,,
200612,139,10,6.908755,1,216.731105,23.394682,1598.287656,,
200701,144,10,6.908755,1,223.639859,23.814594,1622.102250,,
200702,148,10,6.908755,1,230.548614,36.663211,1658.765461,,
200703,148,10,6.908755,1,237.457369,53.354879,1712.120340,,
200704,125,9,6.908755,1,244.366124,23.530344,1735.650684,,
200705,122,9,5.276771,3,249.642894,5.493357,1741.144041,,
200706,125,9,-3.350587,54,246.292308,-3.351551,1737.792490,,
200707,118,8,6.907954,1,253.200261,14.036953,1751.829443,,
200708,116,8,-6.250928,81,246.949334,-6.251925,1745.577517,,
200709,120,8,4.050630,2,250.999964,4.108719,1749.686236,,
