date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,361,25,6.908755,1,6.908755,112.867480,112.867480,,
200302,372,25,6.908755,1,13.817510,117.373963,230.241443,,
200303,381,26,6.908755,1,20.726264,113.669372,343.910815,,
200304,397,27,6.908755,1,27.635019,95.215964,439.126779,,
200305,390,26,6.908755,1,34.543774,79.863798,518.990577,,
200306,401,27,6.908755,1,41.452529,42.033104,561.023680,,
200307,410,28,6.908755,1,48.361283,68.567424,629.591104,,
200308,413,28,6.908755,1,55.270038,43.970670,673.561774,,
200309,418,28,6.908755,1,62.178793,65.949294,739.511068,,
200310,398,27,6.908755,1,69.087548,56.847067,796.358134,,
200311,402,27,6.908755,1,75.996303,59.568077,855.926211,,
200312,406,28,6.908755,1,82.905057,63.871939,919.798150,,
200401,405,27,6.908755,1,89.813812,27.135602,946.933752,,
200402,408,28,6.908755,1,96.722567,37.301102,984.234854,,
200403,401,27,6.908755,1,103.631322,34.301774,1018.536628,,
200404,403,27,6.908755,1,110.540076,44.005214,1062.541842,,
200405,402,27,6.908755,1,117.448831,78.019405,1140.561247,,
200406,402,27,6.908755,1,124.357586,67.353544,1207.914791,,
200407,397,27,6.908755,1,131.266341,61.229224,1269.144015,,
200408,396,27,6.908755,1,138.175096,52.407081,1321.551095,,
200409,403,27,6.908755,1,145.083850,44.544826,1366.095921,,
200410,399,27,6.908755,1,151.992605,71.050350,1437.146271,,
200411,397,27,6.908755,1,158.901360,58.380315,1495.526587,,
200412,387,26,6.908755,1,165.810115,56.369497,1551.896084,,
200501,387,26,6.908755,1,172.718869,73.314281,1625.210365,,
200502,387,26,6.908755,1,179.627624,77.748348,1702.958713,,
200503,370,25,6.908755,1,186.536379,130.802236,1833.760949,,
200504,359,24,6.908755,1,193.445134,133.005669,1966.766618,,
200505,354,24,6.908755,1,200.353889,77.368266,2044.134884,,
200506,345,23,6.908755,1,207.262643,67.215196,2111.350080,,
200507,348,24,6.908755,1,214.171398,46.334465,2157.684545,,
200508,350,24,6.908755,1,221.080153,47.355244,2205.039789,,
