date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.908755,1,6.908755,75.870576,75.870576,,
200302,351,24,6.908755,1,13.817510,67.152880,143.023456,,
200303,355,24,6.908755,1,20.726264,57.942016,200.965472,,
200304,360,24,6.908755,1,27.635019,43.621886,244.587358,,
200305,371,25,6.908755,1,34.543774,52.953248,297.540606,,
200306,383,26,6.908755,1,41.452529,24.157619,321.698224,,
200307,395,27,6.908755,1,48.361283,39.938144,361.636368,,
200308,401,27,6.908712,1,55.269996,16.972326,378.608695,,
200309,412,28,6.657072,1,61.927067,8.158860,386.767554,,
200310,406,28,6.908755,1,68.835822,31.090956,417.858510,,
200311,416,28,6.908755,1,75.744577,22.652294,440.510805,,
200312,421,29,6.908755,1,82.653331,26.410363,466.921168,,
200401,429,29,6.908755,1,89.562086,25.119052,492.040220,,
200402,426,29,6.908755,1,96.470841,46.635508,538.675728,,
200403,428,29,6.908755,1,103.379596,53.124382,591.800109,,
200404,423,29,6.908755,1,110.288351,55.450320,647.250429,,
200405,423,29,6.908755,1,117.197105,65.781143,713.031572,,
200406,424,29,6.908755,1,124.105860,87.922243,800.953815,,
200407,425,29,6.908755,1,131.014615,68.435016,869.388832,,
200408,428,29,6.908755,1,137.923370,75.634979,945.023811,,
200409,439,30,6.908755,1,144.832124,88.357937,1033.381748,,
200410,436,30,6.908755,1,151.740879,99.206070,1132.587819,,
200411,444,30,6.908755,1,158.649634,66.926444,1199.514263,,
200412,445,30,6.908755,1,165.558389,96.487947,1296.002210,,
200501,444,30,6.908755,1,172.467144,81.551056,1377.553266,,
200502,443,30,6.908755,1,179.375898,58.168418,1435.721685,,
200503,438,30,6.908755,1,186.284653,106.761519,1542.483203,,
200504,436,30,6.908755,1,193.193408,79.095821,1621.579024,,
200505,431,29,6.908755,1,200.102163,93.115039,1714.694063,,
200506,438,30,6.908755,1,207.010917,109.765418,1824.459482,,
200507,442,30,6.908755,1,213.919672,86.643849,1911.103330,,
200508,439,30,6.908755,1,220.828427,85.961721,1997.065051,,
200509,449,30,6.908755,1,227.737182,113.585354,2110.650405,,
200510,455,31,6.908755,1,234.645937,112.466661,2223.117066,,
200511,455,31,6.908755,1,241.554691,98.790638,2321.907704,,
200512,446,30,6.908755,1,248.463446,112.856334,2434.764038,,
200601,430,29,6.908755,1,255.372201,112.370846,2547.134884,,
200602,434,29,6.908755,1,262.280956,82.093996,2629.228880,,
200603,434,29,6.908755,1,269.189710,117.624691,2746.853571,,
200604,431,29,6.908755,1,276.098465,79.500670,2826.354241,,
200605,433,29,6.908755,1,283.007220,128.213462,2954.567703,,
200606,421,29,6.908755,1,289.915975,129.106100,3083.673803,,
200607,423,29,6.908755,1,296.824730,121.178181,3204.851984,,
200608,414,28,6.908755,1,303.733484,115.872448,3320.724432,,
200609,415,28,6.908755,1,310.642239,133.285678,3454.010110,,
200610,380,26,6.908755,1,317.550994,129.337870,3583.347980,,
200611,389,26,6.908755,1,324.459749,113.419931,3696.767911,,
200612,380,26,6.908755,1,331.368503,109.464729,3806.232640,,
200701,378,26,6.908755,1,338.277258,109.788385,3916.021025,,
200702,356,24,6.908755,1,345.186013,110.453191,4026.474216,,
200703,353,24,6.908755,1,352.094768,113.225857,4139.700073,,
