date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,3.291482,3,3.291482,3.317705,3.317705,,
200302,56,4,5.175933,1,8.467415,5.369472,8.687177,,
200303,59,4,4.473922,3,12.941337,4.564613,13.251790,,
200304,59,4,3.866516,2,16.807853,3.914421,17.166211,,
200305,50,4,1.981633,21,18.789486,1.987907,19.154118,,
200306,52,4,0.464837,161,19.254323,0.465429,19.619547,,
200307,54,4,1.855037,28,21.109360,1.860444,21.479990,,
200308,54,4,1.238304,14,22.347664,1.240756,22.720747,,
200309,53,4,1.508115,52,23.855779,1.511639,24.232386,,
200310,62,5,-0.579353,350,23.276426,-0.579792,23.652594,,
200311,62,5,1.441331,50,24.717757,1.444562,25.097156,,
200312,64,5,2.802022,10,27.519779,2.817621,27.914777,,
200401,67,5,-0.438445,160,27.081334,-0.438800,27.475978,,
200402,69,5,3.216909,4,30.298243,3.241151,30.717129,,
200403,67,5,1.752834,32,32.051077,1.757616,32.474745,,
200404,67,5,2.620707,3,34.671784,2.633535,35.108279,,
200405,69,5,-5.069176,34,29.602608,-5.070169,30.038111,,
200406,73,5,2.242574,25,31.845182,2.251027,32.289138,,
200407,71,5,2.231468,17,34.076650,2.239817,34.528954,,
200408,69,5,3.189540,7,37.266190,3.213092,37.742047,,
200409,72,5,4.150336,2,41.416527,4.214827,41.956874,,
200410,71,5,3.806329,5,45.222855,3.851310,45.808184,,
200411,72,5,3.712025,3,48.934880,3.752781,49.560965,,
200412,72,5,4.934011,3,53.868891,5.082436,54.643401,,
200501,72,5,2.798085,12,56.666976,2.813619,57.457020,,
200502,87,6,3.482030,6,60.149006,3.514063,60.971083,,
200503,88,6,5.281245,1,65.430251,5.498921,66.470004,,
200504,89,6,5.870855,2,71.301106,6.307117,72.777121,,
200505,90,6,1.771292,31,73.072398,1.776183,74.553304,,
200506,93,7,5.024350,2,78.096748,5.188130,79.741434,,
200507,93,7,6.730309,1,84.827057,8.540674,88.282108,,
200508,95,7,-0.773944,44,84.053113,-0.774482,87.507625,,
200509,100,7,-9.177832,303,74.875280,-9.178832,78.328794,,
200510,94,7,-9.282444,71,65.592836,-9.283443,69.045350,,
200511,94,7,6.822209,1,72.415046,9.311256,78.356606,,
200512,95,7,-4.537153,86,67.877893,-4.538142,73.818464,,
200601,100,7,5.776127,1,73.654020,6.164010,79.982474,,
200602,103,7,2.854945,8,76.508965,2.871454,82.853928,,
