date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,0.025812,334,0.025812,0.025838,0.025838,,
200302,20,2,0.901955,134,0.927766,0.903420,0.929258,,
200303,20,2,1.037653,84,1.965420,1.039478,1.968736,,
200304,20,2,0.115625,225,2.081045,0.115747,2.084483,,
200305,21,2,0.025031,255,2.106075,0.025056,2.109539,,
200306,23,2,-0.120370,410,1.985706,-0.120483,1.989056,,
200307,24,2,0.387312,198,2.373018,0.387785,2.376841,,
200308,24,2,0.345932,204,2.718950,0.346346,2.723187,,
200309,26,2,-0.441241,474,2.277709,-0.441598,2.281590,,
200310,26,2,1.201697,40,3.479406,1.204025,3.485615,,
200311,25,2,-0.812595,233,2.666811,-0.813151,2.672463,,
200312,25,2,0.688909,140,3.355720,0.689901,3.362364,,
200401,27,2,2.048686,19,5.404406,2.055467,5.417831,,
200402,28,2,1.494159,26,6.898565,1.497620,6.915451,,
200403,29,2,0.010607,209,6.909172,0.010618,6.926069,,
200404,27,2,0.294813,151,7.203985,0.295156,7.221225,,
200405,31,3,1.613616,37,8.817601,1.617645,8.838870,,
200406,33,3,2.863299,7,11.680900,2.879956,11.718827,,
200407,34,3,1.064477,56,12.745377,1.066378,12.785205,,
200408,34,3,2.196070,15,14.941447,2.204091,14.989296,,
200409,33,3,1.103763,66,16.045209,1.105780,16.095076,,
200410,33,3,2.508191,13,18.553400,2.519537,18.614614,,
200411,34,3,2.882623,1,21.436023,2.899628,21.514242,,
200412,34,3,3.501429,1,24.937452,3.534121,25.048362,,
200501,36,3,-0.855907,240,24.081545,-0.856482,24.191880,,
200502,36,3,0.112127,198,24.193672,0.112245,24.304126,,
200503,35,3,-0.572250,267,23.621422,-0.572686,23.731440,,
200504,38,3,-13.196031,427,10.425391,-13.197030,10.534410,,
200505,38,3,0.114394,143,10.539785,0.114516,10.648925,,
200506,38,3,1.217064,61,11.756850,1.219444,11.868370,,
200507,43,3,-3.956381,763,7.800469,-3.957361,7.911009,,
200508,43,3,1.132719,83,8.933188,1.134825,9.045833,,
200509,43,3,1.002203,90,9.935391,1.003929,10.049763,,
200510,43,3,0.301576,173,10.236967,0.301928,10.351691,,
200511,45,3,0.665016,119,10.901984,0.665961,11.017652,,
200512,45,3,1.208698,49,12.110681,1.211049,12.228702,,
200601,46,4,0.270037,163,12.380718,0.270347,12.499049,,
200602,48,4,-1.453131,64,10.927587,-1.453897,11.045152,,
200603,46,4,5.721228,1,16.648815,6.084035,17.129187,,
200604,46,4,5.790603,1,22.439418,6.185439,23.314627,,
200605,47,4,4.994385,3,27.433802,5.152891,28.467517,,
200606,47,4,6.906169,1,34.339972,12.864322,41.331840,,
200607,48,4,6.844212,1,41.184184,9.615745,50.947584,,
200608,48,4,6.724156,1,47.908340,8.503606,59.451191,,
200609,48,4,5.369606,1,53.277946,5.610123,65.061314,,
200610,48,4,6.760301,1,60.038247,8.740089,73.801402,,
200611,49,4,6.888850,1,66.927097,10.814559,84.615962,,
200612,50,4,2.405454,8,69.332551,2.415589,87.031551,,
200701,49,4,6.907814,1,76.240365,13.876151,100.907701,,
200702,48,4,6.897274,1,83.137638,11.369052,112.276753,,
200703,48,4,6.907622,1,90.045260,13.690013,125.966766,,
200704,49,4,6.811974,1,96.857233,9.194277,135.161043,,
200705,50,4,6.907977,1,103.765211,14.066719,149.227762,,
200706,49,4,6.874146,1,110.639356,10.254040,159.481802,,
200707,50,4,6.870224,1,117.509581,10.144738,169.626540,,
200708,50,4,-2.578091,87,114.931489,-2.579015,167.047525,,
200709,53,4,-8.246899,95,106.684591,-8.247898,158.799627,,
200710,54,4,5.386937,2,112.071528,5.632241,164.431868,,
200711,56,4,-1.720284,25,110.351244,-1.721104,162.710763,,
200712,55,4,1.185606,10,111.536850,1.187881,163.898645,,
200801,54,4,6.839764,1,118.376614,9.546837,173.445482,,
200802,55,4,4.028493,5,122.405107,4.085250,177.530732,,
200803,56,4,6.771068,1,129.176175,8.820892,186.351624,,
200804,55,4,6.651793,1,135.827968,8.135353,194.486977,,
200805,55,4,6.908754,1,142.736722,21.738346,216.225322,,
200806,56,4,6.908755,1,149.645477,22.076907,238.302230,,
200807,56,4,6.908754,1,156.554231,21.577084,259.879314,,
200808,57,4,6.774138,1,163.328369,8.845013,268.724327,,
200809,57,4,-69.289298,513,94.039070,-69.290298,199.434029,,
200810,55,4,-25.291807,126,68.747263,-25.292807,174.141222,,
200811,55,4,-18.490317,210,50.256946,-18.491316,155.649906,,
200812,55,4,-21.189313,607,29.067633,-21.190313,134.459593,,
200901,58,4,4.831747,2,33.899380,4.964627,139.424220,,
200902,56,4,-4.523369,48,29.376011,-4.524358,134.899862,,
200903,17,2,-1.227265,359,28.148745,-1.227972,133.671890,,
200904,20,2,-0.039640,345,28.109105,-0.039679,133.632211,,
200905,19,2,-0.597594,853,27.511511,-0.598044,133.034167,,
200906,19,2,-0.364621,745,27.146889,-0.364927,132.669240,,
200907,22,2,0.128345,172,27.275234,0.128482,132.797722,,
200908,22,2,0.231562,119,27.506796,0.231822,133.029544,,
200909,22,2,0.253923,75,27.760719,0.254212,133.283756,,
200910,17,2,0.154614,210,27.915333,0.154781,133.438537,,
200911,18,2,0.331616,133,28.246948,0.332009,133.770546,,
200912,18,2,0.914653,29,29.161601,0.916150,134.686696,,
201001,17,2,0.073489,263,29.235091,0.073566,134.760262,,
201002,9,2,3.210564,6,32.445655,3.234645,137.994907,,
201003,9,2,3.213326,12,35.658980,3.237476,141.232383,,
201004,9,2,2.866599,4,38.525579,2.883315,144.115698,,
201005,9,2,3.227159,15,41.752738,3.251665,147.367363,,
201006,9,2,3.353770,8,45.106508,3.381769,150.749132,,
201007,9,2,3.194449,19,48.300958,3.218124,153.967256,,
201008,9,2,3.613072,8,51.914030,3.649819,157.617075,,
201009,10,2,2.820817,26,54.734847,2.836733,160.453808,,
201010,10,2,0.475553,45,55.210399,0.476162,160.929970,,
201011,11,2,2.722654,23,57.933054,2.736977,163.666947,,
201012,11,2,-0.878626,134,57.054428,-0.879210,162.787737,,
201101,11,2,0.633110,59,57.687538,0.633994,163.421730,,
201102,11,2,0.123927,75,57.811464,0.124059,163.545789,,
201103,12,2,1.080016,59,58.891480,1.081963,164.627751,,
201104,12,2,1.023264,40,59.914744,1.025048,165.652799,,
201105,12,2,1.766856,48,61.681600,1.771720,167.424519,,
201106,12,2,2.507473,26,64.189073,2.518811,169.943330,,
201107,12,2,3.252852,5,67.441925,3.278031,173.221361,,
201108,12,2,0.333613,179,67.775538,0.334009,173.555370,,
201109,12,2,-2.095451,162,65.680087,-2.096328,171.459042,,
201110,12,2,1.567862,83,67.247948,1.571665,173.030707,,
201111,12,2,1.569242,53,68.817191,1.573053,174.603760,,
201112,12,2,2.102829,54,70.920019,2.110044,176.713803,,
201201,12,2,-1.803927,59,69.116092,-1.804762,174.909042,,
201202,12,2,-1.291033,48,67.825060,-1.291758,173.617284,,
201203,12,2,-3.630682,125,64.194378,-3.631655,169.985629,,
201204,12,2,-0.855814,106,63.338564,-0.856389,169.129240,,
201205,12,2,-1.381741,504,61.956822,-1.382490,167.746750,,
201206,12,2,-1.267938,128,60.688884,-1.268656,166.478094,,
201207,12,2,-36.118873,667,24.570011,-36.119872,130.358222,,
201208,11,2,1.095267,65,25.665278,1.097259,131.455480,,
201209,11,2,1.057276,108,26.722554,1.059157,132.514637,,
201210,11,2,0.560307,135,27.282862,0.561059,133.075696,,
201211,11,2,1.474003,75,28.756865,1.477375,134.553071,,
201212,13,2,0.885781,142,29.642645,0.887207,135.440278,,
201301,13,2,0.402500,190,30.045146,0.402996,135.843274,,
201302,13,2,0.085629,240,30.130775,0.085718,135.928992,,
201303,13,2,-0.605221,357,29.525553,-0.605675,135.323317,,
201304,13,2,-1.000039,437,28.525514,-1.000671,134.322645,,
201305,12,2,0.072205,323,28.597719,0.072280,134.394925,,
201306,13,2,0.281328,301,28.879047,0.281653,134.676579,,
201307,13,2,0.012317,387,28.891364,0.012329,134.688908,,
201308,13,2,-2.583215,425,26.308149,-2.584139,132.104769,,
201309,13,2,-1.395147,463,24.913002,-1.395899,130.708869,,
201310,13,2,-1.413257,826,23.499745,-1.414013,129.294856,,
201311,13,2,-0.087370,380,23.412374,-0.087454,129.207402,,
201312,13,2,0.063148,333,23.475522,0.063213,129.270615,,
201401,18,2,-0.472447,292,23.003075,-0.472824,128.797791,,
201402,18,2,-0.093472,265,22.909602,-0.093561,128.704229,,
201403,18,2,0.008668,303,22.918270,0.008676,128.712906,,
201404,19,2,-0.654879,447,22.263391,-0.655360,128.057546,,
201405,18,2,2.850953,9,25.114343,2.867391,130.924937,,
201406,18,2,2.769168,7,27.883511,2.784226,133.709164,,
201407,18,2,2.862213,10,30.745724,2.878851,136.588014,,
201408,18,2,3.750322,3,34.496046,3.792744,140.380758,,
201409,18,2,3.125129,2,37.621175,3.147132,143.527890,,
201410,18,2,0.514915,107,38.136090,0.515588,144.043479,,
201411,18,2,3.246138,6,41.382228,3.271139,147.314618,,
201412,18,2,3.454647,2,44.836875,3.485774,150.800392,,
201501,18,2,3.304997,4,48.141872,3.331596,154.131988,,
201502,18,2,3.683291,1,51.825163,3.722840,157.854828,,
201503,24,2,1.587224,41,53.412387,1.591122,159.445949,,
201504,28,2,5.578664,1,58.991052,5.884806,165.330756,,
201505,28,2,5.604336,1,64.595388,5.919871,171.250627,,
201506,28,2,4.955463,2,69.550851,5.107389,176.358016,,
201507,28,2,5.283783,1,74.834634,5.502081,181.860097,,
201508,28,2,5.199133,1,80.033766,5.397724,187.257821,,
201509,28,2,5.736003,1,85.769769,6.105363,193.363183,,
201510,28,2,5.818578,1,91.588347,6.227288,199.590471,,
201511,28,2,6.057351,1,97.645697,6.612898,206.203369,,
201512,34,3,6.907973,1,104.553670,14.061185,220.264554,,
201601,34,3,6.906901,1,111.460572,13.197593,233.462147,,
201602,34,3,6.908750,1,118.369322,19.242494,252.704642,,
201603,34,3,6.885994,1,125.255316,10.679064,263.383705,,
201604,33,3,6.900023,1,132.155339,11.644156,275.027861,,
201605,33,3,6.907639,1,139.062977,13.705238,288.733099,,
201606,33,3,6.908361,1,145.971338,14.747061,303.480160,,
201607,33,3,6.908736,1,152.880074,17.778238,321.258399,,
201608,33,3,6.904691,1,159.784765,12.411265,333.669663,,
201609,39,3,6.908418,1,166.693182,14.902982,348.572645,,
201610,39,3,6.908716,1,173.601898,17.059361,365.632006,,
201611,39,3,6.908702,1,180.510600,16.758241,382.390248,,
201612,39,3,6.908240,1,187.418841,14.479675,396.869923,,
201701,39,3,6.907612,1,194.326453,13.681804,410.551728,,
201702,39,3,6.897442,1,201.223895,11.383906,421.935634,,
201703,45,3,6.908740,1,208.132635,18.054858,439.990491,,
201704,49,4,6.908755,1,215.041390,31.228936,471.219428,,
201705,49,4,6.908755,1,221.950145,22.757253,493.976681,,
201706,49,4,6.908755,1,228.858899,22.470030,516.446711,,
201707,49,4,6.908755,1,235.767654,22.469037,538.915748,,
201708,48,4,6.908755,1,242.676409,28.407951,567.323699,,
201709,48,4,6.908755,1,249.585163,22.491840,589.815539,,
201710,48,4,6.908755,1,256.493918,23.472592,613.288131,,
201711,48,4,6.908755,1,263.402673,27.371738,640.659869,,
201712,48,4,6.908755,1,270.311427,30.953653,671.613522,,
201801,48,4,6.908648,1,277.220076,16.055681,687.669203,,
201802,52,4,6.908755,1,284.128830,23.151522,710.820725,,
201803,52,4,6.908754,1,291.037584,20.500776,731.321502,,
201804,52,4,6.908755,1,297.946339,31.041244,762.362745,,
201805,52,4,6.908755,1,304.855094,30.080376,792.443122,,
201806,52,4,6.908754,1,311.763848,21.173508,813.616630,,
201807,51,4,6.908755,1,318.672603,47.139103,860.755732,,
201808,51,4,6.908755,1,325.581357,56.911493,917.667225,,
201809,51,4,6.908755,1,332.490112,66.184635,983.851860,,
201810,51,4,6.908755,1,339.398867,60.971093,1044.822953,,
201811,51,4,6.908755,1,346.307622,63.893129,1108.716082,,
201812,51,4,6.908755,1,353.216376,48.953239,1157.669321,,
201901,51,4,6.908755,1,360.125131,40.632065,1198.301386,,
201902,51,4,6.908755,1,367.033886,48.713479,1247.014865,,
201903,51,4,6.908755,1,373.942641,61.702443,1308.717308,,
201904,51,4,6.908755,1,380.851396,50.819849,1359.537158,,
201905,50,4,6.908755,1,387.760150,69.720271,1429.257428,,
201906,50,4,6.908755,1,394.668905,72.426676,1501.684104,,
201907,50,4,6.908755,1,401.577660,91.105464,1592.789568,,
201908,50,4,6.908755,1,408.486415,99.697162,1692.486730,,
201909,50,4,6.908755,1,415.395169,73.662327,1766.149057,,
201910,50,4,6.908755,1,422.303924,94.363603,1860.512660,,
201911,50,4,6.908755,1,429.212679,90.830634,1951.343294,,
201912,50,4,6.908755,1,436.121434,80.675213,2032.018507,,
202001,49,4,6.908755,1,443.030189,77.825056,2109.843563,,
202002,49,4,6.908755,1,449.938943,75.851357,2185.694920,,
202003,49,4,6.908755,1,456.847698,89.890203,2275.585123,,
202004,49,4,6.908755,1,463.756453,104.984018,2380.569140,,
202005,49,4,6.908755,1,470.665208,107.343057,2487.912197,,
202006,49,4,6.908755,1,477.573962,77.356501,2565.268698,,
202007,49,4,6.908755,1,484.482717,85.708282,2650.976981,,
202008,49,4,6.908755,1,491.391472,65.191638,2716.168618,,
202009,42,3,6.908755,1,498.300227,57.738943,2773.907562,,
