date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,70,5,6.908755,1,6.908755,28.492223,28.492223,,
200302,74,5,6.908755,1,13.817510,28.193620,56.685843,,
200303,78,6,6.908755,1,20.726264,22.704488,79.390331,,
200304,80,6,6.890692,1,27.616956,10.912598,90.302929,,
200305,80,6,6.908687,1,34.525643,16.501290,106.804218,,
200306,85,6,6.908755,1,41.434397,22.490660,129.294879,,
200307,86,6,6.908479,1,48.342876,15.103681,144.398559,,
200308,88,6,6.908646,1,55.251522,16.034901,160.433461,,
200309,94,7,6.908754,1,62.160276,20.632640,181.066100,,
200310,97,7,6.908754,1,69.069030,20.693353,201.759453,,
200311,98,7,6.908755,1,75.977785,26.027718,227.787172,,
200312,96,7,6.793697,1,82.771481,9.011992,236.799164,,
200401,106,8,6.908755,1,89.680236,24.443895,261.243058,,
200402,101,7,6.907603,1,96.587839,13.673664,274.916722,,
200403,106,8,6.908755,1,103.496594,26.474644,301.391366,,
200404,107,8,6.908735,1,110.405329,17.739431,319.130797,,
200405,108,8,6.908755,1,117.314084,25.944527,345.075324,,
200406,106,8,6.908755,1,124.222838,22.888439,367.963764,,
200407,110,8,6.908755,1,131.131593,29.943946,397.907710,,
200408,108,8,6.908755,1,138.040348,30.385829,428.293538,,
200409,111,8,6.908755,1,144.949102,25.831380,454.124919,,
200410,108,8,6.908755,1,151.857857,36.884366,491.009284,,
200411,109,8,6.908755,1,158.766612,28.922014,519.931298,,
200412,116,8,6.908755,1,165.675367,31.733884,551.665182,,
200501,115,8,6.908755,1,172.584121,22.846787,574.511969,,
200502,115,8,6.908743,1,179.492865,18.259426,592.771395,,
200503,111,8,6.904066,1,186.396930,12.267893,605.039288,,
200504,100,7,-4.549539,28,181.847391,-4.550528,600.488761,,
200505,98,7,6.896689,1,188.744080,11.319070,611.807831,,
200506,104,7,6.908755,1,195.652835,22.243468,634.051299,,
200507,105,7,6.908746,1,202.561581,18.545006,652.596305,,
200508,104,7,6.908755,1,209.470335,24.469745,677.066050,,
200509,101,7,6.908754,1,216.379090,21.700219,698.766269,,
200510,103,7,6.908755,1,223.287845,27.447669,726.213938,,
200511,101,7,6.908742,1,230.196587,18.199989,744.413927,,
200512,116,8,6.889532,1,237.086119,10.849781,755.263707,,
200601,116,8,4.592861,2,241.678980,4.695754,759.959462,,
200602,116,8,6.908755,1,248.587735,24.894784,784.854246,,
200603,118,8,6.908727,1,255.496462,17.414642,802.268888,,
200604,117,8,6.903514,1,262.399976,12.156358,814.425246,,
200605,120,8,6.900796,1,269.300772,11.737235,826.162481,,
200606,128,9,6.885088,1,276.185860,10.639586,836.802067,,
200607,125,9,6.908755,1,283.094614,31.876946,868.679013,,
200608,127,9,6.908755,1,290.003369,43.559148,912.238160,,
200609,130,9,6.908755,1,296.912124,30.435138,942.673298,,
200610,141,10,6.908755,1,303.820879,35.380600,978.053898,,
200611,127,9,6.908755,1,310.729634,38.580863,1016.634761,,
200612,127,9,6.908755,1,317.638388,22.192098,1038.826859,,
200701,123,9,-4.825164,2,312.813224,-4.826156,1034.000703,,
200702,118,8,6.908755,1,319.721979,23.707300,1057.708003,,
200703,109,8,6.908754,1,326.630733,20.730208,1078.438212,,
200704,118,8,6.908755,1,333.539487,23.926098,1102.364310,,
200705,113,8,6.907621,1,340.447109,13.689734,1116.054044,,
200706,105,7,5.245900,3,345.693009,5.455124,1121.509168,,
200707,101,7,-7.854592,60,337.838416,-7.855591,1113.653576,,
200708,95,7,-2.511096,34,335.327320,-2.512014,1111.141562,,
200709,91,7,-7.067132,25,328.260188,-7.068131,1104.073431,,
200710,79,6,6.908755,1,335.168943,27.271094,1131.344525,,
200711,77,6,6.908537,1,342.077480,15.339922,1146.684447,,
200712,73,5,6.802495,1,348.879975,9.096021,1155.780468,,
200801,72,5,-5.075894,39,343.804081,-5.076887,1150.703581,,
200802,72,5,4.933223,3,348.737304,5.081521,1155.785103,,
200803,50,4,5.888392,1,354.625696,6.334405,1162.119508,,
200804,52,4,6.908755,1,361.534451,24.719114,1186.838622,,
200805,55,4,6.843603,1,368.378054,9.606044,1196.444665,,
200806,40,3,3.648119,5,372.026173,3.686239,1200.130904,,
200807,37,3,3.758750,3,375.784923,3.801548,1203.932452,,
200808,38,3,-19.495935,630,356.288988,-19.496935,1184.435517,,
200809,38,3,1.332935,24,357.621923,1.335731,1185.771247,,
200810,35,3,-5.925243,138,351.696679,-5.926240,1179.845007,,
200811,35,3,0.973499,12,352.670178,0.975147,1180.820155,,
200812,32,3,-4.174584,222,348.495594,-4.175568,1176.644586,,
200901,32,3,2.336176,20,350.831771,2.345562,1178.990148,,
200902,33,3,2.978859,5,353.810629,2.997700,1181.987849,,
200903,33,3,1.125554,47,354.936183,1.127638,1183.115486,,
200904,34,3,1.490414,14,356.426597,1.493859,1184.609346,,
200905,33,3,-1.193197,649,355.233400,-1.193893,1183.415452,,
200906,34,3,2.334841,11,357.568241,2.344213,1185.759665,,
200907,35,3,2.341849,9,359.910090,2.351293,1188.110958,,
200908,38,3,1.682946,28,361.593036,1.687337,1189.798296,,
200909,39,3,4.014206,4,365.607242,4.070120,1193.868416,,
200910,39,3,6.271520,1,371.878762,7.022892,1200.891307,,
200911,42,3,6.809051,1,378.687813,9.163041,1210.054349,,
200912,50,4,6.904069,1,385.591882,12.268604,1222.322953,,
201001,55,4,6.677670,1,392.269551,8.254958,1230.577911,,
201002,58,4,6.906427,1,399.175979,12.969536,1243.547446,,
201003,59,4,6.908700,1,406.084678,16.715481,1260.262927,,
201004,66,5,6.908351,1,412.993030,14.722441,1274.985368,,
201005,66,5,6.903436,1,419.896466,12.141635,1287.127003,,
201006,67,5,6.908755,1,426.805221,28.189628,1315.316631,,
201007,69,5,6.908755,1,433.713975,27.760349,1343.076980,,
201008,81,6,6.908755,1,440.622730,24.332766,1367.409747,,
201009,91,7,6.908755,1,447.531485,48.711814,1416.121560,,
201010,104,7,6.908755,1,454.440240,52.351659,1468.473219,,
201011,106,8,6.908755,1,461.348994,66.046025,1534.519244,,
201012,109,8,6.908755,1,468.257749,62.997137,1597.516380,,
201101,109,8,6.908755,1,475.166504,52.791223,1650.307603,,
201102,106,8,6.908755,1,482.075259,41.763187,1692.070790,,
201103,107,8,6.908755,1,488.984014,54.124035,1746.194825,,
201104,107,8,6.908755,1,495.892768,71.630438,1817.825263,,
201105,104,7,6.908755,1,502.801523,68.132482,1885.957744,,
201106,107,8,6.908755,1,509.710278,65.735312,1951.693057,,
201107,106,8,6.908755,1,516.619033,53.827962,2005.521019,,
