date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,5.583286,2,5.583286,5.891095,5.891095,,
200302,100,7,6.906951,1,12.490237,13.224656,19.115751,,
200303,102,7,6.824578,1,19.314815,9.340208,28.455959,,
200304,102,7,6.846544,1,26.161359,9.653716,38.109675,,
200305,118,8,6.908442,1,33.069800,14.976252,53.085927,,
200306,124,9,6.908715,1,39.978515,17.034704,70.120631,,
200307,137,10,6.908705,1,46.887220,16.809697,86.930328,,
200308,143,10,6.907872,1,53.795092,13.939774,100.870102,,
200309,148,10,6.908743,1,60.703835,18.225827,119.095929,,
200310,150,10,6.908743,1,67.612577,18.218562,137.314491,,
200311,152,11,6.908753,1,74.521330,20.100214,157.414705,,
200312,150,10,6.908734,1,81.430065,17.713627,175.128332,,
200401,139,10,6.047963,1,87.478028,6.596578,181.724910,,
200402,143,10,6.505461,1,93.983489,7.607429,189.332339,,
200403,139,10,6.908717,1,100.892205,17.083122,206.415461,,
200404,135,9,6.892149,1,107.784354,10.997450,217.412911,,
200405,140,10,2.411775,4,110.196129,2.421980,219.834891,,
200406,146,10,6.908228,1,117.104357,14.456671,234.291562,,
200407,152,11,6.908755,1,124.013112,23.411850,257.703412,,
200408,153,11,6.908616,1,130.921728,15.789338,273.492750,,
200409,155,11,6.908639,1,137.830367,15.973508,289.466258,,
200410,162,11,6.908755,1,144.739122,25.073229,314.539487,,
200411,167,12,6.908755,1,151.647877,28.082286,342.621773,,
200412,163,11,6.908753,1,158.556630,20.172367,362.794140,,
200501,164,11,6.908755,1,165.465384,22.332804,385.126944,,
200502,169,12,6.908749,1,172.374133,18.918322,404.045267,,
200503,172,12,6.426948,1,178.801081,7.387409,411.432676,,
200504,187,13,6.908725,1,185.709805,17.317704,428.750380,,
200505,196,14,6.908755,1,192.618560,35.563242,464.313623,,
200506,190,13,6.908755,1,199.527315,37.437454,501.751077,,
200507,190,13,6.908755,1,206.436070,36.767058,538.518135,,
200508,190,13,6.908755,1,213.344824,49.810257,588.328392,,
200509,197,14,6.908755,1,220.253579,37.672717,626.001108,,
200510,194,13,6.908755,1,227.162334,22.249117,648.250225,,
200511,197,14,6.908752,1,234.071086,19.872890,668.123115,,
200512,165,11,6.908755,1,240.979841,24.085495,692.208610,,
200601,164,11,6.908755,1,247.888596,23.786998,715.995608,,
200602,171,12,6.665324,1,254.553920,8.196497,724.192105,,
200603,168,12,6.908755,1,261.462675,24.734736,748.926841,,
200604,158,11,6.908751,1,268.371425,19.283738,768.210579,,
200605,152,11,6.908755,1,275.280180,27.230027,795.440606,,
200606,142,10,6.908755,1,282.188935,25.172028,820.612634,,
200607,141,10,6.908741,1,289.097676,18.120401,838.733035,,
200608,140,10,6.908755,1,296.006431,23.418928,862.151963,,
200609,142,10,6.908754,1,302.915185,21.784335,883.936298,,
200610,143,10,6.908755,1,309.823940,24.260458,908.196756,,
200611,157,11,6.908755,1,316.732695,24.943240,933.139996,,
200612,147,10,6.908753,1,323.641448,20.115289,953.255285,,
200701,152,11,6.908670,1,330.550118,16.281951,969.537237,,
200702,157,11,6.908737,1,337.458855,17.863504,987.400740,,
200703,157,11,6.908719,1,344.367574,17.136581,1004.537321,,
200704,134,9,6.908754,1,351.276328,21.640302,1026.177623,,
200705,131,9,6.908747,1,358.185075,18.626595,1044.804218,,
200706,136,10,6.892853,1,365.077927,11.041101,1055.845319,,
200707,128,9,6.900752,1,371.978679,11.731683,1067.577002,,
200708,125,9,6.707163,1,378.685842,8.406779,1075.983781,,
200709,125,9,3.307823,2,381.993666,3.334501,1079.318282,,
200710,114,8,6.766648,1,388.760314,8.787041,1088.105323,,
200711,105,7,5.127853,2,393.888167,5.311361,1093.416684,,
200712,99,7,6.907791,1,400.795958,13.851823,1107.268507,,
200801,96,7,2.108333,2,402.904291,2.115594,1109.384101,,
200802,95,7,-1.991120,8,400.913171,-1.991983,1107.392118,,
200803,115,8,6.866207,1,407.779378,10.043525,1117.435643,,
200804,114,8,6.907918,1,414.687296,13.993449,1131.429093,,
200805,106,8,6.579820,1,421.267116,7.850679,1139.279772,,
200806,105,7,4.398315,2,425.665431,4.482038,1143.761810,,
200807,100,7,1.680637,10,427.346068,1.685016,1145.446825,,
200808,100,7,-5.574030,57,421.772038,-5.575026,1139.871800,,
200809,99,7,-10.361078,175,411.410960,-10.362077,1129.509722,,
200810,99,7,-35.345061,91,376.065899,-35.346061,1094.163662,,
200811,96,7,-11.792118,10,364.273781,-11.793118,1082.370544,,
200812,94,7,-16.715801,220,347.557980,-16.716801,1065.653743,,
200901,94,7,-2.448481,65,345.109499,-2.449394,1063.204349,,
200902,97,7,4.809913,3,349.919412,4.939704,1068.144053,,
200903,101,7,4.362063,4,354.281475,4.442643,1072.586696,,
200904,113,8,4.671809,1,358.953284,4.783737,1077.370433,,
200905,110,8,3.545123,1,362.498407,3.579346,1080.949779,,
200906,113,8,0.585885,83,363.084292,0.586682,1081.536460,,
200907,116,8,0.469407,128,363.553699,0.470006,1082.006466,,
200908,113,8,5.051921,2,368.605619,5.220721,1087.227187,,
200909,121,9,6.157507,1,374.763126,6.794745,1094.021933,,
200910,120,8,6.906208,1,381.669335,12.879568,1106.901500,,
200911,122,9,6.894464,1,388.563799,11.148752,1118.050252,,
200912,116,8,6.309795,1,394.873594,7.105933,1125.156185,,
201001,118,8,0.257290,2,395.130884,0.257584,1125.413769,,
201002,121,9,4.950937,3,400.081821,5.102117,1130.515886,,
201003,130,9,6.907930,1,406.989752,14.008344,1144.524230,,
201004,127,9,6.908672,1,413.898424,16.306784,1160.831014,,
201005,130,9,6.908755,1,420.807178,27.977287,1188.808301,,
201006,134,9,6.908755,1,427.715933,37.457180,1226.265482,,
201007,140,10,6.908755,1,434.624688,37.926273,1264.191755,,
201008,140,10,6.908755,1,441.533443,60.066437,1324.258192,,
201009,150,10,6.908755,1,448.442197,27.474128,1351.732320,,
201010,149,10,6.908744,1,455.350942,18.367612,1370.099932,,
201011,159,11,6.908755,1,462.259696,39.721121,1409.821053,,
201012,164,11,6.908755,1,469.168451,31.323151,1441.144204,,
201101,164,11,6.908755,1,476.077206,30.546234,1471.690438,,
201102,175,12,6.908755,1,482.985961,50.200966,1521.891404,,
201103,186,13,6.908755,1,489.894716,36.276594,1558.167999,,
201104,194,13,6.908755,1,496.803470,67.556995,1625.724993,,
201105,193,13,6.908755,1,503.712225,49.943257,1675.668250,,
201106,199,14,6.908755,1,510.620980,73.209292,1748.877542,,
201107,221,15,6.908755,1,517.529735,75.420304,1824.297847,,
201108,221,15,6.908755,1,524.438489,96.145987,1920.443833,,
201109,224,15,6.908755,1,531.347244,69.330810,1989.774644,,
201110,221,15,6.908755,1,538.255999,56.995131,2046.769775,,
201111,227,16,6.908755,1,545.164754,46.671637,2093.441412,,
201112,228,16,6.908755,1,552.073509,39.406666,2132.848078,,
