date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908755,1,6.908755,67.386770,67.386770,,
200302,409,28,6.908755,1,13.817510,66.733473,134.120243,,
200303,419,28,6.908755,1,20.726264,72.528109,206.648352,,
200304,435,29,6.908755,1,27.635019,72.903474,279.551826,,
200305,427,29,6.908755,1,34.543774,50.902417,330.454243,,
200306,437,30,6.908755,1,41.452529,67.200548,397.654790,,
200307,442,30,6.908755,1,48.361283,35.109554,432.764345,,
200308,444,30,6.908755,1,55.270038,39.031489,471.795834,,
200309,451,31,6.908755,1,62.178793,53.798608,525.594443,,
200310,433,29,6.908755,1,69.087548,53.746374,579.340817,,
200311,437,30,6.908755,1,75.996303,45.567430,624.908247,,
200312,442,30,6.908755,1,82.905057,64.597382,689.505628,,
200401,441,30,6.908755,1,89.813812,55.604083,745.109711,,
200402,445,30,6.908755,1,96.722567,55.594317,800.704028,,
200403,438,30,6.908755,1,103.631322,85.950308,886.654336,,
200404,440,30,6.908755,1,110.540076,76.606295,963.260631,,
200405,435,29,6.908755,1,117.448831,71.473393,1034.734024,,
200406,436,30,6.908755,1,124.357586,55.412822,1090.146846,,
200407,432,29,6.908755,1,131.266341,67.168209,1157.315055,,
200408,431,29,6.908755,1,138.175096,90.181535,1247.496590,,
200409,441,30,6.908755,1,145.083850,54.995441,1302.492031,,
200410,437,30,6.908755,1,151.992605,136.372082,1438.864113,,
200411,434,29,6.908755,1,158.901360,110.148127,1549.012240,,
200412,423,29,6.908755,1,165.810115,110.743261,1659.755501,,
200501,425,29,6.908755,1,172.718869,107.801997,1767.557498,,
200502,427,29,6.908755,1,179.627624,87.192942,1854.750440,,
200503,411,28,6.908755,1,186.536379,118.923760,1973.674200,,
200504,404,27,6.908755,1,193.445134,108.825159,2082.499359,,
200505,402,27,6.908755,1,200.353889,124.145855,2206.645214,,
200506,397,27,6.908755,1,207.262643,115.483292,2322.128506,,
200507,403,27,6.908755,1,214.171398,109.928235,2432.056741,,
200508,405,27,6.908755,1,221.080153,122.176614,2554.233355,,
200509,404,27,6.908755,1,227.988908,90.608276,2644.841631,,
200510,414,28,6.908755,1,234.897662,111.522692,2756.364324,,
200511,411,28,6.908755,1,241.806417,117.676801,2874.041124,,
200512,411,28,6.908755,1,248.715172,85.874395,2959.915519,,
