date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,4.683294,1,4.683294,4.796603,4.796603,,
200302,56,4,5.301761,1,9.985055,5.524517,10.321121,,
200303,59,4,6.641200,1,16.626255,8.089427,18.410548,,
200304,59,4,6.183806,1,22.810061,6.845132,25.255680,,
200305,50,4,6.856208,1,29.666269,9.827427,35.083107,,
200306,52,4,5.416432,2,35.082702,5.670131,40.753239,,
200307,54,4,6.320827,1,41.403529,7.130582,47.883820,,
200308,54,4,-6.413233,300,34.990296,-6.414231,41.469590,,
200309,53,4,2.387068,16,37.377365,2.396999,43.866589,,
200310,62,5,6.202947,1,43.580311,6.882592,50.749180,,
200311,62,5,-0.492606,98,43.087705,-0.492995,50.256185,,
200312,64,5,5.540583,2,48.628288,5.833381,56.089566,,
200401,67,5,5.645069,1,54.273357,5.976206,62.065771,,
200402,69,5,6.093760,1,60.367117,6.677308,68.743079,,
200403,67,5,3.359490,9,63.726607,3.387658,72.130736,,
200404,67,5,6.866731,1,70.593338,10.056191,82.186927,,
200405,69,5,-14.426810,133,56.166528,-14.427810,67.759117,,
200406,73,5,6.796433,1,62.962961,9.037456,76.796573,,
200407,71,5,6.893341,1,69.856302,11.072530,87.869103,,
200408,69,5,6.906079,1,76.762381,12.829905,100.699008,,
200409,72,5,6.908298,1,83.670679,14.597851,115.296858,,
200410,71,5,6.720608,1,90.391286,8.482739,123.779597,,
200411,72,5,-0.381859,96,90.009427,-0.382176,123.397421,,
200412,72,5,1.462644,31,91.472071,1.465966,124.863387,,
200501,72,5,-0.088201,68,91.383870,-0.088286,124.775102,,
200502,87,6,-2.426134,292,88.957735,-2.427046,122.348056,,
200503,88,6,6.868796,1,95.826531,10.107611,132.455667,,
200504,89,6,6.908524,1,102.735056,15.283539,147.739206,,
200505,90,6,6.908347,1,109.643403,14.712644,162.451851,,
200506,93,7,6.908753,1,116.552156,20.103985,182.555835,,
200507,93,7,6.906320,1,123.458476,12.924622,195.480457,,
200508,95,7,6.908754,1,130.367230,21.156167,216.636624,,
200509,100,7,6.908755,1,137.275985,30.945685,247.582309,,
200510,94,7,6.908755,1,144.184740,34.014045,281.596353,,
200511,94,7,6.908755,1,151.093495,36.526997,318.123350,,
200512,95,7,6.908755,1,158.002249,36.320923,354.444273,,
200601,100,7,6.908755,1,164.911004,36.406141,390.850414,,
200602,103,7,6.908755,1,171.819759,32.635215,423.485630,,
200603,101,7,6.908755,1,178.728514,45.155657,468.641286,,
200604,103,7,6.908755,1,185.637268,29.521759,498.163045,,
200605,101,7,6.908755,1,192.546023,45.422565,543.585610,,
200606,130,9,6.908755,1,199.454778,89.073238,632.658848,,
200607,127,9,6.908755,1,206.363533,84.371341,717.030189,,
200608,134,9,6.908755,1,213.272288,55.817233,772.847422,,
200609,128,9,6.908755,1,220.181042,66.979445,839.826868,,
200610,164,11,6.908755,1,227.089797,97.542953,937.369821,,
200611,164,11,6.908755,1,233.998552,132.377823,1069.747644,,
200612,159,11,6.908755,1,240.907307,112.175416,1181.923060,,
200701,158,11,6.908755,1,247.816061,167.147358,1349.070417,,
200702,184,13,6.908755,1,254.724816,171.380220,1520.450637,,
200703,185,13,6.908755,1,261.633571,210.143815,1730.594452,,
200704,185,13,6.908755,1,268.542326,218.355958,1948.950410,,
200705,188,13,6.908755,1,275.451081,232.922444,2181.872854,,
200706,184,13,6.908755,1,282.359835,294.942011,2476.814866,,
200707,184,13,6.908755,1,289.268590,339.129228,2815.944093,,
200708,186,13,6.908755,1,296.177345,121.808137,2937.752231,,
200709,192,13,6.908755,1,303.086100,188.298465,3126.050695,,
200710,183,13,6.908755,1,309.994854,126.813742,3252.864437,,
200711,185,13,6.908750,1,316.903605,19.216271,3272.080708,,
200712,186,13,6.908755,1,323.812360,28.035729,3300.116437,,
200801,178,12,6.908755,1,330.721114,60.923845,3361.040282,,
200802,179,12,6.908755,1,337.629869,40.777808,3401.818090,,
200803,178,12,6.908755,1,344.538624,31.757567,3433.575657,,
200804,177,12,6.908754,1,351.447378,21.210155,3454.785812,,
200805,177,12,6.908755,1,358.356133,62.384850,3517.170663,,
200806,178,12,6.908755,1,365.264888,90.837076,3608.007738,,
200807,176,12,6.908755,1,372.173642,97.641283,3705.649021,,
200808,176,12,6.908755,1,379.082397,73.269982,3778.919003,,
200809,173,12,-65.572990,344,313.509407,-65.573990,3713.345013,,
200810,172,12,6.908755,1,320.418162,51.468638,3764.813652,,
200811,173,12,6.908755,1,327.326917,29.819513,3794.633164,,
200812,103,7,6.907515,1,334.234432,13.600001,3808.233165,,
200901,101,7,6.719381,1,340.953813,8.475607,3816.708772,,
200902,104,7,6.908755,1,347.862567,22.105574,3838.814346,,
200903,126,9,6.908701,1,354.771268,16.737066,3855.551412,,
200904,132,9,6.256648,1,361.027916,6.991593,3862.543005,,
200905,134,9,2.219038,2,363.246955,2.227270,3864.770276,,
200906,129,9,6.501733,1,369.748688,7.596239,3872.366515,,
200907,131,9,4.909484,2,374.658172,5.054012,3877.420527,,
200908,132,9,6.574373,1,381.232544,7.831380,3885.251908,,
200909,134,9,6.248417,1,387.480961,6.974487,3892.226394,,
200910,138,10,6.908747,1,394.389708,18.632194,3910.858588,,
200911,141,10,6.893038,1,401.282745,11.052901,3921.911488,,
200912,144,10,6.908634,1,408.191379,15.926862,3937.838350,,
201001,141,10,6.855130,1,415.046509,9.806561,3947.644911,,
201002,156,11,6.907672,1,421.954181,13.735437,3961.380348,,
201003,158,11,6.908747,1,428.862927,18.627296,3980.007644,,
201004,157,11,6.897901,1,435.760828,11.425541,3991.433185,,
201005,159,11,6.908754,1,442.669582,21.180104,4012.613289,,
201006,156,11,6.908755,1,449.578337,32.536420,4045.149709,,
201007,160,11,6.908755,1,456.487092,29.959831,4075.109540,,
201008,161,11,6.908755,1,463.395847,47.587343,4122.696883,,
201009,163,11,6.908755,1,470.304601,63.611715,4186.308598,,
