date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,6.475957,1,6.475957,7.521049,7.521049,,
200302,20,2,6.870542,1,13.346499,10.153164,17.674213,,
200303,20,2,-2.662332,25,10.684167,-2.663262,15.010951,,
200304,20,2,2.574020,7,13.258187,2.586213,17.597164,,
200305,21,2,4.908297,1,18.166484,5.052639,22.649803,,
200306,23,2,3.071360,9,21.237843,3.092145,25.741948,,
200307,24,2,3.215214,9,24.453057,3.239413,28.981361,,
200308,24,2,2.385490,15,26.838548,2.395403,31.376765,,
200309,26,2,2.937784,8,29.776332,2.955820,34.332585,,
200310,26,2,0.046844,69,29.823175,0.046892,34.379476,,
200311,25,2,-7.552975,252,22.270201,-7.553974,26.825503,,
200312,25,2,-7.832159,530,14.438042,-7.833158,18.992345,,
200401,27,2,1.720592,43,16.158634,1.725191,20.717536,,
200402,28,2,3.492458,4,19.651092,3.524843,24.242379,,
200403,29,2,0.186671,91,19.837763,0.186876,24.429255,,
200404,27,2,0.827832,120,20.665595,0.829122,25.258377,,
200405,31,3,0.567502,110,21.233098,0.568267,25.826643,,
200406,33,3,4.192185,1,25.425283,4.259573,30.086216,,
200407,34,3,3.673835,1,29.099118,3.712995,33.799211,,
200408,34,3,2.830144,5,31.929262,2.846221,36.645431,,
200409,33,3,4.786536,1,36.715798,4.913103,41.558534,,
200410,33,3,3.660232,2,40.376030,3.698838,45.257372,,
200411,34,3,1.428667,42,41.804696,1.431845,46.689217,,
200412,34,3,2.383172,15,44.187868,2.393060,49.082277,,
200501,36,3,1.573548,44,45.761416,1.577379,50.659656,,
200502,36,3,-0.201690,175,45.559726,-0.201873,50.457783,,
200503,35,3,5.189777,1,50.749503,5.386314,55.844097,,
200504,38,3,-19.497676,204,31.251827,-19.498675,36.345421,,
200505,38,3,3.235632,8,34.487460,3.260358,39.605779,,
200506,38,3,4.288452,4,38.775912,4.363018,43.968797,,
200507,43,3,6.237186,1,45.013098,6.951387,50.920185,,
200508,43,3,6.896286,1,51.909383,11.286027,62.206211,,
200509,43,3,6.852293,1,58.761676,9.753577,71.959788,,
200510,43,3,4.755350,1,63.517026,4.877749,76.837537,,
200511,45,3,6.269134,1,69.786161,7.017836,83.855374,,
200512,45,3,1.888608,11,71.674768,1.894233,85.749607,,
200601,46,4,5.312234,1,76.987002,5.537633,91.287241,,
200602,48,4,3.143163,7,80.130165,3.165589,94.452830,,
200603,46,4,6.474856,1,86.605021,7.517918,101.970748,,
200604,46,4,6.905316,1,93.510337,12.578817,114.549565,,
200605,47,4,6.900501,1,100.410838,11.700703,126.250267,,
200606,47,4,6.908750,1,107.319588,19.154101,145.404369,,
200607,48,4,6.908746,1,114.228334,18.583751,163.988119,,
200608,48,4,6.908746,1,121.137081,18.563850,182.551969,,
200609,48,4,4.709132,4,125.846212,4.825616,187.377585,,
200610,48,4,6.908754,1,132.754966,20.790440,208.168025,,
200611,49,4,6.902797,1,139.657763,12.027818,220.195842,,
200612,50,4,2.541941,12,142.199704,2.553714,222.749556,,
200701,49,4,6.905483,1,149.105187,12.628470,235.378026,,
200702,48,4,-13.875220,254,135.229966,-13.876220,221.501806,,
200703,48,4,6.498886,1,141.728852,7.587748,229.089554,,
200704,49,4,6.895513,1,148.624365,11.225523,240.315077,,
